date,MACD_Signal,MACD,MACD_Hist
2021-02-11,6.9899,9.9352,2.9453
2021-02-10,5.5173,8.5467,3.0295
2021-02-09,4.0025,7.739,3.7365
2021-02-08,2.1343,7.1732,5.0389
2021-02-05,-0.3852,4.1375,4.5227
2021-02-04,-2.6465,0.9217,3.5682
2021-02-03,-4.4306,-2.0123,2.4183
2021-02-02,-5.6398,-3.3384,2.3014
2021-02-01,-6.7905,-6.6373,0.1532
2021-01-29,-1.1699,-5.5196,-4.3498
2021-01-28,-0.0824,-4.6801,-4.5977
2021-01-27,1.067,-4.2828,-5.3498
2021-01-26,2.4045,-1.5976,-4.0021
2021-01-25,3.405,0.9243,-2.4807
2021-01-22,4.0252,2.8174,-1.2078
2021-01-21,4.3271,2.7989,-1.5283
2021-01-20,4.7092,2.7193,-1.9899
2021-01-19,5.2067,3.1554,-2.0513
2021-01-15,5.7195,3.9167,-1.8028
2021-01-14,6.1702,5.3567,-0.8135
2021-01-13,6.3736,5.9724,-0.4011
2021-01-12,6.4738,5.1696,-1.3043
2021-01-11,6.7999,4.7539,-2.046
2021-01-08,7.3114,4.709,-2.6024
2021-01-07,7.9620000000000015,4.3369,-3.6251
2021-01-06,8.8683,4.8609,-4.0074
2021-01-05,9.8701,7.1369,-2.7333
2021-01-04,10.5535,8.3914,-2.162
2020-12-31,11.094,9.6018,-1.4921
2020-12-30,11.467,10.7027,-0.7643
2020-12-29,11.6581,11.7077,0.0496
2020-12-28,11.6457,12.9037,1.258
2020-12-24,11.3312,13.9757,2.6445
2020-12-23,10.6701,13.753,3.0829
2020-12-22,9.8993,13.7349,3.8356
2020-12-21,8.9404,12.5968,3.6564
2020-12-18,8.0263,11.6258,3.5995
2020-12-17,7.1265,8.967,1.8405
2020-12-16,6.6663,6.5528,-0.1135
2020-12-15,6.6947,5.4165,-1.2782
2020-12-14,7.0143,5.4096,-1.6047
2020-12-11,7.4155,5.9554,-1.4601
2020-12-10,7.7805,6.1948,-1.5857
2020-12-09,8.1769,6.7941,-1.3828
