date,MACD_Signal,MACD_Hist,MACD
2021-01-19,0.1056,0.2575,0.3631
2021-01-15,0.0413,0.18899999999999997,0.2303
2021-01-14,-0.006,-0.0139,-0.0199
2021-01-13,-0.0025,-0.1939,-0.1964
2021-01-12,0.046,-0.251,-0.2051
2021-01-11,0.1087,-0.273,-0.1642
2021-01-08,0.177,-0.2266,-0.0496
2021-01-07,0.2336,-0.2157,0.0179
2021-01-06,0.2876,-0.1837,0.1039
2021-01-05,0.3335,-0.2486,0.0848
2021-01-04,0.3956,-0.0818,0.3138
2020-12-31,0.4161,0.10800000000000001,0.5241
2020-12-30,0.3891,0.0273,0.4164
2020-12-29,0.3823,0.0117,0.3939
2020-12-28,0.3793,0.0006,0.3799
2020-12-24,0.3792,-0.0807,0.2985
2020-12-23,0.3994,-0.1685,0.2309
2020-12-22,0.4415,-0.1628,0.2788
2020-12-21,0.4822,-0.2228,0.2594
2020-12-18,0.5379,-0.2153,0.3226
2020-12-17,0.5917,-0.1198,0.4719
2020-12-16,0.6217,-0.3011,0.3205
2020-12-15,0.6970000000000001,-0.4551,0.2419
2020-12-14,0.8107,-0.6229,0.1878
2020-12-11,0.9665,-0.604,0.3624
2020-12-10,1.1175,-0.4829,0.6346
2020-12-09,1.2382,-0.2585,0.9797
2020-12-08,1.3028,-0.1411,1.1617
2020-12-07,1.3381,-0.07200000000000001,1.2661
2020-12-04,1.3561,-0.1459,1.2102
2020-12-03,1.3926,-0.235,1.1576
2020-12-02,1.4513,-0.3101,1.1413
2020-12-01,1.5288,-0.3382,1.1907
2020-11-30,1.6134,-0.3275,1.2859
2020-11-27,1.6953,-0.3177,1.3776
2020-11-25,1.7747,-0.19,1.5847
2020-11-24,1.8222,-0.0851,1.7371
2020-11-23,1.8435,-0.0956,1.7479
2020-11-20,1.8674,0.0253,1.8926
2020-11-19,1.861,0.0819,1.9429
2020-11-18,1.8406,0.325,2.1656
2020-11-17,1.7593,0.6519,2.4112
2020-11-16,1.5963,0.7006,2.2969
2020-11-13,1.4212,0.7015,2.1227
2020-11-12,1.2458,0.77,2.0158
2020-11-11,1.0533,0.8372,1.8905
2020-11-10,0.8440000000000001,0.8499,1.6939
2020-11-09,0.6315,0.6456,1.2771
2020-11-06,0.4701,0.539,1.0091
2020-11-05,0.3354,0.6199,0.9553
2020-11-04,0.1804,0.5046,0.685
2020-11-03,0.0542,0.2838,0.33799999999999997
2020-11-02,-0.0167,-0.19399999999999998,-0.2107
2020-10-30,0.0318,-0.5491,-0.5172
2020-10-29,0.1691,-0.8409,-0.6718
2020-10-28,0.3793,-0.7903,-0.4111
2020-10-27,0.5769,-0.6875,-0.1106
2020-10-26,0.7487,-0.5874,0.1614
2020-10-23,0.8956,-0.5429,0.3527
2020-10-22,1.0313,-0.598,0.4333
2020-10-21,1.1808,-0.6317,0.5491
2020-10-20,1.3387,-0.5631,0.7757
2020-10-19,1.4795,-0.4199,1.0596
2020-10-16,1.5845,-0.1485,1.436
2020-10-15,1.6216,0.1537,1.7752
2020-10-14,1.5832,0.3681,1.9513
2020-10-13,1.4912,0.5837,2.0749
2020-10-12,1.3452,0.731,2.0762
2020-10-09,1.1625,0.8167,1.9791
2020-10-08,0.9583,0.9489,1.9072
2020-10-07,0.7211,0.8908,1.6119
2020-10-06,0.4984,0.8708,1.3691
2020-10-05,0.2807,0.7213,1.0019
2020-10-02,0.1004,0.4497,0.55
2020-10-01,-0.0121,0.1509,0.1389
2020-09-30,-0.0498,-0.0504,-0.1002
2020-09-29,-0.0372,-0.0628,-0.1
2020-09-28,-0.0215,-0.1212,-0.1427
2020-09-25,0.0088,-0.2759,-0.2671
2020-09-24,0.0778,-0.4368,-0.359
2020-09-23,0.187,-0.446,-0.259
2020-09-22,0.2985,-0.4061,-0.1076
2020-09-21,0.4,-0.3728,0.0272
2020-09-18,0.4932,-0.0923,0.4009
2020-09-17,0.5163,0.1187,0.635
2020-09-16,0.4866,0.2018,0.6884
2020-09-15,0.4362,0.1924,0.6286
2020-09-14,0.3881,0.205,0.5931
2020-09-11,0.3368,0.0833,0.4201
2020-09-10,0.316,0.2273,0.5434
2020-09-09,0.2592,0.3595,0.6187
2020-09-08,0.1693,0.4366,0.6059
2020-09-04,0.0602,0.5605,0.6207
2020-09-03,-0.0799,0.4954,0.4155
2020-09-02,-0.2038,0.4553,0.2515
2020-09-01,-0.3176,0.3923,0.0747
2020-08-31,-0.4157,0.3425,-0.0732
2020-08-28,-0.5013,0.2466,-0.2548
2020-08-27,-0.563,0.0661,-0.4969
2020-08-26,-0.5795,-0.0781,-0.6576
2020-08-25,-0.56,0.0009,-0.5589999999999999
2020-08-24,-0.5602,-0.106,-0.6662
2020-08-21,-0.5337,-0.1616,-0.6953
2020-08-20,-0.4933,-0.179,-0.6723
2020-08-19,-0.4486,-0.1946,-0.6432
2020-08-18,-0.3999,-0.1067,-0.5066
2020-08-17,-0.3733,-0.1057,-0.479
2020-08-14,-0.3468,-0.1339,-0.4808
2020-08-13,-0.3133,-0.0967,-0.41
2020-08-12,-0.2892,-0.0006,-0.2898
2020-08-11,-0.289,-0.0891,-0.3781
2020-08-10,-0.2668,-0.1156,-0.3824
2020-08-07,-0.2379,-0.0954,-0.3332
2020-08-06,-0.214,-0.0536,-0.2676
2020-08-05,-0.2006,-0.0544,-0.2551
2020-08-04,-0.187,0.0217,-0.1653
2020-08-03,-0.1924,0.1031,-0.0893
2020-07-31,-0.2182,0.2412,0.023
2020-07-30,-0.2785,0.2855,0.0069
2020-07-29,-0.3499,0.1201,-0.2298
2020-07-28,-0.3799,0.0195,-0.3604
2020-07-27,-0.3848,-0.0672,-0.452
2020-07-24,-0.368,-0.0602,-0.4282
2020-07-23,-0.3529,-0.0667,-0.4196
2020-07-22,-0.3363,-0.1064,-0.4426
2020-07-21,-0.3097,-0.2199,-0.5295
2020-07-20,-0.2547,-0.135,-0.3897
2020-07-17,-0.221,-0.0556,-0.2765
2020-07-16,-0.2071,-0.1071,-0.3141
2020-07-15,-0.1803,-0.1033,-0.2836
2020-07-14,-0.1545,-0.233,-0.3875
2020-07-13,-0.0962,-0.3442,-0.4404
2020-07-10,-0.0102,-0.4004,-0.4106
2020-07-09,0.0899,-0.4144,-0.3245
2020-07-08,0.1935,-0.3304,-0.1368
2020-07-07,0.2761,-0.2555,0.0206
2020-07-06,0.34,-0.1417,0.1983
2020-07-02,0.3754,-0.1794,0.196
2020-07-01,0.4203,-0.39,0.0303
2020-06-30,0.5178,-0.7235,-0.2057
2020-06-29,0.6987,-0.9435,-0.2448
2020-06-26,0.9345,-1.0927,-0.1582
2020-06-25,1.2077,-1.0517,0.156
2020-06-24,1.4706,-1.0171,0.4536
2020-06-23,1.7249,-0.8297,0.8952
2020-06-22,1.9323,-0.6501,1.2823
2020-06-19,2.0948,-0.5314,1.5634
2020-06-18,2.2277,-0.4154,1.8123
2020-06-17,2.3316,-0.3083,2.0233
2020-06-16,2.4086,-0.1812,2.2275
