date,1. open,2. high,3. low,4. close,5. volume
2021-01-22,96.05,97.7,95.97,97.36,254587.0
2021-01-21,96.85,97.0,95.77,96.52,287665.0
2021-01-20,96.16,96.42,95.39,95.98,535044.0
2021-01-19,93.21,94.16,93.21,93.84,364165.0
2021-01-15,88.81,89.205,88.1,88.72,272347.0
2021-01-14,89.9,90.42,89.61,89.69,236394.0
2021-01-13,88.41,88.87,87.98,88.6,416482.0
2021-01-12,88.0,88.9,87.65,88.73,200715.0
2021-01-11,87.648,87.97,86.71,86.78,300572.0
2021-01-08,86.34,88.51,86.0,88.51,198417.0
2021-01-07,84.62,84.95,84.085,84.75,176409.0
2021-01-06,84.82,85.36,83.58,83.86,186306.0
2021-01-05,84.02,84.93,84.0105,84.82,137604.0
2021-01-04,84.04,84.42,82.74,83.1,172773.0
2020-12-31,82.92,83.03,81.7,82.33,125901.0
2020-12-30,80.63,81.7689,80.565,81.6,129337.0
2020-12-29,78.2,78.62,78.005,78.61,160548.0
2020-12-28,77.48,77.8,76.85,76.99,308779.0
2020-12-24,79.3,79.4,78.33,78.75,110053.0
2020-12-23,79.96,80.0,79.41,79.64,134382.0
2020-12-22,79.44,79.75,78.5,78.75,199120.0
2020-12-21,78.94,80.1,78.94,79.77,130646.0
2020-12-18,80.32,80.6099,80.02,80.5,170469.0
2020-12-17,79.97,80.76,79.85,80.6,117618.0
2020-12-16,79.64,80.03,79.32,79.53,132808.0
2020-12-15,79.14,79.71,78.6,79.69,193544.0
2020-12-14,78.57,79.03,78.55,78.69,226469.0
2020-12-11,78.1,78.76,78.05,78.15,130035.0
2020-12-10,78.04,79.3,78.04,79.14,148928.0
2020-12-09,78.97,78.97,77.5827,77.86,162655.0
2020-12-08,78.61,79.2,78.35,79.11,241938.0
2020-12-07,77.82,78.285,77.82,78.17,236232.0
2020-12-04,77.89,78.18,77.73,77.85,119838.0
2020-12-03,77.7,78.16,77.61,77.67,119818.0
2020-12-02,77.44,77.61,76.88,77.34,152422.0
2020-12-01,78.21,78.36,77.6,77.78,168830.0
2020-11-30,78.86,78.86,77.31,77.45,333879.0
2020-11-27,78.34,79.41,78.23,79.08,196276.0
2020-11-25,77.31,77.7,76.902,77.56,232530.0
2020-11-24,78.46,78.57,77.725,78.25,313800.0
2020-11-23,78.68,78.81,77.32,77.47,316112.0
2020-11-20,78.38,78.7599,78.215,78.6,138553.0
2020-11-19,77.99,78.36,77.53,78.21,161637.0
2020-11-18,79.42,79.57,77.7919,77.89,203008.0
2020-11-17,80.0,80.0,79.0,79.31,218073.0
2020-11-16,80.79,80.99,79.92,80.25,232326.0
2020-11-13,79.45,80.13,79.11,79.46,246754.0
2020-11-12,78.53,79.28,77.7101,77.72,325014.0
2020-11-11,76.72,78.39,76.29,77.96,370632.0
2020-11-10,79.49,79.49,77.91,78.64,454005.0
2020-11-09,84.15,84.31,81.12,81.35,486853.0
2020-11-06,80.51,80.9,80.164,80.58,352708.0
2020-11-05,81.53,82.0,80.3,81.16,385554.0
2020-11-04,77.57,79.43,77.405,78.97,301926.0
2020-11-03,75.94,76.17,75.41,75.9,210260.0
2020-11-02,75.5,75.5,74.64,75.35,126001.0
2020-10-30,74.34,74.6299,73.87,74.42,229841.0
2020-10-29,74.29,74.89,74.05,74.62,217377.0
2020-10-28,73.37,73.465,72.7201,73.05,177830.0
2020-10-27,73.2,74.18,73.2,74.09,301121.0
2020-10-26,72.47,72.79,71.9201,72.54,195945.0
2020-10-23,72.49,72.73,71.85,72.68,134062.0
2020-10-22,73.11,73.17,72.41,72.83,60182.0
2020-10-21,72.77,73.26,72.71,72.95,117932.0
2020-10-20,73.03,73.2599,72.85,72.98,208583.0
2020-10-19,72.59,72.971,72.0101,72.17,215937.0
2020-10-16,72.86,72.94,72.31,72.61,83166.0
2020-10-15,72.26,72.73,72.01,72.54,165915.0
2020-10-14,73.97,74.09,73.4,73.47,174319.0
2020-10-13,74.51,74.5999,74.15,74.45,209002.0
2020-10-12,74.12,74.63,73.91,74.4,250832.0
2020-10-09,72.35,72.87,72.34,72.74,85104.0
2020-10-08,71.88,71.975,71.6,71.85,166113.0
2020-10-07,71.66,71.92,71.4,71.7,119185.0
2020-10-06,70.44,70.99,70.37,70.52,159129.0
2020-10-05,69.28,69.61,69.19,69.61,48138.0
2020-10-02,69.01,69.84,68.94,69.2,72643.0
2020-10-01,69.91,70.28,69.62,70.23,105415.0
2020-09-30,68.36,69.34,68.27,69.16,81249.0
2020-09-29,67.94,68.1075,67.64,67.96,130107.0
2020-09-28,67.67,67.79,67.24,67.62,184608.0
2020-09-25,66.59,67.15,66.06,67.13,221891.0
2020-09-24,67.37,67.93,67.0223,67.68,95577.0
2020-09-23,69.35,69.4,68.3454,68.5,85203.0
2020-09-22,69.29,69.36,68.53,69.09,55917.0
2020-09-21,68.44,69.45,68.1097,69.33,258851.0
2020-09-18,70.04,70.18,69.5,69.9,68676.0
2020-09-17,69.19,70.29,69.19,69.94,81847.0
2020-09-16,70.16,70.4,69.85,69.98,155481.0
2020-09-15,70.26,70.43,69.85,70.15,203504.0
2020-09-14,68.68,69.35,68.51,69.16,161759.0
2020-09-11,67.94,68.15,66.99,67.59,294373.0
2020-09-10,67.56,67.61,66.3,66.33,223148.0
2020-09-09,67.39,67.9799,67.205,67.79,271408.0
2020-09-08,67.59,68.03,67.001,67.39,244999.0
2020-09-04,70.41,70.78,68.85,70.41,259836.0
2020-09-03,71.49,71.49,69.79,70.47,211710.0
2020-09-02,73.26,73.48,72.23,72.73,156078.0
2020-09-01,71.76,72.43,71.52,72.43,112144.0
2020-08-31,71.74,71.79,70.8599,70.91,148515.0
2020-08-28,72.44,72.9,72.25,72.89,117682.0
2020-08-27,72.42,72.43,71.54,71.77,120855.0
2020-08-26,71.52,71.55,71.12,71.47,147683.0
2020-08-25,71.3,72.11,71.01,72.11,170843.0
