date,MACD,MACD_Hist,MACD_Signal
2021-01-19,3.2527,0.8236,2.4291
2021-01-15,2.8503,0.627,2.2232
2021-01-14,2.8165,0.75,2.0665
2021-01-13,2.6336,0.7546,1.879
2021-01-12,2.4728,0.7825,1.6904
2021-01-11,2.2185,0.7237,1.4947
2021-01-08,2.0601,0.7463,1.3138
2021-01-07,1.6518,0.5246,1.1272
2021-01-06,1.4895,0.4934,0.9961
2021-01-05,1.3513,0.4786,0.8727
2021-01-04,1.0576,0.3045,0.7531
2020-12-31,0.8423,0.1654,0.6769
2020-12-30,0.6338,-0.0018,0.6356
2020-12-29,0.4327,-0.2034,0.6361
2020-12-28,0.4741,-0.2127,0.6869
2020-12-24,0.6851,-0.0549,0.7401
2020-12-23,0.7653,0.0114,0.7538
2020-12-22,0.7658,0.0148,0.7509999999999999
2020-12-21,0.8459,0.0987,0.7472
2020-12-18,0.8321,0.1095,0.7226
2020-12-17,0.7674,0.0723,0.6952
2020-12-16,0.6636,-0.0135,0.6771
2020-12-15,0.6299,-0.0506,0.6805
2020-12-14,0.5614,-0.1317,0.6932
2020-12-11,0.5672,-0.1589,0.7261
2020-12-10,0.6211,-0.1447,0.7658
2020-12-09,0.5805,-0.2214,0.802
2020-12-08,0.65,-0.2074,0.8573
2020-12-07,0.6025,-0.3067,0.9092
2020-12-04,0.6284,-0.3574,0.9858
2020-12-03,0.6848,-0.3904,1.0752
2020-12-02,0.765,-0.4078,1.1728
2020-12-01,0.8896,-0.3851,1.2748
2020-11-30,0.9912,-0.3798,1.371
2020-11-27,1.1399,-0.3261,1.466
2020-11-25,1.148,-0.3995,1.5475
2020-11-24,1.2956,-0.3518,1.6474
2020-11-23,1.3952,-0.3402,1.7354
2020-11-20,1.5811,-0.2393,1.8204
2020-11-19,1.6808,-0.1994,1.8802
2020-11-18,1.8232,-0.1069,1.9301
2020-11-17,2.0109,0.0541,1.9568
2020-11-16,2.0773,0.134,1.9433
2020-11-13,2.0366,0.1268,1.9098
2020-11-12,2.0351,0.157,1.8781
2020-11-11,2.1798,0.341,1.8388
2020-11-10,2.3085,0.555,1.7536
2020-11-09,2.3704,0.7555,1.6148
2020-11-06,2.1402,0.7142,1.4259
2020-11-05,1.8933,0.6459,1.2474
2020-11-04,1.4918,0.4059,1.0859
2020-11-03,1.1797,0.1952,0.9844
2020-11-02,1.0751,0.1395,0.9356
2020-10-30,0.9818,0.0811,0.9007
2020-10-29,0.9427,0.0622,0.8805
2020-10-28,0.8587,-0.0062,0.8649
2020-10-27,0.8981,0.0316,0.8665
2020-10-26,0.83,-0.0286,0.8586
2020-10-23,0.8881,0.0223,0.8657
2020-10-22,0.935,0.0749,0.8601
2020-10-21,0.9662,0.1248,0.8414
2020-10-20,0.9798,0.1695,0.8102
2020-10-19,0.9798,0.212,0.7678
2020-10-16,1.0476,0.3328,0.7148
2020-10-15,1.0744,0.4428,0.6316
2020-10-14,1.1001,0.5791,0.5209
2020-10-13,1.0226,0.6464,0.3762
2020-10-12,0.8095,0.5949,0.2146
2020-10-09,0.5308,0.465,0.0658
2020-10-08,0.3356,0.386,-0.0504
2020-10-07,0.1717,0.3186,-0.1469
2020-10-06,-0.0248,0.2018,-0.2266
2020-10-05,-0.1556,0.1214,-0.27699999999999997
2020-10-02,-0.2281,0.0792,-0.3073
2020-10-01,-0.2758,0.0513,-0.3271
2020-09-30,-0.4371,-0.0971,-0.34
2020-09-29,-0.5281,-0.2124,-0.3157
2020-09-28,-0.515,-0.2524,-0.2626
2020-09-25,-0.4563,-0.2568,-0.1995
2020-09-24,-0.3252,-0.1899,-0.1353
2020-09-23,-0.2088,-0.121,-0.0878
2020-09-22,-0.1402,-0.0827,-0.0576
2020-09-21,-0.1105,-0.0736,-0.0369
2020-09-18,-0.0953,-0.0768,-0.0185
2020-09-17,-0.1322,-0.1329,0.0007
2020-09-16,-0.1815,-0.2154,0.0339
2020-09-15,-0.2458,-0.3335,0.0878
2020-09-14,-0.3415,-0.5126,0.1711
2020-09-11,-0.3584,-0.6576,0.2993
