date,MACD_Signal,MACD_Hist,MACD
2021-01-19,0.21899999999999997,0.086,0.305
2021-01-15,0.1974,0.0811,0.2786
2021-01-14,0.1772,0.0789,0.256
2021-01-13,0.1574,0.06,0.2174
2021-01-12,0.1424,0.0501,0.1925
2021-01-11,0.1299,0.0158,0.1457
2021-01-08,0.126,0.0016,0.1276
2021-01-07,0.1256,-0.0697,0.0558
2021-01-06,0.14300000000000002,-0.1145,0.0285
2021-01-05,0.1716,-0.1579,0.0137
2021-01-04,0.2111,-0.1881,0.023
2020-12-31,0.2581,-0.195,0.0631
2020-12-30,0.3069,-0.1986,0.1082
2020-12-29,0.3565,-0.1882,0.1684
2020-12-28,0.4036,-0.168,0.2356
2020-12-24,0.4456,-0.1267,0.3189
2020-12-23,0.4773,-0.0994,0.3778
2020-12-22,0.5021,-0.1146,0.3875
2020-12-21,0.5308,-0.1315,0.3993
2020-12-18,0.5636,-0.1438,0.4198
2020-12-17,0.5996,-0.1272,0.4724
2020-12-16,0.6314,-0.1395,0.4919
2020-12-15,0.6663,-0.1159,0.5504
2020-12-14,0.6952,-0.0965,0.5988
2020-12-11,0.7194,-0.0595,0.6599
2020-12-10,0.7342,-0.0232,0.711
2020-12-09,0.74,0.0004,0.7405
2020-12-08,0.7399,0.0386,0.7785
2020-12-07,0.7303,0.0742,0.8045
2020-12-04,0.7117,0.1346,0.8463
2020-12-03,0.6781,0.18899999999999997,0.8671
2020-12-02,0.6308,0.2451,0.8759
2020-12-01,0.5695,0.2997,0.8692
2020-11-30,0.4946,0.3484,0.8431
2020-11-27,0.4075,0.3542,0.7617
2020-11-25,0.3189,0.332,0.6509
2020-11-24,0.2359,0.2447,0.4807
2020-11-23,0.1748,0.2058,0.3806
2020-11-20,0.1233,0.182,0.3054
2020-11-19,0.0778,0.1383,0.2161
2020-11-18,0.0432,0.0996,0.1428
2020-11-17,0.0183,0.0614,0.0797
2020-11-16,0.003,0.044000000000000004,0.047
2020-11-13,-0.008,0.0359,0.0279
2020-11-12,-0.017,0.0304,0.0133
2020-11-11,-0.0246,0.0161,-0.0085
2020-11-10,-0.0286,-0.0087,-0.0373
2020-11-09,-0.0265,-0.0317,-0.0582
2020-11-06,-0.0185,-0.0543,-0.0729
2020-11-05,-0.005,-0.0611,-0.0661
2020-11-04,0.0103,-0.0821,-0.0717
2020-11-03,0.0308,-0.0985,-0.0677
2020-11-02,0.0555,-0.1303,-0.0748
2020-10-30,0.0881,-0.1291,-0.0411
2020-10-29,0.1203,-0.1228,-0.0025
2020-10-28,0.151,-0.1104,0.0407
2020-10-27,0.1786,-0.0835,0.0952
2020-10-26,0.1995,-0.0677,0.1318
2020-10-23,0.2164,-0.0643,0.1522
2020-10-22,0.2325,-0.0759,0.1566
2020-10-21,0.2515,-0.0731,0.1784
2020-10-20,0.2697,-0.0591,0.2107
2020-10-19,0.2845,-0.0479,0.2366
2020-10-16,0.2965,-0.0363,0.2601
2020-10-15,0.3056,-0.0202,0.2854
2020-10-14,0.3106,-0.0084,0.3023
2020-10-13,0.3127,0.0098,0.3225
2020-10-12,0.3103,0.0272,0.3374
2020-10-09,0.3035,0.0492,0.3527
2020-10-08,0.2912,0.0636,0.3548
2020-10-07,0.2753,0.077,0.3523
2020-10-06,0.256,0.0869,0.3429
2020-10-05,0.2343,0.106,0.3403
2020-10-02,0.2078,0.1181,0.3259
2020-10-01,0.1783,0.1366,0.315
2020-09-30,0.1441,0.136,0.2801
2020-09-29,0.1101,0.1194,0.2296
2020-09-28,0.0803,0.0946,0.1749
2020-09-25,0.0566,0.099,0.1556
2020-09-24,0.0319,0.1151,0.147
2020-09-23,0.0031,0.1277,0.1308
2020-09-22,-0.0288,0.1319,0.1031
2020-09-21,-0.0618,0.1148,0.0531
2020-09-18,-0.0905,0.0473,-0.0431
2020-09-17,-0.1023,0.05,-0.0523
2020-09-16,-0.1148,0.0414,-0.0734
2020-09-15,-0.1252,0.0392,-0.086
2020-09-14,-0.135,0.0351,-0.0998
2020-09-11,-0.1438,0.0175,-0.1262
2020-09-10,-0.1481,0.0125,-0.1357
2020-09-09,-0.1513,0.0004,-0.1509
2020-09-08,-0.1514,-0.0197,-0.1711
2020-09-04,-0.1464,-0.0348,-0.1812
2020-09-03,-0.1377,-0.013000000000000001,-0.1508
2020-09-02,-0.1345,0.0187,-0.1158
2020-09-01,-0.1391,0.0472,-0.0919
2020-08-31,-0.1509,0.0715,-0.0794
2020-08-28,-0.1688,0.0862,-0.0826
2020-08-27,-0.1904,0.0885,-0.1019
2020-08-26,-0.2125,0.1008,-0.1117
2020-08-25,-0.2377,0.1109,-0.1267
2020-08-24,-0.2654,0.1122,-0.1532
2020-08-21,-0.2935,0.1168,-0.1766
2020-08-20,-0.3227,0.0882,-0.2345
2020-08-19,-0.3447,0.0897,-0.255
2020-08-18,-0.3671,0.0519,-0.3152
2020-08-17,-0.3801,0.0019,-0.3783
2020-08-14,-0.3806,-0.0289,-0.4095
2020-08-13,-0.3734,-0.0639,-0.4373
2020-08-12,-0.3574,-0.0906,-0.44799999999999995
2020-08-11,-0.3347,-0.0992,-0.4339
2020-08-10,-0.3099,-0.1138,-0.4238
2020-08-07,-0.2815,-0.1385,-0.42
2020-08-06,-0.2469,-0.1489,-0.3958
2020-08-05,-0.2096,-0.17600000000000002,-0.3856
2020-08-04,-0.1656,-0.1973,-0.3629
2020-08-03,-0.1163,-0.2022,-0.3186
2020-07-31,-0.0657,-0.1864,-0.2522
2020-07-30,-0.0191,-0.1711,-0.1903
2020-07-29,0.0236,-0.1464,-0.1227
2020-07-28,0.0602,-0.1051,-0.0449
2020-07-27,0.0865,-0.0355,0.051
2020-07-24,0.0954,-0.0521,0.0433
2020-07-23,0.1084,-0.0592,0.0492
2020-07-22,0.1232,-0.0671,0.0561
2020-07-21,0.14,-0.075,0.0649
2020-07-20,0.1587,-0.0987,0.0601
2020-07-17,0.1834,-0.1019,0.0815
2020-07-16,0.2089,-0.1053,0.1036
2020-07-15,0.2352,-0.0968,0.1384
2020-07-14,0.2594,-0.0928,0.1666
2020-07-13,0.2826,-0.0804,0.2022
2020-07-10,0.3027,-0.0681,0.2345
2020-07-09,0.3197,-0.0738,0.2459
2020-07-08,0.3382,-0.0803,0.2578
2020-07-07,0.3582,-0.0909,0.2673
2020-07-06,0.381,-0.0617,0.3193
2020-07-02,0.3964,-0.0592,0.3372
2020-07-01,0.4112,-0.0561,0.3551
2020-06-30,0.4252,-0.0453,0.3799
2020-06-29,0.4366,-0.0528,0.3837
2020-06-26,0.4498,-0.0535,0.3962
2020-06-25,0.4631,-0.0099,0.4533
2020-06-24,0.4656,0.0141,0.4798
2020-06-23,0.4621,0.0496,0.5117
2020-06-22,0.4497,0.0434,0.493
2020-06-19,0.4388,0.0335,0.4723
2020-06-18,0.4305,0.0298,0.4603
2020-06-17,0.423,0.0397,0.4627
2020-06-16,0.4131,0.0654,0.4784
2020-06-15,0.3967,0.0785,0.4753
2020-06-12,0.3771,0.0912,0.4684
2020-06-11,0.3543,0.1198,0.4741
2020-06-10,0.3243,0.1726,0.49700000000000005
2020-06-09,0.2812,0.1614,0.4425
2020-06-08,0.2408,0.1523,0.3931
2020-06-05,0.2028,0.1348,0.3375
2020-06-04,0.1691,0.0957,0.2648
2020-06-03,0.1452,0.0951,0.2403
2020-06-02,0.1214,0.0496,0.171
2020-06-01,0.109,0.0535,0.1625
2020-05-29,0.0956,0.0597,0.1553
2020-05-28,0.0807,0.0816,0.1623
2020-05-27,0.0603,0.0893,0.1495
2020-05-26,0.038,0.0676,0.1056
2020-05-22,0.0211,0.0371,0.0581
2020-05-21,0.0118,0.0236,0.0354
2020-05-20,0.0059,0.0072,0.013000000000000001
2020-05-19,0.0041,-0.0015,0.0026
2020-05-18,0.0045,-0.006,-0.0016
2020-05-15,0.006,-0.0231,-0.0171
2020-05-14,0.0117,-0.028999999999999998,-0.0173
2020-05-13,0.019,-0.019,0.0
2020-05-12,0.0237,-0.0199,0.0038
2020-05-11,0.0287,-0.0019,0.0269
2020-05-08,0.0292,-0.0038,0.0254
2020-05-07,0.0301,-0.005,0.0251
2020-05-06,0.0314,0.0114,0.0428
2020-05-05,0.0285,0.0322,0.0607
2020-05-04,0.0205,0.0377,0.0581
2020-05-01,0.011000000000000001,0.044000000000000004,0.0551
2020-04-30,0.0,0.0951,0.0952
2020-04-29,-0.0238,0.1239,0.1002
2020-04-28,-0.0547,0.1374,0.0827
2020-04-27,-0.0891,0.1605,0.0714
2020-04-24,-0.1292,0.1516,0.0224
2020-04-23,-0.1671,0.149,-0.0182
2020-04-22,-0.2044,0.1653,-0.0391
2020-04-21,-0.2457,0.1713,-0.0744
2020-04-20,-0.2885,0.1813,-0.1072
2020-04-17,-0.3338,0.1721,-0.1617
2020-04-16,-0.3769,0.1673,-0.2096
2020-04-15,-0.4187,0.1693,-0.2494
2020-04-14,-0.461,0.1645,-0.2965
2020-04-13,-0.5021,0.1386,-0.3635
2020-04-09,-0.5368,0.1286,-0.4082
2020-04-08,-0.5689,0.1098,-0.4592
2020-04-07,-0.5964,0.1042,-0.4922
2020-04-06,-0.6224,0.1054,-0.517
2020-04-03,-0.6488,0.0914,-0.5574
2020-04-02,-0.6716,0.0901,-0.5815
2020-04-01,-0.6942,0.1015,-0.5927
2020-03-31,-0.7196,0.1132,-0.6064
2020-03-30,-0.7478,0.0889,-0.6589
2020-03-27,-0.7701,0.0568,-0.7133
2020-03-26,-0.7843,0.0079,-0.7764
2020-03-25,-0.7863,-0.0838,-0.87
2020-03-24,-0.7653,-0.1505,-0.9158
2020-03-23,-0.7277,-0.217,-0.9447
2020-03-20,-0.6735,-0.2628,-0.9362
2020-03-19,-0.6078,-0.2989,-0.9067
2020-03-18,-0.5329999999999999,-0.3004,-0.8334
