date,MACD_Hist,MACD_Signal,MACD
2021-02-11,0.0129,0.794,0.8069
2021-02-10,0.3463,0.7876,1.1339
2021-02-09,0.1847,0.6144,0.7991
2021-02-08,0.1342,0.5221,0.6563
2021-02-05,0.1039,0.455,0.5589
2021-02-04,0.1486,0.403,0.5517
2021-02-03,0.1323,0.3287,0.461
2021-02-02,0.0056,0.2626,0.2682
2021-02-01,-0.1143,0.2598,0.1455
2021-01-29,-0.0567,0.6998,0.6431
2021-01-28,-0.0302,0.7140000000000001,0.6838
2021-01-27,-0.009000000000000001,0.7216,0.7126
2021-01-26,0.0294,0.7238,0.7532
2021-01-25,0.0735,0.7165,0.79
2021-01-22,0.1752,0.6981,0.8733
2021-01-21,0.2374,0.6543,0.8917
2021-01-20,0.298,0.595,0.8929
2021-01-19,0.3397,0.5205,0.8602
2021-01-15,0.3561,0.4355,0.7916
2021-01-14,0.3623,0.3465,0.7089
2021-01-13,0.3034,0.2559,0.5593
2021-01-12,0.2373,0.1801,0.4174
2021-01-11,0.205,0.1208,0.3258
2021-01-08,0.1306,0.0695,0.2001
2021-01-07,0.0753,0.0368,0.1121
2021-01-06,0.0056,0.018000000000000002,0.0237
2021-01-05,-0.0899,0.0166,-0.0733
2021-01-04,-0.1201,0.0391,-0.081
2020-12-31,-0.1678,0.0691,-0.0987
2020-12-30,-0.1628,0.1111,-0.0517
2020-12-29,-0.1733,0.1518,-0.0216
2020-12-28,-0.1656,0.1951,0.0295
2020-12-24,-0.1606,0.2365,0.0759
2020-12-23,-0.161,0.2767,0.1157
2020-12-22,-0.1725,0.3169,0.1444
2020-12-21,-0.1708,0.36,0.1892
2020-12-18,-0.1479,0.4027,0.2548
2020-12-17,-0.1365,0.4397,0.3032
2020-12-16,-0.1254,0.4738,0.3484
2020-12-15,-0.1255,0.5052,0.3797
2020-12-14,-0.1235,0.5365,0.413
2020-12-11,-0.0924,0.5674,0.475
2020-12-10,-0.0544,0.5905,0.5361
2020-12-09,-0.0142,0.6041,0.5899
2020-12-08,0.024,0.6077,0.6317
2020-12-07,0.0415,0.6017,0.6432
2020-12-04,0.0746,0.5913,0.6659
2020-12-03,0.0963,0.5727,0.6689
2020-12-02,0.0971,0.5486,0.6457
2020-12-01,0.1078,0.5243,0.6321
2020-11-30,0.1317,0.4974,0.6291
2020-11-27,0.0975,0.4645,0.562
2020-11-25,0.0669,0.4401,0.5069
2020-11-24,0.0568,0.4234,0.4802
2020-11-23,0.0248,0.4091,0.4339
2020-11-20,0.0349,0.403,0.4379
2020-11-19,0.0545,0.3942,0.4487
2020-11-18,0.0755,0.3806,0.4561
2020-11-17,0.093,0.3617,0.4547
2020-11-16,0.0977,0.3385,0.4362
2020-11-13,0.1166,0.3141,0.4306
2020-11-12,0.1354,0.2849,0.4203
2020-11-11,0.1684,0.2511,0.4194
2020-11-10,0.1818,0.209,0.3908
2020-11-09,0.1697,0.1635,0.3333
2020-11-06,0.1379,0.1211,0.2591
2020-11-05,0.0454,0.0866,0.1321
2020-11-04,-0.0008,0.0753,0.0745
2020-11-03,0.0186,0.0755,0.0941
2020-11-02,-0.004,0.0708,0.0668
2020-10-30,-0.0378,0.0718,0.034
2020-10-29,-0.0162,0.0813,0.0651
2020-10-28,-0.0101,0.0853,0.0752
2020-10-27,0.0094,0.0879,0.0972
2020-10-26,0.0272,0.0855,0.1127
2020-10-23,0.0573,0.0787,0.136
2020-10-22,0.0688,0.0644,0.1331
2020-10-21,0.0559,0.0472,0.1031
2020-10-20,0.0484,0.0332,0.0817
2020-10-19,0.0533,0.0211,0.0744
2020-10-16,0.0492,0.0078,0.057
2020-10-15,0.0711,-0.0045,0.0665
2020-10-14,0.0939,-0.0223,0.0716
2020-10-13,0.1096,-0.0458,0.0638
2020-10-12,0.1159,-0.0732,0.0427
2020-10-09,0.099,-0.1021,-0.0032
2020-10-08,0.0815,-0.1269,-0.0454
2020-10-07,0.0375,-0.1473,-0.1097
2020-10-06,0.0203,-0.1566,-0.1364
2020-10-05,0.0218,-0.1617,-0.1399
2020-10-02,0.0045,-0.1672,-0.1627
2020-10-01,0.0003,-0.1683,-0.168
2020-09-30,-0.0009,-0.1684,-0.1693
2020-09-29,-0.0014,-0.1682,-0.1695
2020-09-28,-0.0036,-0.1678,-0.1714
2020-09-25,0.0047,-0.1669,-0.1622
2020-09-24,0.0078,-0.1681,-0.1603
2020-09-23,0.0094,-0.17,-0.1606
2020-09-22,0.0219,-0.1724,-0.1505
2020-09-21,0.0159,-0.1778,-0.1619
2020-09-18,0.027000000000000003,-0.1818,-0.1548
2020-09-17,0.0278,-0.1886,-0.1607
2020-09-16,0.0346,-0.1955,-0.1609
2020-09-15,0.0292,-0.2042,-0.175
2020-09-14,0.0219,-0.2115,-0.1895
2020-09-11,0.0096,-0.217,-0.2073
2020-09-10,0.0127,-0.2194,-0.2067
2020-09-09,0.0116,-0.2226,-0.211
2020-09-08,0.0131,-0.2255,-0.2123
2020-09-04,0.0218,-0.2287,-0.2069
2020-09-03,0.0219,-0.2342,-0.2123
2020-09-02,0.0236,-0.2397,-0.2161
2020-09-01,0.0207,-0.2456,-0.2249
2020-08-31,0.0189,-0.2507,-0.2318
2020-08-28,0.006,-0.2555,-0.2495
2020-08-27,-0.0217,-0.257,-0.2786
2020-08-26,-0.0348,-0.2515,-0.2863
2020-08-25,-0.0431,-0.2428,-0.2859
2020-08-24,-0.0603,-0.2321,-0.2923
2020-08-21,-0.0814,-0.217,-0.2984
2020-08-20,-0.0867,-0.1967,-0.2834
2020-08-19,-0.0953,-0.175,-0.2703
2020-08-18,-0.1016,-0.1511,-0.2528
2020-08-17,-0.1081,-0.1257,-0.2338
2020-08-14,-0.1167,-0.0987,-0.2154
2020-08-13,-0.1223,-0.0695,-0.1918
2020-08-12,-0.1312,-0.0389,-0.1701
2020-08-11,-0.1389,-0.0061,-0.1451
2020-08-10,-0.1151,0.0286,-0.0865
2020-08-07,-0.0934,0.0574,-0.036000000000000004
2020-08-06,-0.0354,0.0807,0.0453
2020-08-05,0.0354,0.0896,0.125
2020-08-04,0.0312,0.0807,0.1119
2020-08-03,0.0105,0.0729,0.0834
2020-07-31,0.005,0.0703,0.0753
2020-07-30,0.0192,0.0691,0.0882
2020-07-29,0.0291,0.0643,0.0934
2020-07-28,0.0313,0.057,0.0883
2020-07-27,-0.0021,0.0492,0.0471
2020-07-24,-0.0051,0.0497,0.0446
2020-07-23,0.0173,0.051,0.0683
2020-07-22,0.0437,0.0467,0.0904
2020-07-21,0.0541,0.0357,0.0898
2020-07-20,0.0594,0.0222,0.0816
2020-07-17,0.0708,0.0073,0.0782
2020-07-16,0.0708,-0.0104,0.0604
2020-07-15,0.0496,-0.0281,0.0216
2020-07-14,-0.0,-0.0405,-0.0405
2020-07-13,-0.0156,-0.0405,-0.056
2020-07-10,-0.0252,-0.0366,-0.0618
2020-07-09,-0.0431,-0.0303,-0.0734
2020-07-08,-0.037000000000000005,-0.0195,-0.0565
2020-07-07,-0.0413,-0.0102,-0.0515
2020-07-06,-0.0525,0.0001,-0.0525
2020-07-02,-0.0845,0.0132,-0.0713
2020-07-01,-0.1001,0.0343,-0.0657
2020-06-30,-0.111,0.0594,-0.0516
2020-06-29,-0.1098,0.0871,-0.0227
2020-06-26,-0.1091,0.1146,0.0055
2020-06-25,-0.0903,0.1418,0.0515
2020-06-24,-0.0865,0.1644,0.0779
2020-06-23,-0.0827,0.18600000000000005,0.1034
2020-06-22,-0.0876,0.2067,0.1191
2020-06-19,-0.0831,0.2286,0.1455
2020-06-18,-0.0691,0.2494,0.1803
2020-06-17,-0.059,0.2667,0.2077
2020-06-16,-0.0437,0.2814,0.2377
2020-06-15,-0.0341,0.2923,0.2582
2020-06-12,0.0012,0.3009,0.302
2020-06-11,0.0571,0.3006,0.3577
2020-06-10,0.1422,0.2863,0.4285
2020-06-09,0.1429,0.2508,0.3937
2020-06-08,0.1365,0.215,0.3516
2020-06-05,0.0599,0.1809,0.2408
2020-06-04,0.0745,0.1659,0.2405
2020-06-03,0.0801,0.1473,0.2274
2020-06-02,0.1036,0.1273,0.2309
2020-06-01,0.1336,0.1014,0.235
2020-05-29,0.1495,0.068,0.2174
2020-05-28,0.1704,0.0306,0.201
2020-05-27,0.1678,-0.012,0.1558
2020-05-26,0.1518,-0.0539,0.0979
2020-05-22,0.1205,-0.0919,0.0286
2020-05-21,0.0577,-0.122,-0.0643
2020-05-20,0.0055,-0.1365,-0.131
2020-05-19,-0.0093,-0.1378,-0.1471
2020-05-18,-0.0361,-0.1355,-0.1716
2020-05-15,-0.0718,-0.1265,-0.1983
2020-05-14,-0.1159,-0.1086,-0.2244
2020-05-13,-0.1148,-0.0796,-0.1944
2020-05-12,-0.0923,-0.0509,-0.1432
2020-05-11,-0.0824,-0.0278,-0.1102
2020-05-08,-0.0686,-0.0072,-0.0758
2020-05-07,-0.0559,0.0099,-0.046
2020-05-06,-0.0484,0.0239,-0.0245
2020-05-05,-0.0308,0.036000000000000004,0.0052
2020-05-04,-0.018000000000000002,0.0437,0.0257
2020-05-01,-0.0068,0.0482,0.0414
2020-04-30,0.0313,0.0499,0.0812
2020-04-29,0.0581,0.0421,0.1002
2020-04-28,0.066,0.0276,0.0936
2020-04-27,0.0685,0.0111,0.0796
2020-04-24,0.0494,-0.0061,0.0433
2020-04-23,0.0392,-0.0184,0.0208
2020-04-22,0.0414,-0.0282,0.0132
2020-04-21,0.051,-0.0386,0.0124
2020-04-20,0.0585,-0.0513,0.0071
2020-04-17,0.053,-0.0659,-0.0129
2020-04-16,0.0495,-0.0792,-0.0297
2020-04-15,0.0598,-0.0916,-0.0318
2020-04-14,0.0644,-0.1065,-0.0421
2020-04-13,0.0547,-0.1227,-0.068
2020-04-09,0.0587,-0.1363,-0.0776
2020-04-08,0.0622,-0.151,-0.0888
2020-04-07,0.0363,-0.1665,-0.1302
2020-04-06,0.0402,-0.1756,-0.1354
2020-04-03,0.0303,-0.1857,-0.1553
2020-04-02,0.0402,-0.1933,-0.1531
2020-04-01,0.0656,-0.2033,-0.1378
2020-03-31,0.1218,-0.2197,-0.0979
