date,1. open,2. high,3. low,4. close,5. volume
2021-01-29,39.27,39.83,37.74,37.96,17989711.0
2021-01-28,39.55,40.37,38.99,40.08,21654014.0
2021-01-27,38.63,39.2254,38.1609,38.52,16953392.0
2021-01-26,39.26,39.64,38.98,39.32,10599373.0
2021-01-25,39.63,39.75,38.42,38.9,15964896.0
2021-01-22,40.0,40.27,39.81,40.0,11310058.0
2021-01-21,41.31,41.43,40.17,40.67,11155112.0
2021-01-20,40.69,41.77,40.5,41.62,11335701.0
2021-01-19,40.31,40.65,39.8007,40.31,11530693.0
2021-01-15,41.67,41.67,39.96,39.98,15465542.0
2021-01-14,41.21,42.64,41.12,41.47,17658314.0
2021-01-13,40.01,40.74,39.6299,40.45,10852467.0
2021-01-12,39.69,40.41,39.16,40.3,9687765.0
2021-01-11,39.08,39.99,38.9,39.41,11754897.0
2021-01-08,40.41,40.6911,39.765,40.02,9497467.0
2021-01-07,40.45,40.945,40.21,40.23,9136267.0
2021-01-06,39.64,40.9,39.54,40.38,12881083.0
2021-01-05,38.49,40.085,38.45,39.55,12317221.0
2021-01-04,40.17,40.34,38.3306,38.73,15123448.0
2020-12-31,40.3,40.74,39.76,40.21,8705736.0
2020-12-30,40.0,40.905,39.89,40.56,8504632.0
2020-12-29,40.84,40.84,39.9,40.03,8142801.0
2020-12-28,40.27,40.7758,40.01,40.15,10604314.0
2020-12-24,40.42,40.44,39.605,39.73,5176408.0
2020-12-23,39.295,40.47,39.18,40.24,12659678.0
2020-12-22,40.43,40.49,38.84,38.94,13519977.0
2020-12-21,39.56,40.35,39.16,40.14,16976838.0
2020-12-18,40.88,41.03,40.28,40.68,14312415.0
2020-12-17,41.3,41.42,40.61,41.11,9656677.0
2020-12-16,41.75,41.81,40.66,41.08,11010586.0
2020-12-15,41.2,41.93,40.1576,41.85,11453773.0
2020-12-14,42.25,42.38,40.67,40.69,12445160.0
2020-12-11,42.01,42.43,41.14,41.74,12223113.0
2020-12-10,41.16,42.75,41.07,42.62,10680659.0
2020-12-09,43.05,43.48,41.3348,42.11,16348295.0
2020-12-08,41.95,42.88,41.77,42.41,11530276.0
2020-12-07,42.4,42.83,41.74,42.35,13169110.0
2020-12-04,43.2,43.49,42.0701,42.36,18453376.0
2020-12-03,41.7,43.76,41.56,42.95,24526758.0
2020-12-02,39.81,41.275,39.0582,41.07,12937348.0
2020-12-01,40.79,41.06,39.92,39.96,13117229.0
2020-11-30,40.53,41.05,39.35,40.25,16732615.0
2020-11-27,41.79,42.19,40.775,41.06,10516621.0
2020-11-25,40.8,41.487,40.05,41.29,14588870.0
2020-11-24,40.05,41.29,39.41,41.26,23251810.0
2020-11-23,37.8,38.85,37.43,38.79,14802883.0
2020-11-20,37.99,38.09,36.97,37.13,12490549.0
