date,1. open,2. high,3. low,4. close,5. volume
2021-01-14,28.14,28.58,27.5,27.74,433142.0
2021-01-13,27.01,27.77,26.45,27.55,262868.0
2021-01-12,29.04,29.2,26.11,26.61,679479.0
2021-01-11,28.51,29.96,28.5,28.72,251304.0
2021-01-08,29.69,29.96,28.69,29.38,343366.0
2021-01-07,27.12,28.91,27.05,28.73,373011.0
2021-01-06,27.89,29.39,27.26,27.75,296204.0
2021-01-05,26.37,28.8,25.61,28.32,532543.0
2021-01-04,26.75,26.94,24.8,25.76,603117.0
2020-12-31,27.65,27.855,26.52,26.53,138200.0
2020-12-30,25.97,28.47,25.76,27.86,373152.0
2020-12-29,25.52,26.27,25.34,25.76,264038.0
2020-12-28,26.87,26.89,25.52,25.54,341415.0
2020-12-24,26.26,27.35,25.88,27.09,177727.0
2020-12-23,25.84,27.16,25.54,26.72,333639.0
2020-12-22,25.7,26.0737,24.9,25.84,422252.0
2020-12-21,26.09,26.85,25.75,25.8,232971.0
2020-12-18,26.5,26.69,25.7,26.46,395987.0
2020-12-17,26.51,27.015,25.97,26.67,275748.0
2020-12-16,25.8,26.8,25.76,26.13,299735.0
2020-12-15,26.99,27.32,25.53,25.76,316068.0
2020-12-14,26.5,27.42,26.25,26.88,277586.0
2020-12-11,27.47,27.74,26.44,26.64,335744.0
2020-12-10,26.76,28.11,26.02,27.42,350828.0
2020-12-09,27.76,28.92,26.9,27.26,482751.0
2020-12-08,29.0,29.79,27.57,27.91,567984.0
2020-12-07,28.4,28.81,28.05,28.41,398907.0
2020-12-04,28.41,28.99,27.8,28.25,380390.0
2020-12-03,28.71,29.2,28.31,28.74,367597.0
2020-12-02,28.18,28.9,27.6,28.65,280275.0
2020-12-01,29.8,30.05,28.06,28.51,668880.0
2020-11-30,30.95,31.1,29.2,29.76,264777.0
2020-11-27,30.14,31.84,30.14,31.38,336414.0
2020-11-25,31.71,31.71,29.53,29.98,485109.0
2020-11-24,30.21,33.355,30.0941,32.01,558043.0
2020-11-23,31.27,31.43,29.35,30.69,696748.0
2020-11-20,29.51,31.61,28.275,31.47,827507.0
2020-11-19,25.48,30.4065,25.39,29.91,1785990.0
2020-11-18,26.58,27.25,24.81,25.15,469948.0
2020-11-17,26.99,27.24,26.01,26.29,593679.0
2020-11-16,26.71,27.14,26.205,27.14,387820.0
2020-11-13,25.24,26.5,24.71,26.47,452508.0
2020-11-12,25.09,25.98,24.52,24.76,545631.0
2020-11-11,24.63,24.88,23.14,24.63,790154.0
2020-11-10,27.36,27.76,23.97,24.15,1095939.0
2020-11-09,27.5,28.49,27.28,28.03,413381.0
2020-11-06,28.88,29.375,28.2,28.72,384941.0
2020-11-05,27.79,29.95,26.86,29.82,647762.0
2020-11-04,27.2,27.4643,26.5,27.12,653008.0
2020-11-03,26.34,26.95,25.45,26.58,512986.0
2020-11-02,26.0,26.59,25.54,26.59,296133.0
2020-10-30,26.16,26.576999999999998,24.85,25.19,386898.0
2020-10-29,25.79,26.9,25.4,26.09,441894.0
2020-10-28,25.34,26.1,24.83,25.72,334603.0
2020-10-27,26.69,26.7,25.12,25.34,477566.0
2020-10-26,26.5,26.97,26.05,26.44,370250.0
2020-10-23,26.31,26.76,26.035,26.5,546348.0
2020-10-22,28.64,28.97,26.2788,26.45,939383.0
2020-10-21,30.42,31.0,28.1,28.43,1011928.0
2020-10-20,30.18,32.6,30.07,32.48,342634.0
2020-10-19,31.02,32.0,29.33,29.66,341034.0
2020-10-16,31.19,31.78,30.52,30.55,329824.0
2020-10-15,31.87,31.87,30.07,31.01,460837.0
2020-10-14,31.32,33.3,31.32,32.27,615597.0
2020-10-13,30.13,31.38,29.5,31.01,316886.0
2020-10-12,31.9,32.7,30.01,30.39,506280.0
2020-10-09,29.0,31.4,29.0,31.09,396738.0
2020-10-08,29.7,29.7353,28.77,29.0,194970.0
2020-10-07,29.34,29.86,28.72,28.98,290311.0
2020-10-06,27.06,29.69,27.06,28.65,483497.0
2020-10-05,27.0,27.15,26.3,26.85,160866.0
2020-10-02,26.02,27.23,25.83,26.77,264483.0
2020-10-01,26.0,27.27,25.91,27.16,324546.0
2020-09-30,25.7,26.27,25.31,25.84,380179.0
2020-09-29,25.84,26.22,25.5,25.69,316404.0
2020-09-28,27.15,27.52,25.64,25.69,461734.0
2020-09-25,28.19,28.19,26.1,26.6,514703.0
2020-09-24,27.26,28.77,26.03,28.19,341783.0
2020-09-23,27.8,30.47,27.8,28.14,1244886.0
2020-09-22,26.36,27.84,25.8,27.74,453701.0
2020-09-21,26.11,27.805,25.81,26.16,468010.0
2020-09-18,27.67,27.99,26.22,26.79,535301.0
2020-09-17,25.49,28.225,24.42,27.68,1004766.0
2020-09-16,27.12,28.91,25.811,25.98,1350456.0
2020-09-15,23.6,27.1999,23.54,26.59,1122175.0
2020-09-14,23.57,24.28,23.09,23.36,368915.0
2020-09-11,23.77,25.31,23.38,23.48,414026.0
2020-09-10,26.5,26.65,23.55,23.73,503691.0
2020-09-09,25.49,26.315,24.77,26.22,645503.0
2020-09-08,25.31,25.42,23.75,25.21,762276.0
2020-09-04,25.54,26.91,25.12,26.46,870826.0
2020-09-03,27.84,27.885,25.33,25.99,1305328.0
2020-09-02,31.05,31.1577,27.4001,27.63,1712614.0
2020-09-01,30.8,32.99,30.0,32.24,1203121.0
2020-08-31,30.5,30.5001,29.5,29.74,690864.0
2020-08-28,31.48,31.55,30.3,30.45,366270.0
2020-08-27,31.63,33.23,30.69,31.34,529870.0
2020-08-26,33.75,33.75,31.21,31.78,424596.0
2020-08-25,32.96,34.35,32.56,33.28,363734.0
2020-08-24,34.0,34.86,31.91,33.02,525647.0
2020-08-21,35.52,35.52,31.72,33.9,1276400.0
2020-08-20,37.11,37.51,35.54,36.3,372446.0
2020-08-19,37.0,38.71,36.93,37.28,327239.0
2020-08-18,35.7,38.29,33.3,36.91,473170.0
2020-08-17,36.09,37.15,35.71,36.02,286426.0
2020-08-14,38.1,38.53,35.91,35.92,457358.0
2020-08-13,38.0,39.4999,36.05,38.6,726188.0
2020-08-12,40.74,41.4211,39.98,41.2,193035.0
