date,MACD_Hist,MACD_Signal,MACD
2021-01-29,1.0576,1.654,2.7116
2021-01-28,1.1668,1.3896,2.5564
2021-01-27,1.2395,1.0979,2.3374
2021-01-26,0.9834,0.788,1.7714
2021-01-25,0.8934,0.5422,1.4356
2021-01-22,0.6631,0.3189,0.9819
2021-01-21,0.3842,0.1531,0.5373
2021-01-20,0.1066,0.057,0.1636
2021-01-19,0.0836,0.0304,0.1139
2021-01-15,0.0598,0.0095,0.0692
2021-01-14,0.1256,-0.0055,0.1201
2021-01-13,0.1509,-0.0369,0.1141
2021-01-12,0.1986,-0.0746,0.124
2021-01-11,0.3549,-0.1242,0.2306
2021-01-08,0.3615,-0.213,0.1485
2021-01-07,0.2777,-0.3033,-0.0256
2021-01-06,0.1914,-0.3728,-0.1813
2021-01-05,0.1429,-0.4206,-0.2777
2021-01-04,0.0017,-0.4564,-0.4547
2020-12-31,0.0435,-0.4568,-0.4133
2020-12-30,0.0348,-0.4677,-0.4328
2020-12-29,-0.1106,-0.4764,-0.5869
2020-12-28,-0.1126,-0.4487,-0.5613
2020-12-24,-0.0774,-0.4206,-0.4979
2020-12-23,-0.1664,-0.4012,-0.5677
2020-12-22,-0.2511,-0.3596,-0.6107
2020-12-21,-0.2704,-0.2968,-0.5672
2020-12-18,-0.2702,-0.2292,-0.4994
2020-12-17,-0.311,-0.1617,-0.4727
2020-12-16,-0.3693,-0.0839,-0.4532
2020-12-15,-0.3751,0.0084,-0.3667
2020-12-14,-0.3155,0.1021,-0.2133
2020-12-11,-0.3095,0.181,-0.1285
2020-12-10,-0.2522,0.2584,0.0061
2020-12-09,-0.223,0.3214,0.0985
2020-12-08,-0.146,0.3772,0.2311
2020-12-07,-0.0828,0.4137,0.331
2020-12-04,-0.0318,0.4344,0.4026
2020-12-03,0.0622,0.4423,0.5045
2020-12-02,0.1506,0.4268,0.5774
2020-12-01,0.282,0.3891,0.6711
2020-11-30,0.4766,0.3186,0.7952
2020-11-27,0.6154,0.1995,0.8149
2020-11-25,0.6174,0.0457,0.6631
2020-11-24,0.711,-0.1087,0.6023
2020-11-23,0.5956,-0.2864,0.3092
2020-11-20,0.5003,-0.4353,0.065
2020-11-19,0.2334,-0.5604,-0.327
2020-11-18,-0.045,-0.6188,-0.6638
2020-11-17,0.0082,-0.6075,-0.5993
2020-11-16,-0.0148,-0.6096,-0.6243
2020-11-13,-0.1279,-0.6059,-0.7338
2020-11-12,-0.2207,-0.5739,-0.7946
2020-11-11,-0.1678,-0.5187,-0.6865
2020-11-10,-0.0486,-0.4768,-0.5254
2020-11-09,0.2015,-0.4647,-0.2632
2020-11-06,0.1953,-0.515,-0.3197
2020-11-05,0.1063,-0.5638,-0.4575
2020-11-04,-0.1483,-0.5904,-0.7388
2020-11-03,-0.2587,-0.5533,-0.8121
2020-11-02,-0.3502,-0.4887,-0.8388
2020-10-30,-0.4607,-0.4011,-0.8618
2020-10-29,-0.4501,-0.2859,-0.736
2020-10-28,-0.483,-0.1734,-0.6564
2020-10-27,-0.4549,-0.0527,-0.5076
2020-10-26,-0.3327,0.0611,-0.2716
2020-10-23,-0.2226,0.1442,-0.0784
2020-10-22,-0.0367,0.1999,0.1632
2020-10-21,0.2652,0.2091,0.4743
2020-10-20,0.5201,0.1427,0.6629
2020-10-19,0.4688,0.0127,0.4816
2020-10-16,0.6348,-0.1045,0.5303
2020-10-15,0.7573,-0.2632,0.4941
2020-10-14,0.8464,-0.4525,0.3939
2020-10-13,0.7961,-0.6641,0.132
2020-10-12,0.7872,-0.8631,-0.0759
2020-10-09,0.7829,-1.06,-0.277
2020-10-08,0.6547,-1.2557,-0.601
2020-10-07,0.6264,-1.4194,-0.7929
2020-10-06,0.5516,-1.576,-1.0244
2020-10-05,0.4426,-1.7139,-1.2713
2020-10-02,0.4399,-1.8245,-1.3846
2020-10-01,0.4335,-1.9345,-1.501
2020-09-30,0.3754,-2.0429,-1.6675
2020-09-29,0.4155,-2.1367,-1.7212
2020-09-28,0.491,-2.2406,-1.7496
2020-09-25,0.603,-2.3633,-1.7603
2020-09-24,0.6731,-2.5141,-1.841
2020-09-23,0.6032,-2.6824,-2.0792
2020-09-22,0.4853,-2.8332,-2.3478
2020-09-21,0.3386,-2.9545,-2.6159
2020-09-18,0.2801,-3.0392,-2.759
2020-09-17,0.1434,-3.1092,-2.9658
2020-09-16,-0.1321,-3.1451,-3.2771
2020-09-15,-0.3417,-3.112,-3.4538
2020-09-14,-0.6645,-3.0266,-3.6911
2020-09-11,-0.751,-2.8605,-3.6115
2020-09-10,-0.7968,-2.6728,-3.4695
2020-09-09,-0.7898,-2.4736,-3.2633
2020-09-08,-0.9301,-2.2761,-3.2062
2020-09-04,-0.9403,-2.0436,-2.9838
2020-09-03,-0.9754,-1.8085,-2.7839
2020-09-02,-0.8756,-1.5647,-2.4403
2020-09-01,-0.7875,-1.3458,-2.1333
2020-08-31,-1.0308,-1.1489,-2.1798
2020-08-28,-1.0616,-0.8912,-1.9528
2020-08-27,-1.0813,-0.6258,-1.707
2020-08-26,-1.1037,-0.3555,-1.4591
2020-08-25,-1.0867,-0.0796,-1.1663
2020-08-24,-1.1204,0.1921,-0.9283
2020-08-21,-1.0568,0.4722,-0.5845
2020-08-20,-0.9633,0.7364,-0.2269
2020-08-19,-0.9887,0.9772,-0.0114
2020-08-18,-1.0605,1.2244,0.1639
2020-08-17,-1.0665,1.4895,0.4231
2020-08-14,-0.9179,1.7561,0.8383
2020-08-13,-0.6194,1.9856,1.3662
2020-08-12,-0.3932,2.1404,1.7473
2020-08-11,-0.2952,2.2387,1.9436
2020-08-10,-0.0439,2.3125,2.2686
2020-08-07,0.2089,2.3235,2.5324
2020-08-06,0.3625,2.2713,2.6338
2020-08-05,0.3701,2.1806,2.5507
2020-08-04,0.3785,2.0881,2.4666
2020-08-03,0.279,1.9935,2.2725
2020-07-31,-0.042,1.9237,1.8818
2020-07-30,-0.2019,1.9342,1.7323
2020-07-29,-0.2931,1.9847,1.6916
2020-07-28,-0.3371,2.058,1.7208
2020-07-27,-0.5232,2.1423,1.6191
2020-07-24,-0.5793,2.273,1.6938
2020-07-23,-0.4427,2.4179,1.9752
2020-07-22,-0.3083,2.5285,2.2202
2020-07-21,-0.2354,2.6056,2.3702
2020-07-20,-0.4926,2.6645,2.1719
2020-07-17,-0.4911,2.7876,2.2965
2020-07-16,-0.3997,2.9104,2.5107
2020-07-15,-0.222,3.0103,2.7883
2020-07-14,-0.1694,3.0658,2.8964
2020-07-13,-0.0446,3.1081,3.0636
2020-07-10,-0.0091,3.1193,3.1101
2020-07-09,-0.0471,3.1216,3.0745
2020-07-08,-0.0789,3.1333,3.0544
2020-07-07,-0.1095,3.153,3.0435
2020-07-06,0.0126,3.1804,3.193
2020-07-02,0.0145,3.1773,3.1918
2020-07-01,0.2013,3.1736,3.375
2020-06-30,0.3977,3.1233,3.521
2020-06-29,0.4713,3.0239,3.4952
2020-06-26,0.5472,2.9061,3.4532
2020-06-25,0.6912,2.7693,3.4604
2020-06-24,0.8228,2.5965,3.4193
2020-06-23,0.9405,2.3908,3.3313
2020-06-22,0.8987,2.1557,3.0544
2020-06-19,0.9802,1.931,2.9111
2020-06-18,0.9796,1.6859,2.6656
2020-06-17,0.8835,1.441,2.3246
2020-06-16,0.5193,1.2201,1.7394
2020-06-15,0.326,1.0903,1.4163
2020-06-12,0.1089,1.0088,1.1177
2020-06-11,0.1236,0.9816,1.1052
2020-06-10,0.1469,0.9507,1.0976
2020-06-09,0.1467,0.914,1.0607
2020-06-08,0.1657,0.8773,1.043
2020-06-05,0.1255,0.8359,0.9614
2020-06-04,0.0021,0.8045,0.8066
2020-06-03,-0.0599,0.804,0.744
2020-06-02,-0.1637,0.8189,0.6553
