date,MFI
2021-01-22,71.8534
2021-01-21,65.2579
2021-01-20,62.6088
2021-01-19,54.5858
2021-01-15,47.4038
2021-01-14,50.9763
2021-01-13,49.7931
2021-01-12,48.4878
2021-01-11,53.2607
2021-01-08,51.9861
2021-01-07,50.9449
2021-01-06,49.8922
2021-01-05,43.1963
2021-01-04,33.316
2020-12-31,35.2869
2020-12-30,33.524
2020-12-29,24.0894
2020-12-28,25.5457
2020-12-24,34.8484
2020-12-23,29.187
2020-12-22,30.1874
2020-12-21,30.906
2020-12-18,27.8383
2020-12-17,28.3618
2020-12-16,30.0456
2020-12-15,22.9923
2020-12-14,33.3581
2020-12-11,43.5018
2020-12-10,53.5843
2020-12-09,66.5707
2020-12-08,66.9554
2020-12-07,62.4932
2020-12-04,62.3443
2020-12-03,67.0587
2020-12-02,67.4881
2020-12-01,64.4759
2020-11-30,62.3822
2020-11-27,61.527
2020-11-25,57.4065
2020-11-24,63.5608
2020-11-23,63.5462
2020-11-20,62.4579
2020-11-19,59.7516
2020-11-18,46.5731
2020-11-17,52.4716
2020-11-16,54.4278
2020-11-13,48.56100000000001
2020-11-12,48.0515
2020-11-11,40.7948
2020-11-10,39.4801
2020-11-09,39.1272
2020-11-06,44.661
2020-11-05,44.8235
2020-11-04,37.0632
2020-11-03,28.3669
2020-11-02,30.7098
2020-10-30,26.4614
2020-10-29,33.4504
2020-10-28,33.6312
2020-10-27,34.1115
2020-10-26,39.0822
2020-10-23,40.284
2020-10-22,44.68899999999999
2020-10-21,49.5103
2020-10-20,62.0925
2020-10-19,61.8257
2020-10-16,62.7371
2020-10-15,61.9295
2020-10-14,62.0954
2020-10-13,52.4444
2020-10-12,65.8583
2020-10-09,65.1394
2020-10-08,57.5322
2020-10-07,63.0421
2020-10-06,52.4234
2020-10-05,57.4926
2020-10-02,61.9197
2020-10-01,61.488
2020-09-30,57.5303
2020-09-29,52.8562
2020-09-28,57.7114
2020-09-25,56.1935
2020-09-24,54.3126
2020-09-23,49.6462
2020-09-22,35.6908
2020-09-21,40.7303
2020-09-18,39.7412
2020-09-17,35.8085
2020-09-16,36.918
2020-09-15,27.675
2020-09-14,23.4297
2020-09-11,22.731
2020-09-10,20.4369
2020-09-09,20.3647
2020-09-08,19.3056
2020-09-04,19.4124
2020-09-03,20.1873
2020-09-02,21.4036
2020-09-01,23.1062
2020-08-31,13.4324
2020-08-28,13.7929
2020-08-27,13.1971
2020-08-26,12.7205
2020-08-25,20.4919
2020-08-24,15.5268
2020-08-21,15.7897
2020-08-20,24.7486
2020-08-19,30.2939
2020-08-18,25.5031
2020-08-17,30.7919
2020-08-14,37.0742
2020-08-13,45.9867
2020-08-12,50.7045
2020-08-11,47.0526
2020-08-10,48.3554
2020-08-07,56.6038
2020-08-06,65.9282
2020-08-05,63.2057
2020-08-04,66.4492
2020-08-03,73.40899999999998
2020-07-31,66.1206
2020-07-30,66.0593
2020-07-29,71.1156
2020-07-28,71.1544
2020-07-27,70.3595
2020-07-24,61.0148
2020-07-23,68.3416
2020-07-22,67.4943
2020-07-21,66.873
2020-07-20,65.9474
2020-07-17,67.3538
2020-07-16,62.5785
2020-07-15,65.7651
2020-07-14,59.1721
2020-07-13,69.8611
2020-07-10,62.1674
2020-07-09,63.4992
2020-07-08,62.8849
2020-07-07,65.8726
2020-07-06,72.6745
2020-07-02,74.9109
2020-07-01,81.3083
2020-06-30,80.3433
2020-06-29,80.0123
2020-06-26,76.494
2020-06-25,76.3275
2020-06-24,79.5399
2020-06-23,83.8706
2020-06-22,83.2558
2020-06-19,87.8335
2020-06-18,87.6211
2020-06-17,84.5051
2020-06-16,80.1744
2020-06-15,74.4453
2020-06-12,69.3477
2020-06-11,51.5416
2020-06-10,54.497
2020-06-09,57.8727
2020-06-08,63.4243
2020-06-05,63.5016
2020-06-04,59.5022
2020-06-03,55.2684
