date,MACD_Hist,MACD,MACD_Signal
2021-01-29,-1.6535,0.3575,2.011
2021-01-28,-1.7453,0.679,2.4244
2021-01-27,-2.1588,0.7019,2.8607
2021-01-26,-1.7785,1.6219,3.4004
2021-01-25,-1.7373,2.1077,3.845
2021-01-22,-1.8194,2.4599,4.2793
2021-01-21,-1.9511,2.783,4.7342
2021-01-20,-1.9143,3.3077,5.222
2021-01-19,-2.0115,3.689,5.7005
2021-01-15,-1.9409,4.2625,6.2034
2021-01-14,-1.6727,5.0159,6.6886
2021-01-13,-1.4048,5.702,7.1068
2021-01-12,-1.2371,6.221,7.458
2021-01-11,-0.9613,6.806,7.7673
2021-01-08,-0.8694,7.1382,8.0076
2021-01-07,-0.726,7.499,8.225
2021-01-06,-0.5448,7.8616,8.4064
2021-01-05,-0.3875,8.1552,8.5427
2021-01-04,-0.1591,8.4805,8.6395
2020-12-31,0.1704,8.8497,8.6793
2020-12-30,0.1992,8.8359,8.6367
2020-12-29,0.1038,8.6907,8.5869
2020-12-28,0.2121,8.7731,8.5609
2020-12-24,0.0838,8.5917,8.5079
2020-12-23,0.2707,8.7576,8.487
2020-12-22,0.4411,8.8603,8.4193
2020-12-21,0.8692,9.1782,8.309
2020-12-18,1.3342,9.426,8.0917
2020-12-17,1.6229,9.3811,7.7582
2020-12-16,1.7677,9.1202,7.3524
2020-12-15,1.7877,8.6982,6.9105
2020-12-14,1.4862,7.9497,6.4636
2020-12-11,1.2591,7.3511,6.092
2020-12-10,0.0493,5.8265,5.7773
2020-12-09,0.1721,5.937,5.7649
2020-12-08,0.2963,6.0182,5.7219
2020-12-07,0.4588,6.1066,5.6478
2020-12-04,0.6015,6.1347,5.5331
2020-12-03,0.6517,6.0344,5.3827
2020-12-02,0.6905,5.9103,5.2198
2020-12-01,0.581,5.6282,5.0472
2020-11-30,0.709,5.611,4.9019
2020-11-27,0.9282,5.6529,4.7247
2020-11-25,1.2212,5.7138,4.4926
2020-11-24,1.3215,5.5088,4.1873
2020-11-23,1.0658,4.9228,3.857
2020-11-20,1.0736,4.6641,3.5905
2020-11-19,1.444,4.7661,3.3221
2020-11-18,1.7996,4.7607,2.9611
2020-11-17,1.9514,4.4627,2.5112
2020-11-16,1.9329,3.9562,2.0234
2020-11-13,1.6948,3.235,1.5402
2020-11-12,1.7934,2.9098,1.1165
2020-11-11,2.0736,2.7417,0.6681
2020-11-10,2.1033,2.253,0.1497
2020-11-09,1.5357,1.1596,-0.3761
2020-11-06,0.4584,-0.3016,-0.76
2020-11-05,0.2529,-0.6218,-0.8746
2020-11-04,-0.0326,-0.9705,-0.9379
2020-11-03,-0.2793,-1.209,-0.9297
2020-11-02,-0.529,-1.3889,-0.8599
2020-10-30,-0.4746,-1.2023,-0.7277
2020-10-29,-0.4517,-1.0607,-0.609
2020-10-28,-0.3979,-0.894,-0.4961
2020-10-27,0.041,-0.3557,-0.3966
2020-10-26,0.2507,-0.1562,-0.4068
2020-10-23,0.4938,0.0243,-0.4695
2020-10-22,0.4106,-0.1824,-0.593
2020-10-21,0.3324,-0.3632,-0.6956
2020-10-20,0.2847,-0.494,-0.7787
2020-10-19,0.3671,-0.4827,-0.8499
2020-10-16,0.5537,-0.388,-0.9417
2020-10-15,0.556,-0.5241,-1.0801
2020-10-14,0.4728,-0.7462,-1.2191
2020-10-13,0.3968,-0.9405,-1.3373
2020-10-12,0.0204,-1.416,-1.4365
2020-10-09,-0.1546,-1.5962,-1.4416
2020-10-08,-0.4009,-1.8039,-1.403
2020-10-07,-0.5476,-1.8504,-1.3027
2020-10-06,-0.6986,-1.8644,-1.1658
2020-10-05,-0.6625,-1.6536,-0.9912
2020-10-02,-0.7834,-1.609,-0.8255
2020-10-01,-0.8154,-1.4451,-0.6297
2020-09-30,-0.8664,-1.2922,-0.4258
2020-09-29,-0.9476,-1.1568,-0.2092
2020-09-28,-1.1291,-1.1015,0.0276
2020-09-25,-1.3849,-1.0749,0.3099
2020-09-24,-1.4789,-0.8228,0.6561
2020-09-23,-1.3611,-0.3352,1.0259
2020-09-22,-1.1547,0.2115,1.3662
2020-09-21,-1.1488,0.5061,1.6548
2020-09-18,-0.884,1.058,1.942
2020-09-17,-0.7438,1.4192,2.163
2020-09-16,-0.6513,1.6977,2.349
2020-09-15,-0.6738,1.838,2.5118
2020-09-14,-0.6033,2.077,2.6803
2020-09-11,-0.4803,2.3508,2.8311
2020-09-10,-0.3361,2.6151,2.9511
2020-09-09,-0.2704,2.7648,3.0352
2020-09-08,-0.2014,2.9013,3.1028
2020-09-04,-0.2052,2.9479,3.1531
2020-09-03,-0.015,3.1895,3.2044
2020-09-02,0.116,3.3242,3.2082
2020-09-01,0.0497,3.2288,3.1792
2020-08-31,0.0807,3.2475,3.1668
2020-08-28,0.2486,3.3952,3.1466
2020-08-27,0.0762,3.1606,3.0844
2020-08-26,-0.0659,2.9995,3.0654
2020-08-25,-0.1738,2.9081,3.0819
2020-08-24,-0.1329,2.9924,3.1253
2020-08-21,-0.1936,2.9649,3.1585
2020-08-20,0.0106,3.2176,3.2069
2020-08-19,0.2198,3.4241,3.2043
2020-08-18,0.5241,3.6734,3.1493
2020-08-17,0.8029,3.8212,3.0183
2020-08-14,1.0908,3.9084,2.8176
2020-08-13,1.2998,3.8447,2.5449
2020-08-12,1.4438,3.6638,2.2199
2020-08-11,1.436,3.295,1.859
2020-08-10,1.4088,2.9088,1.5
2020-08-07,1.3988,2.5466,1.1478
2020-08-06,1.1331,1.9311,0.7981
2020-08-05,0.5121,1.0269,0.5148
2020-08-04,-0.202,0.1847,0.3868
2020-08-03,-0.2794,0.1578,0.4373
2020-07-31,-0.2902,0.2169,0.5071
2020-07-30,-0.3505,0.2291,0.5797
2020-07-29,-0.2956,0.3717,0.6673
2020-07-28,-0.1878,0.5534,0.7412
2020-07-27,-0.069,0.7192,0.7882
2020-07-24,0.1017,0.9071,0.8054
2020-07-23,0.2213,1.0014,0.78
2020-07-22,0.3305,1.0552,0.7247
2020-07-21,0.3739,1.0159,0.642
2020-07-20,0.4442,0.9927,0.5486
2020-07-17,0.5957,1.0332,0.4375
2020-07-16,0.6937,0.9823,0.2886
2020-07-15,0.7084,0.8236,0.1152
2020-07-14,0.5214,0.4594,-0.0619
2020-07-13,0.4082,0.216,-0.1923
2020-07-10,0.4449,0.1505,-0.2943
2020-07-09,0.1527,-0.2528,-0.4055
2020-07-08,-0.0627,-0.5064,-0.4437
2020-07-07,-0.3795,-0.8075,-0.428
2020-07-06,-0.5383,-0.8715,-0.3332
2020-07-02,-0.8233,-1.0219,-0.1986
2020-07-01,-0.9772,-0.97,0.0072
2020-06-30,-1.2256,-0.9741,0.2515
2020-06-29,-1.3704,-0.8124,0.5579
2020-06-26,-1.4958,-0.5953,0.9005
2020-06-25,-1.3376,-0.0631,1.2745
2020-06-24,-1.2219,0.387,1.6089
2020-06-23,-1.0309,0.8835,1.9144
2020-06-22,-1.1279,1.0442,2.1721
2020-06-19,-1.1517,1.3023,2.4541
2020-06-18,-0.9693,1.7727,2.742
2020-06-17,-1.0463,1.938,2.9843
2020-06-16,-1.0518,2.1941,3.2459
2020-06-15,-1.1003,2.4086,3.5088
2020-06-12,-0.9981,2.7858,3.7839
2020-06-11,-0.6448,3.3887,4.0334
2020-06-10,0.2044,4.399,4.1946
2020-06-09,0.5097,4.6533,4.1435
2020-06-08,0.7199,4.736,4.0161
2020-06-05,0.5913,4.4275,3.8361
2020-06-04,0.5315,4.2198,3.6883
2020-06-03,0.453,4.0084,3.5554
2020-06-02,0.3919,3.8341,3.4422
2020-06-01,0.5608,3.905,3.3442
2020-05-29,0.7328,3.9367,3.204
2020-05-28,1.0488,4.0696,3.0208
2020-05-27,1.4774,4.236,2.7586
2020-05-26,1.5108,3.9001,2.3892
2020-05-22,1.4621,3.4736,2.0115
2020-05-21,1.5312,3.1771,1.646
2020-05-20,1.5087,2.7718,1.2632
2020-05-19,1.1154,2.0014,0.886
