date,MFI
1999-11-19,71.0269
1999-11-22,71.1622
1999-11-23,71.1014
1999-11-24,70.6314
1999-11-26,80.464
1999-11-29,89.354
1999-11-30,82.2167
1999-12-01,76.1898
1999-12-02,69.439
1999-12-03,69.5475
1999-12-06,62.3529
1999-12-07,54.3293
1999-12-08,54.1654
1999-12-09,54.5296
1999-12-10,56.3624
1999-12-13,50.0349
1999-12-14,50.4388
1999-12-15,50.5494
1999-12-16,49.7923
1999-12-17,50.5559
1999-12-20,56.8176
1999-12-21,62.4931
1999-12-22,68.4448
1999-12-23,67.0183
1999-12-27,72.6677
1999-12-28,75.0062
1999-12-29,78.7448
1999-12-30,77.2578
1999-12-31,75.344
2000-01-03,84.4901
2000-01-04,85.8681
2000-01-05,87.3315
2000-01-06,85.3347
2000-01-07,78.2337
2000-01-10,83.3681
2000-01-11,85.1901
2000-01-12,77.1875
2000-01-13,77.8985
2000-01-14,72.7796
2000-01-18,75.8065
2000-01-19,78.4171
2000-01-20,74.5101
2000-01-21,70.6415
2000-01-24,70.7841
2000-01-25,73.5633
2000-01-26,66.2985
2000-01-27,70.8992
2000-01-28,70.1855
2000-01-31,60.0058
2000-02-01,51.0872
2000-02-02,59.2238
2000-02-03,60.1375
2000-02-04,60.619
2000-02-07,60.2797
2000-02-08,55.8095
2000-02-09,60.7002
2000-02-10,61.4773
2000-02-11,61.4496
2000-02-14,47.4982
2000-02-15,49.051
2000-02-16,46.2371
2000-02-17,47.6067
2000-02-18,48.354
2000-02-22,46.0904
2000-02-23,37.1434
2000-02-24,26.5152
2000-02-25,26.2826
2000-02-28,26.8097
2000-02-29,32.4125
2000-03-01,32.694
2000-03-02,39.07
2000-03-03,43.1621
2000-03-06,49.3248
2000-03-07,49.1394
2000-03-08,44.142
2000-03-09,48.9859
2000-03-10,48.7793
2000-03-13,52.1137
2000-03-14,53.4525
2000-03-15,60.6916
2000-03-16,68.5006
2000-03-17,69.0028
2000-03-20,72.6264
2000-03-21,74.3689
2000-03-22,76.1791
2000-03-23,75.1827
2000-03-24,75.2354
2000-03-27,75.7941
2000-03-28,81.1459
2000-03-29,76.5846
2000-03-30,77.0897
2000-03-31,81.2329
2000-04-03,85.4448
2000-04-04,79.4825
2000-04-05,74.5959
2000-04-06,73.6168
2000-04-07,70.0354
2000-04-10,66.8221
2000-04-11,64.108
2000-04-12,53.5322
2000-04-13,46.0955
2000-04-14,44.9659
2000-04-17,36.0138
2000-04-18,41.8299
2000-04-19,50.8472
2000-04-20,50.9663
2000-04-24,45.4356
2000-04-25,47.407
2000-04-26,54.7091
2000-04-27,49.298
2000-04-28,54.5803
2000-05-01,47.3124
