date,MACD,MACD_Hist,MACD_Signal
2021-02-11,1.6793,-0.43200000000000005,2.1113
2021-02-10,2.3558,0.0285,2.3273
2021-02-09,2.4824,0.1693,2.3131
2021-02-08,2.6589,0.4305,2.2284
2021-02-05,2.8074,0.7942,2.0132
2021-02-04,2.4194,0.8033,1.6161
2021-02-03,1.79,0.5755,1.2145
2021-02-02,1.3543,0.4276,0.9267
2021-02-01,0.7390000000000001,0.0261,0.7129
2021-01-29,1.1579,0.1538,1.0041
2021-01-28,1.1821,0.2164,0.9657
2021-01-27,0.986,0.0744,0.9116
2021-01-26,0.9148,0.0218,0.893
2021-01-25,0.8320000000000001,-0.0556,0.8876
2021-01-22,0.9962,0.0948,0.9015
2021-01-21,1.0652,0.1874,0.8778
2021-01-20,1.0328,0.2018,0.8309
2021-01-19,1.0151,0.2346,0.7805
2021-01-15,1.1702,0.4484,0.7218
2021-01-14,1.1058,0.4961,0.6097
2021-01-13,0.8832,0.3975,0.4857
2021-01-12,0.6158,0.2295,0.3863
2021-01-11,0.3919,0.063,0.3289
2021-01-08,0.0789,-0.2342,0.3132
2021-01-07,-0.1587,-0.5305,0.3718
2021-01-06,-0.2327,-0.7371,0.5044
2021-01-05,-0.2448,-0.9335,0.6886
2021-01-04,-0.1127,-1.0347,0.922
2020-12-31,0.3346,-0.8461,1.1807
2020-12-30,0.7275,-0.6647,1.3922
2020-12-29,0.975,-0.5834,1.5584
2020-12-28,1.3624,-0.3419,1.7042
2020-12-24,1.7504,-0.0393,1.7897
2020-12-23,1.8994,0.0999,1.7995
2020-12-22,1.8808,0.1062,1.7746
2020-12-21,1.9813,0.2333,1.7480000000000002
2020-12-18,1.9852,0.2955,1.6897
2020-12-17,1.9042,0.2884,1.6158
2020-12-16,1.6407,0.097,1.5437
2020-12-15,1.4232,-0.0963,1.5195
2020-12-14,1.4608,-0.0828,1.5436
2020-12-11,1.4794,-0.0849,1.5643
2020-12-10,1.5315,-0.054000000000000006,1.5855
2020-12-09,1.5737,-0.0253,1.599
2020-12-08,1.7238,0.1185,1.6053
2020-12-07,1.6959,0.1202,1.5756
2020-12-04,1.9328,0.3873,1.5456
2020-12-03,2.0728,0.624,1.4488
2020-12-02,2.1388,0.846,1.2928
2020-12-01,2.086,1.0048,1.0813
2020-11-30,2.0209,1.1908,0.8301
2020-11-27,1.7475,1.2152,0.5324
2020-11-25,1.3335,1.1049,0.2286
2020-11-24,1.0422,1.0899,-0.0477
2020-11-23,0.8935,1.2136,-0.3201
2020-11-20,0.6765,1.3,-0.6236
2020-11-19,0.3692,1.3178,-0.9486
2020-11-18,-0.1392,1.1388,-1.278
2020-11-17,-0.6192,0.9435,-1.5627
2020-11-16,-1.1139,0.6846,-1.7986
2020-11-13,-1.3341,0.6356,-1.9697
2020-11-12,-1.6069,0.5217,-2.1286
2020-11-11,-1.7698,0.4892,-2.259
2020-11-10,-1.9918,0.3896,-2.3813
2020-11-09,-2.1157,0.363,-2.4787
2020-11-06,-2.3593,0.2102,-2.5695
2020-11-05,-2.7192,-0.0972,-2.6221
2020-11-04,-3.2115,-0.6137,-2.5978
2020-11-03,-3.4295,-0.9852,-2.4443
2020-11-02,-3.4553,-1.2573,-2.198
2020-10-30,-3.2598,-1.3761,-1.8837
2020-10-29,-2.9303,-1.3906,-1.5397
2020-10-28,-2.6677,-1.4756,-1.192
2020-10-27,-2.3731,-1.5499,-0.8231
2020-10-26,-2.0185,-1.5829,-0.4356
2020-10-23,-1.6374,-1.5975,-0.0399
2020-10-22,-1.4378,-1.7972,0.3595
2020-10-21,-1.1885,-1.9972,0.8088
2020-10-20,-0.7003,-2.0084,1.3081
2020-10-19,-0.1718,-1.982,1.8102
2020-10-16,0.2964,-2.0093,2.3057
2020-10-15,0.9142,-1.8938,2.8080000000000003
2020-10-14,1.6222,-1.6592,3.2814
2020-10-13,2.2416,-1.4546,3.6962
2020-10-12,2.6311,-1.4288,4.0599
2020-10-09,3.1489,-1.2682,4.4171
2020-10-08,3.9453,-0.7888,4.7341
2020-10-07,4.6692,-0.2621,4.9314
2020-10-06,5.3013,0.3044,4.9969
2020-10-05,5.6796,0.7588,4.9208
2020-10-02,5.6960000000000015,0.9649,4.7311
2020-10-01,5.3053,0.8154,4.4899
2020-09-30,4.9279,0.6419,4.2860000000000005
2020-09-29,4.6789999999999985,0.5534,4.1256
2020-09-28,4.6089,0.6217,3.9872
2020-09-25,4.3353,0.5035,3.8318
2020-09-24,4.2997,0.5938,3.7059
2020-09-23,4.4585,0.901,3.5575
2020-09-22,4.6422,1.31,3.3322
2020-09-21,4.4202,1.4154,3.0047
2020-09-18,4.322,1.6711,2.6509
2020-09-17,3.7367,1.5036,2.2331
2020-09-16,3.1674,1.3102,1.8572
2020-09-15,2.6065,1.0768,1.5297
2020-09-14,2.1398,0.8793,1.2605
2020-09-11,1.4713,0.4306,1.0406
2020-09-10,1.3256,0.3926,0.933
2020-09-09,1.0104,0.1756,0.8348
2020-09-08,0.8134,0.0224,0.7909999999999999
2020-09-04,0.8931,0.1078,0.7854
2020-09-03,0.983,0.2246,0.7584
