date,1. open,2. high,3. low,4. close,5. volume
2021-01-22,12.81,12.86,12.79,12.84,468033.0
2021-01-21,12.73,12.765,12.72,12.745,747983.0
2021-01-20,12.82,12.82,12.72,12.76,1038900.0
2021-01-19,12.85,12.88,12.83,12.855,573878.0
2021-01-18,12.89,12.89,12.86,12.87,462100.0
2021-01-15,12.84,12.88,12.82,12.85,462704.0
2021-01-14,12.81,12.81,12.74,12.76,1230241.0
2021-01-13,12.86,12.86,12.79,12.82,938255.0
2021-01-12,12.89,12.895,12.83,12.835,762469.0
2021-01-11,12.94,12.95,12.88,12.9,797613.0
2021-01-08,12.78,12.86,12.78,12.815,812471.0
2021-01-07,12.84,12.85,12.79,12.795,762259.0
2021-01-06,12.84,12.84,12.78,12.79,846300.0
2021-01-05,12.88,12.88,12.77,12.8,1178800.0
2021-01-04,12.82,12.92,12.82,12.9,842500.0
2020-12-31,12.84,12.89,12.83,12.84,594900.0
2020-12-30,12.92,12.92,12.87,12.89,455600.0
2020-12-29,12.92,12.94,12.9,12.94,765900.0
2020-12-24,12.96,12.97,12.94,12.94,313000.0
2020-12-23,12.98,12.99,12.95,12.98,578800.0
2020-12-22,13.01,13.06,13.01,13.03,590400.0
2020-12-21,12.98,13.0,12.94,12.98,493600.0
2020-12-18,12.88,12.92,12.86,12.91,379900.0
2020-12-17,12.84,12.86,12.81,12.86,350700.0
2020-12-16,12.86,12.91,12.85,12.87,382800.0
2020-12-15,12.86,12.87,12.81,12.82,524600.0
2020-12-14,12.86,12.91,12.84,12.89,554600.0
2020-12-11,12.89,12.92,12.87,12.89,504800.0
2020-12-10,12.89,12.89,12.83,12.86,872400.0
2020-12-09,12.92,12.95,12.89,12.94,518300.0
2020-12-08,12.92,12.95,12.91,12.94,727600.0
2020-12-07,12.91,12.94,12.91,12.92,552100.0
2020-12-04,12.95,12.95,12.89,12.91,638700.0
2020-12-03,13.03,13.04,12.97,12.99,570000.0
2020-12-02,13.07,13.07,13.04,13.05,592900.0
2020-12-01,13.09,13.1,13.06,13.06,585500.0
2020-11-30,13.07,13.12,13.05,13.12,751300.0
2020-11-27,13.11,13.12,13.1,13.12,499900.0
2020-11-26,13.14,13.15,13.13,13.14,216300.0
2020-11-25,13.14,13.15,13.11,13.12,460900.0
2020-11-24,13.21,13.21,13.12,13.13,576200.0
2020-11-23,13.2,13.23,13.19,13.21,491900.0
2020-11-20,13.18,13.22,13.17,13.22,410500.0
2020-11-19,13.23,13.24,13.18,13.19,264700.0
2020-11-18,13.22,13.22,13.16,13.2,443700.0
2020-11-17,13.21,13.24,13.21,13.225,581846.0
2020-11-16,13.22,13.24,13.19,13.225,422546.0
2020-11-13,13.27,13.3,13.25,13.27,337500.0
2020-11-12,13.24,13.28,13.22,13.27,289500.0
2020-11-11,13.19,13.21,13.17,13.2,330500.0
2020-11-10,13.15,13.17,13.12,13.17,380300.0
2020-11-09,13.07,13.15,13.06,13.14,612600.0
2020-11-06,13.18,13.2,13.15,13.18,601000.0
2020-11-05,13.2,13.2,13.16,13.18,817000.0
2020-11-04,13.31,13.32,13.24,13.27,309900.0
2020-11-03,13.27,13.31,13.23,13.28,778300.0
2020-11-02,13.41,13.41,13.36,13.36,613600.0
2020-10-30,13.43,13.48,13.43,13.46,326400.0
2020-10-29,13.5,13.52,13.44,13.45,431800.0
2020-10-28,13.41,13.46,13.41,13.44,543000.0
2020-10-27,13.31,13.31,13.27,13.3,235700.0
2020-10-26,13.31,13.36,13.3,13.33,356500.0
2020-10-23,13.26,13.29,13.26,13.27,154900.0
2020-10-22,13.29,13.29,13.25,13.27,319500.0
2020-10-21,13.26,13.28,13.23,13.28,322600.0
2020-10-20,13.32,13.32,13.23,13.26,396100.0
2020-10-19,13.3,13.33,13.28,13.33,335800.0
