date,MACD,MACD_Signal,MACD_Hist
2021-01-29,0.6331,3.4295,-2.7964
2021-01-28,1.4529,4.1286,-2.6757
2021-01-27,2.3508,4.7975,-2.4468
2021-01-26,4.3739,5.4092,-1.0353
2021-01-25,5.8825,5.668,0.2145
2021-01-22,6.7766,5.6144,1.1622
2021-01-21,6.7246,5.3239,1.4008
2021-01-20,6.6837,4.9737,1.71
2021-01-19,6.3948,4.5462,1.8486
2021-01-15,5.8047,4.084,1.7207
2021-01-14,5.7093,3.6539,2.0555
2021-01-13,5.4058,3.14,2.2658
2021-01-12,4.3696,2.5736,1.7961
2021-01-11,2.2911,2.1245,0.1666
2021-01-08,1.8133,2.0829,-0.2696
2021-01-07,0.8126,2.1503,-1.3377
2021-01-06,0.0844,2.4847,-2.4003
2021-01-05,0.6995,3.0848,-2.3853
2021-01-04,1.0009,3.6811,-2.6803
2020-12-31,1.991,4.3512,-2.3602
2020-12-30,3.2371,4.9412,-1.7041
2020-12-29,4.4139,5.3673,-0.9534
2020-12-28,5.6217,5.6056,0.016
2020-12-24,6.9755,5.6016,1.3739
2020-12-23,7.0004,5.2581,1.7423
2020-12-22,7.02,4.8226,2.1975
2020-12-21,6.1742,4.2732,1.901
2020-12-18,5.3714,3.7979,1.5734
2020-12-17,4.9813,3.4046,1.5767
2020-12-16,3.8,3.0104,0.7895
2020-12-15,3.247,2.813,0.4339
2020-12-14,2.8381,2.7045,0.1335
2020-12-11,2.8216,2.6712,0.1504
2020-12-10,3.0488,2.6336,0.4152
2020-12-09,3.5896,2.5298,1.0599
2020-12-08,4.3927,2.2648,2.1279
2020-12-07,3.9436,1.7328,2.2108
2020-12-04,3.5472,1.1801,2.3671
2020-12-03,1.9002,0.5884,1.3119
2020-12-02,1.0137,0.2604,0.7533
2020-12-01,1.2225,0.0721,1.1504
2020-11-30,1.674,-0.2155,1.8895
2020-11-27,0.9867,-0.6879,1.6745
2020-11-25,0.1979,-1.1065,1.3044
2020-11-24,-0.5348,-1.4326,0.8979
2020-11-23,-0.7545,-1.6571,0.9026
2020-11-20,-1.0209,-1.8827,0.8618
2020-11-19,-1.7962,-2.0982,0.302
2020-11-18,-2.5671,-2.1737,-0.3934
2020-11-17,-2.966,-2.0753,-0.8907
2020-11-16,-3.1866,-1.8527,-1.3339
2020-11-13,-3.0369,-1.5192,-1.5177
2020-11-12,-2.5543,-1.1398,-1.4146
2020-11-11,-2.6057,-0.7861,-1.8196
2020-11-10,-2.2191,-0.3312,-1.8879
2020-11-09,-0.6507,0.1407,-0.7914
2020-11-06,1.4329,0.3386,1.0943
2020-11-05,0.6006,0.065,0.5356
2020-11-04,-0.9878,-0.0689,-0.9189
2020-11-03,-2.8216,0.1609,-2.9824
2020-11-02,-2.4148,0.9065,-3.3213
2020-10-30,-1.1609,1.7368,-2.8977
2020-10-29,0.3861,2.4612,-2.0752
2020-10-28,1.1942,2.98,-1.7858
2020-10-27,1.74,3.4265,-1.6864
2020-10-26,2.0107,3.8481,-1.8374
2020-10-23,2.5321,4.3074,-1.7753
2020-10-22,3.1964,4.7512,-1.5549
2020-10-21,4.5089,5.14,-0.6311
2020-10-20,5.7805,5.2977,0.4828
2020-10-19,6.3339,5.177,1.1569
2020-10-16,6.886,4.8878,1.9982
2020-10-15,6.8602,4.3883,2.4719
2020-10-14,6.1319,3.7703,2.3616
2020-10-13,5.4541,3.1799,2.2743
2020-10-12,4.3968,2.6113,1.7855
2020-10-09,3.6298,2.165,1.4649
2020-10-08,3.2355,1.7987,1.4367
2020-10-07,3.2156,1.4395,1.776
2020-10-06,2.7707,0.9955,1.7752
2020-10-05,2.4528,0.5518,1.901
2020-10-02,1.5308,0.0765,1.4543
2020-10-01,1.1105,-0.2871,1.3976
2020-09-30,0.1518,-0.6365,0.7883
2020-09-29,-0.3594,-0.8335,0.4742
2020-09-28,-0.7713,-0.9521,0.1807
2020-09-25,-1.3175,-0.9973,-0.3203
2020-09-24,-1.9059,-0.9172,-0.9887
2020-09-23,-1.7627,-0.67,-1.0927
2020-09-22,-2.3352,-0.3968,-1.9384
2020-09-21,-3.0941,0.0878,-3.1818
2020-09-18,-3.2937,0.8832,-4.1769
2020-09-17,-2.4662,1.9274,-4.3937
2020-09-16,-1.2244,3.0259,-4.2503
2020-09-15,0.0098,4.0884,-4.0787
2020-09-14,1.0748,5.1081,-4.0333
2020-09-11,2.3238,6.1164,-3.7926
2020-09-10,4.3943,7.0646,-2.6702
2020-09-09,6.1576,7.7321,-1.5745
2020-09-08,7.724,8.1258,-0.4018
2020-09-04,10.2381,8.2262,2.0119
2020-09-03,12.2158,7.7233,4.4925
2020-09-02,11.9405,6.6001,5.3404
2020-09-01,9.0585,5.265,3.7934
2020-08-31,4.8775,4.3167,0.5608
2020-08-28,4.1334,4.1765,-0.0431
2020-08-27,3.9136,4.1873,-0.2737
2020-08-26,3.624,4.2557,-0.6317
2020-08-25,3.2383,4.4136,-1.1753
2020-08-24,3.6479,4.7074,-1.0595
2020-08-21,4.1787,4.9723,-0.7935
2020-08-20,4.2161,5.1707,-0.9545
2020-08-19,3.7647,5.4093,-1.6446
2020-08-18,3.7722,5.8204,-2.0483
2020-08-17,3.5985,6.3325,-2.734
2020-08-14,3.5048,7.016,-3.5113
2020-08-13,4.1476,7.8938,-3.7462
2020-08-12,4.9415,8.8304,-3.8889
2020-08-11,6.5018,9.8026,-3.3008
2020-08-10,8.5496,10.6278,-2.0783
2020-08-07,10.3709,11.1474,-0.7765
2020-08-06,11.8952,11.3415,0.5537
2020-08-05,12.5559,11.2031,1.3528
2020-08-04,12.1637,10.8649,1.2988
2020-08-03,11.3172,10.5402,0.777
2020-07-31,10.2146,10.346,-0.1313
2020-07-30,9.621,10.3788,-0.7578
2020-07-29,9.0176,10.5682,-1.5506
2020-07-28,8.604,10.9559,-2.3519
2020-07-27,9.2156,11.5438,-2.3283
2020-07-24,9.9089,12.1259,-2.217
2020-07-23,11.1914,12.6802,-1.4887
2020-07-22,11.8979,13.0524,-1.1545
2020-07-21,12.0675,13.341,-1.2735
2020-07-20,12.4089,13.6593,-1.2505
2020-07-17,12.5663,13.972,-1.4056
2020-07-16,13.1527,14.3234,-1.1707
2020-07-15,14.1873,14.616,-0.4288
2020-07-14,15.1884,14.7232,0.4652
2020-07-13,15.8788,14.6069,1.2718
2020-07-10,17.1816,14.289,2.8926
2020-07-09,16.5491,13.5658,2.9832
2020-07-08,15.2658,12.82,2.4458
2020-07-07,14.0239,12.2086,1.8153
2020-07-06,13.1104,11.7548,1.3556
2020-07-02,12.4756,11.4159,1.0597
2020-07-01,11.4503,11.1509,0.2994
2020-06-30,11.2001,11.0761,0.124
2020-06-29,11.405,11.0451,0.3599
2020-06-26,11.5556,10.9551,0.6005
2020-06-25,10.978,10.805,0.1731
2020-06-24,11.0159,10.7617,0.2542
2020-06-23,11.3611,10.6982,0.6629
2020-06-22,11.3422,10.5324,0.8098
2020-06-19,11.0004,10.33,0.6704
2020-06-18,11.1047,10.1624,0.9423
2020-06-17,10.9866,9.9268,1.0598
2020-06-16,10.7362,9.6619,1.0743
2020-06-15,10.1239,9.3933,0.7307
2020-06-12,9.2319,9.2106,0.0213
