date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,170.58,179.44,170.58,172.54,2188756.0
2020-04-30,176.66,179.86,174.6,176.4,2442240.0
2020-04-29,171.38,178.62,171.11,176.86,2431072.0
2020-04-28,168.71,170.73,167.81,168.92,1923096.0
2020-04-27,167.73,168.14,163.4825,165.3,2083872.0
2020-04-24,163.33,168.0,162.41,166.31,1278622.0
2020-04-23,164.97,168.91,162.53,162.75,1976417.0
2020-04-22,163.89,167.255,163.53,165.98,1190419.0
2020-04-21,165.01,166.6,160.86,161.11,1247592.0
2020-04-20,171.94,172.97,166.62,167.79,1805618.0
2020-04-17,167.15,175.05,166.32,174.26,4430929.0
2020-04-16,158.41,162.37,156.31,161.87,3303617.0
2020-04-15,160.0,162.99,156.74,157.79,2103813.0
2020-04-14,166.08,167.33,162.63,165.0,3991366.0
2020-04-13,164.13,164.13,159.72,162.22,1935301.0
2020-04-09,167.98,169.24,163.79,164.83,2976764.0
2020-04-08,163.55,166.75900000000001,162.13,165.73,1748216.0
2020-04-07,165.34,166.64,162.34,163.17,1827095.0
2020-04-06,158.32,162.0,157.03,160.5,1792937.0
2020-04-03,148.57,154.39,147.16,154.08,1589429.0
2020-04-02,151.81,155.12,147.3405,149.21,1888676.0
2020-04-01,153.03,155.53,151.06,153.38,1822212.0
2020-03-31,163.55,163.62,158.49,159.34,2209229.0
2020-03-30,160.38,167.915,160.1301,165.23,1889960.0
2020-03-27,167.48,168.79,159.065,160.68,1882067.0
2020-03-26,169.6,176.48,166.17,172.98,2553735.0
2020-03-25,158.89,174.82,156.645,167.76,2987989.0
2020-03-24,151.08,159.7259,147.27,157.83,2702887.0
2020-03-23,149.78,151.97,140.32,144.38,2868216.0
2020-03-20,158.55,159.25,148.97,151.0,3681088.0
2020-03-19,150.53,163.09,139.84,156.51,4292343.0
2020-03-18,143.18,157.0,137.0114,156.24,4212589.0
2020-03-17,151.41,159.45,140.94,153.74,3612597.0
2020-03-16,150.5,156.49,146.98,148.98,3512082.0
2020-03-13,165.29,172.55,157.11,172.22,2861036.0
2020-03-12,159.8,166.68,152.474,157.35,3957940.0
2020-03-11,182.51,184.55,169.56,172.51,3040420.0
2020-03-10,182.87,187.69,177.51,187.38,2340254.0
2020-03-09,179.4,182.3556,174.93,177.9,3035882.0
2020-03-06,184.45,193.12,183.28,191.95,2384627.0
2020-03-05,189.17,193.14,187.45,189.62,2850751.0
2020-03-04,192.28,193.62,186.82,193.4,2815575.0
2020-03-03,192.63,195.64,186.83,188.39,3149869.0
2020-03-02,185.02,193.78,182.62,193.33,3350079.0
2020-02-28,176.77,183.73,176.44,183.6,4077001.0
2020-02-27,185.08,188.74,182.24,182.28,4175516.0
2020-02-26,194.0,196.03,189.149,189.29,2982451.0
2020-02-25,199.56,201.22,190.72,191.43,2767779.0
2020-02-24,199.56,203.9,198.31,198.78,2493784.0
2020-02-21,209.96,210.63,208.67,209.27,1708985.0
2020-02-20,212.64,213.855,208.88,211.32,2379909.0
2020-02-19,212.5,213.48,210.42,213.12,1768523.0
2020-02-18,214.84,214.88,211.18,211.44,2122617.0
2020-02-14,215.47,215.61,213.82,215.01,1442848.0
2020-02-13,213.74,216.18,212.97,214.89,1818690.0
2020-02-12,211.36,215.01,211.16,214.79,2141084.0
2020-02-11,210.42,211.35,209.035,209.82,1468724.0
2020-02-10,207.57,209.04,205.94,208.68,1689931.0
2020-02-07,209.87,210.0,204.64,208.96,3386194.0
2020-02-06,210.98,213.4471,205.11,211.53,4054987.0
2020-02-05,203.6,204.25,200.55,201.32,2293799.0
2020-02-04,199.4,202.22,198.46,200.42,2252161.0
2020-02-03,195.68,199.31,195.04,196.2,2301554.0
2020-01-31,197.6,198.79,194.665,195.16,1620571.0
2020-01-30,197.68,198.99,195.13,198.67,1497600.0
2020-01-29,198.66,200.31,197.95,198.73,1446071.0
2020-01-28,197.96,199.13,195.1,197.11,2035473.0
2020-01-27,192.01,198.24,191.07,196.99,4042606.0
2020-01-24,209.0,209.5919,204.33,205.34,2420791.0
2020-01-23,209.09,211.58,206.71,208.87,2781189.0
2020-01-22,216.26,217.62,211.53,212.64,2528575.0
2020-01-21,215.41,217.93,212.73,217.73,2104105.0
2020-01-17,219.06,220.42,218.3955,219.88,1146998.0
2020-01-16,218.49,219.29,217.2,217.94,1623763.0
2020-01-15,216.0,219.11,216.0,218.49,1696524.0
2020-01-14,213.75,216.58,213.2668,215.7,1434478.0
2020-01-13,211.62,213.53,210.4474,213.47,1235492.0
2020-01-10,212.13,212.13,210.235,211.62,1212786.0
2020-01-09,209.04,212.02,207.11,211.96,1277129.0
2020-01-08,207.48,209.39,206.0,207.72,1614311.0
2020-01-07,206.01,207.21,205.18,206.05,1187872.0
2020-01-06,203.81,207.5,203.45,207.36,2428550.0
2020-01-03,204.53,206.55,203.73,204.7,1076166.0
2020-01-02,206.54,207.8588,205.81,206.26,1138679.0
2019-12-31,205.7,207.11,205.59,206.54,541536.0
2019-12-30,207.93,208.33,205.96,206.4,680616.0
2019-12-27,207.62,208.26,206.82,207.95,494995.0
2019-12-26,206.0,207.5619,205.635,207.24,1092590.0
2019-12-24,205.88,206.26,205.25,205.45,327832.0
2019-12-23,207.47,207.47,205.36,205.97,1240220.0
2019-12-20,204.58,207.98,204.58,206.86,3176839.0
2019-12-19,204.71,205.92,203.59,204.29,1213564.0
2019-12-18,203.17,204.83,202.93,203.94,1223054.0
2019-12-17,202.75,202.82,198.4741,202.43,1900983.0
2019-12-16,204.77,205.73,202.8,204.03,1272966.0
2019-12-13,201.0,203.76,199.68,203.21,1017761.0
2019-12-12,198.55,200.92,198.27,200.62,1114187.0
2019-12-11,198.5,200.65,197.99,198.56,1139181.0
2019-12-10,198.09,198.27,196.195,197.92,1755419.0
2019-12-09,198.72,199.705,196.85,198.7,1140715.0
2019-12-06,198.56,198.88,196.88,197.92,784101.0
2019-12-05,197.93,198.5,195.15,196.3,2172864.0
2019-12-04,194.85,198.265,193.83,197.87,1688107.0
2019-12-03,194.29,194.66,192.17,193.83,1495214.0
2019-12-02,195.06,195.82,193.835,195.59,1178366.0
2019-11-29,194.82,196.36,194.12,195.47,631398.0
2019-11-27,195.37,196.43,194.49,195.96,1500185.0
2019-11-26,195.43,196.45,193.9,195.42,1762779.0
2019-11-25,193.9,195.0,192.39,194.7,1115152.0
