date,MFI
1999-11-19,36.3323
1999-11-22,43.0283
1999-11-23,46.7404
1999-11-24,51.7243
1999-11-26,49.5243
1999-11-29,54.3459
1999-11-30,55.6421
1999-12-01,58.0737
1999-12-02,51.07
1999-12-03,50.9095
1999-12-06,54.0209
1999-12-07,55.9434
1999-12-08,62.2363
1999-12-09,58.6314
1999-12-10,54.3196
1999-12-13,47.0866
1999-12-14,48.565
1999-12-15,49.6796
1999-12-16,54.4106
1999-12-17,53.9318
1999-12-20,55.4663
1999-12-21,62.7965
1999-12-22,72.746
1999-12-23,74.1891
1999-12-27,81.7053
1999-12-28,89.8429
1999-12-29,84.829
1999-12-30,85.0184
1999-12-31,81.1055
2000-01-03,73.2107
2000-01-04,64.8358
2000-01-05,56.0829
2000-01-06,56.2174
2000-01-07,56.4738
2000-01-10,62.2633
2000-01-11,54.0463
2000-01-12,45.1226
2000-01-13,43.6684
2000-01-14,47.4684
2000-01-18,51.3605
2000-01-19,56.45
2000-01-20,58.0755
2000-01-21,62.8772
2000-01-24,73.6457
2000-01-25,74.0185
2000-01-26,80.0029
2000-01-27,72.8737
2000-01-28,65.5492
2000-01-31,55.4278
2000-02-01,62.2177
2000-02-02,68.4822
2000-02-03,68.1857
2000-02-04,64.4334
2000-02-07,57.687
2000-02-08,50.6443
2000-02-09,50.0304
2000-02-10,41.4493
2000-02-11,31.7638
2000-02-14,32.5482
2000-02-15,30.6994
2000-02-16,35.0399
2000-02-17,41.7052
2000-02-18,53.117
2000-02-22,44.59
2000-02-23,41.4648
2000-02-24,34.5024
2000-02-25,33.6562
2000-02-28,30.0862
2000-02-29,29.569
2000-03-01,34.4383
2000-03-02,44.1417
2000-03-03,51.6722
2000-03-06,49.9836
2000-03-07,39.3565
2000-03-08,45.5281
2000-03-09,45.1544
2000-03-10,38.4603
2000-03-13,37.4568
2000-03-14,39.2716
2000-03-15,44.7658
2000-03-16,49.3497
2000-03-17,53.0117
2000-03-20,54.2342
2000-03-21,52.038
2000-03-22,54.7527
2000-03-23,56.5916
2000-03-24,56.4795
2000-03-27,60.5981
2000-03-28,61.4734
2000-03-29,64.3715
2000-03-30,73.3879
2000-03-31,80.0544
2000-04-03,75.2529
2000-04-04,68.3387
2000-04-05,69.6775
2000-04-06,66.0435
2000-04-07,70.7543
2000-04-10,70.6602
2000-04-11,60.6664
2000-04-12,52.2605
2000-04-13,56.7546
2000-04-14,55.9196
2000-04-17,44.9173
2000-04-18,38.0958
2000-04-19,31.8837
2000-04-20,25.5974
2000-04-24,25.7768
2000-04-25,25.315
2000-04-26,15.9163
2000-04-27,16.0616
2000-04-28,16.7375
2000-05-01,15.8597
2000-05-02,22.3872
2000-05-03,23.8154
2000-05-04,17.4646
2000-05-05,17.9156
2000-05-08,23.6142
2000-05-09,31.9502
2000-05-10,38.9502
2000-05-11,41.409
2000-05-12,41.6102
2000-05-15,49.8575
2000-05-16,59.9049
2000-05-17,70.5775
2000-05-18,70.5199
2000-05-19,60.8726
2000-05-22,53.2507
2000-05-23,52.3424
2000-05-24,51.3251
2000-05-25,62.0177
2000-05-26,39.9269
2000-05-30,41.3003
2000-05-31,44.0093
2000-06-01,44.3126
2000-06-02,50.0301
2000-06-05,44.8404
2000-06-06,40.5742
2000-06-07,37.1054
2000-06-08,33.5659
2000-06-09,37.5582
2000-06-12,42.9255
2000-06-13,43.9633
2000-06-14,47.7083
2000-06-15,41.3751
2000-06-16,57.3785
2000-06-19,50.8857
2000-06-20,42.3964
2000-06-21,40.6845
2000-06-22,30.0645
2000-06-23,38.6939
2000-06-26,42.8736
2000-06-27,53.812
2000-06-28,60.274
2000-06-29,59.3223
2000-06-30,58.7437
2000-07-03,59.8703
2000-07-05,51.1386
2000-07-06,53.4971
2000-07-07,53.2484
2000-07-10,53.3677
2000-07-11,49.0197
2000-07-12,40.7607
2000-07-13,35.7313
2000-07-14,39.3125
2000-07-17,37.6798
2000-07-18,34.7306
2000-07-19,30.5349
2000-07-20,26.3679
2000-07-21,22.3504
2000-07-24,22.6355
2000-07-25,28.0959
2000-07-26,31.7499
2000-07-27,32.4553
2000-07-28,33.1026
2000-07-31,35.2213
2000-08-01,44.0228
2000-08-02,57.9946
2000-08-03,46.8214
2000-08-04,50.8463
2000-08-07,43.6239
2000-08-08,42.8112
2000-08-09,56.5514
2000-08-10,59.1626
2000-08-11,55.8418
2000-08-14,55.9266
2000-08-15,50.2446
2000-08-16,38.5819
2000-08-17,47.7019
2000-08-18,46.7013
2000-08-21,40.6487
2000-08-22,40.968
2000-08-23,39.5287
2000-08-24,38.5551
2000-08-25,37.366
2000-08-28,42.2121
2000-08-29,34.1849
2000-08-30,26.8271
2000-08-31,27.4167
2000-09-01,27.1838
2000-09-05,30.9011
2000-09-06,36.8848
2000-09-07,28.2815
2000-09-08,29.8934
2000-09-11,36.4837
2000-09-12,35.4134
2000-09-13,36.3262
2000-09-14,29.1496
2000-09-15,25.3348
2000-09-18,18.4462
2000-09-19,16.6293
2000-09-20,13.1084
2000-09-21,11.8712
2000-09-22,23.7962
2000-09-25,27.7845
2000-09-26,27.155
2000-09-27,24.2207
2000-09-28,29.7995
2000-09-29,27.6984
2000-10-02,25.2257
2000-10-03,24.9339
2000-10-04,29.5536
2000-10-05,38.6787
2000-10-06,38.8497
2000-10-09,41.0387
2000-10-10,46.8788
2000-10-11,45.5562
2000-10-12,31.437
2000-10-13,23.6747
2000-10-16,31.2376
2000-10-17,32.5947
2000-10-18,23.154
2000-10-19,38.1456
2000-10-20,43.2718
2000-10-23,43.7452
2000-10-24,46.3831
2000-10-25,45.1205
2000-10-26,48.757
2000-10-27,52.0817
2000-10-30,56.3083
2000-10-31,66.3293
2000-11-01,76.1008
2000-11-02,78.8873
2000-11-03,74.339
2000-11-06,78.0592
2000-11-07,81.9741
2000-11-08,77.3771
2000-11-09,69.2039
2000-11-10,68.2227
2000-11-13,59.5937
2000-11-14,49.701
2000-11-15,49.9025
2000-11-16,45.0278
2000-11-17,45.0767
2000-11-20,36.2032
2000-11-21,22.8285
2000-11-22,22.5159
2000-11-24,23.4343
2000-11-27,18.6031
2000-11-28,19.5059
2000-11-29,14.3468
2000-11-30,21.5987
2000-12-01,29.7426
2000-12-04,37.1644
2000-12-05,38.296
2000-12-06,31.1947
2000-12-07,37.8066
2000-12-08,35.304
2000-12-11,34.9027
2000-12-12,34.3919
2000-12-13,42.0787
2000-12-14,39.1448
2000-12-15,38.789
2000-12-18,45.4867
2000-12-19,52.8315
2000-12-20,41.8206
2000-12-21,26.854
2000-12-22,20.8119
2000-12-26,25.0048
2000-12-27,28.1317
2000-12-28,27.6227
2000-12-29,31.8292
2001-01-02,31.9287
2001-01-03,30.8667
2001-01-04,25.8639
2001-01-05,25.0512
2001-01-08,35.768
2001-01-09,37.6829
2001-01-10,33.9288
2001-01-11,35.666
2001-01-12,43.4722
2001-01-16,46.3693
2001-01-17,39.4985
2001-01-18,42.6006
2001-01-19,38.2744
2001-01-22,29.7435
2001-01-23,37.3123
2001-01-24,44.9612
2001-01-25,51.9331
2001-01-26,56.6944
2001-01-29,46.2973
2001-01-30,32.9749
2001-01-31,30.3305
2001-02-01,37.4539
2001-02-02,41.9228
2001-02-05,41.3429
2001-02-06,48.5122
2001-02-07,41.3807
2001-02-08,47.6568
2001-02-09,53.6788
2001-02-12,47.9378
2001-02-13,42.9258
2001-02-14,35.1312
2001-02-15,37.5864
2001-02-16,41.2572
2001-02-20,52.5402
2001-02-21,60.3905
2001-02-22,51.5248
2001-02-23,42.8604
2001-02-26,49.3428
2001-02-27,41.9117
2001-02-28,50.0966
2001-03-01,44.5912
2001-03-02,43.6889
2001-03-05,47.969
2001-03-06,56.2871
2001-03-07,69.5625
2001-03-08,69.4227
2001-03-09,62.0096
2001-03-12,56.3636
2001-03-13,56.5804
2001-03-14,57.9865
2001-03-15,56.6487
2001-03-16,49.1087
2001-03-19,48.3644
2001-03-20,49.5848
2001-03-21,38.2828
2001-03-22,31.9563
2001-03-23,35.6608
2001-03-26,25.9138
2001-03-27,33.0005
2001-03-28,36.9589
2001-03-29,42.0705
2001-03-30,48.247
2001-04-02,51.8849
2001-04-03,50.8871
2001-04-04,58.0906
2001-04-05,62.4108
2001-04-06,62.943
2001-04-09,62.021
2001-04-10,73.5462
2001-04-11,75.0206
2001-04-12,74.0321
2001-04-16,82.7288
2001-04-17,70.7219
2001-04-18,68.8406
2001-04-19,71.4662
2001-04-20,69.6608
2001-04-23,61.3316
2001-04-24,71.3729
2001-04-25,71.5753
2001-04-26,73.7015
2001-04-27,77.5259
2001-04-30,78.3077
2001-05-01,78.5242
2001-05-02,84.1913
2001-05-03,80.1251
2001-05-04,77.9773
2001-05-07,81.8294
2001-05-08,73.9704
2001-05-09,71.0959
2001-05-10,64.4744
2001-05-11,72.4092
2001-05-14,69.0768
2001-05-15,62.3537
2001-05-16,57.5493
2001-05-17,61.5017
2001-05-18,52.9434
2001-05-21,53.315
2001-05-22,53.5586
2001-05-23,60.4483
2001-05-24,57.0623
2001-05-25,61.1938
2001-05-29,64.1677
2001-05-30,58.7662
2001-05-31,57.4089
