date,MACD,MACD_Signal,MACD_Hist
2021-01-22,0.8988,0.7966,0.1022
2021-01-21,0.9397,0.7711,0.1686
2021-01-20,0.9619,0.7289,0.2329
2021-01-19,0.91,0.6707,0.2393
2021-01-18,0.853,0.6109,0.2422
2021-01-15,0.8361,0.5503,0.2858
2021-01-14,0.7209,0.4789,0.242
2021-01-13,0.5491,0.4184,0.1307
2021-01-12,0.4308,0.3857,0.0451
2021-01-11,0.3743,0.3745,-0.0002
2021-01-08,0.3466,0.3745,-0.0279
2021-01-07,0.3155,0.3815,-0.066
2021-01-06,0.2334,0.39799999999999996,-0.1645
2021-01-05,0.2251,0.4391,-0.214
2021-01-04,0.1572,0.4926,-0.3354
2020-12-31,0.2159,0.5765,-0.3605
2020-12-30,0.302,0.6666,-0.3646
2020-12-29,0.3962,0.7578,-0.3616
2020-12-24,0.5127,0.8481,-0.3354
2020-12-23,0.6082,0.932,-0.3238
2020-12-22,0.7182,1.0129,-0.2947
2020-12-21,0.8532,1.0866,-0.2334
2020-12-18,0.9806,1.145,-0.1644
2020-12-17,1.0901,1.1861,-0.0959
2020-12-16,1.1887,1.2101,-0.0214
2020-12-15,1.2737,1.2154,0.0583
2020-12-14,1.3261,1.2008,0.1253
2020-12-11,1.3991,1.1695,0.2296
2020-12-10,1.3681,1.1121,0.256
2020-12-09,1.3086,1.0481,0.2605
2020-12-08,1.2676,0.983,0.2847
2020-12-07,1.2193,0.9118,0.3075
2020-12-04,1.1602,0.8349,0.3253
2020-12-03,1.0638,0.7536,0.3102
2020-12-02,0.9793,0.6759999999999999,0.3033
2020-12-01,0.9132,0.6002,0.313
2020-11-30,0.9214,0.522,0.3994
2020-11-27,0.9144,0.4221,0.4923
2020-11-26,0.7771,0.2991,0.4781
2020-11-25,0.6385,0.1795,0.4589
2020-11-24,0.44299999999999995,0.0648,0.3782
2020-11-23,0.2452,-0.0297,0.275
2020-11-20,0.1479,-0.0985,0.2464
2020-11-19,0.1102,-0.1601,0.2703
2020-11-18,0.085,-0.2277,0.3126
2020-11-17,0.0494,-0.3058,0.3552
2020-11-16,-0.0792,-0.3947,0.3155
2020-11-13,-0.1505,-0.4735,0.3231
2020-11-12,-0.1762,-0.5543,0.3781
2020-11-11,-0.2675,-0.6488,0.3813
2020-11-10,-0.4861,-0.7442,0.2581
2020-11-09,-0.74,-0.8087,0.0687
2020-11-06,-0.8718,-0.8259,-0.046
2020-11-05,-0.8269,-0.8144,-0.0126
2020-11-04,-0.8872,-0.8112,-0.076
2020-11-03,-0.8945,-0.7922,-0.1023
2020-11-02,-0.8817,-0.7666,-0.1151
2020-10-30,-0.8476,-0.7379,-0.1097
2020-10-29,-0.8216,-0.7104,-0.1112
2020-10-28,-0.7756,-0.6826,-0.09300000000000001
2020-10-27,-0.7035,-0.6594,-0.0441
2020-10-26,-0.6632,-0.6484,-0.0148
2020-10-23,-0.6339,-0.6447,0.0107
2020-10-22,-0.6243,-0.6473,0.023
2020-10-21,-0.6618,-0.6531,-0.0087
2020-10-20,-0.6451,-0.6509,0.0058
2020-10-19,-0.6284,-0.6524,0.024
2020-10-16,-0.6119,-0.6584,0.0465
2020-10-15,-0.6369,-0.67,0.0332
2020-10-14,-0.6365,-0.6783,0.0418
2020-10-13,-0.6337,-0.6888,0.0551
2020-10-09,-0.6469,-0.7025,0.0556
2020-10-08,-0.6793,-0.7164,0.0372
