date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,267.27,271.93,263.79,271.6,517310.0
2021-02-10,259.48,267.69,257.78,267.69,605612.0
2021-02-09,259.75,261.67,256.39,259.33,365765.0
2021-02-08,258.05,263.31,256.5,260.57,751145.0
2021-02-05,258.64,260.08,252.0,258.1,673216.0
2021-02-04,247.37,255.24,246.29,252.53,651952.0
2021-02-03,242.13,249.34,240.19,248.19,517162.0
2021-02-02,242.88,245.61,241.11,244.19,330206.0
2021-02-01,240.63,242.29,236.19,242.07,366273.0
2021-01-29,242.5,245.12,237.705,239.61,667279.0
2021-01-28,240.23,246.5299,238.5469,243.37,395037.0
2021-01-27,242.07,243.27,235.75,239.19,465243.0
2021-01-26,242.8,245.23,241.93,243.77,361353.0
2021-01-25,242.54,245.79,241.19,242.62,385260.0
2021-01-22,244.51,244.995,242.4,243.45,366321.0
2021-01-21,242.62,246.37,239.855,245.2,476306.0
2021-01-20,237.18,245.56,235.6879,244.79,641913.0
2021-01-19,241.97,241.97,235.72,237.18,339078.0
2021-01-15,236.5,242.3,235.19,240.52,522072.0
2021-01-14,237.5,239.55,235.58,237.08,312294.0
2021-01-13,232.1,236.86,232.1,236.34,219555.0
2021-01-12,231.45,233.7,228.91,232.42,304230.0
2021-01-11,233.3,234.095,229.56,231.28,287988.0
2021-01-08,231.63,234.58,230.87,233.89,215571.0
2021-01-07,235.57,235.57,230.42,231.5,476406.0
2021-01-06,228.11,237.39,227.88,236.67,623216.0
2021-01-05,228.83,231.135,226.79,227.22,677351.0
2021-01-04,237.25,239.3,228.1,228.25,569061.0
2020-12-31,236.82,237.91,232.92,237.42,316932.0
2020-12-30,235.49,238.87,235.49,238.35,290689.0
2020-12-29,238.32,239.99,234.76,234.84,224598.0
2020-12-28,234.99,238.65,233.775,238.32,213034.0
2020-12-24,232.09,234.51,231.04,234.25,106669.0
2020-12-23,236.51,237.8899,231.24,231.24,360316.0
2020-12-22,234.25,236.19,232.98,234.73,383142.0
2020-12-21,231.26,234.67,230.0,233.83,498697.0
2020-12-18,242.2,242.43,232.95,234.37,1042799.0
2020-12-17,242.7,243.65,237.86,241.85,483058.0
2020-12-16,243.0,246.0,240.09,240.53,413958.0
2020-12-15,239.44,242.49,237.82,242.47,657229.0
2020-12-14,246.5,248.42,240.0,240.26,451699.0
2020-12-11,243.35,245.79,241.38,243.94,450102.0
2020-12-10,248.86,252.52,244.835,245.41,341759.0
2020-12-09,252.98,254.74,246.72,250.18,396377.0
2020-12-08,251.52,255.64,251.28,252.49,392540.0
2020-12-07,250.81,253.535,250.5,253.0,504855.0
2020-12-04,251.24,253.94,250.88,252.73,614613.0
2020-12-03,250.3,252.89,248.07,248.85,616312.0
2020-12-02,246.21,251.865,245.6,248.7,408980.0
2020-12-01,250.33,251.11,246.2,246.54,447596.0
2020-11-30,248.94,249.98,243.06,245.88,1302912.0
2020-11-27,254.14,255.1956,248.19,250.01,160972.0
2020-11-25,257.53,257.69,252.98,254.4,332514.0
2020-11-24,256.83,259.21,254.97,257.53,516431.0
2020-11-23,255.91,257.32,251.905,252.47,487681.0
2020-11-20,254.79,256.45,251.94,254.1,439074.0
2020-11-19,252.46,256.01,248.3,254.15,718984.0
2020-11-18,260.3,261.32,253.22,254.2,563101.0
2020-11-17,260.03,264.25,258.21,260.0,536851.0
2020-11-16,263.66,264.9,256.52,262.95,417236.0
2020-11-13,249.02,256.08,247.53,254.91,435782.0
2020-11-12,251.4,251.4,243.47,247.18,771143.0
2020-11-11,259.57,259.57,246.08,246.75,716505.0
2020-11-10,254.51,265.135,254.32,258.94,929992.0
2020-11-09,246.94,276.14,246.94,254.45,1270442.0
2020-11-06,226.49,229.8,223.87,227.16,549652.0
2020-11-05,226.88,228.59,223.04,226.13,565718.0
2020-11-04,224.86,227.47,219.43,225.5,701755.0
2020-11-03,219.22,225.715,219.0137,224.03,679070.0
2020-11-02,205.97,217.31,204.18,217.0,934764.0
2020-10-30,196.91,205.85,196.91,204.59,1194180.0
2020-10-29,189.34,200.66,188.85,197.58,1020330.0
2020-10-28,192.0,192.92,186.3,186.32,790521.0
2020-10-27,199.02,200.96,195.28,195.34,333365.0
2020-10-26,202.18,203.025,197.09,199.02,425187.0
2020-10-23,204.18,205.18,203.04,203.23,326081.0
2020-10-22,200.47,203.98,200.47,202.52,311674.0
2020-10-21,198.69,201.04,198.37,199.93,496260.0
2020-10-20,200.91,202.075,199.65,199.85,342456.0
2020-10-19,202.93,203.3,198.66,199.06,389464.0
2020-10-16,204.35,204.88,200.24,202.04,401298.0
2020-10-15,205.41,207.73,204.57,204.69,304587.0
2020-10-14,210.63,210.63,205.35,206.89,341958.0
2020-10-13,213.96,218.29,208.742,209.49,413281.0
2020-10-12,215.56,217.89,213.6,216.95,251331.0
2020-10-09,217.75,218.325,213.045,215.45,355158.0
2020-10-08,212.06,216.87,211.17,215.98,336864.0
2020-10-07,211.3,212.36,207.23,210.41,470264.0
2020-10-06,214.73,214.73,209.44,210.77,489538.0
2020-10-05,213.89,214.84,208.82,213.4,677744.0
