date,MACD,MACD_Signal,MACD_Hist
2021-01-22,1.3678,-0.1131,1.4809999999999999
2021-01-21,1.0266,-0.4834,1.51
2021-01-20,0.3979,-0.8609,1.2588
2021-01-19,-0.3686,-1.1756,0.807
2021-01-15,-0.5667,-1.3773,0.8106
2021-01-14,-1.1513,-1.58,0.4286
2021-01-13,-1.5306,-1.6871,0.1565
2021-01-12,-1.9169999999999998,-1.7263,-0.1908
2021-01-11,-1.9833,-1.6786,-0.3047
2021-01-08,-1.9229,-1.6024,-0.3205
2021-01-07,-2.0836,-1.5223,-0.5614
2021-01-06,-2.0151,-1.3819,-0.6332
2021-01-05,-2.4248,-1.2236,-1.2011
2021-01-04,-1.9502,-0.9233,-1.0268
2020-12-31,-1.4209,-0.6666,-0.7543
2020-12-30,-1.6584,-0.4781,-1.1804
2020-12-29,-1.8216,-0.183,-1.6386
2020-12-28,-1.6491,0.2267,-1.8758
2020-12-24,-1.7562,0.6956,-2.4518
2020-12-23,-1.4565,1.3086,-2.7651
2020-12-22,-0.7490000000000001,1.9998,-2.7489
2020-12-21,-0.1874,2.6871,-2.8744
2020-12-18,0.623,3.4057,-2.7826
2020-12-17,1.5939,4.1013,-2.5074
2020-12-16,2.0548,4.7282,-2.6733
2020-12-15,2.7465,5.3965,-2.65
2020-12-14,3.3936,6.059,-2.6654
2020-12-11,4.3932,6.7254,-2.3321
2020-12-10,5.2338,7.3084,-2.0746
2020-12-09,6.0821,7.827000000000001,-1.7449
2020-12-08,6.5949,8.2633,-1.6683
2020-12-07,6.9204,8.6804,-1.7599
2020-12-04,7.1838,9.1203,-1.9366
2020-12-03,7.4426,9.6045,-2.1619
2020-12-02,8.0564,10.1449,-2.0886
2020-12-01,8.7377,10.6671,-1.9294
2020-11-30,9.6982,11.1494,-1.4512
2020-11-27,10.8498,11.5122,-0.6624
2020-11-25,11.7449,11.6779,0.0671
2020-11-24,12.2735,11.6611,0.6124
2020-11-23,12.4537,11.508,0.9458
2020-11-20,13.0133,11.2715,1.7418
2020-11-19,13.3738,10.8361,2.5377
2020-11-18,13.6343,10.2017,3.4326
2020-11-17,13.7634,9.3435,4.4199
2020-11-16,13.1426,8.2385,4.904
2020-11-13,11.8612,7.0125,4.8487
2020-11-12,10.8648,5.8004,5.0644
2020-11-11,10.2152,4.5342,5.6809
2020-11-10,9.2808,3.114,6.1668
2020-11-09,6.7229,1.5723,5.1506
2020-11-06,3.8134,0.2847,3.5288
2020-11-05,2.7989,-0.5975,3.3965
2020-11-04,1.5673,-1.4466,3.014
2020-11-03,0.0362,-2.2001,2.2363
2020-11-02,-1.7703,-2.7592,0.9889
2020-10-30,-3.3408,-3.0064,-0.3343
2020-10-29,-4.044,-2.9228,-1.1212
2020-10-28,-4.1752,-2.6425,-1.5327
2020-10-27,-3.1454,-2.2594,-0.8859999999999999
2020-10-26,-2.6957,-2.0379,-0.6578
2020-10-23,-2.4539,-1.8734,-0.5805
2020-10-22,-2.5346,-1.7283,-0.8063
2020-10-21,-2.529,-1.5267,-1.0023
2020-10-20,-2.2237,-1.2761,-0.9476
2020-10-19,-1.7936,-1.0392,-0.7544
2020-10-16,-1.1388,-0.8506,-0.2881
2020-10-15,-0.5872,-0.7786,0.1914
2020-10-14,-0.1421,-0.8264,0.6843
2020-10-13,0.2059,-0.9975,1.2034
2020-10-12,0.3848,-1.2984,1.6831
2020-10-09,-0.1456,-1.7192,1.5736
2020-10-08,-0.6689,-2.1126,1.4436
2020-10-07,-1.3807,-2.4735,1.0928
2020-10-06,-1.7068,-2.7467,1.0398
2020-10-05,-2.1347,-3.0066,0.872
2020-10-02,-2.9151,-3.2246,0.3095
2020-10-01,-3.7377,-3.302,-0.4357
2020-09-30,-4.2002,-3.1931,-1.0072
2020-09-29,-4.1209,-2.9413,-1.1796
2020-09-28,-3.8396,-2.6464,-1.1932
2020-09-25,-4.0083,-2.3480000000000003,-1.6603
2020-09-24,-3.8247,-1.933,-1.8918
2020-09-23,-3.0223,-1.46,-1.5623
2020-09-22,-2.2489,-1.0694,-1.1794
2020-09-21,-1.7834,-0.7746,-1.0088
2020-09-18,-0.8467,-0.5224,-0.3243
2020-09-17,-0.35100000000000003,-0.4413,0.0903
2020-09-16,-0.2167,-0.4639,0.2472
2020-09-15,-0.3498,-0.5257,0.1759
2020-09-14,-0.1979,-0.5697,0.3717
2020-09-11,-0.6006,-0.6626,0.062
2020-09-10,-0.1888,-0.6781,0.4893
2020-09-09,0.0619,-0.8005,0.8624
2020-09-08,0.1292,-1.016,1.1453
2020-09-04,-0.0924,-1.3024,1.21
2020-09-03,-0.6427,-1.6049,0.9622
2020-09-02,-1.1039,-1.8454,0.7415
2020-09-01,-1.5806,-2.0308,0.4502
2020-08-31,-1.5897,-2.1433,0.5536
2020-08-28,-1.7081,-2.2817,0.5737
2020-08-27,-2.2469,-2.4252,0.1783
2020-08-26,-2.5023,-2.4697,-0.0325
2020-08-25,-2.4083,-2.4616,0.0533
2020-08-24,-2.576,-2.4749,-0.1011
2020-08-21,-2.6636,-2.4497,-0.214
2020-08-20,-2.525,-2.3962,-0.1288
2020-08-19,-2.2603,-2.364,0.1037
2020-08-18,-1.7088,-2.3899,0.6809999999999999
2020-08-17,-1.7822,-2.5601,0.7779
2020-08-14,-2.0019,-2.7546,0.7527
2020-08-13,-2.1432,-2.9428,0.7996
2020-08-12,-1.9807,-3.1427,1.162
2020-08-11,-2.262,-3.4332,1.1712
2020-08-10,-2.4202,-3.7260000000000004,1.3058
2020-08-07,-2.9816,-4.0525,1.0708
2020-08-06,-3.6258,-4.3202,0.6943
2020-08-05,-4.0747,-4.4937,0.4191
2020-08-04,-4.3275,-4.5985,0.271
2020-08-03,-4.2777,-4.6663,0.3886
2020-07-31,-4.1488,-4.7634,0.6146
2020-07-30,-4.5734,-4.917,0.3437
2020-07-29,-5.0367,-5.003,-0.0337
2020-07-28,-5.4079999999999995,-4.9945,-0.4134
2020-07-27,-5.6913,-4.8912,-0.8001
2020-07-24,-5.4237,-4.6911,-0.7326
2020-07-23,-5.1591,-4.508,-0.6511
2020-07-22,-4.9671,-4.3452,-0.622
2020-07-21,-5.0994,-4.1897,-0.9097
2020-07-20,-4.6836,-3.9623,-0.7213
