date,MACD_Hist,MACD_Signal,MACD
2021-01-22,1.665,-3.8603,-2.1953
2021-01-21,0.8827,-4.2765,-3.3938
2021-01-20,-0.211,-4.4972,-4.7082
2021-01-19,-1.3242,-4.4444,-5.7687
2021-01-15,-2.2752,-4.1134,-6.3886
2021-01-14,-2.5507,-3.5446,-6.0953
2021-01-13,-2.1429,-2.9069,-5.0498
2021-01-12,-1.8818,-2.3712,-4.2529
2021-01-11,-1.2172,-1.9007,-3.1179
2021-01-08,-0.6129,-1.5964,-2.2093
2021-01-07,-0.6668,-1.4432,-2.11
2021-01-06,-0.7951,-1.2765,-2.0717
2021-01-05,-0.36200000000000004,-1.0777,-1.4397
2021-01-04,-0.4049,-0.9872,-1.3921
2020-12-31,-0.2184,-0.8859999999999999,-1.1044
2020-12-30,-0.3195,-0.8314,-1.1508
2020-12-29,-0.3105,-0.7515,-1.062
2020-12-28,-0.7592,-0.6739,-1.4331
2020-12-24,-1.4242,-0.4841,-1.9083
2020-12-23,-1.3815,-0.1281,-1.5096
2020-12-22,-1.2683,0.2173,-1.051
2020-12-21,-0.8809999999999999,0.5344,-0.3466
2020-12-18,-0.7775,0.7546,-0.0228
2020-12-17,-0.9258,0.9490000000000001,0.0232
2020-12-16,-0.9034,1.1805,0.2771
2020-12-15,-0.9304,1.4063,0.4759
2020-12-14,-0.9039,1.6389,0.735
2020-12-11,-0.6714,1.8649,1.1935
2020-12-10,-0.2062,2.0327,1.8265
2020-12-09,0.1602,2.0843,2.2444
2020-12-08,0.6195,2.0442,2.6637
2020-12-07,0.7128,1.8894,2.6022
2020-12-04,0.5526,1.7112,2.2638
2020-12-03,0.8247,1.5730000000000002,2.3977
2020-12-02,0.9479,1.3668,2.3148
2020-12-01,0.4681,1.1298,1.598
2020-11-30,-0.2542,1.0128,0.7586
2020-11-27,-0.4247,1.0764,0.6517
2020-11-25,-0.7624,1.1825,0.4202
2020-11-24,-1.0285,1.3731,0.3446
2020-11-23,-1.5225,1.6302,0.1077
2020-11-20,-1.3426,2.0109,0.6682
2020-11-19,-1.1019,2.3465,1.2446
2020-11-18,-0.9897,2.622,1.6323
2020-11-17,-0.6672,2.8694,2.2022
2020-11-16,-0.4472,3.0362,2.589
2020-11-13,-0.5062,3.1481,2.6419
2020-11-12,-0.3991,3.2746,2.8755
2020-11-11,-0.052000000000000005,3.3744,3.3224
2020-11-10,0.3145,3.3874,3.7018
2020-11-09,1.2359,3.3088,4.5447
2020-11-06,1.9091,2.9998,4.9089
2020-11-05,1.2891,2.5225,3.8116
2020-11-04,0.0262,2.2002,2.2264
2020-11-03,-1.2797,2.1937,0.914
2020-11-02,-1.0399,2.5136,1.4737
2020-10-30,-0.2057,2.7736,2.5679
2020-10-29,0.9239,2.825,3.7489
2020-10-28,0.8035,2.594,3.3975
2020-10-27,1.8464,2.3931,4.2395
2020-10-26,1.7307,1.9315,3.6622
2020-10-23,2.0024,1.4989,3.5013
2020-10-22,1.4647,0.9983,2.463
2020-10-21,1.149,0.6321,1.7811
2020-10-20,0.4779,0.3448,0.8227
2020-10-19,0.4995,0.2254,0.7248
2020-10-16,1.1161,0.1005,1.2165
2020-10-15,1.5437,-0.1785,1.3652
2020-10-14,2.0191,-0.5645,1.4547
2020-10-13,2.0977,-1.0692,1.0284
2020-10-12,1.6232,-1.5937,0.0295
2020-10-09,0.7934,-1.9995,-1.2061
2020-10-08,0.5826,-2.1978,-1.6152
2020-10-07,0.3,-2.3435,-2.0435
2020-10-06,0.4322,-2.4185,-1.9862
2020-10-05,0.5873,-2.5265,-1.9392
2020-10-02,0.2124,-2.6733,-2.4609
2020-10-01,0.115,-2.7264,-2.6114
2020-09-30,-0.6916,-2.7552,-3.4467
2020-09-29,-1.3989,-2.5823,-3.9811
2020-09-28,-2.3616,-2.2326,-4.5941
2020-09-25,-3.1615,-1.6422,-4.8037
2020-09-24,-3.9458,-0.8518,-4.7976
2020-09-23,-4.3161,0.1346,-4.1814
2020-09-22,-4.4959,1.2136,-3.2823
2020-09-21,-5.0079,2.3376,-2.6703
2020-09-18,-4.7679,3.5896,-1.1783
2020-09-17,-4.4844,4.7816,0.2972
2020-09-16,-3.9597,5.9027,1.9429
2020-09-15,-3.7632,6.8926,3.1294
2020-09-14,-4.1413,7.8334,3.6921
2020-09-11,-3.8737,8.8687,4.9951
2020-09-10,-3.2986,9.8371,6.5386
2020-09-09,-2.3989,10.6618,8.2628
2020-09-08,-1.4913,11.2615,9.7702
2020-09-04,0.1784,11.6343,11.8127
2020-09-03,1.4801,11.5897,13.0698
2020-09-02,2.4103,11.2197,13.63
2020-09-01,2.3709,10.6171,12.9881
2020-08-31,2.6742,10.0244,12.6986
2020-08-28,3.0167,9.3558,12.3726
2020-08-27,3.1279,8.6016,11.7296
2020-08-26,2.9634,7.8197,10.7831
2020-08-25,1.2509,7.0788,8.3297
2020-08-24,0.6621,6.7661,7.4282
2020-08-21,0.5291,6.6005,7.1296
2020-08-20,0.6225,6.4683,7.0907
2020-08-19,0.4217,6.3126,6.7344
2020-08-18,0.628,6.2072,6.8352
2020-08-17,0.8398,6.0502,6.89
2020-08-14,1.1395,5.8403,6.9798
2020-08-13,1.4294,5.5554,6.9848
2020-08-12,1.6854,5.1979999999999995,6.8835
2020-08-11,2.0209,4.7767,6.7975
2020-08-10,2.7004,4.2715,6.9719
2020-08-07,2.7971,3.5964,6.3934
2020-08-06,2.1112,2.8971,5.0083
2020-08-05,1.1199,2.3693,3.4892
2020-08-04,1.0557,2.0893,3.145
2020-08-03,0.7621,1.8254,2.5875
2020-07-31,-0.0133,1.6349,1.6216
2020-07-30,-1.4473,1.6382,0.1909
2020-07-29,-1.686,2.0,0.314
2020-07-28,-1.8319,2.4215,0.5897
2020-07-27,-1.6238,2.8795,1.2557
2020-07-24,-1.5419999999999998,3.2854,1.7435
2020-07-23,-1.0462,3.6709,2.6247
2020-07-22,-0.4136,3.9325,3.5189
2020-07-21,-0.1671,4.0359,3.8688
2020-07-20,-0.0099,4.0776,4.0677
2020-07-17,-0.1914,4.0801,3.8887
2020-07-16,-0.1791,4.128,3.9489
2020-07-15,-0.0925,4.1727,4.0802
2020-07-14,0.0589,4.1958,4.2547
2020-07-13,0.2904,4.1811,4.4715
2020-07-10,0.6491,4.1085,4.7576
2020-07-09,0.4892,3.9463,4.4354
2020-07-08,0.1938,3.824,4.0178
2020-07-07,-0.2556,3.7755,3.5199
2020-07-06,-0.7292,3.8394,3.1102
2020-07-02,-1.4206,4.0217,2.6011
2020-07-01,-1.7649,4.3768,2.612
2020-06-30,-2.6508,4.8180000000000005,2.1673
2020-06-29,-2.8455,5.4807,2.6353
2020-06-26,-2.3432,6.1921,3.8489
2020-06-25,-0.9716,6.7779,5.8063
2020-06-24,-0.7963,7.0208,6.2245
2020-06-23,-0.38299999999999995,7.2199,6.8368
2020-06-22,-0.6337,7.3156,6.682
2020-06-19,-0.7795,7.4741,6.6946
2020-06-18,-1.0118,7.6689,6.6571
2020-06-17,-1.1193,7.9219,6.8026
2020-06-16,-1.2706,8.2017,6.9311
2020-06-15,-1.5372,8.5193,6.9821
2020-06-12,-1.6373,8.9037,7.2664
2020-06-11,-1.3903,9.312999999999999,7.9226
2020-06-10,-0.593,9.6606,9.0676
2020-06-09,-0.6641,9.8088,9.1447
2020-06-08,-1.0623,9.9748,8.9125
2020-06-05,-1.0136,10.2404,9.2268
2020-06-04,-0.9359,10.4938,9.5579
2020-06-03,-0.4302,10.7278,10.2976
2020-06-02,-0.1374,10.8353,10.6979
2020-06-01,-0.077,10.8696,10.7926
2020-05-29,-0.05,10.8889,10.8389
2020-05-28,0.5334,10.9014,11.4348
2020-05-27,1.2234,10.767999999999999,11.9914
2020-05-26,1.6905,10.4622,12.1527
2020-05-22,1.8306,10.0396,11.8702
2020-05-21,1.4792,9.5819,11.0611
2020-05-20,1.0137,9.2121,10.2258
2020-05-19,0.1969,8.9587,9.1556
2020-05-18,0.0798,8.9095,8.9893
2020-05-15,0.1324,8.8895,9.0219
2020-05-14,0.3111,8.8564,9.1675
2020-05-13,0.8558,8.7786,9.6344
2020-05-12,1.6996,8.5647,10.2643
2020-05-11,2.2701,8.1398,10.4099
2020-05-08,2.5585,7.5723,10.1307
2020-05-07,2.7789,6.9326,9.7115
2020-05-06,2.9083,6.2379,9.1462
2020-05-05,3.0649,5.5108,8.5757
2020-05-04,3.1208,4.7446,7.8654
2020-05-01,3.0642,3.9644,7.0286
2020-04-30,2.9644,3.1983,6.1628
2020-04-29,2.2624,2.4572,4.7196
2020-04-28,1.9884,1.8916,3.88
2020-04-27,2.506,1.3946,3.9005
2020-04-24,2.6345,0.7681,3.4026
2020-04-23,2.3464,0.1094,2.4559
2020-04-22,2.1919,-0.4772,1.7148
2020-04-21,2.0593,-1.0252,1.0341
2020-04-20,2.8591,-1.54,1.3192
2020-04-17,3.1611,-2.2548,0.9063
2020-04-16,3.3093,-3.045,0.2643
2020-04-15,3.6179,-3.8724,-0.2545
2020-04-14,3.7906,-4.7768,-0.9863
2020-04-13,3.6963,-5.7245,-2.0281
2020-04-09,3.6643,-6.6486,-2.9843
2020-04-08,3.3626,-7.5646,-4.202
2020-04-07,2.8028,-8.4053,-5.6025
2020-04-06,2.3524,-9.106,-6.7536
2020-04-03,1.9035,-9.6941,-7.7906
2020-04-02,2.3267,-10.17,-7.8433
2020-04-01,2.5469999999999997,-10.7517,-8.2047
2020-03-31,2.6982,-11.3884,-8.6902
2020-03-30,2.1464,-12.062999999999999,-9.9165
2020-03-27,1.3485,-12.5996,-11.2511
2020-03-26,1.0786,-12.9367,-11.8581
2020-03-25,0.0791,-13.2064,-13.1273
2020-03-24,-0.6042,-13.2261,-13.8303
2020-03-23,-1.9371,-13.0751,-15.0122
2020-03-20,-2.4001,-12.5908,-14.9909
2020-03-19,-2.9209,-11.9908,-14.9117
2020-03-18,-3.6792,-11.2605,-14.9398
2020-03-17,-3.7894,-10.3407,-14.1301
2020-03-16,-3.7483,-9.3934,-13.1417
2020-03-13,-2.8854,-8.4563,-11.3417
2020-03-12,-3.6155,-7.7349,-11.3505
2020-03-11,-2.7558,-6.8311,-9.5868
2020-03-10,-2.6598,-6.1421,-8.802
2020-03-09,-3.0045,-5.4772,-8.4816
2020-03-06,-2.3385,-4.726,-7.0646
2020-03-05,-2.1918,-4.1414,-6.3332
2020-03-04,-2.1296,-3.5935,-5.723
2020-03-03,-2.4709,-3.0611,-5.532
2020-03-02,-2.1667,-2.4433,-4.61
2020-02-28,-2.5386,-1.9017,-4.4403
2020-02-27,-2.4879,-1.2670000000000001,-3.7549
2020-02-26,-1.9036,-0.645,-2.5486
