date,MFI
2012-06-08,37.6882
2012-06-11,49.3225
2012-06-12,58.3451
2012-06-13,54.0548
2012-06-14,50.9128
2012-06-15,58.0986
2012-06-18,69.8592
2012-06-19,79.0916
2012-06-20,70.8463
2012-06-21,79.2355
2012-06-22,88.3534
2012-06-25,90.5708
2012-06-26,89.971
2012-06-27,83.0093
2012-06-28,77.893
2012-06-29,72.6447
2012-07-02,69.0994
2012-07-03,68.5966
2012-07-05,68.184
2012-07-06,65.4756
2012-07-09,62.9349
2012-07-10,56.3062
2012-07-11,56.8109
2012-07-12,51.435
2012-07-13,32.8118
2012-07-16,33.1351
2012-07-17,21.3727
2012-07-18,30.1226
2012-07-19,37.0192
2012-07-20,38.6134
2012-07-23,39.1428
2012-07-24,39.7134
2012-07-25,41.4632
2012-07-26,29.455
2012-07-27,16.9829
2012-07-30,16.5993
2012-07-31,15.3438
2012-08-01,14.5718
2012-08-02,13.5453
2012-08-03,25.0229
2012-08-06,30.0033
2012-08-07,25.8052
2012-08-08,22.5475
2012-08-09,24.93
2012-08-10,28.5258
2012-08-13,29.596
2012-08-14,25.5389
2012-08-15,34.1889
2012-08-16,33.5603
2012-08-17,29.7273
2012-08-20,40.3273
2012-08-21,39.3134
2012-08-22,39.7251
2012-08-23,35.708
2012-08-24,31.9518
2012-08-27,32.7413
2012-08-28,33.0034
2012-08-29,30.9075
2012-08-30,31.0498
2012-08-31,26.5843
2012-09-04,26.5562
2012-09-05,27.104
2012-09-06,37.9699
2012-09-07,49.5578
2012-09-10,37.6971
2012-09-11,48.9305
2012-09-12,64.1643
2012-09-13,66.2678
2012-09-14,73.143
2012-09-17,77.3563
2012-09-18,75.6778
2012-09-19,79.9253
2012-09-20,72.8971
2012-09-21,79.5179
2012-09-24,75.7241
2012-09-25,69.9705
2012-09-26,65.2634
2012-09-27,65.1131
2012-09-28,69.5065
2012-10-01,69.7727
2012-10-02,66.2979
2012-10-03,60.3846
2012-10-04,52.1463
2012-10-05,45.5644
2012-10-08,45.999
2012-10-09,36.9211
2012-10-10,38.4355
2012-10-11,34.695
2012-10-12,38.8173
2012-10-15,44.73
2012-10-16,46.3192
2012-10-17,47.6714
2012-10-18,35.3962
2012-10-19,25.107
2012-10-22,24.8988
2012-10-23,37.88
2012-10-24,63.5247
2012-10-25,59.9035
2012-10-26,56.3594
2012-10-31,51.4886
2012-11-01,55.8731
2012-11-02,56.8022
2012-11-05,55.8688
2012-11-06,53.117
2012-11-07,52.3881
2012-11-08,48.2627
2012-11-09,48.7257
2012-11-12,53.8869
2012-11-13,55.7097
2012-11-14,62.1441
2012-11-15,55.2939
2012-11-16,65.2635
2012-11-19,73.5416
2012-11-20,77.2487
2012-11-21,78.6826
2012-11-23,78.5796
2012-11-26,83.6485
2012-11-27,87.1011
2012-11-28,90.0352
2012-11-29,93.1399
2012-11-30,96.4429
2012-12-03,96.6708
2012-12-04,90.7221
2012-12-05,89.6842
2012-12-06,85.2431
2012-12-07,84.6823
2012-12-10,84.3621
2012-12-11,88.7199
2012-12-12,83.7286
2012-12-13,84.5949
2012-12-14,75.536
2012-12-17,69.4414
2012-12-18,69.8447
2012-12-19,69.0763
2012-12-20,62.1074
2012-12-21,52.6801
2012-12-24,59.0659
2012-12-26,53.4672
2012-12-27,53.7567
2012-12-28,46.9695
2012-12-31,47.4713
2013-01-02,46.952
2013-01-03,54.0836
2013-01-04,53.6381
2013-01-07,65.2325
2013-01-08,65.8574
2013-01-09,68.1194
2013-01-10,69.8044
2013-01-11,75.7494
2013-01-14,71.2036
2013-01-15,58.7424
2013-01-16,56.3342
2013-01-17,59.8347
2013-01-18,59.7932
2013-01-22,59.8866
2013-01-23,59.3676
2013-01-24,58.8713
2013-01-25,58.4155
2013-01-28,57.7253
2013-01-29,56.0731
2013-01-30,55.4871
2013-01-31,42.6019
2013-02-01,34.7968
2013-02-04,35.2658
2013-02-05,44.28
2013-02-06,49.7821
2013-02-07,45.9994
2013-02-08,50.3954
2013-02-11,45.538
2013-02-12,38.6951
2013-02-13,38.7623
2013-02-14,37.2532
2013-02-15,35.0094
2013-02-19,41.4451
2013-02-20,33.0973
2013-02-21,40.1563
2013-02-22,43.5077
2013-02-25,53.1145
2013-02-26,46.6396
2013-02-27,39.8864
2013-02-28,49.4057
2013-03-01,50.5063
2013-03-04,55.7897
2013-03-05,60.5334
2013-03-06,59.4172
2013-03-07,61.925
2013-03-08,55.6742
2013-03-11,54.634
2013-03-12,56.0187
2013-03-13,56.998
2013-03-14,57.8182
2013-03-15,52.4406
2013-03-18,52.9433
2013-03-19,58.9258
2013-03-20,48.1042
2013-03-21,40.3613
2013-03-22,34.955
2013-03-25,35.2944
2013-03-26,28.8789
2013-03-27,24.4884
2013-03-28,31.7564
2013-04-01,24.1482
2013-04-02,31.6889
2013-04-03,41.9558
2013-04-04,54.0489
2013-04-05,63.0484
2013-04-08,62.9116
2013-04-09,58.5827
2013-04-10,67.0564
2013-04-11,72.1003
2013-04-12,70.5596
2013-04-15,71.4439
2013-04-16,76.2112
2013-04-17,70.0588
2013-04-18,63.5309
2013-04-19,63.7352
2013-04-22,63.1314
2013-04-23,61.4662
2013-04-24,55.905
2013-04-25,50.319
2013-04-26,58.0445
2013-04-29,64.2042
2013-04-30,63.3071
2013-05-01,66.0666
2013-05-02,77.4267
2013-05-03,72.8116
2013-05-06,65.4802
2013-05-07,63.7017
2013-05-08,64.0142
2013-05-09,68.2581
2013-05-10,63.3233
2013-05-13,63.6145
2013-05-14,63.9764
2013-05-15,59.8381
2013-05-16,54.2726
2013-05-17,54.2322
2013-05-20,47.8643
2013-05-21,39.7477
2013-05-22,23.1323
2013-05-23,24.4314
2013-05-24,24.0331
2013-05-28,23.8703
2013-05-29,22.8779
2013-05-30,25.9773
2013-05-31,32.0184
2013-06-03,26.4362
2013-06-04,21.5448
2013-06-05,20.9176
2013-06-06,21.2196
2013-06-07,21.8577
2013-06-10,30.7078
2013-06-11,30.619
2013-06-12,31.6879
2013-06-13,32.1444
2013-06-14,33.7979
2013-06-17,40.8219
2013-06-18,49.7355
2013-06-19,46.8213
2013-06-20,39.0755
2013-06-21,47.1818
2013-06-24,46.6343
2013-06-25,54.1098
2013-06-26,60.0872
2013-06-27,59.9384
2013-06-28,62.9526
2013-07-01,67.9882
2013-07-02,68.964
2013-07-03,71.7076
2013-07-05,73.0955
2013-07-08,72.7769
2013-07-09,72.4883
2013-07-10,72.2659
2013-07-11,80.6343
2013-07-12,79.3553
2013-07-15,88.1981
2013-07-16,88.4408
2013-07-17,88.2672
2013-07-18,81.5088
2013-07-19,65.3736
2013-07-22,66.1546
2013-07-23,72.0326
2013-07-24,79.0834
2013-07-25,91.9838
2013-07-26,93.1562
2013-07-29,93.9573
2013-07-30,94.9068
2013-07-31,95.5275
2013-08-01,95.8805
2013-08-02,96.0675
2013-08-05,96.2501
2013-08-06,91.5911
2013-08-07,88.1671
2013-08-08,90.4904
2013-08-09,87.6038
2013-08-12,85.5467
2013-08-13,81.2135
2013-08-14,72.773
2013-08-15,66.232
2013-08-16,63.9612
2013-08-19,59.64
2013-08-20,55.1612
2013-08-21,51.815
2013-08-22,48.4553
2013-08-23,49.0937
2013-08-26,59.9195
2013-08-27,59.3896
2013-08-28,60.3785
2013-08-29,66.6686
2013-08-30,71.9461
2013-09-03,79.131
2013-09-04,79.153
2013-09-05,85.5488
2013-09-06,86.9282
2013-09-09,87.3421
2013-09-10,81.0004
2013-09-11,81.7074
2013-09-12,82.6994
2013-09-13,76.3212
2013-09-16,67.983
2013-09-17,76.1739
2013-09-18,76.883
2013-09-19,77.1701
2013-09-20,78.5094
2013-09-23,79.2074
