date,MACD,MACD_Signal,MACD_Hist
2021-01-29,5.0375,3.2306,1.807
2021-01-28,4.7403,2.7788,1.9614
2021-01-27,4.2725,2.2885,1.9841
2021-01-26,3.6704,1.7925,1.878
2021-01-25,3.0511,1.323,1.7282
2021-01-22,2.3975,0.8909,1.5066
2021-01-21,1.725,0.5143,1.2107
2021-01-20,0.7549,0.2116,0.5433
2021-01-19,0.1757,0.0758,0.0999
2021-01-15,-0.338,0.0508,-0.3888
2021-01-14,-0.2659,0.148,-0.414
2021-01-13,-0.4663,0.2515,-0.7178
2021-01-12,-0.6614,0.431,-1.0923
2021-01-11,-0.8019,0.704,-1.5059
2021-01-08,-0.5084,1.0805,-1.5889
2021-01-07,-0.4451,1.4778,-1.9228
2021-01-06,-0.2244,1.9585,-2.1828
2021-01-05,0.5992,2.5042,-1.905
2021-01-04,1.1244,2.9804,-1.856
2020-12-31,1.8354,3.4444,-1.609
2020-12-30,2.591,3.8467,-1.2556
2020-12-29,3.2062,4.1606,-0.9544
2020-12-28,4.0384,4.3992,-0.3608
2020-12-24,4.9696,4.4894,0.4802
2020-12-23,5.3456,4.3693,0.9763
2020-12-22,5.4291,4.1252,1.3038
2020-12-21,5.0341,3.7993,1.2348
2020-12-18,4.8193,3.4906,1.3287
2020-12-17,4.4169,3.1584,1.2585
2020-12-16,3.9409,2.8438,1.0971
2020-12-15,3.8492,2.5695,1.2798
2020-12-14,3.8036,2.2495,1.554
2020-12-11,3.6543,1.861,1.7933
2020-12-10,3.264,1.4127,1.8513
2020-12-09,2.6003,0.9499,1.6504
2020-12-08,2.2977,0.5373,1.7604
2020-12-07,1.1806,0.0972,1.0834
2020-12-04,1.0154,-0.1736,1.189
2020-12-03,0.4599,-0.4709,0.9308
2020-12-02,0.3409,-0.7036,1.0445
2020-12-01,0.4304,-0.9647,1.3951
2020-11-30,0.4051,-1.3135,1.7185
2020-11-27,0.0542,-1.7431,1.7973
2020-11-25,-0.3466,-2.1924,1.8458
2020-11-24,-0.738,-2.6539,1.9159
2020-11-23,-1.0314,-3.1328,2.1014
2020-11-20,-1.6087,-3.6582,2.0494
2020-11-19,-2.2825,-4.1705,1.888
2020-11-18,-2.8304,-4.6426,1.8122
2020-11-17,-3.5699,-5.0956,1.5257
2020-11-16,-4.1839,-5.477,1.2931
2020-11-13,-4.6379,-5.8003,1.1623
2020-11-12,-5.3557,-6.0909,0.7352
