date,MFI
2019-06-07,34.4461
2019-06-10,22.4554
2019-06-11,23.5827
2019-06-12,24.4918
2019-06-13,27.4926
2019-06-14,29.8703
2019-06-17,23.1075
2019-06-18,22.9999
2019-06-19,27.9829
2019-06-20,33.8806
2019-06-21,33.0848
2019-06-24,28.6607
2019-06-25,27.919
2019-06-26,33.8603
2019-06-27,34.9605
2019-06-28,35.6623
2019-07-01,45.114
2019-07-02,45.9242
2019-07-03,50.1888
2019-07-05,53.7711
2019-07-08,54.4428
2019-07-09,55.7527
2019-07-10,49.0026
2019-07-11,49.6642
2019-07-12,58.7954
2019-07-15,65.829
2019-07-16,67.9347
2019-07-17,61.8512
2019-07-18,59.0641
2019-07-19,56.1306
2019-07-22,46.9808
2019-07-23,54.7143
2019-07-24,55.5398
2019-07-25,58.9215
2019-07-26,67.5697
2019-07-29,63.9409
2019-07-30,62.4486
2019-07-31,50.3175
2019-08-01,42.1585
2019-08-02,35.6252
2019-08-05,35.4945
2019-08-06,40.4896
2019-08-07,35.3435
2019-08-08,38.6385
2019-08-09,30.457
2019-08-12,26.7024
2019-08-13,23.0612
2019-08-14,17.8659
2019-08-15,11.553
2019-08-16,20.1275
2019-08-19,24.2634
2019-08-20,33.1875
2019-08-21,43.7431
2019-08-22,60.3597
2019-08-23,71.766
2019-08-26,75.4069
2019-08-27,81.2093
2019-08-28,82.6868
2019-08-29,74.2817
2019-08-30,78.2447
2019-09-03,75.9843
2019-09-04,78.7671
2019-09-05,80.7063
2019-09-06,76.9369
2019-09-09,70.7907
2019-09-10,66.4999
2019-09-11,67.8763
2019-09-12,61.9214
2019-09-13,53.5228
2019-09-16,47.504
2019-09-17,43.6819
2019-09-18,36.9894
2019-09-19,42.8606
2019-09-20,34.2652
2019-09-23,39.0582
2019-09-24,34.9925
2019-09-25,28.2104
2019-09-26,28.6253
2019-09-27,30.3805
2019-09-30,37.4154
2019-10-01,29.9572
2019-10-02,32.1262
2019-10-03,39.8078
2019-10-04,44.9622
2019-10-07,44.1355
2019-10-08,50.9513
2019-10-09,57.9539
2019-10-10,61.9152
2019-10-11,54.5924
2019-10-14,48.1677
2019-10-15,51.773
2019-10-16,54.7004
2019-10-17,67.9815
2019-10-18,59.3473
2019-10-21,48.6073
2019-10-22,45.3574
2019-10-23,39.0192
2019-10-24,38.8164
2019-10-25,35.9586
2019-10-28,26.8415
2019-10-29,21.6147
2019-10-30,22.1439
2019-10-31,23.4728
2019-11-01,28.2787
2019-11-04,28.1704
2019-11-05,29.0737
2019-11-06,20.4456
2019-11-07,20.2213
2019-11-08,41.8842
2019-11-11,44.4707
2019-11-12,39.7954
2019-11-13,66.6091
2019-11-14,65.6578
2019-11-15,61.5384
2019-11-18,66.765
2019-11-19,71.3197
2019-11-20,74.6664
2019-11-21,76.1498
2019-11-22,76.8276
2019-11-25,72.7869
2019-11-26,70.3555
2019-11-27,70.033
2019-11-29,66.4259
2019-12-02,65.6623
2019-12-03,67.0803
2019-12-04,54.403
2019-12-05,56.6035
2019-12-06,63.8388
2019-12-09,56.701
2019-12-10,52.2712
2019-12-11,43.3684
2019-12-12,33.9715
2019-12-13,27.2521
2019-12-16,28.9226
2019-12-17,30.6497
2019-12-18,30.4873
2019-12-19,34.9819
2019-12-20,41.9075
2019-12-23,48.8569
2019-12-24,42.3639
2019-12-26,42.2377
2019-12-27,42.2047
2019-12-30,41.8637
2019-12-31,41.7566
