date,MACD,MACD_Hist,MACD_Signal
2021-01-15,7.6209,2.3376,5.2833
2021-01-14,7.4095,2.7106,4.6989
2021-01-13,6.6624,2.6411,4.0213
2021-01-12,6.0131,2.6521,3.361
2021-01-11,4.9115,2.2136,2.698
2021-01-08,4.3902,2.2456,2.1446
2021-01-07,3.3524,1.7692,1.5832
2021-01-06,2.7019,1.561,1.1409
2021-01-05,2.0472,1.2965,0.7506
2021-01-04,0.8468,0.4203,0.4265
2020-12-31,0.2869,-0.0345,0.3214
2020-12-30,-0.1071,-0.4371,0.3301
2020-12-29,-0.2775,-0.7168,0.4394
2020-12-28,-0.1651,-0.7837,0.6186
2020-12-24,0.0204,-0.7941,0.8145
2020-12-23,0.3618,-0.6512,1.013
2020-12-22,0.6253,-0.5505,1.1758
2020-12-21,0.8517,-0.4618,1.3134
2020-12-18,0.9287,-0.5002,1.4288
2020-12-17,0.9269,-0.627,1.5539
2020-12-16,1.015,-0.6956,1.7106
2020-12-15,1.1891,-0.6954,1.8845
2020-12-14,1.3909,-0.6675,2.0584
2020-12-11,1.6874,-0.5379,2.2253
2020-12-10,1.8783,-0.4815,2.3598
2020-12-09,1.8503,-0.6299,2.4801
2020-12-08,1.9566,-0.681,2.6376
2020-12-07,2.0354,-0.7725,2.8078
2020-12-04,2.2417,-0.7592,3.001
2020-12-03,2.5885,-0.6022,3.1908
2020-12-02,2.9376,-0.4037,3.3413
2020-12-01,3.1999,-0.2424,3.4423
2020-11-30,3.5899,0.087,3.5029
2020-11-27,3.8298,0.3487,3.4811
2020-11-25,4.0925,0.6986,3.3939
2020-11-24,4.2563,1.037,3.2193
2020-11-23,4.2437,1.2836,2.96
2020-11-20,3.9723,1.3332,2.6391
2020-11-19,3.5682,1.2623,2.3058
2020-11-18,3.2081,1.2179,1.9903
2020-11-17,3.0594,1.3736,1.6858
2020-11-16,2.5704,1.228,1.3424
2020-11-13,2.0759,1.0405,1.0354
2020-11-12,1.5978,0.8226,0.7753
2020-11-11,1.1935,0.6238,0.5696
2020-11-10,0.9461,0.5325,0.4137
2020-11-09,0.6839,0.4033,0.2806
2020-11-06,0.3921,0.2124,0.1797
2020-11-05,0.124,-0.0026,0.1266
2020-11-04,-0.0795,-0.2068,0.1273
2020-11-03,-0.0876,-0.2666,0.179
2020-11-02,0.0255,-0.2202,0.2456
2020-10-30,0.1552,-0.1455,0.3007
2020-10-29,0.3297,-0.0074,0.3371
2020-10-28,0.4194,0.0805,0.3389
2020-10-27,0.5033,0.1845,0.3188
2020-10-26,0.4941,0.2214,0.2727
2020-10-23,0.5597,0.3424,0.2173
2020-10-22,0.4571,0.3254,0.1317
2020-10-21,0.3918,0.3415,0.0504
2020-10-20,0.3791,0.4141,-0.035
2020-10-19,0.0805,0.219,-0.1385
2020-10-16,0.0566,0.2499,-0.1933
2020-10-15,0.0221,0.2779,-0.2558
2020-10-14,-0.0201,0.3051,-0.3252
2020-10-13,-0.0401,0.3614,-0.4015
2020-10-12,-0.1028,0.3891,-0.4919
2020-10-09,-0.2301,0.359,-0.5891
2020-10-08,-0.4483,0.2306,-0.6789
2020-10-07,-0.6318,0.1048,-0.7365
2020-10-06,-0.9422,-0.1795,-0.7627
2020-10-05,-0.9755,-0.2577,-0.7178
2020-10-02,-0.8929,-0.2395,-0.6534
2020-10-01,-0.7846,-0.1911,-0.5935
2020-09-30,-0.7776,-0.2318,-0.5458
2020-09-29,-0.7165,-0.2287,-0.4878
2020-09-28,-0.6159,-0.1853,-0.4307
2020-09-25,-0.5723,-0.1879,-0.3843
2020-09-24,-0.5632,-0.2258,-0.3374
2020-09-23,-0.5037,-0.2228,-0.2809
2020-09-22,-0.4286,-0.2034,-0.2252
2020-09-21,-0.3357,-0.1613,-0.1744
2020-09-18,-0.257,-0.123,-0.134
2020-09-17,-0.163,-0.0597,-0.1033
2020-09-16,-0.0722,0.0161,-0.0884
2020-09-15,-0.1355,-0.0431,-0.0924
2020-09-14,-0.2582,-0.1765,-0.0816
2020-09-11,-0.3508,-0.3133,-0.0375
2020-09-10,-0.3154,-0.3562,0.0408
2020-09-09,-0.3001,-0.43,0.1299
2020-09-08,-0.2783,-0.5157,0.2374
2020-09-04,-0.1874,-0.5538,0.3663
2020-09-03,-0.0056,-0.5103,0.5048
2020-09-02,0.2297,-0.4026,0.6324
2020-09-01,0.3139,-0.4191,0.733
2020-08-31,0.3058,-0.532,0.8378
2020-08-28,0.3805,-0.5903,0.9708
2020-08-27,0.4918,-0.6265,1.1184
2020-08-26,0.6532,-0.6218,1.275
2020-08-25,0.7743,-0.6561,1.4305
2020-08-24,0.8607,-0.7339,1.5945
2020-08-21,0.995,-0.783,1.778
2020-08-20,1.2568,-0.7169,1.9737
2020-08-19,1.5411,-0.6118,2.153
2020-08-18,1.8511,-0.4548,2.3059
2020-08-17,1.896,-0.5236,2.4196
2020-08-14,2.0775,-0.473,2.5505
2020-08-13,2.3481,-0.3206,2.6688
2020-08-12,2.6136,-0.1353,2.7489
2020-08-11,2.723,-0.0598,2.7828
2020-08-10,2.9818,0.1841,2.7977
2020-08-07,3.17,0.4183,2.7517
2020-08-06,3.2603,0.6132,2.6471
2020-08-05,3.1785,0.6847,2.4938
2020-08-04,2.7386,0.416,2.3226
2020-08-03,2.5131,0.2944,2.2186
2020-07-31,2.2833,0.1383,2.145
2020-07-30,2.0903,-0.0202,2.1105
2020-07-29,1.8715,-0.244,2.1155
2020-07-28,1.7523,-0.4242,2.1765
2020-07-27,1.8049,-0.4777,2.2826
2020-07-24,1.8417,-0.5603,2.402
2020-07-23,1.9697,-0.5723,2.5421
2020-07-22,2.243,-0.4422,2.6851
2020-07-21,2.4472,-0.3485,2.7957
2020-07-20,2.5408,-0.342,2.8828
2020-07-17,2.7008,-0.2675,2.9683
2020-07-16,2.9685,-0.0667,3.0352
2020-07-15,3.1194,0.0676,3.0519
2020-07-14,3.228,0.193,3.035
2020-07-13,3.3399,0.3532,2.9867
2020-07-10,3.3904,0.492,2.8984
2020-07-09,3.373,0.5976,2.7754
2020-07-08,3.1806,0.5546,2.626
2020-07-07,2.958,0.4706,2.4874
2020-07-06,2.6358,0.2661,2.3697
2020-07-02,2.3309,0.0277,2.3032
2020-07-01,2.1828,-0.1135,2.2963
2020-06-30,2.3102,-0.0145,2.3247
2020-06-29,2.3954,0.0671,2.3283
2020-06-26,2.5222,0.2107,2.3115
2020-06-25,2.5293,0.2705,2.2588
2020-06-24,2.4354,0.2442,2.1912
2020-06-23,2.3707,0.2405,2.1302
2020-06-22,2.2293,0.1592,2.07
2020-06-19,2.2067,0.1764,2.0302
2020-06-18,2.1753,0.1891,1.9861
2020-06-17,2.1545,0.2156,1.9388
2020-06-16,2.0874,0.2025,1.8849
2020-06-15,1.9511,0.1168,1.8343
2020-06-12,1.8801,0.0749,1.8051
2020-06-11,1.9515,0.1651,1.7864
2020-06-10,2.0783,0.3332,1.7451
2020-06-09,2.0573,0.3955,1.6618
2020-06-08,1.9792,0.4162,1.563
2020-06-05,1.8558,0.3969,1.4589
2020-06-04,1.8566,0.4969,1.3597
2020-06-03,1.8112,0.5757,1.2355
2020-06-02,1.5376,0.4461,1.0915
2020-06-01,1.278,0.298,0.98
2020-05-29,1.1429,0.2374,0.9055
2020-05-28,1.0404,0.1943,0.8462
2020-05-27,1.0075,0.2099,0.7976
2020-05-26,0.9844,0.2393,0.7451
2020-05-22,0.9254,0.2401,0.6853
2020-05-21,0.9261,0.3009,0.6252
2020-05-20,0.8953,0.3453,0.55
2020-05-19,0.7249,0.2612,0.4637
2020-05-18,0.6026,0.2042,0.3984
2020-05-15,0.5814,0.2341,0.3473
2020-05-14,0.5051,0.2163,0.2888
2020-05-13,0.4361,0.2014,0.2347
2020-05-12,0.3905,0.2061,0.1844
2020-05-11,0.3144,0.1815,0.1328
2020-05-08,0.2228,0.1354,0.0874
2020-05-07,0.1353,0.0817,0.0536
2020-05-06,0.0838,0.0506,0.0332
2020-05-05,0.0494,0.0289,0.0205
2020-05-04,0.0394,0.0261,0.0133
2020-05-01,0.0555,0.0487,0.0068
2020-04-30,0.0733,0.0787,-0.0054
2020-04-29,0.0226,0.0477,-0.0251
2020-04-28,-0.0016,0.0354,-0.037
2020-04-27,-0.0041,0.0418,-0.0458
2020-04-24,-0.0071,0.0492,-0.0563
2020-04-23,-0.0129,0.0556,-0.0686
2020-04-22,-0.0029,0.0796,-0.0825
2020-04-21,-0.0267,0.0757,-0.1024
2020-04-20,-0.0016,0.1197,-0.1213
2020-04-17,-0.0073,0.1439,-0.1513
2020-04-16,-0.0339,0.1534,-0.1872
2020-04-15,-0.0642,0.1614,-0.2256
2020-04-14,-0.0846,0.1814,-0.2659
2020-04-13,-0.1196,0.1917,-0.3113
2020-04-09,-0.1443,0.2149,-0.3592
2020-04-08,-0.192,0.221,-0.4129
2020-04-07,-0.2521,0.2161,-0.4682
2020-04-06,-0.317,0.2052,-0.5222
2020-04-03,-0.4217,0.1518,-0.5735
2020-04-02,-0.5227,0.0888,-0.6115
2020-04-01,-0.6034,0.0303,-0.6337
2020-03-31,-0.6731,-0.0318,-0.6413
2020-03-30,-0.7085,-0.0752,-0.6333
2020-03-27,-0.7199,-0.1054,-0.6145
2020-03-26,-0.7434,-0.1553,-0.5882
2020-03-25,-0.8003,-0.2509,-0.5493
2020-03-24,-0.8307,-0.3441,-0.4866
2020-03-23,-0.7963,-0.3957,-0.4006
2020-03-20,-0.6838,-0.3821,-0.3017
2020-03-19,-0.5638,-0.3577,-0.2061
2020-03-18,-0.4127,-0.296,-0.1167
2020-03-17,-0.2261,-0.1834,-0.0427
2020-03-16,-0.2361,-0.2392,0.0031
2020-03-13,-0.1924,-0.2554,0.063
2020-03-12,-0.0993,-0.2261,0.1268
2020-03-11,0.0292,-0.1542,0.1833
2020-03-10,0.0807,-0.1412,0.2219
