date,MACD_Signal,MACD,MACD_Hist
2021-01-22,3.7819,2.5276,-1.2543
2021-01-21,4.0955,2.957,-1.1385
2021-01-20,4.3801,3.7182,-0.6619
2021-01-19,4.5456,4.2879,-0.2577
2021-01-15,4.61,4.6773,0.0673
2021-01-14,4.5932,4.9754,0.3822
2021-01-13,4.4976,4.857,0.3594
2021-01-12,4.4078,4.959,0.5512
2021-01-11,4.27,5.1626,0.8926
2021-01-08,4.0469,5.5021,1.4553
2021-01-07,3.6830000000000003,5.1407,1.4577
2021-01-06,3.3186,4.5486,1.23
2021-01-05,3.0111,3.8327,0.8216
2021-01-04,2.8057,3.3233,0.5176
2020-12-31,2.6763,3.0658,0.3894
2020-12-30,2.5789999999999997,3.0060000000000002,0.4270000000000001
2020-12-29,2.4722,2.7944,0.3221
2020-12-28,2.3917,2.7707,0.379
2020-12-24,2.2969,2.6626,0.3656
2020-12-23,2.2055,2.8014,0.5959
2020-12-22,2.0565,2.7821,0.7256
2020-12-21,1.8751,2.5633,0.6882
2020-12-18,1.7031,2.2019,0.4988
2020-12-17,1.5784,1.8461,0.2677
2020-12-16,1.5115,1.4902,-0.0212
2020-12-15,1.5168,1.2629,-0.2539
2020-12-14,1.5802,1.2144,-0.3658
2020-12-11,1.6717,1.2352,-0.4364
2020-12-10,1.7808,1.4128,-0.3679
2020-12-09,1.8728,1.5314,-0.3413
2020-12-08,1.9581,1.8030000000000002,-0.1551
2020-12-07,1.9969,2.0329,0.036000000000000004
2020-12-04,1.9879,2.1439,0.1561
2020-12-03,1.9488,2.1771,0.2283
2020-12-02,1.8918,2.1084,0.2166
2020-12-01,1.8376,2.0521,0.2145
2020-11-30,1.784,1.9148,0.1308
2020-11-27,1.7513,1.7673,0.016
2020-11-25,1.7473,1.9971,0.2498
2020-11-24,1.6849,2.0547,0.3698
2020-11-23,1.5924,1.9461,0.3537
2020-11-20,1.504,1.8026,0.2987
2020-11-19,1.4293,1.6839,0.2546
2020-11-18,1.3657,1.6239,0.2582
2020-11-17,1.3011,1.5705,0.2694
2020-11-16,1.2337,1.4267,0.1929
