date,MACD_Signal,MACD,MACD_Hist
2021-02-02,0.743,0.3787,-0.3643
2021-02-01,0.9252,0.5149,-0.4102
2021-01-29,1.6877,1.7119,0.0243
2021-01-28,1.6816,1.8067,0.1251
2021-01-27,1.6503,1.9951,0.3448
2021-01-26,1.5641,2.1251,0.561
2021-01-25,1.4239,2.1358,0.7120000000000001
2021-01-22,1.2459,1.9699,0.7240000000000001
2021-01-21,1.0649,1.8536,0.7887
2021-01-20,0.8677,1.6741,0.8064
2021-01-19,0.6661,1.3179,0.6518
2021-01-15,0.5032,0.9377,0.4346
2021-01-14,0.3945,0.8197,0.4251
2021-01-13,0.2883,0.7517,0.4635
2021-01-12,0.1724,0.7416,0.5692
2021-01-11,0.0301,0.6629999999999999,0.6329
2021-01-08,-0.1281,0.5092,0.6373
2021-01-07,-0.2875,0.2515,0.5389
2021-01-06,-0.4222,-0.0282,0.394
2021-01-05,-0.5207,-0.3266,0.1941
2021-01-04,-0.5692,-0.5042,0.065
2020-12-31,-0.5855,-0.7348,-0.1494
2020-12-30,-0.5481,-0.8301,-0.282
2020-12-29,-0.4776,-0.7757,-0.2981
2020-12-28,-0.4031,-0.7133,-0.3102
2020-12-24,-0.3256,-0.6294,-0.3038
2020-12-23,-0.2496,-0.5315,-0.2819
2020-12-22,-0.1791,-0.4303,-0.2512
2020-12-21,-0.1163,-0.2563,-0.14
2020-12-18,-0.0813,-0.1872,-0.1059
2020-12-17,-0.0549,-0.1513,-0.0964
2020-12-16,-0.0308,-0.1022,-0.0715
2020-12-15,-0.0129,-0.0249,-0.012
2020-12-14,-0.0099,0.0243,0.0342
2020-12-11,-0.0184,0.045,0.0634
2020-12-10,-0.0343,0.0466,0.0809
2020-12-09,-0.0545,0.0791,0.1336
2020-12-08,-0.0879,0.0822,0.1702
2020-12-07,-0.1305,0.0498,0.1803
2020-12-04,-0.1755,0.0419,0.2175
2020-12-03,-0.2299,-0.0422,0.1877
2020-12-02,-0.2768,-0.0786,0.1983
2020-12-01,-0.3264,-0.151,0.1754
2020-11-30,-0.3702,-0.2402,0.13
2020-11-27,-0.4027,-0.3053,0.0975
2020-11-25,-0.4271,-0.3195,0.1076
2020-11-24,-0.454,-0.2796,0.1744
2020-11-23,-0.4976,-0.3001,0.1975
2020-11-20,-0.547,-0.2857,0.2613
2020-11-19,-0.6123,-0.2853,0.327
2020-11-18,-0.6940000000000001,-0.3331,0.361
2020-11-17,-0.7843,-0.4163,0.368
2020-11-16,-0.8763,-0.5235,0.3528
2020-11-13,-0.9645,-0.6648,0.2997
2020-11-12,-1.0394,-0.7847,0.2547
2020-11-11,-1.1031,-0.8654,0.2377
2020-11-10,-1.1625,-0.9678,0.1947
2020-11-09,-1.2112,-1.1369,0.0743
2020-11-06,-1.2298,-1.1781,0.0517
2020-11-05,-1.2427,-1.2155,0.0272
2020-11-04,-1.2495,-1.3019999999999998,-0.0525
2020-11-03,-1.2364,-1.4176,-0.1812
2020-11-02,-1.1911,-1.4398,-0.2488
2020-10-30,-1.1289,-1.4171,-0.2882
2020-10-29,-1.0568,-1.3291,-0.2723
