date,MACD,MACD_Hist,MACD_Signal
2021-01-29,-0.733,-0.2649,-0.468
2021-01-28,-0.6813,-0.2795,-0.4018
2021-01-27,-0.6126,-0.2806,-0.3319
2021-01-26,-0.4996,-0.2378,-0.2618
2021-01-25,-0.4602,-0.2579,-0.2023
2021-01-22,-0.447,-0.3091,-0.1378
2021-01-21,-0.4083,-0.3478,-0.0605
2021-01-20,-0.4935,-0.5199,0.0264
2021-01-19,-0.6063,-0.7627,0.1564
2021-01-15,-0.4554,-0.8025,0.3471
2021-01-14,-0.1085,-0.6561,0.5477
2021-01-13,0.117,-0.5947,0.7117
2021-01-12,0.3939,-0.4665,0.8604
2021-01-11,0.6653,-0.3117,0.977
2021-01-08,1.116,0.061,1.0549
2021-01-07,1.6404,0.6007,1.0397
2021-01-06,1.6607,0.7712,0.8895
2021-01-05,1.6197,0.923,0.6967
2021-01-04,1.2414,0.7755,0.466
2020-12-31,0.7956,0.5235,0.2721
2020-12-30,0.6191,0.4779,0.1412
2020-12-29,0.452,0.4303,0.0218
2020-12-28,0.3697,0.4555,-0.0858
2020-12-24,0.3244,0.5241,-0.1997
2020-12-23,0.1967,0.5274,-0.3307
2020-12-22,0.1021,0.5647,-0.4626
2020-12-21,0.098,0.7017,-0.6037
2020-12-18,-0.0502,0.729,-0.7792
2020-12-17,-0.2956,0.6658,-0.9614
2020-12-16,-0.6351,0.4928,-1.1279
2020-12-15,-0.8718,0.3792,-1.251
2020-12-14,-1.0636,0.2823,-1.3459
2020-12-11,-1.0485,0.368,-1.4164
2020-12-10,-1.1107,0.3977,-1.5084
2020-12-09,-1.1413,0.4665,-1.6078
2020-12-08,-1.1974,0.527,-1.7245
2020-12-07,-1.5571,0.2991,-1.8562
2020-12-04,-1.9314,-0.0004,-1.931
2020-12-03,-2.1194,-0.1885,-1.9309
2020-12-02,-2.3784,-0.4947,-1.8838
2020-12-01,-2.537,-0.7769,-1.7601
2020-11-30,-2.5721,-1.0062,-1.5659
2020-11-27,-2.2222,-0.9078,-1.3143
