date,MFI
2004-12-09,58.9411
2004-12-10,49.2479
2004-12-13,39.1324
2004-12-14,39.8722
2004-12-15,35.5114
2004-12-16,29.04
2004-12-17,26.0916
2004-12-20,31.5166
2004-12-21,27.3448
2004-12-22,29.9471
2004-12-23,22.971
2004-12-27,30.5531
2004-12-28,33.3945
2004-12-29,33.9287
2004-12-30,40.5401
2004-12-31,45.0296
2005-01-03,36.0811
2005-01-04,34.8535
2005-01-05,33.6675
2005-01-06,34.5083
2005-01-07,26.5888
2005-01-10,21.5058
2005-01-11,25.7894
2005-01-12,31.8048
2005-01-13,29.7724
2005-01-14,22.5553
2005-01-18,24.7346
2005-01-19,34.176
2005-01-20,29.4505
2005-01-21,30.3174
2005-01-24,42.3349
2005-01-25,46.2264
2005-01-26,42.3372
2005-01-27,46.5469
2005-01-28,62.7706
2005-01-31,60.3407
2005-02-01,52.925
2005-02-02,50.5838
2005-02-03,45.7758
2005-02-04,44.4622
2005-02-07,38.5988
2005-02-08,30.9179
2005-02-09,27.8191
2005-02-10,45.3339
2005-02-11,44.4665
2005-02-14,51.1566
2005-02-15,52.8474
2005-02-16,50.6958
2005-02-17,53.5999
2005-02-18,57.7088
2005-02-22,63.8215
2005-02-23,59.9515
2005-02-24,62.0132
2005-02-25,66.6611
2005-02-28,71.0315
2005-03-01,66.7643
2005-03-02,71.3051
2005-03-03,57.6367
2005-03-04,56.0567
2005-03-07,54.1784
2005-03-08,56.3489
2005-03-09,65.3072
2005-03-10,64.0665
2005-03-11,66.5496
2005-03-14,59.5731
2005-03-15,60.2078
2005-03-16,66.6438
2005-03-17,61.2544
2005-03-18,57.2938
2005-03-21,56.1153
2005-03-22,53.3538
2005-03-23,52.1428
2005-03-24,48.1146
2005-03-28,46.8109
2005-03-29,43.8154
2005-03-30,39.9054
2005-03-31,38.0615
2005-04-01,27.369
2005-04-04,26.323
2005-04-05,30.242
2005-04-06,28.3393
2005-04-07,37.9299
2005-04-08,38.2824
2005-04-11,46.2997
2005-04-12,47.3902
2005-04-13,54.7206
2005-04-14,49.2226
2005-04-15,51.9173
2005-04-18,51.3138
2005-04-19,54.9837
2005-04-20,54.8026
2005-04-21,57.1492
2005-04-22,64.091
2005-04-25,60.1181
2005-04-26,59.9954
2005-04-27,47.5794
2005-04-28,45.0404
2005-04-29,51.6512
2005-05-02,52.387
2005-05-03,49.3328
2005-05-04,57.8555
2005-05-05,55.1743
2005-05-06,45.764
2005-05-09,39.8066
2005-05-10,37.6633
2005-05-11,42.2864
2005-05-12,35.7943
2005-05-13,36.0035
2005-05-16,30.0038
2005-05-17,37.2707
2005-05-18,48.4516
2005-05-19,34.9005
2005-05-20,36.6875
2005-05-23,29.8582
2005-05-24,33.4193
2005-05-25,37.0648
2005-05-26,43.9177
2005-05-27,48.9755
2005-05-31,41.2212
2005-06-01,36.2878
2005-06-02,51.8869
2005-06-03,58.5646
2005-06-06,63.3772
2005-06-07,61.1416
2005-06-08,56.9134
2005-06-09,56.7474
2005-06-10,60.7807
2005-06-13,74.5557
2005-06-14,70.7786
2005-06-15,71.6204
2005-06-16,74.1839
2005-06-17,73.6996
2005-06-20,83.4536
2005-06-21,86.7866
2005-06-22,78.3202
2005-06-23,76.5189
2005-06-24,71.3493
2005-06-27,69.6901
2005-06-28,67.4216
2005-06-29,71.7359
2005-06-30,65.2136
2005-07-01,54.7974
2005-07-05,50.1914
2005-07-06,47.4534
2005-07-07,53.3548
2005-07-08,47.1337
2005-07-11,49.0124
2005-07-12,53.431
2005-07-13,54.1954
2005-07-14,46.8214
2005-07-15,45.5794
2005-07-18,49.9795
2005-07-19,50.4468
2005-07-20,52.6052
2005-07-21,58.5412
2005-07-22,61.4549
2005-07-25,72.1208
2005-07-26,68.4358
2005-07-27,63.8512
2005-07-28,72.3135
2005-07-29,70.9135
2005-08-01,71.2425
2005-08-02,72.1579
2005-08-03,79.9059
2005-08-04,85.0021
2005-08-05,79.7003
2005-08-08,79.6424
2005-08-09,72.0165
2005-08-10,70.4395
2005-08-11,75.9059
2005-08-12,76.3938
2005-08-15,73.0744
2005-08-16,73.5695
2005-08-17,61.5031
2005-08-18,55.887
2005-08-19,50.1837
2005-08-22,54.1973
2005-08-23,51.9076
2005-08-24,47.1776
2005-08-25,54.4338
2005-08-26,53.8713
2005-08-29,61.1304
2005-08-30,53.6002
2005-08-31,53.981
2005-09-01,54.0963
2005-09-02,61.1043
2005-09-06,59.0192
2005-09-07,67.8568
2005-09-08,73.4726
2005-09-09,78.3222
2005-09-12,78.2061
2005-09-13,73.8257
2005-09-14,79.1235
2005-09-15,79.6764
2005-09-16,86.6838
2005-09-19,88.9638
2005-09-20,89.4376
2005-09-21,89.9903
2005-09-22,81.5943
2005-09-23,74.1597
2005-09-26,74.6632
2005-09-27,67.9796
2005-09-28,70.3413
2005-09-29,71.7428
2005-09-30,68.7064
2005-10-03,66.291
2005-10-04,66.3758
2005-10-05,61.328
2005-10-06,60.4526
2005-10-07,55.1066
2005-10-10,60.4402
2005-10-11,59.3388
2005-10-12,56.2441
2005-10-13,55.6784
2005-10-14,49.6785
2005-10-17,56.0797
2005-10-18,48.6848
2005-10-19,38.8137
2005-10-20,38.2274
2005-10-21,43.9714
2005-10-24,44.5053
2005-10-25,52.72
2005-10-26,45.9449
2005-10-27,47.0304
2005-10-28,42.8178
2005-10-31,34.568
2005-11-01,35.1695
2005-11-02,40.4575
2005-11-03,41.5256
2005-11-04,35.3427
2005-11-07,38.7517
2005-11-08,44.4332
2005-11-09,50.222
2005-11-10,49.0623
2005-11-11,47.879
2005-11-14,38.5461
2005-11-15,46.5025
2005-11-16,46.2683
2005-11-17,58.7512
2005-11-18,67.3237
2005-11-21,81.331
2005-11-22,82.8373
2005-11-23,82.3832
2005-11-25,89.2461
2005-11-28,89.8971
2005-11-29,90.5987
2005-11-30,83.7132
2005-12-01,84.7891
2005-12-02,84.9479
2005-12-05,87.8693
2005-12-06,88.3895
2005-12-07,88.427
2005-12-08,88.0755
2005-12-09,89.7426
2005-12-12,91.1918
2005-12-13,77.1105
2005-12-14,68.5835
2005-12-15,61.9284
2005-12-16,57.2356
2005-12-19,57.0917
2005-12-20,54.5546
2005-12-21,48.7755
2005-12-22,49.9249
2005-12-23,50.7875
2005-12-27,52.3412
2005-12-28,54.475
2005-12-29,49.3836
2005-12-30,46.505
2006-01-03,43.6625
2006-01-04,54.1561
2006-01-05,53.2667
2006-01-06,61.6335
2006-01-09,68.0255
2006-01-10,60.5747
2006-01-11,67.279
2006-01-12,67.2549
2006-01-13,68.1446
2006-01-17,69.4116
2006-01-18,62.5529
2006-01-19,62.8984
2006-01-20,69.6357
2006-01-23,70.7173
2006-01-24,65.4408
2006-01-25,67.7644
2006-01-26,70.4896
2006-01-27,70.4244
2006-01-30,69.9073
2006-01-31,77.5962
2006-02-01,71.0764
2006-02-02,76.598
2006-02-03,69.8713
2006-02-06,69.2111
2006-02-07,64.2661
2006-02-08,57.4542
2006-02-09,56.3497
2006-02-10,50.2397
2006-02-13,49.2141
2006-02-14,44.4336
2006-02-15,44.2159
2006-02-16,45.1098
2006-02-17,44.9942
2006-02-21,43.5695
2006-02-22,49.7465
2006-02-23,43.9291
2006-02-24,51.5992
2006-02-27,47.1057
2006-02-28,58.5121
2006-03-01,67.1539
2006-03-02,66.3093
2006-03-03,67.7038
2006-03-06,67.1544
2006-03-07,59.795
2006-03-08,57.8629
2006-03-09,56.5471
2006-03-10,47.4961
2006-03-13,46.5029
2006-03-14,45.3663
2006-03-15,51.6501
2006-03-16,44.3773
2006-03-17,48.3735
2006-03-20,46.8588
2006-03-21,38.8505
2006-03-22,33.4204
2006-03-23,32.9202
