date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,53.61,53.8,52.35,53.5,29768095.0
2021-02-10,55.61,55.69,52.51,54.88,55046641.0
2021-02-09,56.54,56.94,55.735,56.06,24623982.0
2021-02-08,56.0,57.05,55.67,56.88,25836160.0
2021-02-05,54.82,55.05,54.15,54.41,16797063.0
2021-02-04,53.34,54.56,52.97,54.13,19024665.0
2021-02-03,53.3,55.05,53.19,54.25,30706457.0
2021-02-02,52.3,52.98,51.955,52.72,20098196.0
2021-02-01,51.46,51.95,50.44,51.51,20830468.0
2021-01-29,50.7,51.78,49.96,50.68,26466798.0
2021-01-28,49.88,53.0,49.56,51.04,37573424.0
2021-01-27,50.8,50.86,48.71,49.34,38315162.0
2021-01-26,53.39,53.585,51.81,52.04,21648200.0
2021-01-25,54.95,55.1559,51.02,53.39,39844155.0
2021-01-22,54.5,55.77,54.27,55.4,23895591.0
2021-01-21,56.325,56.97,54.76,55.08,39886575.0
2021-01-20,56.23,56.6,54.85,55.86,47428520.0
2021-01-19,53.69,55.1399,52.26,54.84,64143971.0
2021-01-15,51.3,51.4,49.255,49.97,25293742.0
2021-01-14,49.5,51.87,49.33,51.53,36839846.0
2021-01-13,50.78,50.97,48.06,48.73,49229702.0
2021-01-12,46.3,48.95,45.65,47.82,62762074.0
2021-01-11,43.015,45.28,42.63,45.01,25887262.0
2021-01-08,43.31,43.49,42.315,43.06,18426226.0
2021-01-07,43.98,43.98,42.96,43.32,13625731.0
2021-01-06,41.92,43.85,41.86,42.98,22694900.0
2021-01-05,40.06,41.84,40.0404,41.66,18045831.0
2021-01-04,41.95,42.12,40.14,40.51,15768079.0
2020-12-31,41.76,41.8,41.2,41.64,11101333.0
2020-12-30,41.65,42.2,41.57,41.84,6491928.0
2020-12-29,41.89,42.13,41.37,41.57,7987675.0
2020-12-28,42.0,42.19,41.63,41.66,9900615.0
2020-12-24,42.06,42.2,41.205,41.58,7825369.0
2020-12-23,41.18,42.89,41.1,42.45,17573082.0
2020-12-22,41.35,41.4,40.55,40.9,10602715.0
2020-12-21,40.26,41.5,40.06,41.21,15533942.0
2020-12-18,42.02,42.05,40.59,41.01,21808273.0
2020-12-17,41.71,42.03,41.43,42.03,12081557.0
2020-12-16,41.79,41.87,40.81,41.42,15134093.0
2020-12-15,41.99,42.1605,41.31,41.66,12531589.0
2020-12-14,42.49,42.54,41.42,41.62,9995687.0
2020-12-11,42.48,42.68,41.62,41.92,15555640.0
2020-12-10,43.83,43.88,42.46,42.87,18235572.0
2020-12-09,44.13,44.55,43.91,44.43,12470461.0
2020-12-08,43.72,44.18,43.42,43.8,10160435.0
2020-12-07,44.4,44.4,43.575,44.31,9207532.0
2020-12-04,44.4,44.735,44.13,44.4,11895202.0
2020-12-03,44.79,44.87,43.96,44.09,13437833.0
2020-12-02,44.0,44.5999,43.67,44.58,11280736.0
2020-12-01,44.78,45.45,44.0,44.68,12600649.0
2020-11-30,44.96,45.32,43.62,43.84,21600464.0
2020-11-27,45.35,45.59,44.75,45.06,7528791.0
2020-11-25,45.61,46.06,44.64,45.46,16122250.0
2020-11-24,45.91,46.71,45.07,46.46,19775035.0
2020-11-23,43.96,45.16,43.56,44.77,22569560.0
2020-11-20,42.81,43.32,42.37,43.04,16887844.0
2020-11-19,42.61,43.185,42.18,42.82,17214470.0
2020-11-18,42.19,44.13,42.06,42.72,27632541.0
2020-11-17,41.85,42.54,41.14,41.98,16088206.0
2020-11-16,41.77,42.15,40.92,42.13,16692064.0
2020-11-13,39.69,41.32,39.595,41.19,15021310.0
2020-11-12,40.11,40.24,38.8113,39.32,20268329.0
2020-11-11,41.29,41.77,40.11,40.56,19841052.0
2020-11-10,39.75,41.59,39.56,41.08,26746937.0
2020-11-09,38.7203,39.72,38.63,38.96,22100754.0
2020-11-06,37.5,38.14,37.01,37.47,18089201.0
2020-11-05,36.9,37.25,35.34,37.14,35075004.0
2020-11-04,35.31,35.77,34.23,35.24,14740620.0
2020-11-03,35.1,35.985,34.8934,35.35,11439110.0
2020-11-02,35.12,35.3849,34.38,34.55,14648408.0
2020-10-30,34.46,35.03,33.96,34.53,13074624.0
2020-10-29,34.51,35.66,34.36,34.89,14230351.0
2020-10-28,33.73,34.63,33.55,34.09,15010801.0
2020-10-27,35.55,35.855,34.75,34.89,11168566.0
2020-10-26,36.27,36.43,35.2,35.82,15448127.0
2020-10-23,37.49,38.03,36.78,36.83,16296331.0
2020-10-22,35.9,37.43,35.88,37.41,23288870.0
2020-10-21,36.1,36.28,35.13,35.77,23277873.0
2020-10-20,33.96,36.365,33.77,35.6,38660942.0
2020-10-19,33.5,33.865,33.05,33.35,10527294.0
2020-10-16,32.88,33.47,32.68,33.45,11956111.0
2020-10-15,30.99,32.69,30.95,32.59,11829829.0
2020-10-14,32.08,32.24,31.53,31.67,8018000.0
2020-10-13,32.13,32.28,31.465,31.87,7842070.0
2020-10-12,32.36,32.67,32.1217,32.21,6932582.0
2020-10-09,32.3,32.68,32.015,32.16,9411657.0
2020-10-08,31.9,32.635,31.795,32.21,17323331.0
2020-10-07,30.85,31.76,30.81,31.62,11794973.0
2020-10-06,31.27,31.45,30.3,30.4,10293663.0
2020-10-05,30.85,31.29,30.8,30.96,8314143.0
2020-10-02,29.65,30.9,29.59,30.46,9474033.0
2020-10-01,29.52,30.51,29.15,30.38,15052939.0
2020-09-30,28.89,29.82,28.89,29.59,11523758.0
2020-09-29,29.27,29.4,28.5,28.74,7438617.0
2020-09-28,29.82,30.04,29.38,29.44,8395670.0
2020-09-25,28.86,29.22,28.56,29.0,9350419.0
2020-09-24,29.05,29.585,28.24,29.11,12393740.0
2020-09-23,29.49,29.99,29.2001,29.34,10899715.0
2020-09-22,29.85,30.36,29.325,29.44,11106814.0
2020-09-21,30.3,30.42,29.16,30.0,20577928.0
2020-09-18,31.85,32.05,31.36,31.5,15040936.0
2020-09-17,31.31,31.95,30.95,31.92,11459926.0
2020-09-16,32.68,32.79,31.74,31.79,16402402.0
2020-09-15,31.36,33.14,30.825,31.58,21096305.0
2020-09-14,30.72,31.56,30.535,31.18,11972070.0
2020-09-11,30.3,30.57,29.87,30.46,13638656.0
2020-09-10,31.82,31.88,30.14,30.17,24848223.0
2020-09-09,32.11,32.75,31.725,31.95,22376277.0
2020-09-08,31.72,33.33,31.05,32.38,52000038.0
