date,MACD_Signal,MACD_Hist,MACD
2021-01-22,2.2522,1.2158,3.468
2021-01-21,1.9483,1.3065,3.2548
2021-01-20,1.6217,1.3463,2.968
2021-01-19,1.2851,1.1943,2.4793
2021-01-15,0.9865,0.9369,1.9234
2021-01-14,0.7523,0.9294,1.6817
2021-01-13,0.5199,0.67,1.1899
2021-01-12,0.3525,0.4775,0.83
2021-01-11,0.2331,0.2181,0.4512
2021-01-08,0.1785,0.0686,0.2472
2021-01-07,0.1614,0.0204,0.1818
2021-01-06,0.1563,-0.087,0.0693
2021-01-05,0.17800000000000002,-0.2188,-0.0408
2021-01-04,0.2327,-0.27899999999999997,-0.0463
2020-12-31,0.3025,-0.23800000000000002,0.0645
2020-12-30,0.36200000000000004,-0.2722,0.0899
2020-12-29,0.4301,-0.3295,0.1006
2020-12-28,0.5124,-0.3721,0.1403
2020-12-24,0.6055,-0.4257,0.1798
2020-12-23,0.7119,-0.4761,0.2357
2020-12-22,0.8309,-0.6158,0.2151
2020-12-21,0.9849,-0.6414,0.3435
2020-12-18,1.1452,-0.6744,0.4708
2020-12-17,1.3138,-0.667,0.6468
2020-12-16,1.4805,-0.7224,0.7582
2020-12-15,1.6611,-0.7097,0.9514
2020-12-14,1.8386,-0.6788,1.1597
2020-12-11,2.0083,-0.5954,1.4129
2020-12-10,2.1571,-0.4722,1.6849
2020-12-09,2.2752,-0.3643,1.9108
2020-12-08,2.3663,-0.3537,2.0126
2020-12-07,2.4547,-0.2773,2.1773
2020-12-04,2.524,-0.22,2.3040000000000003
2020-12-03,2.5789999999999997,-0.156,2.423
2020-12-02,2.6180000000000003,-0.0467,2.5713
2020-12-01,2.6297,0.0435,2.6731
2020-11-30,2.6188,0.1353,2.7541
2020-11-27,2.585,0.318,2.903
2020-11-25,2.5055,0.42100000000000004,2.9265
2020-11-24,2.4002,0.473,2.8732
2020-11-23,2.282,0.3797,2.6617
2020-11-20,2.187,0.3379,2.525
2020-11-19,2.1026,0.3873,2.4899
2020-11-18,2.0057,0.4256,2.4313
2020-11-17,1.8994,0.4320000000000001,2.3314
2020-11-16,1.7914,0.4539,2.2452
2020-11-13,1.6779,0.4095,2.0873
2020-11-12,1.5755,0.3757,1.9512
2020-11-11,1.4816,0.4578,1.9394
2020-11-10,1.3671,0.4028,1.7699
2020-11-09,1.2665,0.2085,1.4749
2020-11-06,1.2143,0.0785,1.2928
2020-11-05,1.1947,-0.0015,1.1932
2020-11-04,1.1951,-0.1127,1.0824
