date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,35.74,35.955,35.42,35.88,1057342.0
2021-01-14,36.19,36.28,35.79,35.95,1929013.0
2021-01-13,37.51,37.62,36.01,36.03,1748828.0
2021-01-12,36.89,37.75,36.64,37.54,1626654.0
2021-01-11,35.78,36.74,35.69,36.55,1560824.0
2021-01-08,36.73,36.98,35.81,36.18,1913996.0
2021-01-07,36.11,36.82,35.91,36.76,2136877.0
2021-01-06,34.12,35.84,34.03,35.77,2552082.0
2021-01-05,33.4,34.63,33.4,34.59,1728517.0
2021-01-04,34.15,34.22,33.345,33.61,2106275.0
2020-12-31,34.03,34.08,33.73,33.93,1062016.0
2020-12-30,33.64,34.12,33.25,34.06,1236940.0
2020-12-29,34.15,34.19,33.49,33.64,1339791.0
2020-12-28,33.93,34.15,33.8223,33.92,1498190.0
2020-12-24,34.02,34.04,33.659,33.85,445050.0
2020-12-23,33.95,34.3,33.89,33.96,980390.0
2020-12-22,33.55,34.005,33.46,33.81,1812032.0
2020-12-21,32.94,33.5759,32.675,33.51,1435370.0
2020-12-18,33.77,33.86,33.15,33.42,4200989.0
2020-12-17,33.47,33.79,33.4,33.7,1488357.0
2020-12-16,33.62,33.62,33.1,33.39,1074605.0
2020-12-15,33.33,33.56,33.14,33.45,3717404.0
2020-12-14,33.53,33.62,32.94,33.01,3861997.0
2020-12-11,33.13,33.475,32.92,33.07,1620411.0
2020-12-10,33.28,33.38,32.94,33.25,1914762.0
2020-12-09,33.8,34.01,33.49,33.62,1024698.0
2020-12-08,33.68,33.75,33.41,33.65,1532356.0
2020-12-07,33.61,33.74,33.25,33.5,1162909.0
2020-12-04,33.33,33.87,33.225,33.86,1417596.0
2020-12-03,33.26,33.405,33.035,33.17,1521297.0
2020-12-02,33.12,33.45,33.0,33.04,1103754.0
2020-12-01,33.13,33.54,32.94,33.49,1177812.0
2020-11-30,32.71,32.81,32.47,32.6,1857985.0
2020-11-27,33.01,33.21,32.82,32.86,589025.0
2020-11-25,32.8,33.06,32.53,33.02,1475626.0
2020-11-24,32.88,33.105,32.48,33.02,1841875.0
2020-11-23,32.26,32.45,31.88,32.28,2692477.0
2020-11-20,31.9,32.25,31.775,31.88,1404878.0
2020-11-19,32.56,32.97,31.975,32.08,1353341.0
2020-11-18,33.3,33.4,32.53,32.54,2100669.0
2020-11-17,32.68,33.32,32.46,33.23,2076396.0
2020-11-16,32.13,32.74,31.98,32.735,2285183.0
2020-11-13,31.68,31.995,31.55,31.85,1548921.0
2020-11-12,31.16,31.49,31.02,31.46,2363047.0
2020-11-11,31.45,31.57,31.01,31.27,2449910.0
2020-11-10,31.34,31.65,31.06,31.31,1832154.0
2020-11-09,31.17,32.245,31.04,31.07,3481487.0
2020-11-06,29.85,30.47,29.27,30.4,1787582.0
2020-11-05,29.41,30.29,29.39,30.1,2493809.0
2020-11-04,29.01,29.65,28.81,29.24,2169009.0
2020-11-03,28.6,29.055,28.6,28.975,2192544.0
2020-11-02,27.98,28.29,27.88,28.29,2292506.0
2020-10-30,27.62,27.965,27.41,27.67,2715558.0
2020-10-29,27.4,27.89,27.07,27.73,2370384.0
2020-10-28,27.95,28.06,27.3225,27.39,1794780.0
2020-10-27,28.74,28.88,28.14,28.3,1917218.0
2020-10-26,28.92,29.18,28.4301,28.75,2647046.0
2020-10-23,30.19,30.61,29.33,29.44,3290534.0
2020-10-22,27.94,28.64,27.94,28.54,2166395.0
2020-10-21,27.975,28.18,27.65,28.08,1978757.0
2020-10-20,27.81,28.045,27.57,27.62,2312016.0
2020-10-19,27.56,27.69,27.18,27.36,1450320.0
2020-10-16,27.38,27.8,27.38,27.54,1433793.0
2020-10-15,26.95,27.42,26.9,27.38,1848755.0
2020-10-14,27.43,27.68,27.09,27.14,741420.0
2020-10-13,27.43,27.63,27.25,27.33,1615176.0
2020-10-12,27.68,27.74,27.515,27.61,1098472.0
2020-10-09,27.49,27.76,27.345,27.47,1091704.0
2020-10-08,27.28,27.4,27.05,27.23,1181326.0
2020-10-07,26.89,27.465,26.71,27.18,1783719.0
2020-10-06,26.68,27.215,26.37,26.59,1678080.0
2020-10-05,26.36,26.6482,26.28,26.56,1626086.0
2020-10-02,25.62,26.31,25.62,26.01,1095572.0
2020-10-01,25.83,26.15,25.78,26.04,1246729.0
2020-09-30,25.85,26.03,25.655,25.75,1985809.0
2020-09-29,25.65,25.845,25.6,25.62,1594387.0
2020-09-28,25.68,26.01,25.58,25.71,960170.0
2020-09-25,25.45,25.6,25.14,25.31,1382860.0
2020-09-24,25.16,25.83,24.99,25.52,1740614.0
2020-09-23,25.34,25.645,25.27,25.29,1719543.0
2020-09-22,25.37,25.6,25.165,25.33,1665822.0
2020-09-21,25.88,25.98,25.0129,25.23,1326324.0
2020-09-18,26.71,27.13,26.19,26.31,3976937.0
2020-09-17,26.05,26.68,25.88,26.56,1779780.0
2020-09-16,27.12,27.2199,26.36,26.41,1502836.0
2020-09-15,27.22,27.38,26.73,27.04,1250163.0
2020-09-14,26.8,27.185,26.74,27.03,1140732.0
2020-09-11,26.4,26.69,26.27,26.53,1400947.0
2020-09-10,26.9,27.05,26.28,26.35,1377913.0
2020-09-09,26.78,26.95,26.51,26.7,1245912.0
2020-09-08,26.74,26.94,26.34,26.47,2150360.0
2020-09-04,27.61,27.77,26.855,27.02,1743066.0
2020-09-03,28.09,28.235,27.2,27.32,1571185.0
2020-09-02,27.35,28.34,27.3,28.22,2023284.0
2020-09-01,26.99,27.315,26.63,27.26,1503664.0
2020-08-31,27.43,27.49,27.02,27.05,1489401.0
2020-08-28,27.57,27.78,27.195,27.28,2293211.0
2020-08-27,27.81,27.92,27.485,27.5,1780915.0
