date,MACD_Signal,MACD,MACD_Hist
2021-01-29,0.5367,0.052,-0.4847
2021-01-28,0.6578,0.2327,-0.4251
2021-01-27,0.7641,0.4091,-0.3551
2021-01-26,0.8529,0.6801,-0.1728
2021-01-25,0.8961,0.8299,-0.0662
2021-01-22,0.9126,0.8949,-0.0178
2021-01-21,0.9171,0.9149,-0.0021
2021-01-20,0.9176,0.9181,0.0005
2021-01-19,0.9175,0.9144,-0.0032
2021-01-15,0.9183,0.9803,0.062
2021-01-14,0.9028,1.0308,0.128
2021-01-13,0.8708,1.0732,0.2024
2021-01-12,0.8202,1.1036,0.2834
2021-01-11,0.7493,0.9725,0.2232
2021-01-08,0.6935,0.8919,0.1984
2021-01-07,0.6439,0.8137,0.1698
2021-01-06,0.6015,0.6431,0.0416
2021-01-05,0.5911,0.5285,-0.0626
2021-01-04,0.6067,0.4943,-0.1124
2020-12-31,0.6348,0.543,-0.0918
2020-12-30,0.6577,0.5648,-0.093
2020-12-29,0.681,0.5711,-0.1099
2020-12-28,0.7084,0.6135,-0.0949
2020-12-24,0.7322,0.6303,-0.1018
2020-12-23,0.7576,0.6497,-0.1079
2020-12-22,0.7846,0.6538,-0.1307
2020-12-21,0.8173,0.6648,-0.1524
2020-12-18,0.8554,0.6996,-0.1557
2020-12-17,0.8943,0.743,-0.1513
2020-12-16,0.9321,0.7591,-0.173
2020-12-15,0.9754,0.8001,-0.1753
2020-12-14,1.0192,0.8347,-0.1845
2020-12-11,1.0653,0.9114,-0.1539
2020-12-10,1.1038,0.9899,-0.1138
2020-12-09,1.1322,1.0575,-0.0747
2020-12-08,1.1509,1.0908,-0.0601
2020-12-07,1.1659,1.1144,-0.0515
2020-12-04,1.1788,1.1436,-0.0352
2020-12-03,1.1876,1.1276,-0.06
2020-12-02,1.2026,1.1608,-0.0418
2020-12-01,1.2131,1.1996,-0.0135
2020-11-30,1.2165,1.1859,-0.0306
2020-11-27,1.2241,1.2415,0.0174
2020-11-25,1.2198,1.268,0.0482
2020-11-24,1.2077,1.2672,0.0595
2020-11-23,1.1929,1.2477,0.0549
2020-11-20,1.1791,1.2798,0.1007
2020-11-19,1.154,1.3427,0.1888
2020-11-18,1.1068,1.3833,0.2765
2020-11-17,1.0377,1.3681,0.3305
2020-11-16,0.955,1.2589,0.3039
2020-11-13,0.8791,1.1515,0.2724
2020-11-12,0.811,1.0874,0.2764
2020-11-11,0.7419,1.0293,0.2875
2020-11-10,0.67,0.9596,0.2896
2020-11-09,0.5976,0.8525,0.2549
2020-11-06,0.5339,0.7278,0.1939
2020-11-05,0.4854,0.626,0.1406
2020-11-04,0.4502,0.5175,0.0672
2020-11-03,0.4334,0.4587,0.0253
2020-11-02,0.4271,0.4039,-0.0233
2020-10-30,0.4329,0.3975,-0.0354
2020-10-29,0.4418,0.4466,0.0048
2020-10-28,0.4406,0.4966,0.0561
2020-10-27,0.4266,0.5878,0.1612
2020-10-26,0.3863,0.6032,0.217
2020-10-23,0.332,0.5685,0.2365
2020-10-22,0.2729,0.4458,0.173
2020-10-21,0.2297,0.3742,0.1445
2020-10-20,0.1935,0.3239,0.1304
2020-10-19,0.1609,0.3018,0.1409
2020-10-16,0.1257,0.2955,0.1698
2020-10-15,0.0833,0.2649,0.1817
2020-10-14,0.0378,0.2383,0.2004
2020-10-13,-0.0123,0.2252,0.2374
2020-10-12,-0.0716,0.1859,0.2575
2020-10-09,-0.136,0.1046,0.2406
2020-10-08,-0.1962,0.0135,0.2097
2020-10-07,-0.2486,-0.0785,0.1701
2020-10-06,-0.2911,-0.1777,0.1134
2020-10-05,-0.3195,-0.2421,0.0774
2020-10-02,-0.3388,-0.3177,0.0211
2020-10-01,-0.3441,-0.3541,-0.01
2020-09-30,-0.3416,-0.3983,-0.0568
2020-09-29,-0.3274,-0.4197,-0.0924
2020-09-28,-0.3043,-0.4278,-0.1236
2020-09-25,-0.2734,-0.441,-0.1676
2020-09-24,-0.2315,-0.411,-0.1795
2020-09-23,-0.1866,-0.388,-0.2014
2020-09-22,-0.1363,-0.3297,-0.1934
2020-09-21,-0.0879,-0.2545,-0.1666
2020-09-18,-0.0463,-0.1447,-0.0985
2020-09-17,-0.0217,-0.1117,-0.09
2020-09-16,0.0008,-0.0931,-0.0939
2020-09-15,0.0243,-0.0529,-0.0772
2020-09-14,0.0436,-0.0644,-0.1081
2020-09-11,0.0706,-0.0772,-0.1479
2020-09-10,0.1076,-0.0419,-0.1495
2020-09-09,0.145,0.0219,-0.1231
2020-09-08,0.1758,0.0677,-0.108
2020-09-04,0.2028,0.1484,-0.0543
2020-09-03,0.2163,0.1938,-0.0226
2020-09-02,0.222,0.2184,-0.0035
2020-09-01,0.2229,0.1559,-0.067
2020-08-31,0.2396,0.1707,-0.0689
2020-08-28,0.2569,0.2084,-0.0485
2020-08-27,0.269,0.2302,-0.0388
2020-08-26,0.2787,0.2325,-0.0462
2020-08-25,0.2902,0.2138,-0.0765
2020-08-24,0.3094,0.2232,-0.0861
2020-08-21,0.3309,0.2401,-0.0908
2020-08-20,0.3536,0.3016,-0.052
2020-08-19,0.3666,0.3565,-0.0101
2020-08-18,0.3691,0.3966,0.0275
2020-08-17,0.3622,0.4103,0.0481
2020-08-14,0.3502,0.4066,0.0564
2020-08-13,0.3361,0.407,0.0709
2020-08-12,0.3184,0.3906,0.0722
2020-08-11,0.3003,0.3568,0.0565
2020-08-10,0.2862,0.3419,0.0557
2020-08-07,0.2723,0.332,0.0597
2020-08-06,0.2574,0.3237,0.0663
2020-08-05,0.2408,0.3255,0.0847
2020-08-04,0.2196,0.311,0.0914
