date,MFI
2021-01-22,56.9932
2021-01-21,62.602
2021-01-20,62.1446
2021-01-19,56.4213
2021-01-15,56.975
2021-01-14,58.5856
2021-01-13,65.661
2021-01-12,73.86399999999998
2021-01-11,67.0979
2021-01-08,53.6365
2021-01-07,61.0259
2021-01-06,54.293
2021-01-05,56.2171
2021-01-04,59.6481
2020-12-31,60.8432
2020-12-30,54.9234
2020-12-29,54.5522
2020-12-28,59.9529
2020-12-24,54.9746
2020-12-23,58.2412
2020-12-22,59.0118
2020-12-21,53.8467
2020-12-18,58.7415
2020-12-17,64.5077
2020-12-16,63.1216
2020-12-15,68.205
2020-12-14,65.4502
2020-12-11,63.3799
2020-12-10,64.1974
2020-12-09,66.1113
2020-12-08,57.9029
2020-12-07,58.90600000000001
2020-12-04,66.0305
2020-12-03,66.1005
2020-12-02,67.1283
2020-12-01,63.832
2020-11-30,57.7316
2020-11-27,66.9429
2020-11-25,68.1796
2020-11-24,69.0614
2020-11-23,69.1553
2020-11-20,68.3729
2020-11-19,73.8001
2020-11-18,79.1423
2020-11-17,79.4374
2020-11-16,73.8175
2020-11-13,67.4065
2020-11-12,60.3687
2020-11-11,61.3381
2020-11-10,68.6588
2020-11-09,74.5434
2020-11-06,73.2877
2020-11-05,68.4852
2020-11-04,67.2143
2020-11-03,60.8415
2020-11-02,56.2837
2020-10-30,49.5916
2020-10-29,46.5748
2020-10-28,53.0872
2020-10-27,59.0287
2020-10-26,66.5524
2020-10-23,76.5216
2020-10-22,74.3759
2020-10-21,67.9176
2020-10-20,66.5639
2020-10-19,65.7428
2020-10-16,65.617
2020-10-15,64.6319
2020-10-14,66.6099
2020-10-13,71.9467
2020-10-12,80.2918
2020-10-09,72.9228
2020-10-08,66.9187
2020-10-07,70.8359
2020-10-06,63.1635
2020-10-05,56.3336
2020-10-02,55.6627
2020-10-01,60.5332
2020-09-30,54.7553
2020-09-29,47.4966
2020-09-28,53.7786
2020-09-25,46.9794
2020-09-24,46.06
2020-09-23,39.1183
2020-09-22,40.3346
2020-09-21,40.4319
2020-09-18,40.0093
2020-09-17,25.4366
2020-09-16,33.4168
2020-09-15,38.6777
2020-09-14,38.9349
2020-09-11,38.2123
2020-09-10,39.0181
2020-09-09,40.0226
2020-09-08,34.2465
2020-09-04,36.61
2020-09-03,43.4801
2020-09-02,45.1411
2020-09-01,35.9535
2020-08-31,44.1592
2020-08-28,53.1798
2020-08-27,65.2321
2020-08-26,64.3176
2020-08-25,57.8462
2020-08-24,58.8803
2020-08-21,50.5454
2020-08-20,60.5809
2020-08-19,57.0139
2020-08-18,53.6427
2020-08-17,59.5262
2020-08-14,62.1688
2020-08-13,67.9309
2020-08-12,61.4214
2020-08-11,63.0867
2020-08-10,63.6818
2020-08-07,63.3677
2020-08-06,58.6114
2020-08-05,58.3223
2020-08-04,57.9768
2020-08-03,63.2474
2020-07-31,62.0318
2020-07-30,68.7444
2020-07-29,76.8341
2020-07-28,70.8648
2020-07-27,64.155
2020-07-24,56.9144
2020-07-23,68.6582
2020-07-22,66.3252
2020-07-21,56.7123
2020-07-20,59.7538
2020-07-17,67.5049
2020-07-16,62.0971
2020-07-15,55.4362
2020-07-14,48.0719
2020-07-13,40.6616
2020-07-10,34.0697
2020-07-09,40.7212
2020-07-08,39.7799
2020-07-07,39.2109
2020-07-06,46.6898
2020-07-02,41.7572
2020-07-01,45.1187
2020-06-30,44.1808
2020-06-29,45.2005
2020-06-26,39.3486
2020-06-25,46.0716
2020-06-24,53.7999
2020-06-23,53.2189
2020-06-22,58.8269
2020-06-19,63.3478
2020-06-18,60.2157
2020-06-17,60.5833
2020-06-16,60.9677
2020-06-15,59.4436
2020-06-12,65.2146
2020-06-11,62.7875
2020-06-10,64.7987
2020-06-09,62.2147
2020-06-08,68.6715
2020-06-05,68.4277
2020-06-04,67.7758
2020-06-03,71.6152
2020-06-02,61.2846
2020-06-01,55.0473
2020-05-29,47.2046
2020-05-28,55.2004
2020-05-27,62.7431
2020-05-26,62.1152
2020-05-22,63.0652
2020-05-21,64.4167
2020-05-20,64.01899999999999
2020-05-19,56.4573
2020-05-18,58.2768
2020-05-15,58.3643
2020-05-14,56.5549
2020-05-13,63.7287
2020-05-12,71.9137
2020-05-11,77.3931
2020-05-08,79.2844
2020-05-07,71.6277
2020-05-06,71.2518
2020-05-05,71.8391
2020-05-04,62.8966
2020-05-01,63.1182
2020-04-30,61.2107
2020-04-29,68.6559
2020-04-28,60.8881
2020-04-27,62.7112
2020-04-24,62.5558
2020-04-23,56.412
2020-04-22,50.3586
2020-04-21,44.038999999999994
2020-04-20,43.5517
2020-04-17,50.7495
