date,1. open,2. high,3. low,4. close,5. volume
2021-01-29,14.19,14.3594,13.21,13.31,2795570.0
2021-01-28,14.58,14.95,14.19,14.73,1142996.0
2021-01-27,14.2,15.09,14.16,14.62,1522657.0
2021-01-26,14.61,14.96,14.5501,14.77,721406.0
2021-01-25,14.76,14.925,14.15,14.66,1480723.0
2021-01-22,15.03,15.37,14.8,15.02,1356859.0
2021-01-21,14.96,15.19,14.52,15.16,1276203.0
2021-01-20,14.9,15.18,14.66,14.9,1148608.0
2021-01-19,15.15,15.15,14.61,14.87,1002539.0
2021-01-15,14.83,15.11,14.2,15.0,1169727.0
2021-01-14,15.35,15.56,14.77,14.82,1135096.0
2021-01-13,14.81,15.23,14.81,15.22,1028159.0
2021-01-12,15.16,15.28,14.7,14.81,1460296.0
2021-01-11,15.89,15.9997,14.4,14.81,3086767.0
2021-01-08,15.2,16.3669,15.0378,16.0,2580710.0
2021-01-07,14.4,14.68,14.19,14.44,701088.0
2021-01-06,14.63,14.7485,13.81,14.19,1106607.0
2021-01-05,14.75,14.95,14.26,14.54,917214.0
2021-01-04,14.25,15.38,14.13,14.69,1987852.0
2020-12-31,13.41,13.72,13.25,13.66,646145.0
2020-12-30,13.32,13.57,12.91,13.46,650328.0
2020-12-29,13.42,13.7,13.3,13.31,590540.0
2020-12-28,14.2769,14.2769,13.2,13.37,1013906.0
2020-12-24,13.87,14.16,13.6445,14.1,256679.0
2020-12-23,13.66,14.04,13.406,13.92,540753.0
2020-12-22,14.29,14.36,13.37,13.41,928299.0
2020-12-21,14.0,14.285,13.76,14.08,713023.0
2020-12-18,14.25,14.58,14.0591,14.52,961222.0
2020-12-17,13.89,14.38,13.68,14.24,722069.0
2020-12-16,14.05,14.28,13.39,13.63,829152.0
2020-12-15,14.58,14.84,13.76,13.79,984366.0
2020-12-14,13.9,15.16,13.88,14.09,2361594.0
2020-12-11,13.68,13.94,13.02,13.29,1028728.0
2020-12-10,11.98,13.805,11.84,13.72,1261610.0
2020-12-09,12.69,12.95,11.81,12.25,1680783.0
2020-12-08,12.07,12.64,11.9,12.5,872040.0
2020-12-07,11.79,12.42,11.65,12.04,896703.0
2020-12-04,11.21,11.89,11.21,11.87,1375052.0
2020-12-03,10.8,11.23,10.62,11.16,1500946.0
2020-12-02,10.11,10.77,10.01,10.75,1990940.0
2020-12-01,10.65,10.73,10.05,10.05,1892893.0
2020-11-30,11.13,11.1906,10.51,10.54,1696914.0
2020-11-27,11.25,11.29,11.05,11.13,383001.0
2020-11-25,11.0,11.165,10.95,11.03,558642.0
2020-11-24,11.2,11.37,10.91,10.95,1282592.0
2020-11-23,11.65,11.7,11.01,11.02,1297583.0
2020-11-20,12.02,12.16,11.58,11.63,465788.0
2020-11-19,11.64,12.13,11.56,12.02,465110.0
2020-11-18,11.61,11.8,11.07,11.78,880098.0
2020-11-17,11.09,11.52,10.79,11.35,936904.0
2020-11-16,11.95,11.95,10.9,11.08,1142527.0
2020-11-13,11.18,11.58,10.85,11.48,2149435.0
2020-11-12,11.85,12.033,10.78,11.11,4556924.0
2020-11-11,13.1,13.67,13.05,13.33,1469483.0
2020-11-10,12.81,13.07,12.3181,13.05,681222.0
2020-11-09,12.59,13.12,12.24,12.85,1076858.0
2020-11-06,11.68,12.44,11.595,12.15,582321.0
2020-11-05,11.65,11.84,11.38,11.68,404582.0
2020-11-04,11.64,12.06,11.51,11.59,831453.0
2020-11-03,10.52,11.51,10.52,11.5,877041.0
2020-11-02,10.55,10.68,10.13,10.47,575105.0
2020-10-30,10.41,10.53,10.02,10.36,981652.0
2020-10-29,10.74,10.87,10.11,10.43,1472722.0
2020-10-28,11.03,11.1,10.62,10.67,811111.0
2020-10-27,11.49,11.49,11.135,11.18,372075.0
2020-10-26,11.9,12.0,11.08,11.26,642011.0
2020-10-23,11.44,12.04,11.07,11.98,1456588.0
2020-10-22,11.32,11.7,11.2,11.59,926320.0
2020-10-21,11.75,11.7587,11.25,11.33,1994636.0
2020-10-20,12.13,12.36,11.61,11.78,942548.0
2020-10-19,12.09,12.56,11.55,12.06,2015100.0
2020-10-16,12.35,12.465,12.02,12.06,1000811.0
2020-10-15,12.56,12.56,12.05,12.25,796599.0
2020-10-14,12.76,12.8,12.46,12.46,592565.0
2020-10-13,12.94,13.1316,12.5,12.66,851649.0
2020-10-12,13.51,13.7,12.92,13.01,684749.0
2020-10-09,13.85,13.9956,13.13,13.34,478855.0
2020-10-08,14.11,14.2699,13.48,13.59,570500.0
2020-10-07,14.15,14.29,13.7,14.06,544017.0
2020-10-06,15.0,15.1773,13.91,14.0,1262789.0
2020-10-05,14.92,15.3,14.78,15.01,1300810.0
2020-10-02,13.71,14.99,13.61,14.64,1184810.0
2020-10-01,13.26,13.91,13.21,13.72,1172304.0
2020-09-30,13.37,13.5,12.8853,13.025,546411.0
2020-09-29,13.48,13.59,13.1104,13.29,916887.0
2020-09-28,13.93,14.06,13.38,13.48,316239.0
2020-09-25,13.57,13.97,13.4501,13.79,357868.0
2020-09-24,13.61,13.99,13.11,13.43,590695.0
2020-09-23,14.0,14.64,13.81,14.08,885069.0
2020-09-22,13.36,14.06,13.055,13.95,832676.0
2020-09-21,13.67,13.95,13.0134,13.32,520746.0
2020-09-18,13.48,14.025,13.2,13.88,4688709.0
2020-09-17,12.41,13.99,12.22,13.545,2114391.0
2020-09-16,12.57,12.77,12.4,12.53,1271211.0
2020-09-15,13.14,13.2,12.32,12.53,776422.0
2020-09-14,12.88,13.2,12.825,12.84,1071557.0
2020-09-11,13.48,13.68,12.77,12.77,692178.0
2020-09-10,13.67,13.67,13.28,13.5,793489.0
2020-09-09,13.16,13.43,12.935,12.95,457346.0
