date,MACD_Hist,MACD,MACD_Signal
2021-02-02,-0.1184,-0.2788,-0.1604
2021-02-01,-0.198,-0.2992,-0.1012
2021-01-29,-0.2048,0.2167,0.4215
2021-01-28,-0.1136,0.3591,0.4727
2021-01-27,-0.11,0.3911,0.5011
2021-01-26,-0.0911,0.4375,0.5286
2021-01-25,-0.0764,0.475,0.5514
2021-01-22,-0.0433,0.5272,0.5705
2021-01-21,-0.0318,0.5495,0.5813
2021-01-20,-0.0336,0.5557,0.5893
2021-01-19,-0.0156,0.5820000000000001,0.5977
2021-01-15,0.0086,0.6102,0.6016
2021-01-14,0.0247,0.6241,0.5994
2021-01-13,0.0578,0.6509999999999999,0.5933
2021-01-12,0.0564,0.6352,0.5788
2021-01-11,0.0829,0.6476,0.5647
2021-01-08,0.1099,0.6539,0.544
2021-01-07,0.0148,0.5313,0.5165
2021-01-06,0.0131,0.5259,0.5128
2021-01-05,0.0274,0.5369,0.5095
2021-01-04,0.0048,0.5074,0.5027
2020-12-31,-0.0543,0.4471,0.5015
2020-12-30,-0.0465,0.4686,0.5151
2020-12-29,-0.0172,0.5095,0.5267
2020-12-28,0.0386,0.5696,0.531
2020-12-24,0.1106,0.6319,0.5213
2020-12-23,0.1342,0.6279,0.4937
2020-12-22,0.1718,0.632,0.4601
2020-12-21,0.2627,0.6799,0.4172
2020-12-18,0.3115,0.6629999999999999,0.3515
2020-12-17,0.3134,0.5870000000000001,0.2736
2020-12-16,0.3146,0.5099,0.1953
2020-12-15,0.3496,0.4662,0.1166
2020-12-14,0.3582,0.3874,0.0292
2020-12-11,0.3109,0.2506,-0.0603
2020-12-10,0.2919,0.1538,-0.1381
2020-12-09,0.1953,-0.0157,-0.211
2020-12-08,0.1776,-0.0822,-0.2599
2020-12-07,0.1129,-0.1914,-0.3043
2020-12-04,0.0514,-0.2811,-0.3325
2020-12-03,-0.0288,-0.3741,-0.3453
2020-12-02,-0.077,-0.4152,-0.3382
2020-12-01,-0.1009,-0.4198,-0.3189
2020-11-30,-0.0546,-0.3483,-0.2937
2020-11-27,-0.0219,-0.3019,-0.28
2020-11-25,-0.0238,-0.2983,-0.2745
2020-11-24,-0.0107,-0.2793,-0.2686
2020-11-23,0.0232,-0.2427,-0.2659
2020-11-20,0.0721,-0.1997,-0.2717
2020-11-19,0.0858,-0.2039,-0.2897
2020-11-18,0.0651,-0.2461,-0.3112
2020-11-17,0.0555,-0.2719,-0.3275
2020-11-16,0.0842,-0.2571,-0.3413
2020-11-13,0.1554,-0.207,-0.3624
2020-11-12,0.2205,-0.1808,-0.4012
2020-11-11,0.3494,-0.107,-0.4564
2020-11-10,0.3064,-0.2373,-0.5437
2020-11-09,0.2487,-0.3716,-0.6203
2020-11-06,0.1651,-0.5173,-0.6825
2020-11-05,0.0992,-0.6245,-0.7237
2020-11-04,0.0441,-0.7044,-0.7485
2020-11-03,-0.0273,-0.7869,-0.7596
2020-11-02,-0.1189,-0.8716,-0.7527
2020-10-30,-0.1392,-0.8622,-0.723
2020-10-29,-0.1382,-0.8264,-0.6882
2020-10-28,-0.1222,-0.7759,-0.6537
2020-10-27,-0.1014,-0.7245,-0.6231
2020-10-26,-0.1026,-0.7004,-0.5977
2020-10-23,-0.0954,-0.6675,-0.5721
2020-10-22,-0.1409,-0.6891,-0.5482
2020-10-21,-0.154,-0.667,-0.513
2020-10-20,-0.128,-0.6026,-0.4745
2020-10-19,-0.1149,-0.5574,-0.4425
2020-10-16,-0.1063,-0.5201,-0.4138
2020-10-15,-0.0778,-0.465,-0.3872
2020-10-14,-0.0395,-0.4072,-0.3678
2020-10-13,0.009000000000000001,-0.349,-0.3579
2020-10-12,0.0703,-0.2899,-0.3602
2020-10-09,0.1319,-0.2459,-0.3777
2020-10-08,0.191,-0.2197,-0.4107
