date,MACD,MACD_Signal,MACD_Hist
2021-01-22,27.7653,11.7876,15.9777
2021-01-21,20.9121,7.7932,13.1189
2021-01-20,12.8586,4.5134,8.3452
2021-01-19,2.8352,2.4271,0.4081
2021-01-15,-0.2208,2.3251,-2.5459
2021-01-14,1.4482,2.9616,-1.5134
2021-01-13,3.1511,3.3399,-0.1888
2021-01-12,3.8309,3.3871,0.4438
2021-01-11,5.4422,3.2762,2.166
2021-01-08,5.3660000000000005,2.7347,2.6313
2021-01-07,1.068,2.0769,-1.0089
2021-01-06,-2.4011,2.3291,-4.7302
2021-01-05,-1.5035,3.5116,-5.0151
2021-01-04,-0.9091,4.7654,-5.6746
2020-12-31,1.1537,6.1841,-5.0303
2020-12-30,1.3629,7.4416,-6.0787
2020-12-29,2.8686,8.9613,-6.0928
2020-12-28,2.7937,10.4845,-7.6908
2020-12-24,0.8889,12.4072,-11.5183
2020-12-23,2.2365,15.2868,-13.0503
2020-12-22,4.5827,18.5494,-13.9666
2020-12-21,8.4149,22.041,-13.6262
2020-12-18,11.5679,25.4476,-13.8797
2020-12-17,16.2751,28.9175,-12.6424
2020-12-16,20.3269,32.0781,-11.7513
2020-12-15,23.6653,35.0159,-11.3507
2020-12-14,27.0963,37.8536,-10.7573
2020-12-11,31.8666,40.5429,-8.6763
2020-12-10,35.2811,42.711999999999996,-7.4309
2020-12-09,39.7818,44.5697,-4.7879
2020-12-08,44.0518,45.7667,-1.7149
2020-12-07,45.3564,46.1954,-0.8390000000000001
2020-12-04,46.2672,46.4052,-0.138
2020-12-03,45.8902,46.4397,-0.5494
2020-12-02,44.8658,46.577,-1.7112
2020-12-01,42.7855,47.0048,-4.2193
2020-11-30,42.5473,48.0597,-5.5124
2020-11-27,45.4283,49.4378,-4.0095
2020-11-25,45.1407,50.4401,-5.2995
2020-11-24,46.3325,51.765,-5.4325
2020-11-23,47.4395,53.1231,-5.6836
2020-11-20,51.6262,54.544,-2.9178
2020-11-19,55.4728,55.2735,0.1993
2020-11-18,57.363,55.2236,2.1393
2020-11-17,60.6863,54.6888,5.9975
2020-11-16,61.666000000000004,53.1894,8.4765
2020-11-13,60.8759,51.0703,9.8056
2020-11-12,59.4261,48.6189,10.8072
2020-11-11,59.4785,45.9171,13.5614
2020-11-10,58.3881,42.5267,15.8613
2020-11-09,57.4014,38.5614,18.84
2020-11-06,53.0051,33.8514,19.1537
2020-11-05,46.75,29.063000000000002,17.687
2020-11-04,37.9213,24.6412,13.2801
2020-11-03,27.551,21.3212,6.2298
2020-11-02,23.9858,19.7638,4.2221
2020-10-30,21.5485,18.7083,2.8402
2020-10-29,18.6352,17.9982,0.637
2020-10-28,20.1205,17.839000000000006,2.2815
2020-10-27,26.8777,17.2686,9.6091
2020-10-26,26.188000000000002,14.8663,11.3216
2020-10-23,26.3328,12.0359,14.2969
2020-10-22,20.9878,8.4617,12.5262
2020-10-21,16.4741,5.3301,11.1439
2020-10-20,12.7152,2.5441,10.1711
2020-10-19,11.5387,0.0013,11.5373
2020-10-16,12.0398,-2.883,14.9228
2020-10-15,8.5946,-6.6137,15.2083
2020-10-14,5.4854,-10.4158,15.9011
