date,MACD,MACD_Signal,MACD_Hist
2021-01-22,0.3137,0.0562,0.2575
2021-01-21,0.3643,-0.0082,0.3725
2021-01-20,0.4582,-0.1013,0.5595
2021-01-19,0.3851,-0.2412,0.6263
2021-01-15,0.1833,-0.3978,0.5811
2021-01-14,-0.0057,-0.5429999999999999,0.5374
2021-01-13,-0.2824,-0.6774,0.395
2021-01-12,-0.4635,-0.7761,0.3126
2021-01-11,-0.695,-0.8543,0.1593
2021-01-08,-0.8796,-0.8941,0.0145
2021-01-07,-0.9813,-0.8977,-0.0836
2021-01-06,-1.0316,-0.8768,-0.1548
2021-01-05,-1.0473,-0.8381,-0.2092
2021-01-04,-0.9532,-0.7858,-0.1674
2020-12-31,-0.8855,-0.7439,-0.1416
2020-12-30,-0.8544,-0.7085,-0.1459
2020-12-29,-0.8319,-0.672,-0.1598
2020-12-28,-0.7594,-0.6321,-0.1273
2020-12-24,-0.7098,-0.6003,-0.1095
2020-12-23,-0.6942,-0.5729,-0.1213
2020-12-22,-0.6612,-0.5425,-0.1186
2020-12-21,-0.5809,-0.5129,-0.068
2020-12-18,-0.6196,-0.4959,-0.1237
2020-12-17,-0.6997,-0.465,-0.2348
2020-12-16,-0.7084,-0.4063,-0.3021
2020-12-15,-0.7009,-0.3307,-0.3702
2020-12-14,-0.6985,-0.2382,-0.4603
2020-12-11,-0.5499,-0.1231,-0.4267
2020-12-10,-0.3837,-0.0164,-0.3673
2020-12-09,-0.222,0.0754,-0.2974
2020-12-08,-0.1174,0.1498,-0.2671
2020-12-07,-0.1286,0.2165,-0.3452
2020-12-04,-0.1524,0.3028,-0.4552
2020-12-03,-0.0074,0.4166,-0.424
2020-12-02,0.1697,0.5226,-0.3529
2020-12-01,0.3596,0.6108,-0.2512
2020-11-30,0.5418,0.6736,-0.1319
2020-11-27,0.7451,0.7066,0.0385
2020-11-25,0.9112,0.6970000000000001,0.2142
2020-11-24,0.9522,0.6434,0.3087
2020-11-23,0.6801,0.5663,0.1138
