date,MFI
1999-11-19,79.6203
1999-11-22,73.062
1999-11-23,72.2557
1999-11-24,67.6025
1999-11-26,66.2206
1999-11-29,60.4742
1999-11-30,51.9997
1999-12-01,59.6258
1999-12-02,60.5859
1999-12-03,61.9112
1999-12-06,63.91
1999-12-07,56.8502
1999-12-08,56.8361
1999-12-09,56.4803
1999-12-10,57.7659
1999-12-13,67.0337
1999-12-14,74.5297
1999-12-15,81.264
1999-12-16,82.6359
1999-12-17,88.313
1999-12-20,85.3384
1999-12-21,80.418
1999-12-22,80.2025
1999-12-23,79.6784
1999-12-27,83.7298
1999-12-28,87.7976
1999-12-29,87.6995
1999-12-30,82.5219
1999-12-31,81.5316
2000-01-03,68.9522
2000-01-04,60.5422
2000-01-05,59.178
2000-01-06,51.5504
2000-01-07,46.2889
2000-01-10,54.1094
2000-01-11,54.5996
2000-01-12,49.5642
2000-01-13,50.0301
2000-01-14,43.3563
2000-01-18,36.9423
2000-01-19,37.5465
2000-01-20,36.4262
2000-01-21,32.1059
2000-01-24,34.3965
2000-01-25,34.0723
2000-01-26,34.7177
2000-01-27,42.4003
2000-01-28,34.7679
2000-01-31,28.2742
2000-02-01,38.0525
2000-02-02,43.7961
2000-02-03,39.1366
2000-02-04,43.789
2000-02-07,44.5505
2000-02-08,44.0938
2000-02-09,45.1089
2000-02-10,46.7394
2000-02-11,53.6926
2000-02-14,62.2502
2000-02-15,55.0966
2000-02-16,46.0058
2000-02-17,44.2028
2000-02-18,42.0846
2000-02-22,29.6409
2000-02-23,29.6242
2000-02-24,28.5204
2000-02-25,22.8727
2000-02-28,30.8364
2000-02-29,32.6728
2000-03-01,32.3622
2000-03-02,31.8768
2000-03-03,26.399
2000-03-06,22.5258
2000-03-07,21.5743
2000-03-08,21.7404
2000-03-09,28.7661
2000-03-10,35.4708
2000-03-13,36.9636
2000-03-14,30.102
2000-03-15,39.3838
2000-03-16,50.6103
2000-03-17,54.2325
2000-03-20,53.6356
2000-03-21,60.2043
2000-03-22,60.1768
2000-03-23,66.2345
2000-03-24,71.5858
2000-03-27,74.2761
2000-03-28,80.5945
2000-03-29,81.1442
2000-03-30,82.096
2000-03-31,80.6355
2000-04-03,85.4628
2000-04-04,76.9358
2000-04-05,69.4031
2000-04-06,65.9686
2000-04-07,60.7759
2000-04-10,60.0816
2000-04-11,65.7337
2000-04-12,66.5916
2000-04-13,57.6757
2000-04-14,55.4198
2000-04-17,47.9984
2000-04-18,47.5489
2000-04-19,45.1904
2000-04-20,46.0469
2000-04-24,44.9128
2000-04-25,47.017
2000-04-26,53.3808
2000-04-27,47.4256
2000-04-28,46.0246
2000-05-01,40.8081
2000-05-02,40.535
2000-05-03,31.5111
2000-05-04,32.4554
2000-05-05,33.3258
2000-05-08,41.4046
2000-05-09,32.8791
2000-05-10,33.6904
2000-05-11,39.4153
