date,MACD_Signal,MACD,MACD_Hist
2021-01-19,1.4903,1.5407,0.0504
2021-01-15,1.4777,1.5352,0.0575
2021-01-14,1.4634,1.57,0.1066
2021-01-13,1.4367,1.5325,0.0957
2021-01-12,1.4128,1.671,0.2582
2021-01-11,1.3482,1.5904,0.2422
2021-01-08,1.2877,1.5285,0.2408
2021-01-07,1.2275,1.4323,0.2048
2021-01-06,1.1763,1.2419,0.0656
2021-01-05,1.1599,0.9503,-0.2096
2021-01-04,1.2123,0.885,-0.3273
2020-12-31,1.2941,1.0128,-0.2813
2020-12-30,1.3644,0.9636,-0.4008
2020-12-29,1.4646,1.0436,-0.42100000000000004
2020-12-28,1.5699,1.1855,-0.3843
2020-12-24,1.6659,1.2456,-0.4204
2020-12-23,1.771,1.3173,-0.4537
2020-12-22,1.8845,1.4702,-0.4142
2020-12-21,1.9880000000000002,1.6735,-0.3145
2020-12-18,2.0666,1.931,-0.1357
2020-12-17,2.1006,1.9811,-0.1195
2020-12-16,2.1304,2.0468,-0.0836
2020-12-15,2.1513,2.1008,-0.0505
2020-12-14,2.164,2.1006,-0.0634
2020-12-11,2.1798,2.3141,0.1343
2020-12-10,2.1462,2.4776,0.3314
2020-12-09,2.0634,2.58,0.5166
2020-12-08,1.9342,2.4868,0.5526
2020-12-07,1.7961,2.4417,0.6457
2020-12-04,1.6347,2.4515,0.8168
2020-12-03,1.4304,2.1737,0.7432
2020-12-02,1.2446,2.1531,0.9084
2020-12-01,1.0175,1.9926,0.975
2020-11-30,0.7738,1.9074,1.1336
2020-11-27,0.4904,1.7343,1.2439
2020-11-25,0.1794,1.4036,1.2242
2020-11-24,-0.1267,0.9764,1.1031
2020-11-23,-0.4025,0.3945,0.797
2020-11-20,-0.6017,0.087,0.6887
2020-11-19,-0.7739,0.0139,0.7878
2020-11-18,-0.9708,-0.10400000000000001,0.8668
2020-11-17,-1.1875,-0.2113,0.9763
2020-11-16,-1.4316,-0.4398,0.9918
2020-11-13,-1.6795,-0.7923,0.8873
2020-11-12,-1.9014,-1.0769,0.8245
2020-11-11,-2.1075,-1.1852,0.9223
2020-11-10,-2.3381,-1.5812,0.7569
2020-11-09,-2.5273,-2.1358,0.3915
2020-11-06,-2.6252,-2.5704,0.0548
2020-11-05,-2.6389,-2.7744,-0.1355
2020-11-04,-2.605,-3.0677,-0.4627
2020-11-03,-2.4893,-3.1093,-0.62
2020-11-02,-2.3343,-3.3441,-1.0098
2020-10-30,-2.0819,-3.4696,-1.3878
2020-10-29,-1.7349,-3.4539,-1.719
2020-10-28,-1.3052,-3.1075,-1.8023
2020-10-27,-0.8546,-2.3932,-1.5386
2020-10-26,-0.4699,-1.8393,-1.3693
2020-10-23,-0.1276,-1.2722,-1.1446
