date,MFI
1999-11-19,42.4467
1999-11-22,50.8446
1999-11-23,57.6786
1999-11-24,59.7041
1999-11-26,65.9442
1999-11-29,61.191
1999-11-30,55.9499
1999-12-01,55.0144
1999-12-02,60.0706
1999-12-03,68.6777
1999-12-06,73.9486
1999-12-07,80.2019
1999-12-08,85.5832
1999-12-09,73.1172
1999-12-10,62.5712
1999-12-13,60.7548
1999-12-14,53.8794
1999-12-15,53.8901
1999-12-16,55.3403
1999-12-17,60.2379
1999-12-20,60.5186
1999-12-21,60.4377
1999-12-22,56.7291
1999-12-23,52.9339
1999-12-27,50.1054
1999-12-28,46.2372
1999-12-29,40.1028
1999-12-30,46.9535
1999-12-31,53.2036
2000-01-03,55.4437
2000-01-04,54.6885
2000-01-05,68.2008
2000-01-06,58.6798
2000-01-07,46.8795
2000-01-10,54.5703
2000-01-11,56.3495
2000-01-12,61.8454
2000-01-13,54.7778
2000-01-14,58.0969
2000-01-18,52.579
2000-01-19,57.2909
2000-01-20,64.6938
2000-01-21,68.0656
2000-01-24,62.2081
2000-01-25,62.6327
2000-01-26,56.3617
2000-01-27,56.2352
2000-01-28,58.6714
2000-01-31,52.6615
2000-02-01,46.2363
2000-02-02,46.4611
2000-02-03,52.8734
2000-02-04,50.3053
2000-02-07,51.2396
2000-02-08,49.7221
2000-02-09,42.4679
2000-02-10,40.0175
2000-02-11,40.4662
2000-02-14,41.6968
2000-02-15,47.7926
2000-02-16,50.3497
2000-02-17,57.8563
2000-02-18,56.7401
2000-02-22,56.488
2000-02-23,47.3964
2000-02-24,48.9463
2000-02-25,40.2929
2000-02-28,39.3932
2000-02-29,31.7225
2000-03-01,24.6794
2000-03-02,28.6781
2000-03-03,36.6936
2000-03-06,34.9599
2000-03-07,29.2391
2000-03-08,34.806
2000-03-09,35.1034
2000-03-10,35.3999
2000-03-13,35.4331
2000-03-14,41.6544
2000-03-15,35.3245
2000-03-16,42.0118
2000-03-17,49.2723
2000-03-20,56.4746
2000-03-21,64.2888
2000-03-22,62.9363
2000-03-23,55.2964
2000-03-24,66.1085
2000-03-27,75.9192
2000-03-28,67.9885
2000-03-29,61.5074
2000-03-30,68.4264
2000-03-31,67.7844
2000-04-03,67.9547
2000-04-04,61.3436
2000-04-05,62.2609
2000-04-06,62.5974
2000-04-07,57.9668
2000-04-10,53.1415
2000-04-11,47.685
2000-04-12,46.8133
2000-04-13,38.707
2000-04-14,29.0382
2000-04-17,36.3151
2000-04-18,42.4794
2000-04-19,33.8847
2000-04-20,33.5656
2000-04-24,33.3871
2000-04-25,43.0558
2000-04-26,41.4705
2000-04-27,34.5118
2000-04-28,38.8991
2000-05-01,43.0851
2000-05-02,48.282
2000-05-03,49.9358
2000-05-04,52.1804
2000-05-05,55.7547
2000-05-08,53.3762
2000-05-09,51.5702
2000-05-10,54.3609
2000-05-11,65.0341
2000-05-12,57.2876
2000-05-15,47.8409
2000-05-16,48.4265
2000-05-17,49.0234
2000-05-18,42.9131
2000-05-19,44.3231
2000-05-22,46.0084
2000-05-23,52.9918
2000-05-24,50.2358
2000-05-25,56.2424
2000-05-26,51.1235
2000-05-30,50.4248
2000-05-31,54.0672
2000-06-01,45.5993
2000-06-02,52.5263
2000-06-05,60.6426
2000-06-06,59.8254
2000-06-07,69.354
2000-06-08,76.2139
2000-06-09,70.1337
2000-06-12,64.6375
2000-06-13,58.8857
2000-06-14,60.6049
2000-06-15,60.5382
2000-06-16,57.567
2000-06-19,58.938
2000-06-20,56.4677
2000-06-21,55.7419
2000-06-22,50.2526
2000-06-23,44.2507
2000-06-26,43.1556
2000-06-27,31.533
2000-06-28,28.4717
2000-06-29,27.5274
2000-06-30,26.0387
2000-07-03,26.6637
2000-07-05,24.387
2000-07-06,17.0461
2000-07-07,25.627
2000-07-10,19.5708
2000-07-11,20.0604
2000-07-12,26.0604
2000-07-13,25.9491
2000-07-14,25.8452
2000-07-17,27.8607
2000-07-18,28.0234
2000-07-19,28.7086
2000-07-20,46.0159
2000-07-21,45.7164
2000-07-24,43.8899
2000-07-25,47.0233
2000-07-26,49.4003
2000-07-27,47.1527
2000-07-28,51.786
2000-07-31,56.898
2000-08-01,52.8997
2000-08-02,58.5567
2000-08-03,63.0779
2000-08-04,62.4567
2000-08-07,68.5485
2000-08-08,68.1174
2000-08-09,61.5326
2000-08-10,64.2008
2000-08-11,72.9653
2000-08-14,80.0989
2000-08-15,82.0154
2000-08-16,74.3012
2000-08-17,72.4239
2000-08-18,65.9692
2000-08-21,65.4847
2000-08-22,64.0292
2000-08-23,63.4699
2000-08-24,64.5308
2000-08-25,66.1018
2000-08-28,67.8341
2000-08-29,67.8895
2000-08-30,67.9767
2000-08-31,67.9213
2000-09-01,68.5296
2000-09-05,68.4629
2000-09-06,76.9498
2000-09-07,78.4243
2000-09-08,77.2095
2000-09-11,73.0029
2000-09-12,67.8462
2000-09-13,68.3581
2000-09-14,67.8211
2000-09-15,59.95
2000-09-18,52.2387
2000-09-19,50.2466
2000-09-20,56.9016
2000-09-21,50.0716
2000-09-22,49.8362
2000-09-25,55.8434
2000-09-26,46.8335
2000-09-27,39.4586
2000-09-28,39.6117
2000-09-29,39.0343
2000-10-02,48.3497
2000-10-03,38.3818
2000-10-04,30.487
2000-10-05,36.5094
2000-10-06,42.212
2000-10-09,43.0337
2000-10-10,37.6034
2000-10-11,36.1641
2000-10-12,29.1053
2000-10-13,31.6899
2000-10-16,38.2625
2000-10-17,45.1651
2000-10-18,38.5049
2000-10-19,47.9676
2000-10-20,41.7249
2000-10-23,43.0105
2000-10-24,44.4984
2000-10-25,38.5364
2000-10-26,39.4214
2000-10-27,39.511
2000-10-30,39.2483
2000-10-31,45.8366
2000-11-01,51.5653
2000-11-02,50.8248
2000-11-03,45.9471
2000-11-06,43.8741
2000-11-07,56.8635
2000-11-08,46.3831
2000-11-09,46.3806
2000-11-10,47.343
2000-11-13,55.0306
2000-11-14,64.1814
2000-11-15,57.9051
2000-11-16,52.8799
2000-11-17,61.0876
2000-11-20,59.8027
2000-11-21,51.6994
2000-11-22,44.3271
2000-11-24,49.0742
2000-11-27,44.0927
2000-11-28,37.8433
2000-11-29,45.3049
2000-11-30,44.6602
2000-12-01,52.9447
2000-12-04,51.2409
2000-12-05,52.9344
2000-12-06,49.5119
2000-12-07,47.5053
2000-12-08,46.4577
2000-12-11,38.8128
2000-12-12,38.7096
2000-12-13,38.2819
2000-12-14,34.3094
2000-12-15,31.3694
2000-12-18,37.3212
2000-12-19,38.2584
2000-12-20,37.9803
2000-12-21,30.2556
2000-12-22,32.0384
2000-12-26,25.5971
2000-12-27,26.2699
2000-12-28,26.053
2000-12-29,26.0243
2001-01-02,32.0618
2001-01-03,41.1276
2001-01-04,50.4208
2001-01-05,49.6789
2001-01-08,52.6572
2001-01-09,52.7097
2001-01-10,52.7503
