date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,11.25,12.39,10.8,12.055,4099640.0
2020-04-17,12.6,12.72,11.05,11.79,6574307.0
2020-04-16,12.4,13.34,12.01,12.33,8273099.0
2020-04-15,11.0,12.125,10.52,11.9,6236550.0
2020-04-14,10.83,12.25,10.82,11.36,10751202.0
2020-04-13,9.65,10.47,9.36,10.38,7679814.0
2020-04-09,8.86,9.505,8.76,9.45,6567487.0
2020-04-08,7.7,8.8488,7.56,8.64,8336936.0
2020-04-07,7.72,7.77,7.12,7.28,2976868.0
2020-04-06,7.3,7.6,7.02,7.6,2789679.0
2020-04-03,6.8,7.05,6.71,7.05,2092824.0
2020-04-02,6.93,7.05,6.545,6.85,2990661.0
2020-04-01,6.97,7.45,6.75,6.95,7944553.0
2020-03-31,6.29,6.36,6.04,6.23,2878467.0
2020-03-30,6.16,6.405,5.96,6.31,2558061.0
2020-03-27,6.25,6.34,5.94,6.07,2736135.0
2020-03-26,6.4,6.81,6.26,6.44,2657255.0
2020-03-25,5.87,6.664,5.77,6.24,4250285.0
2020-03-24,5.4,6.07,5.29,5.85,4389261.0
2020-03-23,5.19,5.32,4.71,5.15,3288838.0
2020-03-20,5.76,5.97,5.13,5.17,3332173.0
2020-03-19,5.3,5.83,5.12,5.55,3123131.0
2020-03-18,5.3,5.87,5.06,5.3,4020886.0
2020-03-17,4.81,5.8585,4.41,5.56,4440922.0
2020-03-16,4.1,5.2,3.94,4.62,3297763.0
2020-03-13,4.54,4.82,4.2,4.82,3593933.0
2020-03-12,4.0,4.4,3.91,4.12,5100287.0
2020-03-11,5.26,5.3688,4.8216,4.93,3387699.0
2020-03-10,6.06,6.06,5.13,5.37,3070495.0
2020-03-09,5.26,5.5,5.03,5.11,3092409.0
2020-03-06,5.8,6.04,5.65,5.88,3503436.0
2020-03-05,6.47,6.47,6.05,6.17,2682400.0
2020-03-04,6.79,6.8596,6.56,6.6,1946277.0
2020-03-03,7.23,7.24,6.41,6.61,4232223.0
2020-03-02,7.13,7.22,6.49,7.2,3700845.0
2020-02-28,6.5,7.01,6.41,6.94,2921043.0
2020-02-27,7.0,7.24,6.31,7.02,4138304.0
2020-02-26,7.44,7.7,7.0,7.33,3242701.0
2020-02-25,8.63,8.89,7.65,7.68,2757283.0
2020-02-24,8.75,8.82,8.21,8.52,2865772.0
2020-02-21,9.18,9.54,8.94,9.25,2182119.0
2020-02-20,9.26,9.64,8.81,9.12,2826104.0
2020-02-19,8.68,9.24,8.6,9.2,2849169.0
2020-02-18,8.26,8.7399,8.26,8.565,2265514.0
2020-02-14,8.37,8.43,8.07,8.19,1205039.0
2020-02-13,8.1,8.4302,7.84,8.31,1683358.0
2020-02-12,8.38,8.66,8.11,8.16,3016410.0
2020-02-11,8.09,8.47,8.04,8.38,2707029.0
2020-02-10,7.5,8.12,7.4,7.99,2367057.0
2020-02-07,7.44,7.54,7.22,7.35,1320479.0
2020-02-06,7.76,7.77,7.35,7.505,1782133.0
2020-02-05,7.76,7.9,7.18,7.7,2418941.0
2020-02-04,7.17,7.68,7.01,7.58,2453466.0
2020-02-03,6.84,7.13,6.65,7.03,2416681.0
2020-01-31,7.0,7.21,6.69,6.71,2096531.0
2020-01-30,7.29,7.2921,6.56,6.96,4335101.0
2020-01-29,8.56,8.5662,7.16,7.425,5545016.0
