date,MACD_Hist,MACD_Signal,MACD
2021-01-19,-0.078,0.7116,0.6336
2021-01-15,-0.2994,0.7311,0.4317
2021-01-14,-0.3002,0.8059,0.5057
2021-01-13,-0.33299999999999996,0.8809999999999999,0.5479999999999999
2021-01-12,-0.3265,0.9642,0.6378
2021-01-11,-0.3384,1.0458,0.7075
2021-01-08,-0.3311,1.1304,0.7994
2021-01-07,-0.3835,1.2132,0.8297
2021-01-06,-0.3387,1.3091,0.9704
2021-01-05,-0.2365,1.3937,1.1572
2021-01-04,-0.1239,1.4529,1.329
2020-12-31,-0.0039,1.4838,1.48
2020-12-30,0.091,1.4848,1.5758
2020-12-29,0.1832,1.4621,1.6452
2020-12-28,0.3114,1.4163,1.7277
2020-12-24,0.3991,1.3384,1.7376
2020-12-23,0.4323,1.2386,1.6709
2020-12-22,0.4361,1.1306,1.5667
2020-12-21,0.2885,1.0215,1.31
2020-12-18,0.353,0.9494,1.3024
2020-12-17,0.4146,0.8612,1.2758
2020-12-16,0.5004,0.7575,1.2579
2020-12-15,0.5304,0.6324,1.1628
2020-12-14,0.4992,0.4998,0.9990000000000001
2020-12-11,0.3678,0.375,0.7429
2020-12-10,0.2651,0.2831,0.5482
2020-12-09,0.2272,0.2168,0.444
2020-12-08,0.2483,0.16,0.4083
2020-12-07,0.2168,0.0979,0.3147
2020-12-04,0.2064,0.0437,0.2501
2020-12-03,0.2116,-0.0079,0.2037
2020-12-02,0.184,-0.0608,0.1233
2020-12-01,0.1276,-0.1068,0.0208
2020-11-30,0.1017,-0.1387,-0.0369
2020-11-27,0.0733,-0.1641,-0.0908
2020-11-25,0.0619,-0.1824,-0.1205
2020-11-24,0.0616,-0.1979,-0.1363
2020-11-23,0.0761,-0.2133,-0.1372
2020-11-20,0.1031,-0.2324,-0.1292
2020-11-19,0.1114,-0.2581,-0.1467
2020-11-18,0.111,-0.28600000000000003,-0.175
2020-11-17,0.1204,-0.3138,-0.1933
2020-11-16,0.1127,-0.3439,-0.2312
2020-11-13,0.07400000000000001,-0.37200000000000005,-0.298
2020-11-12,0.0527,-0.3905,-0.3378
2020-11-11,0.015,-0.4037,-0.3887
2020-11-10,-0.0203,-0.4075,-0.4277
2020-11-09,0.0044,-0.4024,-0.39799999999999996
2020-11-06,0.0187,-0.4035,-0.3848
2020-11-05,-0.0193,-0.4082,-0.4274
2020-11-04,-0.0734,-0.4034,-0.4767
2020-11-03,-0.0947,-0.385,-0.4797
2020-11-02,-0.1265,-0.3613,-0.4878
2020-10-30,-0.0992,-0.3297,-0.4289
2020-10-29,-0.0752,-0.3049,-0.3801
2020-10-28,-0.07,-0.2861,-0.35600000000000004
2020-10-27,-0.0516,-0.2686,-0.3202
2020-10-26,-0.0323,-0.2557,-0.28800000000000003
2020-10-23,-0.0115,-0.2476,-0.2591
2020-10-22,-0.0032,-0.2448,-0.2479
2020-10-21,0.0057,-0.244,-0.2382
2020-10-20,0.019,-0.2454,-0.2265
2020-10-19,0.0247,-0.2502,-0.2255
2020-10-16,0.0273,-0.2563,-0.22899999999999998
2020-10-15,0.037000000000000005,-0.2632,-0.2262
2020-10-14,0.0246,-0.2724,-0.2478
2020-10-13,0.016,-0.2786,-0.2626
2020-10-12,0.0075,-0.2826,-0.2751
2020-10-09,-0.0139,-0.2844,-0.2983
2020-10-08,-0.0359,-0.281,-0.3169
2020-10-07,-0.0447,-0.272,-0.3167
2020-10-06,-0.0501,-0.2608,-0.3109
2020-10-05,-0.0567,-0.2483,-0.305
2020-10-02,-0.0487,-0.2341,-0.2828
2020-10-01,-0.0336,-0.2219,-0.2555
2020-09-30,-0.0249,-0.2135,-0.2384
2020-09-29,-0.0057,-0.2073,-0.213
2020-09-28,0.0201,-0.2059,-0.1857
2020-09-25,0.0353,-0.2109,-0.1756
2020-09-24,0.0137,-0.2197,-0.20600000000000002
2020-09-23,0.0343,-0.2231,-0.1889
2020-09-22,0.0593,-0.2317,-0.1724
2020-09-21,0.0478,-0.2465,-0.1987
2020-09-18,0.0423,-0.2585,-0.2162
2020-09-17,0.0082,-0.2691,-0.2608
2020-09-16,0.0121,-0.2711,-0.259
2020-09-15,0.0029,-0.2741,-0.2713
2020-09-14,-0.0132,-0.2748,-0.2881
2020-09-11,-0.0439,-0.2715,-0.3155
2020-09-10,-0.07,-0.2606,-0.3306
2020-09-09,-0.0888,-0.2431,-0.3318
2020-09-08,-0.1078,-0.2209,-0.3286
2020-09-04,-0.0708,-0.1939,-0.2647
2020-09-03,-0.0439,-0.1762,-0.2201
2020-09-02,-0.0455,-0.1652,-0.2108
2020-09-01,-0.095,-0.1539,-0.2488
2020-08-31,-0.1366,-0.1301,-0.2668
2020-08-28,-0.1964,-0.096,-0.2924
2020-08-27,-0.2241,-0.0469,-0.2709
2020-08-26,-0.2519,0.0092,-0.2427
2020-08-25,-0.259,0.0721,-0.1868
2020-08-24,-0.2548,0.1369,-0.1179
2020-08-21,-0.2267,0.2006,-0.0262
2020-08-20,-0.2036,0.2572,0.0536
2020-08-19,-0.1992,0.3081,0.1089
2020-08-18,-0.1882,0.3579,0.1697
2020-08-17,-0.1795,0.405,0.2255
2020-08-14,-0.1738,0.4499,0.2761
2020-08-13,-0.1648,0.4933,0.3285
2020-08-12,-0.1479,0.5345,0.3866
2020-08-11,-0.09699999999999999,0.5715,0.4745
2020-08-10,-0.0211,0.5957,0.5746
2020-08-07,0.0259,0.601,0.6269
2020-08-06,0.1623,0.5945,0.7568
2020-08-05,0.3373,0.5539,0.8912
2020-08-04,0.3297,0.4696,0.7993
2020-08-03,0.3036,0.3872,0.6908
2020-07-31,0.2288,0.3113,0.5401
2020-07-30,0.1959,0.2541,0.45
2020-07-29,0.1497,0.2051,0.3549
2020-07-28,0.0097,0.1677,0.1774
2020-07-27,-0.0735,0.1653,0.0918
2020-07-24,-0.0781,0.1837,0.1055
2020-07-23,-0.0532,0.2032,0.1499
2020-07-22,-0.0436,0.2165,0.1729
2020-07-21,-0.0114,0.2274,0.21600000000000003
2020-07-20,-0.0245,0.2302,0.2058
2020-07-17,-0.0344,0.2364,0.2019
2020-07-16,-0.0366,0.245,0.2083
2020-07-15,-0.006999999999999999,0.2541,0.2471
2020-07-14,0.0177,0.2559,0.2736
2020-07-13,0.0439,0.2515,0.2953
2020-07-10,0.0273,0.2405,0.2678
2020-07-09,0.0471,0.2337,0.2808
2020-07-08,0.053,0.2219,0.2749
2020-07-07,0.0731,0.2086,0.2817
2020-07-06,0.1184,0.1904,0.3088
2020-07-02,0.1363,0.1608,0.297
2020-07-01,0.1571,0.1267,0.2838
2020-06-30,0.1632,0.0874,0.2506
2020-06-29,0.1467,0.0466,0.1934
2020-06-26,0.0913,0.0099,0.1012
2020-06-25,0.0866,-0.0129,0.0737
2020-06-24,0.0569,-0.0345,0.0223
2020-06-23,0.0775,-0.0488,0.0287
2020-06-22,0.0862,-0.0681,0.0181
2020-06-19,0.0879,-0.0897,-0.0018
2020-06-18,0.0417,-0.1117,-0.07
2020-06-17,-0.0023,-0.1221,-0.1244
2020-06-16,-0.04,-0.1215,-0.1615
2020-06-15,-0.0756,-0.1115,-0.1871
2020-06-12,-0.1032,-0.0926,-0.1958
2020-06-11,-0.0954,-0.0668,-0.1622
2020-06-10,-0.0435,-0.043,-0.0865
2020-06-09,-0.0573,-0.0321,-0.0894
2020-06-08,-0.0526,-0.0178,-0.0704
2020-06-05,-0.0954,-0.0046,-0.1001
2020-06-04,-0.0946,0.0192,-0.0754
2020-06-03,-0.0674,0.0429,-0.0245
2020-06-02,-0.0434,0.0597,0.0164
2020-06-01,-0.043,0.0705,0.0276
2020-05-29,-0.0745,0.0813,0.0068
2020-05-28,-0.1054,0.0999,-0.0055
2020-05-27,-0.0934,0.1263,0.0329
2020-05-26,-0.11,0.1496,0.0396
2020-05-22,-0.1834,0.1771,-0.0064
2020-05-21,-0.3021,0.223,-0.0792
2020-05-20,-0.33399999999999996,0.2985,-0.0356
2020-05-19,-0.3919,0.382,-0.0099
2020-05-18,-0.4295,0.48,0.0505
2020-05-15,-0.4473,0.5873,0.14
2020-05-14,-0.4489,0.6992,0.2503
2020-05-13,-0.4281,0.8114,0.3833
2020-05-12,-0.3832,0.9184,0.5352
2020-05-11,-0.3641,1.0142,0.6501
2020-05-08,-0.376,1.1052,0.7293
2020-05-07,-0.3805,1.1992,0.8187
2020-05-06,-0.3032,1.2944,0.9911
2020-05-05,-0.2945,1.3702,1.0757
2020-05-04,-0.2275,1.4438,1.2163
2020-05-01,-0.1475,1.5007,1.3531
2020-04-30,0.047,1.5375,1.5845
2020-04-29,0.2057,1.5258,1.7315
2020-04-28,0.3004,1.4744,1.7748
2020-04-27,0.3215,1.3993,1.7208
2020-04-24,0.2946,1.3189,1.6135
2020-04-23,0.3342,1.2452,1.5795
2020-04-22,0.3829,1.1617,1.5446
2020-04-21,0.4167,1.0659999999999998,1.4826
2020-04-20,0.5389,0.9618,1.5007
2020-04-17,0.5984,0.8271,1.4255
2020-04-16,0.6582,0.6775,1.3357
