date,MACD_Hist,MACD,MACD_Signal
2021-02-02,-0.0029,0.5722,0.5751
2021-02-01,-0.2364,0.3401,0.5766
2021-01-29,-0.3218,1.6292,1.951
2021-01-28,-0.2598,1.7717,2.0315
2021-01-27,-0.2252,1.8713,2.0965
2021-01-26,0.0705,2.2232,2.1527
2021-01-25,0.34,2.4751,2.1351
2021-01-22,0.687,2.7372,2.0501
2021-01-21,1.0293,2.9076,1.8784
2021-01-20,0.8713,2.4924,1.6211
2021-01-19,0.9088,2.312,1.4032
2021-01-15,0.9414,2.1174,1.176
2021-01-14,0.9392,1.8799,0.9407
2021-01-13,0.6736,1.3795,0.7059
2021-01-12,0.4173,0.9548,0.5375
2021-01-11,0.3435,0.7767,0.4332
2021-01-08,0.3638,0.7111,0.3473
2021-01-07,0.3495,0.6058,0.2563
2021-01-06,0.2387,0.4077,0.1689
2021-01-05,0.1505,0.2598,0.1093
2021-01-04,0.0456,0.1172,0.0716
2020-12-31,-0.0311,0.0292,0.0602
2020-12-30,-0.1669,-0.0989,0.068
2020-12-29,-0.2616,-0.1519,0.1097
2020-12-28,-0.4577,-0.2826,0.1751
2020-12-24,-0.4985,-0.209,0.2895
2020-12-23,-0.5262,-0.1121,0.4142
2020-12-22,-0.4815,0.0642,0.5457
2020-12-21,-0.3372,0.329,0.6661
2020-12-18,-0.1076,0.6428,0.7504
2020-12-17,0.1446,0.9219,0.7773
2020-12-16,0.1989,0.9401,0.7412
2020-12-15,0.2102,0.9017,0.6914
2020-12-14,0.247,0.8859,0.6389
2020-12-11,0.2956,0.8727,0.5771
2020-12-10,0.4153,0.9186,0.5032
2020-12-09,0.5103,0.9097,0.3994
2020-12-08,0.6327,0.9046,0.2718
2020-12-07,0.7081,0.8217,0.1136
2020-12-04,0.8173,0.7539,-0.0634
2020-12-03,0.7423,0.4746,-0.2677
2020-12-02,0.6658,0.2125,-0.4533
2020-12-01,0.6056,-0.0141,-0.6197
2020-11-30,0.5026,-0.2685,-0.7711
2020-11-27,0.4307,-0.4661,-0.8968
2020-11-25,0.3846,-0.6199,-1.0045
2020-11-24,0.3342,-0.7664,-1.1006
2020-11-23,0.2459,-0.9383,-1.1842
2020-11-20,0.1984,-1.0472,-1.2456
2020-11-19,0.1924,-1.1028,-1.2952
2020-11-18,0.1621,-1.1812,-1.3433
2020-11-17,0.1768,-1.207,-1.3839
2020-11-16,0.1578,-1.2703,-1.4281
2020-11-13,0.0678,-1.3997,-1.4675
2020-11-12,0.0142,-1.4703,-1.4845
2020-11-11,0.0011,-1.487,-1.4880000000000002
2020-11-10,-0.1409,-1.6292,-1.4883
2020-11-09,-0.2414,-1.6944,-1.4531
2020-11-06,-0.3766,-1.7693,-1.3927
2020-11-05,-0.5192,-1.8178,-1.2986
2020-11-04,-0.7140000000000001,-1.8827,-1.1688
2020-11-03,-0.9166,-1.9069,-0.9903
2020-11-02,-1.063,-1.8241,-0.7611
2020-10-30,-1.1571,-1.6525,-0.4954
2020-10-29,-1.185,-1.3912,-0.2061
2020-10-28,-1.1103,-1.0202,0.0901
2020-10-27,-0.9137,-0.546,0.3677
2020-10-26,-0.6696,-0.0734,0.5962
2020-10-23,-0.3418,0.4217,0.7635
2020-10-22,0.049,0.898,0.8490000000000001
2020-10-21,0.0798,0.9166,0.8367
2020-10-20,0.1506,0.9674,0.8168
2020-10-19,0.2462,1.0253,0.7791
2020-10-16,0.2504,0.968,0.7176
2020-10-15,0.2683,0.9233,0.655
2020-10-14,0.2962,0.8841,0.5879
2020-10-13,0.3377,0.8515,0.5139
2020-10-12,0.3399,0.7693,0.4294
2020-10-09,0.3036,0.6481,0.3445
2020-10-08,0.3226,0.5911,0.2686
2020-10-07,0.2663,0.4542,0.1879
2020-10-06,0.2222,0.3436,0.1214
2020-10-05,0.263,0.3288,0.0658
2020-10-02,0.2728,0.2728,0.0001
2020-10-01,0.3343,0.2662,-0.0681
2020-09-30,0.2812,0.1294,-0.1517
2020-09-29,0.2215,-0.0005,-0.222
2020-09-28,0.1708,-0.1066,-0.2774
2020-09-25,0.0553,-0.2648,-0.3201
2020-09-24,0.0217,-0.3122,-0.3339
2020-09-23,0.0499,-0.2894,-0.3393
2020-09-22,0.1302,-0.2217,-0.3518
2020-09-21,0.1381,-0.2462,-0.3844
2020-09-18,0.1682,-0.2507,-0.4189
2020-09-17,0.1909,-0.27,-0.4609
2020-09-16,0.1745,-0.3342,-0.5087
2020-09-15,0.1361,-0.4162,-0.5523
2020-09-14,0.1088,-0.4775,-0.5863
2020-09-11,0.1243,-0.4892,-0.6135
2020-09-10,0.1607,-0.4838,-0.6446
2020-09-09,0.2472,-0.4376,-0.6848
2020-09-08,0.3076,-0.439,-0.7466
2020-09-04,0.461,-0.3625,-0.8235
2020-09-03,0.5608,-0.3779,-0.9387
2020-09-02,0.6554,-0.4235,-1.0789
2020-09-01,0.5793,-0.6634,-1.2428
