date,MACD_Signal,MACD,MACD_Hist
2021-02-02,-1.3078,-0.9512,0.3566
2021-02-01,-1.4861,-1.8509,-0.3648
2021-01-29,2.3775,0.5069,-1.8706
2021-01-28,2.8451,0.9658,-1.8794
2021-01-27,3.315,1.4498,-1.8651
2021-01-26,3.7813,2.6229,-1.1584
2021-01-25,4.0709,3.3346,-0.7362
2021-01-22,4.2549,3.9217,-0.3332
2021-01-21,4.3382,4.3523,0.0141
2021-01-20,4.3347,4.6247,0.29
2021-01-19,4.2622,4.615,0.3528
2021-01-15,4.174,4.6954,0.5214
2021-01-14,4.0436,4.8498,0.8062
2021-01-13,3.8421,4.9438,1.1017
2021-01-12,3.5667,4.8645,1.2978
2021-01-11,3.2422,4.6865,1.4443
2021-01-08,2.8812,4.1854,1.3043
2021-01-07,2.5551,3.5217,0.9666
2021-01-06,2.3134,2.9308,0.6173
2021-01-05,2.1591,2.3182,0.1591
2021-01-04,2.1193,2.2062,0.0868
2020-12-31,2.0976,2.3101,0.2125
2020-12-30,2.0445,2.1474,0.1029
2020-12-29,2.0188,2.0766,0.0578
2020-12-28,2.0043,2.2298,0.2255
2020-12-24,1.9479,2.3431,0.3952
2020-12-23,1.8491,2.3905,0.5414
2020-12-22,1.7138,2.456,0.7422
2020-12-21,1.5282,2.3582,0.8299
2020-12-18,1.3207,2.2225,0.9017
2020-12-17,1.0953,1.6463,0.551
2020-12-16,0.9576,1.0336,0.076
2020-12-15,0.9386,0.6702,-0.2683
2020-12-14,1.0057,0.4279,-0.5778
2020-12-11,1.1501,0.6336,-0.5165
2020-12-10,1.2792,0.835,-0.4442
2020-12-09,1.3903,1.0128,-0.3775
2020-12-08,1.4847,1.2219,-0.2628
2020-12-07,1.5504,1.1869,-0.3634
2020-12-04,1.6412,1.2493,-0.3919
2020-12-03,1.7392,1.2557,-0.4835
2020-12-02,1.8601,1.5490000000000002,-0.311
2020-12-01,1.9378,1.6555,-0.2823
2020-11-30,2.0084,1.6462,-0.3622
2020-11-27,2.099,1.8385,-0.2605
2020-11-25,2.1641,2.0754,-0.0887
2020-11-24,2.1863,2.2397,0.0535
2020-11-23,2.1729,2.2,0.0271
2020-11-20,2.1661,2.2639,0.0978
2020-11-19,2.1416,2.393,0.2514
2020-11-18,2.0788,2.5454,0.4666
2020-11-17,1.9621,2.7518,0.7896
2020-11-16,1.7647,2.6554,0.8906
2020-11-13,1.5421,2.3379,0.7959
2020-11-12,1.3431,1.8795,0.5364
2020-11-11,1.209,1.891,0.682
2020-11-10,1.0385,1.8702,0.8317
2020-11-09,0.8306,2.0078,1.1772
2020-11-06,0.5363,1.3743,0.838
2020-11-05,0.3268,0.7718,0.445
2020-11-04,0.2155,-0.036000000000000004,-0.2515
2020-11-03,0.2784,-0.984,-1.2624
2020-11-02,0.594,-1.0841,-1.6781
2020-10-30,1.0135,-0.6859999999999999,-1.6995
2020-10-29,1.4384,-0.0519,-1.4902
2020-10-28,1.8109,0.6911,-1.1198
2020-10-27,2.0909,1.5214,-0.5695
2020-10-26,2.2333,2.2099,-0.0234
2020-10-23,2.2391,2.7479,0.5088
2020-10-22,2.1119,2.855,0.7431
2020-10-21,1.9262,2.7537,0.8275
2020-10-20,1.7193,2.5996,0.8803
2020-10-19,1.4992,1.9324,0.4331
2020-10-16,1.3909,2.0148,0.6239
2020-10-15,1.235,2.0388,0.8038
2020-10-14,1.034,2.3004,1.2664
2020-10-13,0.7174,2.2048,1.4874
2020-10-12,0.3456,1.9795,1.6339
2020-10-09,-0.0629,1.269,1.332
2020-10-08,-0.3959,0.7205,1.1164
2020-10-07,-0.675,0.241,0.916
2020-10-06,-0.904,-0.344,0.56
2020-10-05,-1.044,-0.5979,0.4461
2020-10-02,-1.1556,-1.0375,0.1181
2020-10-01,-1.1851,-1.1976,-0.0125
2020-09-30,-1.1819,-1.5373,-0.3553
2020-09-29,-1.0931,-1.8772,-0.7841
2020-09-28,-0.8971,-1.9936,-1.0965
2020-09-25,-0.623,-2.1671,-1.5441
2020-09-24,-0.237,-1.9487,-1.7117
2020-09-23,0.191,-1.3128,-1.5037
2020-09-22,0.5669,-0.5726,-1.1395
2020-09-21,0.8518,-0.0615,-0.9132
2020-09-18,1.0801,0.5124,-0.5677
2020-09-17,1.222,0.9279,-0.2941
2020-09-16,1.2955,1.1006,-0.1949
2020-09-15,1.3443,1.1513,-0.1929
2020-09-14,1.3925,0.9243,-0.4682
2020-09-11,1.5095,0.9327,-0.5768
2020-09-10,1.6537,1.1457,-0.508
2020-09-09,1.7807,1.3867,-0.394
2020-09-08,1.8792,1.5326,-0.3467
2020-09-04,1.9659,2.0294,0.0635
2020-09-03,1.95,2.3876,0.4375
2020-09-02,1.8407,2.3427,0.502
2020-09-01,1.7152,1.7474,0.0322
2020-08-31,1.7071,1.4325,-0.2747
2020-08-28,1.7758,1.1502,-0.6256
2020-08-27,1.9322,1.0308,-0.9013
2020-08-26,2.1575,1.1404,-1.0171
2020-08-25,2.4118,1.2616,-1.1502
2020-08-24,2.6993,1.5589,-1.1404
2020-08-21,2.9844,1.9869,-0.9976
2020-08-20,3.2338,2.3688,-0.865
2020-08-19,3.4501,2.7822,-0.6679
2020-08-18,3.617,3.0453,-0.5717
2020-08-17,3.76,3.2992,-0.4607
2020-08-14,3.8751,3.4765,-0.3986
2020-08-13,3.9748,3.6798,-0.295
2020-08-12,4.0485,3.629,-0.4195
2020-08-11,4.1534,3.6011,-0.5523
2020-08-10,4.2915,3.8756,-0.4159
2020-08-07,4.3955,4.1359,-0.2596
2020-08-06,4.4604,4.3164,-0.14400000000000002
2020-08-05,4.4964,4.4331,-0.0633
2020-08-04,4.5122,4.547,0.0348
2020-08-03,4.5035,4.6874,0.184
2020-07-31,4.4575,4.6936,0.2361
2020-07-30,4.3985,4.9173,0.5188
2020-07-29,4.2688,5.1444,0.8757
2020-07-28,4.0499,5.1763,1.1265
2020-07-27,3.7682,5.2853,1.517
2020-07-24,3.389,4.9779,1.5889
2020-07-23,2.9918,4.9611,1.9694
2020-07-22,2.4994,4.501,2.0016
2020-07-21,1.999,3.5622,1.5631
2020-07-20,1.6082,3.0594,1.4511
2020-07-17,1.2454,2.5513,1.3059
2020-07-16,0.919,1.9829,1.0639
2020-07-15,0.653,1.6734,1.0204
2020-07-14,0.3979,0.9802,0.5823
2020-07-13,0.2523,0.5485,0.2961
2020-07-10,0.1783,0.6513,0.473
2020-07-09,0.06,0.6305,0.5704
2020-07-08,-0.0826,0.3596,0.4421
2020-07-07,-0.1931,0.0921,0.2851
2020-07-06,-0.2644,-0.0237,0.2407
2020-07-02,-0.3246,-0.3441,-0.0196
2020-07-01,-0.3197,-0.5323,-0.2127
2020-06-30,-0.2665,-0.7658,-0.4993
2020-06-29,-0.1417,-1.0882,-0.9466
2020-06-26,0.095,-1.0401,-1.135
2020-06-25,0.3787,-0.8077,-1.1864
2020-06-24,0.6753,-0.6836,-1.3589
2020-06-23,1.0151,-0.3798,-1.3949
2020-06-22,1.3638,-0.3634,-1.7272
2020-06-19,1.7956,-0.0683,-1.8639
2020-06-18,2.2616,0.457,-1.8045
2020-06-17,2.7127,0.9131,-1.7996
2020-06-16,3.1626,1.4006,-1.7619999999999998
2020-06-15,3.6031,1.7865,-1.8166
2020-06-12,4.0572,2.4027,-1.6545
2020-06-11,4.4709,3.2307,-1.2402
2020-06-10,4.7809,4.2588,-0.5221
2020-06-09,4.9114,4.6386,-0.2728
2020-06-08,4.9796,5.0956,0.116
2020-06-05,4.9506,5.2789,0.3283
2020-06-04,4.8686,5.4789,0.6103
2020-06-03,4.716,5.4884,0.7725
2020-06-02,4.5229,5.2325,0.7096
2020-06-01,4.3455,4.9854,0.6399
2020-05-29,4.1855,4.8134,0.6279
2020-05-28,4.0285,4.5127,0.4842
2020-05-27,3.9074,4.4013,0.4938
2020-05-26,3.784,4.1319,0.3479
2020-05-22,3.697,4.066,0.369
2020-05-21,3.6048,3.9839,0.3791
2020-05-20,3.51,3.7905,0.2805
2020-05-19,3.4398,3.2626,-0.1773
2020-05-18,3.4842,3.0056,-0.4786
2020-05-15,3.6038,2.8680000000000003,-0.7358
2020-05-14,3.7878,3.0946,-0.6932
2020-05-13,3.9611,3.5251,-0.4359
2020-05-12,4.07,4.0132,-0.0568
2020-05-11,4.0842,4.3406,0.2563
2020-05-08,4.0202,4.3033,0.2831
2020-05-07,3.9494,4.2949,0.3455
2020-05-06,3.863,4.4386,0.5756
2020-05-05,3.7191,4.7112,0.9921
2020-05-04,3.4711,4.8399,1.3688
2020-05-01,3.1289,5.0793,1.9504
2020-04-30,2.6413,5.0606,2.4194
2020-04-29,2.0364,4.3451,2.3087
2020-04-28,1.4593,3.3167,1.8575
2020-04-27,0.9949,2.6910000000000003,1.6961
2020-04-24,0.5709,2.2605,1.6897
2020-04-23,0.1485,1.9857,1.8372
2020-04-22,-0.3108,1.7271,2.0380000000000003
2020-04-21,-0.8203,1.5878,2.4082
2020-04-20,-1.4224,1.7484,3.1708
2020-04-17,-2.2151,1.367,3.5821
2020-04-16,-3.1106,0.4468,3.5574
2020-04-15,-4.0,-0.0102,3.9898
2020-04-14,-4.9974,-0.5486,4.4488
2020-04-13,-6.1096,-1.4792,4.6304
2020-04-09,-7.2672,-2.4725,4.7947
2020-04-08,-8.4659,-4.0851,4.3808
2020-04-07,-9.5611,-6.0168,3.5443
2020-04-06,-10.4471,-7.5609,2.8863
2020-04-03,-11.1687,-9.1631,2.0056
2020-04-02,-11.6701,-9.6066,2.0635
2020-04-01,-12.186,-10.2427,1.9433
2020-03-31,-12.6718,-10.423,2.2488
2020-03-30,-13.234000000000002,-11.2977,1.9363
2020-03-27,-13.7181,-12.7712,0.9469
2020-03-26,-13.9548,-13.8715,0.0833
2020-03-25,-13.9756,-15.4213,-1.4457
2020-03-24,-13.6142,-16.5978,-2.9836
2020-03-23,-12.8683,-17.0465,-4.1783
2020-03-20,-11.8237,-16.0569,-4.2331
2020-03-19,-10.7654,-15.341,-4.5756
2020-03-18,-9.6215,-14.0974,-4.4758
2020-03-17,-8.5026,-12.2296,-3.727
2020-03-16,-7.5708,-11.4811,-3.9103
2020-03-13,-6.5932,-9.8161,-3.2229
2020-03-12,-5.7875,-9.2129,-3.4254
2020-03-11,-4.9312,-7.7286,-2.7974
2020-03-10,-4.2318,-6.9852,-2.7534
2020-03-09,-3.5435,-6.4847,-2.9412
2020-03-06,-2.8082,-5.057,-2.2489
2020-03-05,-2.246,-4.3882,-2.1423
2020-03-04,-1.7104,-3.6907,-1.9803
2020-03-03,-1.2153,-3.7322,-2.5169
2020-03-02,-0.5861,-3.0661,-2.48
2020-02-28,0.0339,-2.7538,-2.7877
2020-02-27,0.7308,-1.5422,-2.273
2020-02-26,1.2991,-0.3043,-1.6034
2020-02-25,1.6999,0.6031,-1.0968
2020-02-24,1.9741,1.6842,-0.2899
2020-02-21,2.0466,2.2230000000000003,0.1764
