date,1. open,2. high,3. low,4. close,5. volume
2021-01-14,91.43,92.45,89.03,89.24,8053123.0
2021-01-13,89.155,91.2,88.18,90.44,7282378.0
2021-01-12,90.62,91.1,88.44,88.54,9963585.0
2021-01-11,90.035,91.54,88.8,90.38,6956073.0
2021-01-08,89.0,91.6,87.38,91.54,13007378.0
2021-01-07,90.54,90.62,85.87,87.92,17070204.0
2021-01-06,92.53,93.29,86.81,88.18,21563591.0
2021-01-05,88.15,96.2,88.0803,95.5,31011764.0
2021-01-04,87.56,88.06,85.16,86.33,9204181.0
2020-12-31,88.12,89.02,86.77,87.9,7729770.0
2020-12-30,87.5,89.56,86.92,89.52,12057079.0
2020-12-29,83.09,86.265,83.0,86.14,9689713.0
2020-12-28,82.68,83.8,81.06,81.61,9369357.0
2020-12-24,83.39,86.66,83.11,84.49,12164403.0
2020-12-23,85.04,87.47,84.21,85.46,13241494.0
2020-12-22,81.25,82.89,80.55199999999998,82.79,7783762.0
2020-12-21,79.607,81.26,79.37,80.64,8246190.0
2020-12-18,82.34,82.7999,81.1,81.53,9813448.0
2020-12-17,83.15,83.37,81.65,82.71,9031706.0
2020-12-16,80.5,82.03,79.92,81.77,8962383.0
2020-12-15,79.94,80.46,79.1,79.5,8454383.0
2020-12-14,81.51,82.0,79.07,79.96,12966246.0
2020-12-11,82.3,84.67,82.0,82.61,13942852.0
2020-12-10,81.5,82.2,80.91,81.71,9952302.0
2020-12-09,82.25,83.35,81.65,81.82,11117785.0
2020-12-08,84.01,84.01,81.5,82.01,16316734.0
2020-12-07,85.11,85.45,82.93,83.49,12677465.0
2020-12-04,87.12,87.46,84.6,85.19,9411046.0
2020-12-03,85.16,87.0699,85.07,86.29,7929363.0
2020-12-02,84.49,84.9,82.79,84.38,12434383.0
2020-12-01,86.255,86.38,84.6,85.36,10754588.0
2020-11-30,88.24,88.47,83.31,85.35,18014434.0
2020-11-27,89.06,89.7899,88.1755,89.41,5787598.0
2020-11-25,87.965,89.01,86.76,88.23,11424304.0
2020-11-24,89.1235,90.29,88.33,89.82,9496282.0
2020-11-23,88.54,89.11,86.42,87.56,9925077.0
2020-11-20,86.19,87.91,85.38,87.74,10585883.0
2020-11-19,85.21,86.33,84.7201,86.04,10795266.0
2020-11-18,87.125,87.22,84.4,86.25,12563851.0
2020-11-17,87.38,87.9,85.69,86.97,17068318.0
2020-11-16,88.5,89.59,84.14,85.26,31929382.0
2020-11-13,90.9335,92.33,88.21,92.08,22845544.0
2020-11-12,87.03,89.66,85.85,86.38,21698851.0
2020-11-11,79.505,83.2653,78.56,82.84,17811685.0
2020-11-10,82.52,82.88,78.25,80.08,27080050.0
2020-11-09,92.4,92.47,84.01,84.86,20851526.0
2020-11-06,92.0,92.77,90.91,92.49,9631781.0
2020-11-05,91.685,92.06,88.14,91.59,16688530.0
2020-11-04,86.7,89.58,86.21,89.31,24149428.0
2020-11-03,79.8,83.1,78.181,82.69,14326794.0
2020-11-02,82.84,83.43,79.84,82.32,8976802.0
2020-10-30,82.08,82.345,80.27199999999998,81.52,9184021.0
2020-10-29,81.23,84.93,81.0,83.04,13156593.0
2020-10-28,81.3,82.0,79.81,80.08,8176257.0
2020-10-27,81.77,83.97,80.62,83.01,7915977.0
2020-10-26,81.12,81.98,80.01,81.41,4882233.0
2020-10-23,80.76,81.34,79.32,81.34,6838835.0
2020-10-22,83.22,83.64,80.14,81.31,8751134.0
2020-10-21,83.38,84.46,82.19,82.63,7680228.0
2020-10-20,81.0,83.52,81.0,82.57,9706460.0
2020-10-19,82.0,82.64,80.22,80.61,8051040.0
2020-10-16,81.43,82.24,80.67,81.52,9779288.0
2020-10-15,79.0,80.32,78.64,80.25,10549954.0
2020-10-14,82.81,83.14,79.91,81.1,12407713.0
2020-10-13,84.1,84.345,82.13,82.61,12402306.0
2020-10-12,82.14,85.385,81.9,84.32,18046161.0
2020-10-09,79.09,80.15,78.67,79.79,11319814.0
2020-10-08,78.51,78.59,77.1001,78.15,10987660.0
2020-10-07,78.56,79.41,77.678,78.12,12186350.0
2020-10-06,76.89,78.52,76.31,76.69,10015369.0
2020-10-05,76.88,77.54,75.59,76.4,6122319.0
2020-10-02,76.74,78.1384,75.76,76.1,8825788.0
2020-10-01,78.75,79.0,77.47,78.57,7422723.0
2020-09-30,76.29,78.82,75.64,77.61,11377915.0
2020-09-29,76.1,76.4,74.74,75.16,5929728.0
2020-09-28,75.89,76.1,73.95,76.1,8245567.0
2020-09-25,72.88,75.18,71.76,74.67,12517604.0
2020-09-24,73.5,74.29,72.35,72.72,12166677.0
2020-09-23,75.04,76.82,74.1,74.59,9962221.0
2020-09-22,75.31,75.58,74.07,75.0,7226601.0
2020-09-21,72.76,75.15,72.02,75.13,9180848.0
2020-09-18,75.08,75.79,73.07,74.5,9575014.0
2020-09-17,73.02,74.47,72.7556,74.37,9099387.0
2020-09-16,77.01,77.07,74.95,75.09,8073989.0
2020-09-15,78.23,78.415,76.5902,77.0,8105463.0
2020-09-14,75.7,76.91,75.0,76.59,7414914.0
2020-09-11,75.18,76.19,73.33,74.18,10572275.0
2020-09-10,77.13,78.17,73.55,74.53,11810426.0
2020-09-09,77.14,77.66,75.7,77.19,8952763.0
2020-09-08,76.0,78.015,75.38,76.22,14080540.0
2020-09-04,77.9656,80.8,75.4,80.0,21500881.0
2020-09-03,81.375,81.69,76.03,79.04,19253966.0
2020-09-02,85.459,86.58,81.8,83.21,13860919.0
2020-09-01,79.49,83.0,79.145,82.49,11447729.0
2020-08-31,79.94,80.47,78.57,78.64,12917301.0
2020-08-28,79.68,80.72,78.89,79.96,7995127.0
2020-08-27,81.13,81.24,78.2301,79.3,12674108.0
2020-08-26,81.06,81.45,79.3199,80.38,19095708.0
2020-08-25,76.57,79.82,76.34,78.97,19106252.0
2020-08-24,76.99,77.3,75.01,76.18,12517097.0
2020-08-21,74.56,75.7219,73.86,74.98,12574662.0
2020-08-20,71.26,74.39,71.03,73.94,22001056.0
2020-08-19,70.8,73.69,70.8,72.56,22115999.0
2020-08-18,68.19,71.4,68.14,70.32,23255679.0
2020-08-17,64.66,67.1,62.6,66.98,32808949.0
2020-08-14,62.73,62.79,60.9422,62.06,10270152.0
2020-08-13,63.45,63.46,62.18,62.54,7453292.0
2020-08-12,61.92,63.52,61.64,62.9,6934880.0
