date,MACD,MACD_Signal,MACD_Hist
2021-01-19,1.5536,1.4157,0.1379
2021-01-15,1.4516,1.3812,0.0705
2021-01-14,1.6446,1.3636,0.281
2021-01-13,1.7172,1.2933,0.4239
2021-01-12,1.6628,1.1873,0.4754
2021-01-11,1.7625,1.0685,0.6941
2021-01-08,1.6769,0.895,0.7819
2021-01-07,1.4251,0.6995,0.7256
2021-01-06,1.4516,0.5181,0.9335
2021-01-05,1.4378,0.2847,1.1531
2021-01-04,0.654,-0.0036,0.6576
2020-12-31,0.5777,-0.168,0.7457
2020-12-30,0.3121,-0.3544,0.6665
2020-12-29,-0.1964,-0.521,0.3246
2020-12-28,-0.4985,-0.6022,0.1037
2020-12-24,-0.4155,-0.6281,0.2126
2020-12-23,-0.5968,-0.6813,0.0845
2020-12-22,-0.9183,-0.7024,-0.2158
2020-12-21,-1.0434,-0.6485,-0.3949
2020-12-18,-0.9690000000000001,-0.5497,-0.4192
2020-12-17,-0.9505,-0.4449,-0.5056
2020-12-16,-1.0333,-0.3185,-0.7148
2020-12-15,-1.0283,-0.1398,-0.8884
2020-12-14,-0.7757,0.0823,-0.858
2020-12-11,-0.4889,0.2968,-0.7857
2020-12-10,-0.3856,0.4932,-0.8788
2020-12-09,-0.1565,0.7129,-0.8694
2020-12-08,0.1271,0.9303,-0.8032
2020-12-07,0.4678,1.1311,-0.6632
2020-12-04,0.7452,1.2969,-0.5517
2020-12-03,0.9153,1.4348,-0.5195
2020-12-02,1.0071,1.5647,-0.5575
2020-12-01,1.3041,1.704,-0.3999
2020-11-30,1.5645,1.804,-0.2396
2020-11-27,1.875,1.8639,0.0111
2020-11-25,1.8307,1.8612,-0.0304
2020-11-24,1.8677,1.8688,-0.0011
2020-11-23,1.7259,1.869,-0.1432
2020-11-20,1.7498,1.9048,-0.155
2020-11-19,1.7366,1.9436,-0.2069
2020-11-18,1.8676,1.9953,-0.1277
2020-11-17,1.9863,2.0272,-0.040999999999999995
2020-11-16,2.0355,2.0375,-0.002
2020-11-13,2.2428,2.0380000000000003,0.2049
2020-11-12,1.7804,1.9868,-0.2063
2020-11-11,1.7447,2.0383,-0.2936
2020-11-10,2.0342,2.1117,-0.0775
2020-11-09,2.6552,2.1311,0.524
2020-11-06,2.9224,2.0001,0.9223
2020-11-05,2.4441,1.7695,0.6745
2020-11-04,1.8896,1.6009,0.2887
2020-11-03,1.3866,1.5287,-0.1421
2020-11-02,1.3985,1.5642,-0.1657
2020-10-30,1.431,1.6057,-0.1747
2020-10-29,1.5331,1.6493,-0.1162
2020-10-28,1.4864,1.6784,-0.192
2020-10-27,1.7065,1.7264,-0.0199
2020-10-26,1.6643,1.7313,-0.0671
2020-10-23,1.7491,1.7481,0.001
2020-10-22,1.839,1.7479,0.0912
2020-10-21,1.9301,1.7251,0.2051
2020-10-20,1.8840000000000001,1.6738,0.2101
2020-10-19,1.8037,1.6213,0.1824
2020-10-16,1.8746,1.5757,0.299
2020-10-15,1.8452,1.5009,0.3443
2020-10-14,1.9102,1.4149,0.4953
2020-10-13,1.8787,1.2911,0.5876
2020-10-12,1.6575,1.1441,0.5133
2020-10-09,1.1769,1.0158,0.1611
2020-10-08,1.0076,0.9755,0.0321
2020-10-07,0.9439,0.9675,-0.0236
2020-10-06,0.8519,0.9734,-0.1215
2020-10-05,0.8677,1.0038,-0.1361
2020-10-02,0.9047,1.0378,-0.1331
2020-10-01,0.9693,1.0711,-0.1018
2020-09-30,0.7863,1.0966,-0.3103
2020-09-29,0.6389,1.1741,-0.5352
2020-09-28,0.691,1.3079,-0.6169
2020-09-25,0.6517,1.4622,-0.8104
2020-09-24,0.7377,1.6648,-0.9271
2020-09-23,1.0352,1.8965,-0.8613
2020-09-22,1.2096,2.1118,-0.9023
2020-09-21,1.3727,2.3374,-0.9647
2020-09-18,1.5478,2.5786,-1.0308
2020-09-17,1.8129,2.8363,-1.0234
2020-09-16,2.1381,3.0921,-0.9541
2020-09-15,2.4487,3.3307,-0.8819
2020-09-14,2.6151,3.5511,-0.9359999999999999
2020-09-11,2.8312,3.7851,-0.9539
2020-09-10,3.3113,4.0236,-0.7123
2020-09-09,3.8402,4.2017,-0.3615
2020-09-08,4.1886,4.2921,-0.1035
2020-09-04,4.6711,4.3180000000000005,0.3531
2020-09-03,4.8341,4.2297,0.6044
2020-09-02,5.0696,4.0786,0.9911
2020-09-01,4.8719,3.8308,1.0411
2020-08-31,4.622,3.5705,1.0515
2020-08-28,4.6278,3.3077,1.3202
2020-08-27,4.4335,2.9776,1.4559
2020-08-26,4.1882,2.6136,1.5746
2020-08-25,3.7042,2.22,1.4843
2020-08-24,3.1762,1.8489,1.3273
2020-08-21,2.7401,1.5171,1.2229999999999999
2020-08-20,2.2658,1.2114,1.0545
2020-08-19,1.7334,0.9477,0.7856
2020-08-18,1.1691,0.7513,0.4178
2020-08-17,0.6599,0.6469,0.013000000000000001
2020-08-14,0.3405,0.6436,-0.3031
2020-08-13,0.4289,0.7194,-0.2905
2020-08-12,0.4865,0.792,-0.3056
2020-08-11,0.5163,0.8684,-0.3522
2020-08-10,0.7219,0.9565,-0.2345
2020-08-07,0.9424,1.0151,-0.0727
2020-08-06,1.1520000000000001,1.0333,0.1187
2020-08-05,1.1126,1.0036,0.1089
2020-08-04,0.9840000000000001,0.9764,0.0076
2020-08-03,0.9023,0.9745,-0.0722
2020-07-31,0.789,0.9925,-0.2036
2020-07-30,0.7082,1.0434,-0.3353
2020-07-29,0.7475,1.1272,-0.3798
2020-07-28,0.7562,1.2222,-0.4659
2020-07-27,0.8684,1.3387,-0.4702
2020-07-24,0.8676,1.4562,-0.5886
2020-07-23,1.0475,1.6034,-0.5559
2020-07-22,1.2984,1.7423,-0.4439
2020-07-21,1.4654,1.8533,-0.3879
2020-07-20,1.5789,1.9503,-0.3714
2020-07-17,1.6203,2.0431,-0.4228
2020-07-16,1.7789,2.1488,-0.3699
2020-07-15,1.9982,2.2413,-0.2431
2020-07-14,2.1635,2.3021,-0.1385
2020-07-13,2.3858,2.3367,0.0491
