date,MACD_Signal,MACD,MACD_Hist
2021-01-19,6.8268,7.6151,0.7882
2021-01-15,6.6298,7.1239,0.4941
2021-01-14,6.5063,6.9972,0.4909
2021-01-13,6.3835,6.3458,-0.0378
2021-01-12,6.393,6.3058,-0.0872
2021-01-11,6.4148,5.7323,-0.6825
2021-01-08,6.5854,5.6042,-0.9812
2021-01-07,6.8307,5.0905,-1.7402
2021-01-06,7.2657,5.0235,-2.2422
2021-01-05,7.8263,5.9423,-1.8840000000000001
2021-01-04,8.2973,7.2229,-1.0744
2020-12-31,8.5659,8.4531,-0.1128
2020-12-30,8.5941,8.9656,0.3715
2020-12-29,8.5012,9.0393,0.5381
2020-12-28,8.3667,9.5181,1.1514
2020-12-24,8.0788,9.501,1.4222
2020-12-23,7.7233,9.0397,1.3164
2020-12-22,7.3942,8.3927,0.9985
2020-12-21,7.1446,7.6077,0.4631
2020-12-18,7.0288,6.7231,-0.3057
2020-12-17,7.1052,6.4117,-0.6935
2020-12-16,7.2786,6.1011,-1.1775
2020-12-15,7.5729999999999995,5.9978,-1.5752
2020-12-14,7.9668,5.9721,-1.9946
2020-12-11,8.4654,6.1539,-2.3115
2020-12-10,9.0433,6.7322,-2.3111
2020-12-09,9.6211,7.2787,-2.3424
2020-12-08,10.2067,8.1381,-2.0685
2020-12-07,10.7238,8.4569,-2.2669
2020-12-04,11.2905,9.3406,-1.95
2020-12-03,11.777999999999999,10.3661,-1.4119
2020-12-02,12.130999999999998,11.2514,-0.8796
2020-12-01,12.3509,11.8431,-0.5078
2020-11-30,12.4778,12.482999999999999,0.0051
2020-11-27,12.4766,12.4563,-0.0202
2020-11-25,12.4816,12.4112,-0.0704
2020-11-24,12.4992,12.4581,-0.0411
2020-11-23,12.5095,13.3764,0.8669
2020-11-20,12.2928,13.9945,1.7017
2020-11-19,11.8674,13.1055,1.2381
2020-11-18,11.5579,11.9919,0.4341
2020-11-17,11.4493,11.507,0.0577
2020-11-16,11.4349,12.020999999999999,0.5861
2020-11-13,11.2884,12.5714,1.2830000000000001
2020-11-12,10.9676,12.7617,1.794
2020-11-11,10.5191,12.2248,1.7056
2020-11-10,10.0927,11.6305,1.5378
2020-11-09,9.7083,10.9797,1.2715
2020-11-06,9.3904,10.4069,1.0165
2020-11-05,9.1363,9.9907,0.8544
2020-11-04,8.9227,9.4119,0.4892
2020-11-03,8.8004,8.9721,0.1717
2020-11-02,8.7575,9.2311,0.4737
2020-10-30,8.639,9.7299,1.0909
2020-10-29,8.3663,10.2484,1.8821
2020-10-28,7.8958,9.8499,1.9542
2020-10-27,7.4072,9.5951,2.1879
2020-10-26,6.8603,8.9388,2.0786
2020-10-23,6.3406,8.0812,1.7405
2020-10-22,5.9055,6.872000000000001,0.9665
2020-10-21,5.6639,6.4322,0.7683
2020-10-20,5.4718,6.3912,0.9194
2020-10-19,5.242000000000001,6.3254,1.0834
2020-10-16,4.9711,6.1992,1.2281
2020-10-15,4.6641,6.0519,1.3878
2020-10-14,4.3171,5.8186,1.5015
2020-10-13,3.9417,5.5553,1.6136
2020-10-12,3.5384,4.9776,1.4392
2020-10-09,3.1786,4.5282,1.3497
2020-10-08,2.8411,4.0609,1.2197
2020-10-07,2.5362,3.5978,1.0616
2020-10-06,2.2708,3.1681,0.8973
2020-10-05,2.0465,2.872,0.8255
2020-10-02,1.8401,2.6458,0.8057
2020-10-01,1.6387,2.4865,0.8478
2020-09-30,1.4267,2.1157,0.6889
2020-09-29,1.2545,1.9028,0.6483
2020-09-28,1.0924,1.5974,0.5049
2020-09-25,0.9662,1.3553,0.3891
2020-09-24,0.8689,0.9512,0.0823
2020-09-23,0.8483,1.0051,0.1568
2020-09-22,0.8091,1.0797,0.2705
2020-09-21,0.7415,1.1733,0.4319
2020-09-18,0.6335,1.3827,0.7492
2020-09-17,0.4462,1.0394,0.5931
2020-09-16,0.2979,0.8395,0.5416
