date,MFI
2021-01-19,58.0765
2021-01-15,50.4813
2021-01-14,47.2379
2021-01-13,45.1739
2021-01-12,45.248000000000005
2021-01-11,47.79
2021-01-08,62.1063
2021-01-07,61.533
2021-01-06,61.7793
2021-01-05,67.3465
2021-01-04,73.1843
2020-12-31,81.53
2020-12-30,78.0995
2020-12-29,72.9758
2020-12-28,79.5208
2020-12-24,85.9698
2020-12-23,82.3957
2020-12-22,77.4894
2020-12-21,73.0814
2020-12-18,63.0746
2020-12-17,47.0033
2020-12-16,46.2803
2020-12-15,47.2666
2020-12-14,40.467
2020-12-11,32.0874
2020-12-10,39.0
2020-12-09,52.787
2020-12-08,67.812
2020-12-07,61.5172
2020-12-04,57.9806
2020-12-03,56.4297
2020-12-02,59.4388
2020-12-01,61.8779
2020-11-30,67.0889
2020-11-27,72.5137
2020-11-25,72.5018
2020-11-24,71.6639
2020-11-23,76.4475
2020-11-20,82.4612
2020-11-19,78.0097
2020-11-18,71.17399999999999
2020-11-17,55.4973
2020-11-16,59.9822
2020-11-13,68.4999
2020-11-12,79.7238
2020-11-11,82.2036
2020-11-10,82.1745
2020-11-09,81.0663
2020-11-06,79.8848
2020-11-05,79.7161
2020-11-04,79.4015
2020-11-03,79.7521
2020-11-02,73.9884
2020-10-30,79.4738
2020-10-29,85.1768
2020-10-28,85.2696
2020-10-27,93.5216
2020-10-26,93.0355
2020-10-23,92.5216
2020-10-22,90.3911
2020-10-21,89.9167
2020-10-20,89.9409
2020-10-19,89.8969
2020-10-16,89.9921
2020-10-15,89.8084
2020-10-14,89.4707
2020-10-13,100.0
2020-10-12,100.0
2020-10-09,94.9129
2020-10-08,85.2345
2020-10-07,85.7176
2020-10-06,82.6959
2020-10-05,82.4594
2020-10-02,82.4725
2020-10-01,82.5726
2020-09-30,78.4575
2020-09-29,72.5481
2020-09-28,71.7181
2020-09-25,72.064
2020-09-24,63.6521
2020-09-23,55.5735
2020-09-22,48.1793
2020-09-21,49.0468
2020-09-18,57.8202
2020-09-17,52.5856
2020-09-16,52.5076
2020-09-15,45.3106
2020-09-14,43.8648
2020-09-11,43.5107
2020-09-10,50.753
2020-09-09,57.4586
2020-09-08,50.8121
2020-09-04,43.0528
2020-09-03,51.9099
2020-09-02,57.2224
2020-09-01,58.6684
2020-08-31,66.4767
2020-08-28,66.8392
2020-08-27,68.0706
2020-08-26,73.4652
2020-08-25,80.4404
2020-08-24,80.9311
2020-08-21,74.5153
2020-08-20,64.815
2020-08-19,55.0137
2020-08-18,61.431000000000004
2020-08-17,59.181999999999995
2020-08-14,59.9946
2020-08-13,65.2339
2020-08-12,63.4443
2020-08-11,55.3469
2020-08-10,47.7997
2020-08-07,40.2074
2020-08-06,40.7823
2020-08-05,34.6482
2020-08-04,27.0991
2020-08-03,32.9825
2020-07-31,32.3771
2020-07-30,29.7132
2020-07-29,23.7791
2020-07-28,30.9848
2020-07-27,31.1761
2020-07-24,25.5707
2020-07-23,34.1011
2020-07-22,30.6628
2020-07-21,27.7255
2020-07-20,33.7229
2020-07-17,29.2548
2020-07-16,27.4609
2020-07-15,27.4046
2020-07-14,22.8714
2020-07-13,30.5963
2020-07-10,29.7827
2020-07-09,46.5523
2020-07-08,42.0305
2020-07-07,37.7725
2020-07-06,40.491
2020-07-02,39.906
2020-07-01,41.9144
2020-06-30,44.7227
2020-06-29,44.8001
2020-06-26,48.8416
2020-06-25,51.1464
2020-06-24,49.1757
2020-06-23,49.0079
2020-06-22,47.1701
2020-06-19,59.0868
2020-06-18,49.5041
2020-06-17,56.6055
2020-06-16,63.28
2020-06-15,64.5941
2020-06-12,64.8018
2020-06-11,65.9507
2020-06-10,71.3754
2020-06-09,71.22800000000001
2020-06-08,72.126
2020-06-05,77.6112
2020-06-04,86.8133
2020-06-03,87.1049
2020-06-02,80.0416
2020-06-01,79.5915
2020-05-29,79.7877
2020-05-28,80.0751
2020-05-27,74.6635
2020-05-26,73.4144
2020-05-22,72.9605
2020-05-21,74.3086
2020-05-20,68.3517
2020-05-19,62.5498
2020-05-18,62.3627
2020-05-15,56.2369
2020-05-14,57.2046
2020-05-13,63.8216
2020-05-12,65.2278
2020-05-11,62.2667
2020-05-08,53.7593
2020-05-07,51.9943
2020-05-06,60.2869
2020-05-05,61.4548
2020-05-04,54.4549
2020-05-01,61.8194
2020-04-30,68.3285
2020-04-29,75.4008
2020-04-28,75.2889
2020-04-27,74.5073
2020-04-24,74.4685
2020-04-23,69.6229
2020-04-22,76.5314
2020-04-21,66.88600000000001
2020-04-20,63.9291
2020-04-17,63.4356
2020-04-16,55.4402
2020-04-15,54.5635
2020-04-14,54.1821
2020-04-13,53.9283
2020-04-09,55.122
2020-04-08,63.5885
2020-04-07,64.3482
2020-04-06,61.9508
2020-04-03,54.8578
2020-04-02,50.5231
2020-04-01,52.0499
2020-03-31,50.9283
2020-03-30,49.8893
2020-03-27,42.9256
2020-03-26,39.9915
2020-03-25,35.8947
2020-03-24,35.5891
2020-03-23,36.7047
2020-03-20,37.8409
2020-03-19,32.3429
2020-03-18,34.4278
2020-03-17,34.5583
2020-03-16,42.0047
2020-03-13,40.8364
2020-03-12,42.1427
2020-03-11,43.6121
2020-03-10,44.1789
2020-03-09,51.4573
2020-03-06,53.7831
2020-03-05,54.8561
2020-03-04,55.0377
2020-03-03,49.0195
2020-03-02,40.4767
2020-02-28,48.085
2020-02-27,48.6366
2020-02-26,54.8007
2020-02-25,48.7421
2020-02-24,56.3974
2020-02-21,55.2328
2020-02-20,55.0994
2020-02-19,55.9176
2020-02-18,51.6424
2020-02-14,56.9039
2020-02-13,56.9047
2020-02-12,56.2909
2020-02-11,61.2748
2020-02-10,66.4769
2020-02-07,52.271
2020-02-06,47.9996
2020-02-05,44.2885
2020-02-04,53.1635
2020-02-03,43.2648
2020-01-31,34.211999999999996
2020-01-30,43.2787
2020-01-29,51.8656
2020-01-28,57.2454
2020-01-27,52.0459
2020-01-24,51.254
2020-01-23,49.7148
2020-01-22,41.6447
2020-01-21,39.7477
2020-01-17,38.8767
2020-01-16,29.724
2020-01-15,36.5293
2020-01-14,42.9319
2020-01-13,42.8684
2020-01-10,36.0993
2020-01-09,29.9518
2020-01-08,23.6634
2020-01-07,27.5799
2020-01-06,34.6117
2020-01-03,38.2474
2020-01-02,42.8382
2019-12-31,47.2251
2019-12-30,45.1758
2019-12-27,52.0911
2019-12-26,52.1309
2019-12-24,39.906
2019-12-23,54.7237
2019-12-20,49.5788
2019-12-19,63.4028
2019-12-18,65.6411
2019-12-17,67.7388
2019-12-16,66.9086
2019-12-13,64.7334
2019-12-12,63.0237
2019-12-11,61.1258
2019-12-10,60.7829
2019-12-09,64.1594
2019-12-06,62.1753
2019-12-05,66.3718
2019-12-04,77.4274
2019-12-03,64.1544
2019-12-02,83.4984
2019-11-29,58.24100000000001
2019-11-27,58.8068
2019-11-26,66.251
2019-11-25,64.1248
2019-11-22,66.238
2019-11-21,70.3653
2019-11-20,80.3758
2019-11-19,70.9304
2019-11-18,64.9035
2019-11-15,55.9645
2019-11-14,52.3855
2019-11-13,51.1965
2019-11-12,38.773
2019-11-11,45.6223
2019-11-08,43.742
2019-11-07,44.7164
2019-11-06,34.2151
2019-11-05,36.363
2019-11-04,42.4984
2019-11-01,49.6075
2019-10-31,40.4166
2019-10-30,47.6626
2019-10-29,52.2395
2019-10-28,57.6241
2019-10-25,56.6982
2019-10-24,54.5941
2019-10-23,68.5291
2019-10-22,64.7065
2019-10-21,63.2221
2019-10-18,61.7403
2019-10-17,67.1751
2019-10-16,61.5793
2019-10-15,53.5854
2019-10-14,43.1935
2019-10-11,55.6263
2019-10-10,43.251999999999995
2019-10-09,48.5525
2019-10-08,42.1739
2019-10-07,37.7686
2019-10-04,42.7491
2019-10-03,58.8096
2019-10-02,62.3232
2019-10-01,62.1612
2019-09-30,61.3245
2019-09-27,61.6364
2019-09-26,64.8842
2019-09-25,68.8217
2019-09-24,74.7797
2019-09-23,79.8013
2019-09-20,84.6425
2019-09-19,80.3761
2019-09-18,88.209
2019-09-17,92.8974
2019-09-16,89.906
2019-09-13,77.4666
2019-09-12,69.2498
2019-09-11,67.6725
2019-09-10,64.4794
2019-09-09,55.2919
2019-09-06,53.7577
2019-09-05,53.3266
2019-09-04,44.8074
2019-09-03,43.1912
2019-08-30,49.5211
2019-08-29,49.9321
2019-08-28,45.8631
2019-08-27,56.2853
2019-08-26,54.5083
2019-08-23,61.887
2019-08-22,60.3948
2019-08-21,55.0107
2019-08-20,56.942
2019-08-19,48.2789
2019-08-16,47.4297
2019-08-15,48.928999999999995
2019-08-14,45.3734
2019-08-13,35.5313
2019-08-12,30.9493
2019-08-09,29.0961
2019-08-08,36.5349
2019-08-07,39.7814
2019-08-06,44.1799
2019-08-05,38.6214
2019-08-02,43.7573
2019-08-01,48.2417
2019-07-31,51.6986
2019-07-30,46.016000000000005
2019-07-29,52.4588
2019-07-26,55.3133
2019-07-25,55.0671
2019-07-24,65.6728
2019-07-23,69.8758
2019-07-22,75.1654
2019-07-19,75.6831
2019-07-18,84.9958
2019-07-17,80.6141
2019-07-16,81.5345
2019-07-15,77.1105
2019-07-12,73.7746
2019-07-11,67.44
2019-07-10,69.9158
2019-07-09,68.8624
2019-07-08,64.556
2019-07-05,67.7134
2019-07-03,64.3551
2019-07-02,65.2004
2019-07-01,65.2178
2019-06-28,65.0764
2019-06-27,46.1549
2019-06-26,48.4795
2019-06-25,51.1682
2019-06-24,53.9606
2019-06-21,59.5138
2019-06-20,70.2433
2019-06-19,74.2569
2019-06-18,68.7123
2019-06-17,74.7368
2019-06-14,71.8258
2019-06-13,75.8747
2019-06-12,66.8766
2019-06-11,66.2523
2019-06-10,62.9721
2019-06-07,47.2538
2019-06-06,58.833999999999996
2019-06-05,60.4056
2019-06-04,68.5404
2019-06-03,66.5982
2019-05-31,60.9805
2019-05-30,67.9146
2019-05-29,73.2089
2019-05-28,72.1418
2019-05-24,71.0862
2019-05-23,71.9485
2019-05-22,81.1059
2019-05-21,79.189
2019-05-20,77.8186
2019-05-17,86.7569
2019-05-16,80.4188
2019-05-15,76.4151
2019-05-14,69.9764
2019-05-13,74.1049
2019-05-10,80.307
2019-05-09,72.5756
2019-05-08,72.5082
2019-05-07,76.3932
2019-05-06,78.1907
2019-05-03,84.4435
2019-05-02,78.8366
2019-05-01,79.8478
2019-04-30,75.5829
2019-04-29,75.1075
2019-04-26,82.9032
2019-04-25,69.6626
2019-04-24,70.3914
2019-04-23,68.7836
