date,1. open,2. high,3. low,4. close,5. volume
2021-02-11,12.89,14.1,12.52,12.65,2402162.0
2021-02-10,12.99,13.52,12.25,12.76,2309037.0
2021-02-09,11.5635,15.5,11.06,13.46,5781970.0
2021-02-08,13.4,13.4085,11.91,12.79,6721681.0
2021-02-05,16.25,16.68,10.75,11.4,19530183.0
2021-02-04,10.91,16.01,10.5,14.49,72818060.0
2021-02-03,6.5122,10.35,6.23,8.5,68862424.0
2021-02-02,4.42,7.11,4.23,5.16,45176946.0
2021-02-01,3.59,3.69,3.36,3.65,528578.0
2021-01-29,3.35,3.47,3.22,3.3,634068.0
2021-01-28,3.51,3.6,3.3103,3.37,326282.0
2021-01-27,3.57,3.725,3.48,3.57,360385.0
2021-01-26,3.69,3.74,3.61,3.67,298259.0
2021-01-25,3.8,3.82,3.643,3.69,497319.0
2021-01-22,3.75,3.85,3.75,3.82,379009.0
2021-01-21,3.85,3.86,3.75,3.83,299199.0
2021-01-20,3.89,3.92,3.75,3.85,342215.0
2021-01-19,3.9,3.9,3.81,3.86,312512.0
2021-01-15,3.92,3.9409,3.77,3.8,338090.0
2021-01-14,3.919,3.94,3.79,3.92,339018.0
2021-01-13,3.99,3.99,3.8,3.9,210965.0
2021-01-12,3.73,3.95,3.64,3.92,557430.0
2021-01-11,3.81,3.81,3.63,3.68,482749.0
2021-01-08,3.91,3.94,3.775,3.87,432748.0
2021-01-07,3.88,3.95,3.83,3.94,472937.0
2021-01-06,4.03,4.07,3.83,3.92,659282.0
2021-01-05,3.9,3.98,3.84,3.9,420700.0
2021-01-04,3.81,3.99,3.7208,3.97,563751.0
2020-12-31,3.84,3.93,3.76,3.88,355126.0
2020-12-30,4.0,4.0098,3.78,3.83,443084.0
2020-12-29,4.05,4.06,3.8,3.92,676841.0
2020-12-28,4.06,4.06,3.82,4.0,877990.0
2020-12-24,3.91,4.07,3.82,4.06,931132.0
2020-12-23,4.2726,4.36,3.92,4.06,14190354.0
2020-12-22,3.49,3.73,3.43,3.62,823274.0
2020-12-21,3.49,3.59,3.405,3.56,533030.0
2020-12-18,3.29,3.61,3.28,3.53,1061196.0
2020-12-17,3.38,3.41,3.26,3.35,621406.0
2020-12-16,3.5,3.53,3.33,3.36,572608.0
2020-12-15,3.46,3.53,3.25,3.53,906865.0
2020-12-14,3.63,3.63,3.3901,3.47,838253.0
2020-12-11,3.5075,3.61,3.41,3.5,900042.0
2020-12-10,3.53,3.59,3.4,3.47,1220724.0
2020-12-09,3.62,3.79,3.43,3.55,1780917.0
2020-12-08,3.86,4.09,3.7,3.73,2808354.0
2020-12-07,3.66,3.98,3.34,3.8,9257852.0
2020-12-04,4.1542,4.4,3.56,3.82,14252127.0
2020-12-03,4.39,5.909,3.83,4.79,228769522.0
2020-12-02,2.25,2.45,2.15,2.36,441278.0
2020-12-01,2.43,2.44,2.21,2.25,276182.0
2020-11-30,2.46,2.48,2.3,2.42,184508.0
2020-11-27,2.47,2.49,2.4211,2.43,279068.0
2020-11-25,2.45,2.5,2.38,2.4,300692.0
2020-11-24,2.45,2.48,2.37,2.47,406613.0
2020-11-23,2.46,2.5782,2.415,2.48,402365.0
2020-11-20,2.58,2.58,2.41,2.46,429624.0
2020-11-19,2.5,2.65,2.44,2.53,1211479.0
2020-11-18,2.36,2.5053,2.3280000000000003,2.45,412259.0
2020-11-17,2.34,2.37,2.3,2.37,105651.0
2020-11-16,2.12,2.42,2.12,2.38,465446.0
2020-11-13,2.14,2.14,2.06,2.12,136473.0
2020-11-12,2.19,2.23,2.08,2.11,154140.0
2020-11-11,2.2,2.23,2.15,2.23,114053.0
2020-11-10,2.1,2.29,2.1,2.13,397577.0
2020-11-09,2.38,2.47,2.22,2.38,437312.0
2020-11-06,2.1,2.34,2.07,2.34,755735.0
2020-11-05,2.1,2.13,2.05,2.11,216420.0
2020-11-04,2.15,2.15,2.05,2.1,258160.0
2020-11-03,2.01,2.09,2.01,2.07,93379.0
2020-11-02,2.07,2.07,1.975,2.0,159863.0
2020-10-30,2.02,2.0542,1.95,1.96,293039.0
2020-10-29,2.04,2.09,2.0,2.04,231127.0
2020-10-28,2.04,2.09,1.98,2.02,413819.0
2020-10-27,2.12,2.15,2.05,2.06,224504.0
2020-10-26,2.13,2.23,2.07,2.12,428131.0
2020-10-23,2.0,2.22,2.0,2.19,789077.0
2020-10-22,2.03,2.14,1.97,1.995,1701873.0
2020-10-21,2.12,2.17,2.02,2.02,632438.0
2020-10-20,2.23,2.27,2.08,2.12,1408838.0
2020-10-19,2.31,2.42,2.1277,2.26,1964920.0
2020-10-16,2.5,2.5399,2.3,2.35,915528.0
2020-10-15,2.5,2.57,2.315,2.4,1099115.0
2020-10-14,2.61,2.64,2.5,2.54,1288414.0
2020-10-13,3.03,3.07,2.58,2.6,4028276.0
2020-10-12,3.93,4.75,3.13,3.15,111389966.0
2020-10-09,2.39,2.66,2.3,2.65,457970.0
2020-10-08,2.21,2.31,2.21,2.29,126356.0
2020-10-07,2.24,2.3,2.2,2.21,123573.0
2020-10-06,2.3,2.3399,2.2,2.25,133276.0
2020-10-05,2.28,2.42,2.23,2.26,192028.0
