date,MACD_Signal,MACD,MACD_Hist
2021-01-19,0.2018,0.1536,-0.0481
2021-01-15,0.2138,0.1649,-0.0489
2021-01-14,0.226,0.1829,-0.0431
2021-01-13,0.2368,0.1911,-0.0457
2021-01-12,0.2483,0.2008,-0.0475
2021-01-11,0.2601,0.2082,-0.052000000000000005
2021-01-08,0.2731,0.239,-0.0341
2021-01-07,0.2816,0.2556,-0.0261
2021-01-06,0.2882,0.2659,-0.0223
2021-01-05,0.2937,0.2771,-0.0166
2021-01-04,0.2979,0.2896,-0.0083
2020-12-31,0.3,0.2941,-0.0059
2020-12-30,0.3014,0.3047,0.0033
2020-12-29,0.3006,0.319,0.0184
2020-12-28,0.29600000000000004,0.3234,0.0273
2020-12-24,0.2892,0.3161,0.0269
2020-12-23,0.2824,0.2961,0.0137
2020-12-22,0.27899999999999997,0.2663,-0.0127
2020-12-21,0.2822,0.2692,-0.013000000000000001
2020-12-18,0.2854,0.2751,-0.0103
2020-12-17,0.28800000000000003,0.2817,-0.0063
2020-12-16,0.2896,0.3043,0.0147
2020-12-15,0.2859,0.3277,0.0418
2020-12-14,0.2755,0.3355,0.06
2020-12-11,0.2605,0.3467,0.0862
2020-12-10,0.2389,0.3529,0.114
2020-12-09,0.2104,0.3587,0.1483
2020-12-08,0.1733,0.3528,0.1795
2020-12-07,0.1284,0.3218,0.1934
2020-12-04,0.0801,0.2704,0.1903
2020-12-03,0.0325,0.1988,0.1663
2020-12-02,-0.009000000000000001,0.0058,0.0149
2020-12-01,-0.0128,0.0068,0.0196
2020-11-30,-0.0177,0.0192,0.0369
2020-11-27,-0.0269,0.0174,0.0443
2020-11-25,-0.038,0.0138,0.0518
2020-11-24,-0.0509,0.0121,0.063
2020-11-23,-0.0666,0.0026,0.0693
2020-11-20,-0.084,-0.0106,0.0734
2020-11-19,-0.1023,-0.0252,0.0771
2020-11-18,-0.1216,-0.0506,0.071
2020-11-17,-0.1394,-0.0741,0.0652
2020-11-16,-0.1557,-0.095,0.0607
2020-11-13,-0.1708,-0.1212,0.0496
2020-11-12,-0.1832,-0.1265,0.0568
2020-11-11,-0.1974,-0.1303,0.0671
2020-11-10,-0.2142,-0.1456,0.0686
2020-11-09,-0.2313,-0.1527,0.0786
2020-11-06,-0.251,-0.1851,0.0659
2020-11-05,-0.2675,-0.2196,0.0479
2020-11-04,-0.2795,-0.2371,0.0424
2020-11-03,-0.2901,-0.2549,0.0352
2020-11-02,-0.2988,-0.2709,0.027999999999999997
2020-10-30,-0.3058,-0.2802,0.0256
2020-10-29,-0.3122,-0.284,0.0282
2020-10-28,-0.3193,-0.2929,0.0264
2020-10-27,-0.3259,-0.2978,0.0281
2020-10-26,-0.3329,-0.3039,0.028999999999999998
2020-10-23,-0.3401,-0.3134,0.0267
2020-10-22,-0.3468,-0.3281,0.0187
2020-10-21,-0.3515,-0.3222,0.0293
2020-10-20,-0.3589,-0.3125,0.0464
2020-10-19,-0.3704,-0.3058,0.0647
2020-10-16,-0.3866,-0.307,0.0796
2020-10-15,-0.4065,-0.3133,0.0933
2020-10-14,-0.4298,-0.3218,0.10800000000000001
2020-10-13,-0.4568,-0.3422,0.1146
2020-10-12,-0.4855,-0.3695,0.11599999999999999
2020-10-09,-0.5145,-0.4549,0.0596
2020-10-08,-0.5294,-0.5064,0.023
2020-10-07,-0.5352,-0.528,0.0071
2020-10-06,-0.5369,-0.5399,-0.0029
2020-10-05,-0.5362,-0.5512,-0.015
2020-10-02,-0.5324,-0.5587,-0.0262
2020-10-01,-0.5259,-0.5642,-0.0383
2020-09-30,-0.5163,-0.5905,-0.0741
2020-09-29,-0.4978,-0.5838,-0.0861
2020-09-28,-0.4762,-0.5578,-0.0815
2020-09-25,-0.4559,-0.5347,-0.0788
2020-09-24,-0.4362,-0.5076,-0.0715
2020-09-23,-0.4183,-0.4718,-0.0535
2020-09-22,-0.4049,-0.4376,-0.0326
2020-09-21,-0.3968,-0.3956,0.0011
2020-09-18,-0.397,-0.3873,0.0098
2020-09-17,-0.3995,-0.3873,0.0122
2020-09-16,-0.4025,-0.402,0.0005
2020-09-15,-0.4027,-0.4149,-0.0123
2020-09-14,-0.3996,-0.4203,-0.0207
2020-09-11,-0.3944,-0.415,-0.0206
2020-09-10,-0.3893,-0.4072,-0.018000000000000002
2020-09-09,-0.3848,-0.4046,-0.0199
2020-09-08,-0.3798,-0.4209,-0.0411
2020-09-04,-0.3695,-0.408,-0.0385
2020-09-03,-0.3599,-0.3898,-0.0299
2020-09-02,-0.3524,-0.376,-0.0236
2020-09-01,-0.3465,-0.3663,-0.0198
2020-08-31,-0.3416,-0.3709,-0.0293
2020-08-28,-0.3343,-0.3857,-0.0514
2020-08-27,-0.3214,-0.3775,-0.0561
2020-08-26,-0.3074,-0.3667,-0.0594
2020-08-25,-0.2925,-0.3588,-0.0663
2020-08-24,-0.276,-0.3468,-0.0709
2020-08-21,-0.2582,-0.3231,-0.0649
2020-08-20,-0.242,-0.3076,-0.0656
2020-08-19,-0.2256,-0.2852,-0.0596
2020-08-18,-0.2107,-0.2811,-0.0704
2020-08-17,-0.1931,-0.2666,-0.0735
2020-08-14,-0.1747,-0.2809,-0.1062
2020-08-13,-0.1482,-0.233,-0.0848
2020-08-12,-0.127,-0.2194,-0.0924
2020-08-11,-0.1039,-0.213,-0.1091
2020-08-10,-0.0766,-0.1977,-0.1211
2020-08-07,-0.0463,-0.1743,-0.128
2020-08-06,-0.0143,-0.1531,-0.1388
2020-08-05,0.0204,-0.134,-0.1544
2020-08-04,0.059000000000000004,-0.1127,-0.1717
2020-08-03,0.1019,-0.0891,-0.1909
2020-07-31,0.1496,-0.0458,-0.1955
2020-07-30,0.1985,-0.0068,-0.2053
2020-07-29,0.2498,0.0553,-0.1945
2020-07-28,0.2984,0.1186,-0.1798
2020-07-27,0.3434,0.2017,-0.1417
2020-07-24,0.3788,0.2895,-0.0893
2020-07-23,0.4011,0.3658,-0.0353
2020-07-22,0.41,0.4324,0.0225
2020-07-21,0.4043,0.4816,0.0773
2020-07-20,0.385,0.4998,0.1148
2020-07-17,0.3563,0.4892,0.1329
2020-07-16,0.3231,0.4839,0.1607
2020-07-15,0.2829,0.4547,0.1718
2020-07-14,0.24,0.4181,0.1781
2020-07-13,0.1955,0.3743,0.1789
2020-07-10,0.1507,0.1817,0.031
2020-07-09,0.14300000000000002,0.1644,0.0214
2020-07-08,0.1376,0.146,0.0084
2020-07-07,0.1356,0.1275,-0.008
2020-07-06,0.1376,0.1204,-0.0172
2020-07-02,0.1419,0.1095,-0.0323
2020-07-01,0.1499,0.1287,-0.0212
2020-06-30,0.1553,0.1432,-0.0121
2020-06-29,0.1583,0.1595,0.0013
2020-06-26,0.158,0.1786,0.0206
2020-06-25,0.1528,0.20800000000000002,0.0552
2020-06-24,0.139,0.214,0.075
2020-06-23,0.1203,0.2185,0.0983
2020-06-22,0.0957,0.2292,0.1336
2020-06-19,0.0623,0.2131,0.1508
2020-06-18,0.0246,0.1651,0.1405
2020-06-17,-0.0105,0.0982,0.1087
2020-06-16,-0.0377,0.0858,0.1235
2020-06-15,-0.0686,0.0891,0.1577
2020-06-12,-0.10800000000000001,0.0737,0.1817
2020-06-11,-0.1534,0.0386,0.1921
2020-06-10,-0.2015,0.0209,0.2223
2020-06-09,-0.257,-0.0805,0.1765
2020-06-08,-0.3012,-0.2047,0.0965
2020-06-05,-0.3253,-0.2482,0.0771
2020-06-04,-0.3446,-0.2848,0.0598
2020-06-03,-0.3595,-0.3218,0.0377
2020-06-02,-0.369,-0.3527,0.0163
2020-06-01,-0.373,-0.3702,0.0029
2020-05-29,-0.3737,-0.3642,0.0096
2020-05-28,-0.3761,-0.3563,0.0198
2020-05-27,-0.3811,-0.3472,0.0339
2020-05-26,-0.3895,-0.3397,0.0499
2020-05-22,-0.402,-0.3404,0.0616
2020-05-21,-0.4174,-0.3313,0.0861
2020-05-20,-0.4389,-0.3556,0.0833
2020-05-19,-0.4598,-0.39299999999999996,0.0668
2020-05-18,-0.4765,-0.4235,0.053
2020-05-15,-0.4897,-0.4511,0.0386
2020-05-14,-0.4994,-0.4635,0.0359
2020-05-13,-0.5084,-0.4644,0.0439
2020-05-12,-0.5193,-0.465,0.0543
2020-05-11,-0.5329,-0.4671,0.0658
2020-05-08,-0.5494,-0.4884,0.0609
2020-05-07,-0.5646,-0.5035,0.0611
2020-05-06,-0.5799,-0.5001,0.0798
2020-05-05,-0.5998,-0.4935,0.1063
2020-05-04,-0.6264,-0.5096,0.1168
2020-05-01,-0.6556,-0.5461,0.1095
2020-04-30,-0.6829999999999999,-0.5623,0.1207
2020-04-29,-0.7132,-0.6095,0.1037
2020-04-28,-0.7391,-0.6629,0.0762
2020-04-27,-0.7581,-0.705,0.0531
2020-04-24,-0.7714,-0.7497,0.0217
2020-04-23,-0.7768,-0.7804,-0.0036
2020-04-22,-0.7759,-0.8073,-0.0314
2020-04-21,-0.7681,-0.8431,-0.075
2020-04-20,-0.7493,-0.8471,-0.0977
2020-04-17,-0.7249,-0.8723,-0.1474
2020-04-16,-0.6881,-0.8481,-0.1601
2020-04-15,-0.648,-0.754,-0.106
2020-04-14,-0.6215,-0.6595,-0.038
2020-04-13,-0.612,-0.6352,-0.0232
2020-04-09,-0.6062,-0.6123,-0.0061
2020-04-08,-0.6047,-0.5833,0.0214
2020-04-07,-0.6101,-0.5643,0.0458
2020-04-06,-0.6216,-0.5267,0.0949
2020-04-03,-0.6453,-0.5209,0.1244
2020-04-02,-0.6764,-0.5294,0.147
2020-04-01,-0.7131,-0.5631,0.15
2020-03-31,-0.7506,-0.5877,0.1629
2020-03-30,-0.7913,-0.6014,0.1899
2020-03-27,-0.8388,-0.6102,0.2286
2020-03-26,-0.8959999999999999,-0.698,0.1979
2020-03-25,-0.9454,-0.8458,0.0996
2020-03-24,-0.9704,-0.9570000000000001,0.0134
2020-03-23,-0.9737,-1.0493,-0.0756
2020-03-20,-0.9548,-1.1111,-0.1563
2020-03-19,-0.9157,-1.1311,-0.2154
2020-03-18,-0.8619,-1.1168,-0.2549
2020-03-17,-0.7981,-1.0771,-0.27899999999999997
2020-03-16,-0.7284,-1.0221,-0.2937
2020-03-13,-0.655,-0.9186,-0.2636
2020-03-12,-0.5891,-0.7803,-0.1912
2020-03-11,-0.5413,-0.5873,-0.0461
