date,1. open,2. high,3. low,4. close,5. volume
2021-01-07,4.16,4.48,4.16,4.34,72170.0
2021-01-06,4.28,4.3499,4.12,4.21,52201.0
2021-01-05,4.21,4.45,4.1,4.22,61391.0
2021-01-04,4.11,4.36,4.1,4.17,69133.0
2020-12-31,4.41,4.4399,3.82,4.15,102418.0
2020-12-30,4.35,4.55,4.2005,4.4001,60130.0
2020-12-29,4.68,4.705,4.3001,4.3001,69880.0
2020-12-28,4.65,4.76,4.1,4.73,286766.0
2020-12-24,4.74,4.75,4.37,4.71,91357.0
2020-12-23,4.9,4.935,4.61,4.68,81782.0
2020-12-22,5.03,5.0923,4.8,4.93,52944.0
2020-12-21,4.98,5.1399,4.77,5.03,132080.0
2020-12-18,5.02,5.24,4.95,5.02,106019.0
2020-12-17,5.18,5.23,4.92,5.0310000000000015,61943.0
2020-12-16,5.35,5.4,5.01,5.18,155088.0
2020-12-15,5.39,5.4705,5.13,5.35,148390.0
2020-12-14,5.04,5.7999,5.04,5.4,634424.0
2020-12-11,4.94,5.28,4.6,4.98,198538.0
2020-12-10,4.57,5.56,4.355,4.92,416392.0
2020-12-09,4.46,4.62,4.32,4.5508,156508.0
2020-12-08,4.64,4.6773,4.25,4.46,244848.0
2020-12-07,4.5,4.6999,4.42,4.58,56565.0
2020-12-04,4.6,4.64,4.31,4.49,116098.0
2020-12-03,4.57,4.8,4.549,4.64,97933.0
2020-12-02,4.51,4.7499,4.34,4.54,58987.0
2020-12-01,4.96,4.96,4.39,4.56,87412.0
2020-11-30,4.84,4.89,4.44,4.85,94730.0
2020-11-27,4.99,4.99,4.62,4.75,111516.0
2020-11-25,4.04,5.69,4.04,4.93,589525.0
2020-11-24,4.21,4.28,3.96,4.17,118614.0
2020-11-23,3.91,4.1,3.91,4.1,67654.0
2020-11-20,3.75,3.9,3.7,3.88,84545.0
2020-11-19,3.8,3.81,3.6101,3.68,66999.0
2020-11-18,3.77,3.97,3.7001,3.7001,76972.0
2020-11-17,3.91,3.91,3.65,3.68,47652.0
2020-11-16,3.84,3.84,3.61,3.63,60040.0
2020-11-13,3.69,3.78,3.5501,3.75,53510.0
2020-11-12,3.73,3.74,3.58,3.72,60543.0
2020-11-11,3.51,3.68,3.5,3.6699,61688.0
2020-11-10,3.43,3.54,3.3,3.5,86967.0
2020-11-09,3.63,3.81,3.32,3.4,84864.0
2020-11-06,3.75,3.8061,3.455,3.59,112218.0
2020-11-05,4.05,4.21,3.73,3.75,152654.0
2020-11-04,3.96,4.07,3.86,4.01,88266.0
2020-11-03,4.01,4.17,3.9,3.96,74896.0
2020-11-02,4.36,4.44,4.01,4.07,166774.0
2020-10-30,4.55,4.79,4.36,4.41,192812.0
2020-10-29,4.23,4.76,4.11,4.63,929784.0
2020-10-28,4.6,4.6,4.08,4.16,366321.0
2020-10-27,4.29,4.73,4.1,4.66,1153744.0
2020-10-26,5.735,5.88,4.01,4.53,38408553.0
2020-10-23,0.4202,0.4377,0.3828,0.4059,2161041.0
2020-10-22,0.478,0.4923,0.4221,0.47,1469785.0
2020-10-21,0.55,0.6,0.5,0.52,4025851.0
2020-10-20,0.4606,0.528,0.4357,0.5088,4123210.0
2020-10-19,0.4293,0.484,0.4293,0.46,1935604.0
2020-10-16,0.4270000000000001,0.445,0.42,0.438,256379.0
2020-10-15,0.4446,0.4446,0.4102,0.43,124744.0
2020-10-14,0.4441,0.446,0.405,0.439,554548.0
2020-10-13,0.466,0.485,0.4306,0.45,1724187.0
2020-10-12,0.41,0.455,0.4007,0.455,1086330.0
2020-10-09,0.385,0.4270000000000001,0.38,0.4006,382144.0
2020-10-08,0.397,0.41,0.3782,0.3995,260080.0
2020-10-07,0.4158,0.42,0.3902,0.4047,123448.0
2020-10-06,0.3885,0.3999,0.38,0.396,152860.0
2020-10-05,0.3881,0.3952,0.38,0.394,166108.0
2020-10-02,0.4,0.4231,0.3701,0.3953,935567.0
2020-10-01,0.43,0.43,0.391,0.3911,132141.0
