date,MACD,MACD_Signal,MACD_Hist
2021-01-15,0.0529,0.0204,0.0325
2021-01-14,0.0423,0.0122,0.0301
2021-01-13,0.02,0.0047,0.0153
2021-01-12,-0.0199,0.0009,-0.0208
2021-01-11,-0.0471,0.0061,-0.0532
2021-01-08,-0.0629,0.0194,-0.0823
2021-01-07,-0.0587,0.04,-0.0987
2021-01-06,-0.0535,0.0646,-0.1181
2021-01-05,-0.0328,0.0942,-0.127
2021-01-04,-0.007,0.1259,-0.1329
2020-12-31,0.0312,0.1591,-0.1279
2020-12-30,0.0815,0.1911,-0.1096
2020-12-29,0.1191,0.2185,-0.0995
2020-12-28,0.1754,0.2434,-0.068
2020-12-24,0.2011,0.2604,-0.0593
2020-12-23,0.2329,0.2752,-0.0423
2020-12-22,0.2732,0.2858,-0.0126
2020-12-21,0.2952,0.289,0.0063
2020-12-18,0.3089,0.2874,0.0215
2020-12-17,0.3228,0.282,0.0408
2020-12-16,0.3347,0.2718,0.0629
2020-12-15,0.3299,0.2561,0.0739
2020-12-14,0.3017,0.2376,0.0641
2020-12-11,0.2562,0.2216,0.0346
2020-12-10,0.2372,0.2129,0.0242
2020-12-09,0.2155,0.2069,0.0086
2020-12-08,0.2223,0.2047,0.0176
2020-12-07,0.2371,0.2003,0.0367
2020-12-04,0.2402,0.1912,0.049
2020-12-03,0.2498,0.1789,0.0709
2020-12-02,0.2432,0.1612,0.0821
2020-12-01,0.2415,0.1407,0.1008
2020-11-30,0.2337,0.1154,0.1183
2020-11-27,0.1908,0.0859,0.105
2020-11-25,0.1435,0.0596,0.0839
2020-11-24,0.0627,0.0387,0.024
2020-11-23,0.036,0.0327,0.0034
2020-11-20,0.0086,0.0318,-0.0232
2020-11-19,-0.0041,0.0376,-0.0417
2020-11-18,0.0,0.048,-0.048
2020-11-17,0.0033,0.06,-0.0567
2020-11-16,0.0095,0.0742,-0.0647
2020-11-13,0.0223,0.0904,-0.0681
2020-11-12,0.0261,0.1074,-0.0813
2020-11-11,0.0337,0.1278,-0.094
2020-11-10,0.048,0.1513,-0.1033
2020-11-09,0.0828,0.1771,-0.0943
2020-11-06,0.1362,0.2007,-0.0645
2020-11-05,0.183,0.2168,-0.0337
2020-11-04,0.2239,0.2252,-0.0013
2020-11-03,0.2463,0.2255,0.0207
2020-11-02,0.2764,0.2204,0.056
2020-10-30,0.2995,0.2064,0.0932
2020-10-29,0.2901,0.1831,0.1071
2020-10-28,0.2516,0.1563,0.0953
2020-10-27,0.2465,0.1325,0.114
2020-10-26,0.1855,0.104,0.0815
2020-10-23,0.1182,0.0836,0.0346
2020-10-22,0.1613,0.075,0.0863
2020-10-21,0.1616,0.0534,0.1082
2020-10-20,0.119,0.0263,0.0927
2020-10-19,0.072,0.0031,0.0688
2020-10-16,0.0507,-0.0141,0.0647
2020-10-15,0.0407,-0.0303,0.0709
2020-10-14,0.0338,-0.048,0.0818
2020-10-13,0.0173,-0.0684,0.0857
2020-10-12,-0.0131,-0.0899,0.0768
2020-10-09,-0.0557,-0.109,0.0533
2020-10-08,-0.065,-0.1224,0.0574
2020-10-07,-0.075,-0.1367,0.0617
2020-10-06,-0.0909,-0.1522,0.0612
2020-10-05,-0.1028,-0.1675,0.0646
2020-10-02,-0.1149,-0.1836,0.0687
2020-10-01,-0.1297,-0.2008,0.0711
2020-09-30,-0.1432,-0.2186,0.0753
2020-09-29,-0.1653,-0.2374,0.0721
2020-09-28,-0.2151,-0.2554,0.0403
2020-09-25,-0.2381,-0.2655,0.0274
2020-09-24,-0.2542,-0.2724,0.0182
2020-09-23,-0.2539,-0.2769,0.023
2020-09-22,-0.258,-0.2827,0.0247
2020-09-21,-0.2637,-0.2889,0.0252
2020-09-18,-0.2634,-0.2952,0.0318
2020-09-17,-0.2813,-0.3031,0.0218
2020-09-16,-0.2938,-0.3086,0.0147
2020-09-15,-0.3064,-0.3122,0.0058
2020-09-14,-0.3106,-0.3137,0.0031
2020-09-11,-0.3105,-0.3145,0.004
2020-09-10,-0.3057,-0.3155,0.0098
2020-09-09,-0.3112,-0.3179,0.0068
2020-09-08,-0.318,-0.3196,0.0016
2020-09-04,-0.3176,-0.32,0.0024
2020-09-03,-0.3172,-0.3206,0.0034
2020-09-02,-0.3234,-0.3215,-0.0019
2020-09-01,-0.3312,-0.321,-0.0102
2020-08-31,-0.3319,-0.3184,-0.0134
2020-08-28,-0.3358,-0.3151,-0.0207
2020-08-27,-0.3365,-0.3099,-0.0266
2020-08-26,-0.3555,-0.3033,-0.0523
2020-08-25,-0.3471,-0.2902,-0.0569
2020-08-24,-0.3307,-0.276,-0.0547
2020-08-21,-0.3093,-0.2623,-0.047
2020-08-20,-0.2897,-0.2506,-0.0391
2020-08-19,-0.2648,-0.2408,-0.024
2020-08-18,-0.2783,-0.2348,-0.0435
2020-08-17,-0.2992,-0.2239,-0.0753
2020-08-14,-0.3109,-0.2051,-0.1058
2020-08-13,-0.2996,-0.1786,-0.1209
2020-08-12,-0.2278,-0.1484,-0.0794
2020-08-11,-0.2022,-0.1285,-0.0737
2020-08-10,-0.1929,-0.1101,-0.0827
2020-08-07,-0.1754,-0.0894,-0.0859
2020-08-06,-0.1555,-0.068,-0.0875
2020-08-05,-0.1278,-0.0461,-0.0818
2020-08-04,-0.113,-0.0256,-0.0873
2020-08-03,-0.0936,-0.0038,-0.0898
2020-07-31,-0.0639,0.0187,-0.0826
2020-07-30,-0.0284,0.0393,-0.0677
2020-07-29,-0.0187,0.0562,-0.0749
2020-07-28,0.0183,0.075,-0.0567
2020-07-27,0.0563,0.0891,-0.0328
2020-07-24,0.0949,0.0973,-0.0024
2020-07-23,0.0988,0.0979,0.0009
2020-07-22,0.0787,0.0977,-0.019
2020-07-21,0.03,0.1025,-0.0725
2020-07-20,0.0326,0.1206,-0.088
2020-07-17,0.0028,0.1426,-0.1398
2020-07-16,0.0217,0.1775,-0.1558
2020-07-15,0.0293,0.2165,-0.1871
2020-07-14,0.063,0.2633,-0.2002
2020-07-13,0.1458,0.3133,-0.1675
2020-07-10,0.225,0.3552,-0.1302
2020-07-09,0.282,0.3877,-0.1057
2020-07-08,0.3263,0.4142,-0.0879
2020-07-07,0.3535,0.4361,-0.0826
2020-07-06,0.3669,0.4568,-0.0898
2020-07-02,0.3869,0.4792,-0.0924
2020-07-01,0.4311,0.5023,-0.0712
2020-06-30,0.4971,0.5201,-0.0231
2020-06-29,0.5257,0.5259,-0.0003
2020-06-26,0.5754,0.526,0.0494
2020-06-25,0.6503,0.5136,0.1367
2020-06-24,0.6632,0.4795,0.1837
2020-06-23,0.6374,0.4335,0.2039
2020-06-22,0.5626,0.3825,0.1801
2020-06-19,0.5079,0.3375,0.1704
2020-06-18,0.4633,0.2949,0.1683
2020-06-17,0.4158,0.2528,0.163
2020-06-16,0.4225,0.2121,0.2104
2020-06-15,0.376,0.1595,0.2165
2020-06-12,0.352,0.1054,0.2466
2020-06-11,0.2999,0.0437,0.2561
2020-06-10,0.0824,-0.0203,0.1027
2020-06-09,0.0072,-0.046,0.0532
2020-06-08,-0.0318,-0.0593,0.0275
2020-06-05,-0.0567,-0.0662,0.0094
2020-06-04,-0.0796,-0.0685,-0.0111
2020-06-03,-0.0781,-0.0657,-0.0124
2020-06-02,-0.0703,-0.0627,-0.0077
2020-06-01,-0.061,-0.0607,-0.0003
2020-05-29,-0.0552,-0.0607,0.0055
2020-05-28,-0.04,-0.062,0.0221
2020-05-27,-0.0363,-0.0676,0.0313
