date,1. open,2. high,3. low,4. close,5. volume
2021-01-06,343.0,351.92,342.7826,348.03,1895674.0
2021-01-05,344.64,351.19,343.3,348.79,1479063.0
2021-01-04,354.98,354.98,341.065,344.64,1887470.0
2020-12-31,353.82,356.03,352.23,354.98,1318520.0
2020-12-30,353.0,356.61,353.0,354.16,840790.0
2020-12-29,356.0,357.35,351.8,353.9,1056162.0
2020-12-28,353.11,357.82,351.71,354.18,1020056.0
2020-12-24,352.83,354.0561,350.4,351.97,508779.0
2020-12-23,349.95,354.995,349.4,351.6,1307538.0
2020-12-22,349.35,350.62,347.385,347.92,1822762.0
2020-12-21,353.16,353.94,346.6,349.35,2128723.0
2020-12-18,352.04,356.79,350.01,356.03,4342035.0
2020-12-17,355.93,357.66,351.88,352.6,1658146.0
2020-12-16,357.25,357.899,353.65,354.57,1986456.0
2020-12-15,358.73,359.89,355.445,357.57,1521203.0
2020-12-14,363.5,365.62,357.44,357.66,1370771.0
2020-12-11,354.55,363.12,354.19,361.71,1410012.0
2020-12-10,359.52,364.215,355.195,355.39,1378723.0
2020-12-09,359.85,362.59,356.945,361.35,1522393.0
2020-12-08,360.98,363.17,358.835,359.23,1783602.0
2020-12-07,366.9,366.9,360.54,362.13,1390470.0
2020-12-04,363.12,367.73,362.11,366.61,1222573.0
2020-12-03,362.12,369.5,360.96,362.03,1758402.0
2020-12-02,364.99,365.9899,360.01,361.36,2519989.0
2020-12-01,368.47,373.29,364.87,364.99,1281524.0
2020-11-30,370.79,372.44,363.39,365.0,1608390.0
2020-11-27,378.81,378.81,373.45,374.34,612298.0
2020-11-25,377.09,381.95,376.23,378.34,854993.0
2020-11-24,375.28,378.48,373.06,378.48,951169.0
2020-11-23,371.54,374.53,369.86,370.85,929449.0
2020-11-20,375.97,377.2373,367.62,368.02,1117931.0
2020-11-19,375.0,377.75,372.17,376.46,1075405.0
2020-11-18,377.49,383.4699,376.24,377.56,1066781.0
2020-11-17,375.66,380.48,375.25,375.9,1321480.0
2020-11-16,378.05,380.69,376.08,377.13,1306768.0
2020-11-13,370.57,376.0,369.23,375.14,921474.0
2020-11-12,367.5,370.57,365.51,367.89,856345.0
2020-11-11,372.87,373.33,365.68,369.28,1115361.0
2020-11-10,365.0,373.435,363.94,371.28,1708205.0
2020-11-09,379.6,381.52,363.73,363.95,1956921.0
2020-11-06,363.3,363.73,357.95,361.27,1401617.0
2020-11-05,374.55,376.5,363.77,364.7,1709297.0
2020-11-04,371.07,381.46,369.51,372.16,2146525.0
2020-11-03,357.13,366.2,356.21,363.44,1484628.0
2020-11-02,356.12,359.91,350.72,352.42,1707749.0
2020-10-30,350.64,353.73,345.65,350.13,1310167.0
2020-10-29,350.0,356.225,348.29,352.44,1547977.0
2020-10-28,356.87,360.0,350.45,350.86,1680134.0
2020-10-27,367.0,367.98,360.805,362.43,977417.0
2020-10-26,369.43,369.87,362.5016,368.55,1387270.0
2020-10-23,371.34,376.19,369.01,374.33,1178882.0
2020-10-22,367.5,371.11,365.15,368.96,1255370.0
2020-10-21,372.21,375.0,365.0,367.14,1931194.0
2020-10-20,382.59,385.79,371.8,372.21,1783180.0
2020-10-19,387.24,389.6,381.671,383.71,1180993.0
2020-10-16,388.49,389.78,386.09,386.5,952117.0
2020-10-15,387.33,388.87,383.22,386.12,792113.0
2020-10-14,387.14,395.46,387.14,390.72,1090394.0
2020-10-13,386.14,390.56,385.12,388.95,973378.0
2020-10-12,386.0,390.51,383.26,388.92,807358.0
2020-10-09,388.41,390.1,385.29,385.93,675020.0
2020-10-08,383.9,389.19,382.2784,388.59,695156.0
2020-10-07,378.6,383.84,378.56,382.94,826844.0
2020-10-06,386.03,386.11,376.02,376.46,954931.0
2020-10-05,383.24,385.8891,378.86,383.96,825249.0
2020-10-02,376.0,383.4766,374.28,380.58,1217172.0
2020-10-01,384.0,390.0,379.0,380.89,1103853.0
2020-09-30,389.47,389.76,380.51,383.28,1410264.0
2020-09-29,389.61,393.15,387.51,388.74,1121387.0
2020-09-28,390.0,396.61,389.65,390.51,980091.0
2020-09-25,377.45,388.4,376.45,386.7,1375385.0
2020-09-24,383.25,384.49,375.095,378.76,1295262.0
2020-09-23,389.23,394.4271,381.99,383.24,1223324.0
2020-09-22,381.88,392.48,381.3443,388.42,1286535.0
2020-09-21,388.5,389.8658,377.23,379.61,1447716.0
2020-09-18,394.15,399.0,394.15,395.14,2636802.0
2020-09-17,392.0,398.55,389.54,395.94,959548.0
2020-09-16,391.11,399.6,390.93,395.58,1052509.0
2020-09-15,395.65,396.0,386.89,392.55,955899.0
2020-09-14,393.37,396.67,391.62,393.75,991054.0
2020-09-11,381.47,390.4999,380.75,389.45,933979.0
2020-09-10,386.02,388.5323,378.33,379.11,716427.0
2020-09-09,382.69,389.42,381.0101,385.24,1218293.0
2020-09-08,383.99,385.285,378.36,380.23,1071648.0
2020-09-04,388.51,391.55,379.58,385.02,933794.0
2020-09-03,399.5,401.8755,383.38,386.29,1500784.0
2020-09-02,385.15,398.9,384.11,398.07,1214735.0
2020-09-01,387.82,389.185,385.0,386.81,908902.0
2020-08-31,392.17,395.0,388.47,390.26,1030838.0
2020-08-28,395.51,396.0,391.73,395.59,728261.0
2020-08-27,396.84,400.085,394.88,395.02,700460.0
2020-08-26,393.0,397.66,390.56,395.44,908779.0
2020-08-25,395.72,402.375,392.4,394.84,987415.0
2020-08-24,390.83,395.57,389.9,395.04,1006398.0
2020-08-21,387.71,390.79,386.8596,389.57,996274.0
2020-08-20,388.28,389.2,383.577,387.88,1203695.0
2020-08-19,390.08,391.97,388.84,390.05,717523.0
2020-08-18,389.17,391.91,388.3434,390.26,806128.0
2020-08-17,393.98,395.19,387.73,388.96,863571.0
