date,MACD,MACD_Hist,MACD_Signal
2021-01-29,-6.6239,-1.4242,-5.1996
2021-01-28,-5.7398,-0.8962,-4.8436
2021-01-27,-5.15,-0.5305,-4.6195
2021-01-26,-4.7887,-0.3018,-4.4869
2021-01-25,-4.0725,0.3389,-4.4115
2021-01-22,-4.4045,0.0917,-4.4962
2021-01-21,-4.3946,0.1245,-4.5191
2021-01-20,-4.2966,0.2537,-4.5502
2021-01-19,-4.3127,0.301,-4.6137
2021-01-15,-4.2531,0.4358,-4.6889
2021-01-14,-4.7028,0.0951,-4.7979
2021-01-13,-5.2256,-0.404,-4.8216
2021-01-12,-5.6184,-0.8978,-4.7206
2021-01-11,-5.6674,-1.1712,-4.4962
2021-01-08,-5.2228,-1.0195,-4.2034
2021-01-07,-4.4186,-0.4701,-3.9485
2021-01-06,-3.9847,-0.1537,-3.831
2021-01-05,-3.9307,-0.1381,-3.7926
2021-01-04,-3.8821,-0.1241,-3.7581
2020-12-31,-3.341,0.386,-3.727
2020-12-30,-3.6546,0.1689,-3.8235
2020-12-29,-3.9182,-0.0525,-3.8658
2020-12-28,-4.1713,-0.3186,-3.8527
2020-12-24,-4.462,-0.689,-3.773
2020-12-23,-4.5432,-0.9425,-3.6007
2020-12-22,-4.5431,-1.178,-3.3651
2020-12-21,-4.1022,-1.0315,-3.0706
2020-12-18,-3.6253,-0.8126,-2.8128
2020-12-17,-3.6441,-1.0345,-2.6096
2020-12-16,-3.2658,-0.9148,-2.351
2020-12-15,-2.9361,-0.8138,-2.1223
2020-12-14,-2.778,-0.8591,-1.9189
2020-12-11,-2.5449,-0.8409,-1.7041
2020-12-10,-2.6228,-1.129,-1.4939
2020-12-09,-2.0406,-0.829,-1.2116
2020-12-08,-1.8746,-0.8703,-1.0044
2020-12-07,-1.4197,-0.6329,-0.7868
2020-12-04,-1.1136,-0.485,-0.6286
2020-12-03,-1.1629,-0.6556,-0.5073
2020-12-02,-0.7426,-0.3991,-0.3434
2020-12-01,-0.127,0.1166,-0.2436
2020-11-30,0.2908,0.5636,-0.2728
2020-11-27,0.8189,1.2326,-0.4137
2020-11-25,0.7997,1.5215,-0.7219
2020-11-24,0.3591,1.4613,-1.1022
2020-11-23,-0.2226,1.2449,-1.4676
2020-11-20,-0.1905,1.5883,-1.7788
2020-11-19,0.1393,2.3152,-2.1759
2020-11-18,-0.295,2.4597,-2.7547
2020-11-17,-0.9562,2.4134,-3.3696
2020-11-16,-1.6184,2.3546,-3.973
2020-11-13,-2.5644,1.9972,-4.5616
2020-11-12,-3.5334,1.5275,-5.0609
2020-11-11,-3.9859,1.4569,-5.4428
2020-11-10,-4.6459,1.1611,-5.807
2020-11-09,-5.6229,0.4743,-6.0973
2020-11-06,-6.0472,0.1686,-6.2158
2020-11-05,-6.2298,0.0282,-6.258
2020-11-04,-6.719,-0.4539,-6.265
2020-11-03,-7.9998,-1.8483,-6.1516
2020-11-02,-8.6367,-2.9472,-5.6895
2020-10-30,-8.2099,-3.2573,-4.9527
2020-10-29,-7.3142,-3.1759,-4.1384
