date,1. open,2. high,3. low,4. close,5. volume
2021-01-13,15.0,15.24,14.31,14.32,2726555.0
2021-01-12,14.51,15.2,14.51,15.0,4336099.0
2021-01-11,14.21,14.75,14.13,14.5,2815358.0
2021-01-08,13.91,14.435,13.91,14.32,3809029.0
2021-01-07,13.9,14.01,13.69,13.8,2491157.0
2021-01-06,14.0,14.05,13.635,13.82,4826935.0
2021-01-05,14.15,14.36,13.955,14.0,3520944.0
2021-01-04,14.25,14.365,13.85,14.3,3256016.0
2020-12-31,14.59,14.85,14.14,14.2,5111353.0
2020-12-30,14.15,14.85,14.15,14.54,3572621.0
2020-12-29,13.76,14.9,13.76,14.29,4000108.0
2020-12-28,13.98,14.15,13.63,13.76,3646838.0
2020-12-24,14.08,14.45,14.05,14.17,1612979.0
2020-12-23,14.19,14.74,13.85,14.62,2861010.0
2020-12-22,14.9,14.98,13.81,13.85,4503285.0
2020-12-21,14.9,15.17,14.71,14.76,7404458.0
2020-12-18,14.6,15.42,14.3616,15.34,8524432.0
2020-12-17,14.38,14.72,13.86,14.7,3951131.0
2020-12-16,14.27,14.68,14.12,14.26,4401012.0
2020-12-15,13.42,14.31,13.4,14.2,5327753.0
2020-12-14,14.04,14.13,13.235,13.26,7436800.0
2020-12-11,13.9,14.13,13.7,14.07,6345408.0
2020-12-10,14.16,14.2,13.64,13.72,5288300.0
2020-12-09,14.7,14.8,14.11,14.15,3961881.0
2020-12-08,14.65,14.94,14.52,14.88,2905149.0
2020-12-07,14.48,15.08,14.45,14.8,2374357.0
2020-12-04,14.5,14.94,14.09,14.63,4165701.0
2020-12-03,15.48,15.75,14.37,14.43,5242366.0
2020-12-02,15.15,15.65,14.93,15.1,7805237.0
2020-12-01,16.83,17.33,15.8,16.8,8467400.0
2020-11-30,16.0,16.74,15.56,16.47,10825548.0
2020-11-27,14.41,15.48,14.37,15.19,5681566.0
2020-11-25,14.01,14.48,13.929,14.09,5349753.0
2020-11-24,15.4103,15.42,13.9,13.93,10353386.0
2020-11-23,14.4297,15.07,13.01,14.96,10907416.0
2020-11-20,15.83,15.92,14.61,14.61,6892039.0
2020-11-19,15.09,16.5,14.88,15.53,5000780.0
2020-11-18,16.35,16.99,14.805,14.87,14320648.0
2020-11-17,19.5,19.56,15.01,15.15,15020877.0
2020-11-16,19.85,20.02,18.5,19.72,8655775.0
2020-11-13,18.94,20.17,18.25,19.22,13685523.0
2020-11-12,17.0,17.86,16.96,17.85,31779419.0
2020-11-11,16.51,17.1,16.09,16.94,4489785.0
2020-11-10,17.0,17.35,15.1,16.58,8365724.0
2020-11-09,17.59,17.94,16.51,17.5,13673070.0
2020-11-06,13.75,17.0799,13.7,16.35,20003210.0
2020-11-05,13.0,14.07,12.93,13.86,18361725.0
2020-11-04,12.83,12.94,12.2,12.68,15201972.0
2020-11-03,12.64,12.88,11.85,12.66,27550069.0
2020-11-02,13.63,13.92,13.32,13.8,12848223.0
2020-10-30,11.6,13.64,11.56,12.85,33657872.0
