date,MACD,MACD_Hist,MACD_Signal
2021-02-11,0.4598,-0.0133,0.4731
2021-02-10,0.4812,0.0014,0.4798
2021-02-09,0.4584,-0.0206,0.4791
2021-02-08,0.5493,0.0599,0.4894
2021-02-05,0.5468,0.0874,0.4594
2021-02-04,0.4829,0.0672,0.4157
2021-02-03,0.3814,-0.0007,0.3821
2021-02-02,0.3348,-0.0476,0.3825
2021-02-01,0.4767,0.0705,0.4063
2021-01-29,0.3574,0.147,0.2105
2021-01-28,0.3303,0.1566,0.1737
2021-01-27,0.3916,0.257,0.1346
2021-01-26,0.3644,0.2941,0.0703
2021-01-25,0.2562,0.2593,-0.0032
2021-01-22,0.0959,0.16399999999999998,-0.068
2021-01-21,0.0255,0.1345,-0.109
2021-01-20,-0.1086,0.0341,-0.1427
2021-01-19,-0.0918,0.0594,-0.1512
2021-01-15,-0.1017,0.0643,-0.166
2021-01-14,-0.0761,0.106,-0.1821
2021-01-13,-0.1167,0.0919,-0.2086
2021-01-12,-0.124,0.1076,-0.2316
2021-01-11,-0.2008,0.0577,-0.2585
2021-01-08,-0.245,0.0279,-0.2729
2021-01-07,-0.2795,0.0004,-0.2799
2021-01-06,-0.2665,0.0134,-0.28
2021-01-05,-0.2481,0.0352,-0.2833
2021-01-04,-0.2394,0.0527,-0.2921
2020-12-31,-0.2553,0.05,-0.3053
2020-12-30,-0.2617,0.0562,-0.3178
2020-12-29,-0.3006,0.0312,-0.3319
2020-12-28,-0.3205,0.0191,-0.3397
2020-12-24,-0.2873,0.0572,-0.3445
2020-12-23,-0.2825,0.0763,-0.3588
2020-12-22,-0.318,0.0598,-0.3778
2020-12-21,-0.2804,0.1124,-0.3928
2020-12-18,-0.3209,0.1,-0.4209
2020-12-17,-0.4270000000000001,0.0189,-0.4459
2020-12-16,-0.2848,0.0297,-0.3145
2020-12-15,-0.3626,-0.0333,-0.3293
2020-12-14,-0.4516,-0.1389,-0.3126
2020-12-11,-0.3474,-0.1042,-0.2432
2020-12-10,-0.3431,-0.152,-0.1911
2020-12-09,-0.2315,-0.1165,-0.1151
2020-12-08,-0.1342,-0.0774,-0.0569
2020-12-07,-0.1367,-0.1185,-0.0182
2020-12-04,-0.1129,-0.1539,0.0411
2020-12-03,-0.0268,-0.1448,0.118
2020-12-02,0.1622,-0.0282,0.1904
2020-12-01,0.3038,0.0993,0.2045
2020-11-30,0.1181,-0.0367,0.1549
2020-11-27,-0.116,-0.2892,0.1733
2020-11-25,-0.192,-0.5099,0.3179
2020-11-24,-0.0467,-0.6195,0.5728
2020-11-23,0.2311,-0.6515,0.8826
