date,MACD,MACD_Hist,MACD_Signal
2021-01-22,-0.6928,-0.4204,-0.2724
2021-01-21,-0.604,-0.4367,-0.1673
2021-01-20,-0.6042,-0.546,-0.0581
2021-01-19,-0.4988,-0.5772,0.0784
2021-01-15,-0.3591,-0.5818,0.2227
2021-01-14,-0.0727,-0.4408,0.3681
2021-01-13,0.0658,-0.4125,0.4783
2021-01-12,0.2803,-0.3011,0.5815
2021-01-11,0.4156,-0.2411,0.6567
2021-01-08,0.6037,-0.1133,0.7170000000000001
2021-01-07,0.6812,-0.0641,0.7453
2021-01-06,0.7468,-0.0146,0.7614
2021-01-05,0.78,0.015,0.765
2021-01-04,0.7193,-0.0419,0.7613
2020-12-31,0.7831,0.0114,0.7718
2020-12-30,0.6852,-0.0837,0.7689
2020-12-29,0.6378,-0.152,0.7898
2020-12-28,0.6322,-0.1956,0.8278
2020-12-24,0.5273,-0.3495,0.8767
2020-12-23,0.5862,-0.3779,0.9641
2020-12-22,0.6346,-0.424,1.0586
2020-12-21,0.7829,-0.3817,1.1646
2020-12-18,0.8965,-0.3635,1.26
2020-12-17,0.9726,-0.3783,1.3509
2020-12-16,1.0647,-0.3808,1.4455
2020-12-15,1.1362,-0.4044,1.5407
2020-12-14,1.1876,-0.4542,1.6418
2020-12-11,1.3722,-0.3831,1.7553
2020-12-10,1.5656,-0.2855,1.8511
2020-12-09,1.7337,-0.1888,1.9224
2020-12-08,1.8527,-0.117,1.9696
2020-12-07,1.9176,-0.0813,1.9989
2020-12-04,1.9358,-0.0834,2.0192
2020-12-03,1.8118,-0.2282,2.0401
2020-12-02,1.7749,-0.3222,2.0971
2020-12-01,1.8088,-0.3689,2.1777
2020-11-30,1.9266,-0.3433,2.2699
2020-11-27,2.1416,-0.2141,2.3557
2020-11-25,2.2952,-0.114,2.4092
2020-11-24,2.4631,0.0253,2.4377
2020-11-23,2.4846,0.0532,2.4314
2020-11-20,2.6175,0.1994,2.4181
2020-11-19,2.8295,0.4613,2.3682
2020-11-18,2.7881,0.5352,2.2529
2020-11-17,2.82,0.7009,2.1191
2020-11-16,2.8023,0.8584,1.9439
2020-11-13,2.6494,0.9201,1.7293
2020-11-12,2.4258,0.9266,1.4992
2020-11-11,2.3821,1.1145,1.2676
2020-11-10,2.1502,1.1613,0.989
2020-11-09,1.658,0.9593,0.6986
2020-11-06,1.0769,0.6181,0.4588
2020-11-05,0.8174,0.5131,0.3043
2020-11-04,0.513,0.337,0.17600000000000002
2020-11-03,0.3909,0.2991,0.0918
2020-11-02,0.32,0.303,0.017
2020-10-30,0.2096,0.2683,-0.0587
2020-10-29,0.1786,0.3044,-0.1258
2020-10-28,0.1588,0.3607,-0.2019
2020-10-27,0.2311,0.5232,-0.2921
2020-10-26,0.1744,0.5973,-0.4229
2020-10-23,0.014,0.5862,-0.5722
2020-10-22,-0.3488,0.37,-0.7188
2020-10-21,-0.7182,0.0931,-0.8113
2020-10-20,-0.7852,0.0493,-0.8345
2020-10-19,-0.8858,-0.0389,-0.8469
