date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,347.08,348.0,336.03,342.92,4816687.0
2021-01-11,352.11,353.42,347.79,348.2,2403454.0
2021-01-08,351.36,354.98,349.49,353.85,3371500.0
2021-01-07,348.95,352.37,348.38,349.86,3100154.0
2021-01-06,350.42,354.03,344.56,347.55,3763024.0
2021-01-05,348.8,353.0,345.4371,347.42,2990661.0
2021-01-04,358.0,358.125,347.361,351.49,4638353.0
2020-12-31,355.03,359.41,353.25,356.94,2881763.0
2020-12-30,348.68,357.82,347.21,355.55,4200633.0
2020-12-29,347.78,348.75,344.76,346.66,2823004.0
2020-12-28,337.86,345.59,336.87,344.47,3432297.0
2020-12-24,330.65,336.37,330.35,336.0,1308938.0
2020-12-23,334.13,335.21,329.03,329.23,2760577.0
2020-12-22,334.16,335.22,331.6,332.24,2404432.0
2020-12-21,333.21,336.15,327.24,334.37,3642516.0
2020-12-18,336.51,341.6,334.35,340.33,8443730.0
2020-12-17,334.54,338.33,333.4,336.9,2725483.0
2020-12-16,333.96,334.0,329.25,332.1,3393284.0
2020-12-15,333.16,335.217,327.62,333.65,3106678.0
2020-12-14,329.0,338.75,327.59,331.15,3552615.0
2020-12-11,327.09,331.565,325.53,327.42,4178111.0
2020-12-10,334.65,335.535,331.19,331.52,3506826.0
2020-12-09,340.41,341.71,334.69,336.85,2962586.0
2020-12-08,338.28,342.83,336.7,340.79,2224649.0
2020-12-07,343.36,347.99,340.05,340.96,2389808.0
2020-12-04,336.92,344.3548,335.8,344.35,4323636.0
2020-12-03,338.56,342.315,334.12,335.14,3080295.0
2020-12-02,336.78,340.24,334.0,340.22,2972421.0
2020-12-01,339.67,342.6299,337.62,338.88,3881458.0
2020-11-30,337.66,338.045,330.18,336.51,4276207.0
2020-11-27,342.83,342.88,337.61,339.07,1402271.0
2020-11-25,343.71,343.71,339.3409,341.32,2535198.0
2020-11-24,336.91,344.11,334.115,342.39,3513355.0
2020-11-23,326.21,333.2,324.37,332.04,3220817.0
2020-11-20,334.78,335.155,323.0,323.0,4144864.0
2020-11-19,335.49,339.16,331.42,333.88,2718742.0
2020-11-18,336.53,340.95,334.855,335.94,3203424.0
2020-11-17,333.17,337.77,330.72,336.5,3412853.0
2020-11-16,341.8,342.65,333.17,335.45,3313117.0
2020-11-13,330.3,336.11,327.34,335.03,2393997.0
2020-11-12,329.06,333.09,326.295,328.29,3208585.0
2020-11-11,337.41,337.7,331.07,332.39,2969922.0
2020-11-10,339.99,345.86,333.44,334.78,5330365.0
2020-11-09,346.92,357.0,340.9,344.56,10933692.0
2020-11-06,315.98,316.49,310.09,313.64,2978524.0
2020-11-05,315.14,319.35,313.58,316.53,3794406.0
2020-11-04,305.09,312.7199,302.24,307.2,4790140.0
2020-11-03,294.45,300.34,291.78,295.39,4097715.0
2020-11-02,294.24,294.8372,288.12,289.97,5095018.0
2020-10-30,289.85,291.85,281.2,288.64,6893575.0
2020-10-29,293.2,295.3,287.55,293.18,9582260.0
2020-10-28,301.69,302.0,288.6,291.38,11518248.0
2020-10-27,318.9,319.555,312.355,317.11,4314917.0
2020-10-26,326.41,327.24,314.23,318.06,5173344.0
2020-10-23,335.69,335.69,328.31,329.61,2945459.0
2020-10-22,333.37,335.375,329.25,333.6,2256296.0
2020-10-21,332.49,336.32,331.3,333.42,2725252.0
2020-10-20,333.04,336.8,331.68,331.72,2679689.0
2020-10-19,340.12,341.3,330.43,331.67,2937563.0
2020-10-16,340.0,344.9787,339.23,339.4,3326354.0
2020-10-15,338.3,339.61,332.815,338.57,3728078.0
2020-10-14,345.76,347.19,341.19,342.7,2234659.0
2020-10-13,351.43,351.5,345.02,345.84,2523751.0
2020-10-12,355.0,355.0,350.82,352.04,2943192.0
2020-10-09,347.99,353.36,347.0,352.39,3116763.0
2020-10-08,345.01,347.69,344.24,345.15,1991848.0
2020-10-07,341.78,344.65,340.335,343.9,3068268.0
2020-10-06,342.06,346.36,336.22,337.43,2553410.0
2020-10-05,341.68,343.25,338.97,343.25,2081554.0
2020-10-02,338.27,342.61,336.01,338.83,2184840.0
2020-10-01,342.24,346.7,340.28,343.37,2503643.0
