date,MACD_Hist,MACD,MACD_Signal
2021-02-02,1.5107,-2.491,-4.0016
2021-02-01,-0.1161,-4.8731,-4.757
2021-01-29,-2.4397,-4.953,-2.5133
2021-01-28,-2.273,-4.1765,-1.9034
2021-01-27,-2.6029,-3.9381,-1.3352
2021-01-26,-1.9971,-2.6815,-0.6844
2021-01-25,-2.0968,-2.2819,-0.1852
2021-01-22,-2.2295,-1.8904,0.339
2021-01-21,-2.2392,-1.3428,0.8964
2021-01-20,-2.6355,-1.1793,1.4562
2021-01-19,-3.1164,-1.0013,2.1151
2021-01-15,-2.7404,0.1538,2.8942
2021-01-14,-1.6805,1.8988,3.5793
2021-01-13,-0.2748,3.7247,3.9994
2021-01-12,-0.0424,4.0257,4.0681
2021-01-11,0.6199,4.6987,4.0787
2021-01-08,1.0279,4.9516,3.9237
2021-01-07,0.9604,4.6272,3.6668
2021-01-06,1.1254,4.552,3.4267
2021-01-05,1.5242,4.6695,3.1453
2021-01-04,2.0006,4.7648,2.7643
2020-12-31,2.1391,4.4033,2.2641
2020-12-30,1.5942,3.3235,1.7293
2020-12-29,0.7076,2.0384,1.3308
2020-12-28,0.1185,1.2724,1.1539
2020-12-24,-0.6252,0.499,1.1243
2020-12-23,-0.9146,0.3659,1.2806
2020-12-22,-0.63,0.8792,1.5092
2020-12-21,-0.4513,1.2154,1.6667
2020-12-18,-0.3693,1.4102,1.7796
2020-12-17,-0.8396,1.0323,1.8719
2020-12-16,-1.198,0.8838,2.0818
2020-12-15,-1.2118,1.1695,2.3813
2020-12-14,-1.3248,1.3594,2.6843
2020-12-11,-1.1791,1.8364,3.0155
2020-12-10,-0.5125,2.7977,3.3102
2020-12-09,0.1287,3.5671,3.4384
2020-12-08,0.5489999999999999,3.9552,3.4062
2020-12-07,0.7234,3.9924,3.2689
2020-12-04,0.8764,3.9645,3.0881
2020-12-03,0.6575,3.5265,2.869
2020-12-02,1.1481,3.8527,2.7046
2020-12-01,1.2789,3.6965,2.4176
2020-11-30,1.4817,3.5795,2.0979
2020-11-27,1.8918,3.6193,1.7275
2020-11-25,2.1024,3.357,1.2545
2020-11-24,2.0157,2.7446,0.7289
2020-11-23,1.5892,1.8142,0.225
2020-11-20,1.8251,1.6528,-0.1723
2020-11-19,2.9706,2.342,-0.6286
2020-11-18,3.4524,2.0812,-1.3712
2020-11-17,3.743,1.5087,-2.2343
2020-11-16,3.869,0.6990000000000001,-3.1701
2020-11-13,3.8994,-0.2379,-4.1373
2020-11-12,3.7247,-1.3875,-5.1122
2020-11-11,3.8941,-2.1492,-6.0433
2020-11-10,3.5097,-3.5072,-7.0169
2020-11-09,2.4619,-5.4324,-7.8943
2020-11-06,-0.2955,-8.8052,-8.5098
2020-11-05,-1.4019,-9.8378,-8.4359
2020-11-04,-3.2212,-11.3066,-8.0854
2020-11-03,-4.7879,-12.068,-7.2801
2020-11-02,-5.5802,-11.6634,-6.0831
2020-10-30,-5.738,-10.4261,-4.6881
2020-10-29,-5.3065,-8.56,-3.2536
2020-10-28,-4.5884,-6.5154,-1.927
2020-10-27,-2.8480000000000003,-3.6279,-0.7799
2020-10-26,-2.4382,-2.506,-0.0679
2020-10-23,-1.676,-1.1343,0.5417
2020-10-22,-1.5023,-0.5416,0.9607
2020-10-21,-1.5192,-0.1829,1.3363
2020-10-20,-1.4202,0.2959,1.7161
2020-10-19,-0.9955,1.0756,2.0711
2020-10-16,-0.2598,2.0602,2.32
2020-10-15,0.1159,2.5009,2.3849
2020-10-14,0.7554,3.1114,2.356
2020-10-13,1.2582,3.4253,2.1671
2020-10-12,1.6044,3.4569,1.8526
2020-10-09,1.3651,2.8165,1.4515
2020-10-08,0.8124,1.9226,1.1102
2020-10-07,0.5827,1.4898,0.9071
2020-10-06,0.322,1.0834,0.7614
2020-10-05,0.5252,1.2061,0.6809
2020-10-02,0.2044,0.754,0.5496
2020-10-01,0.1164,0.6149,0.4985
2020-09-30,-0.5021,-0.0327,0.4694
2020-09-29,-0.9256,-0.3306,0.595
2020-09-28,-1.3353,-0.509,0.8264
2020-09-25,-2.1088,-0.9486,1.1602
2020-09-24,-2.512,-0.8246,1.6874
2020-09-23,-2.6071,-0.2917,2.3154
2020-09-22,-2.2007,0.7665,2.9672
2020-09-21,-2.5063,1.0111,3.5174
2020-09-18,-2.0777,2.0662,4.1439
2020-09-17,-2.033,2.6303,4.6633
2020-09-16,-2.2831,2.8885,5.1716
2020-09-15,-2.8123,2.9301,5.7424
2020-09-14,-3.2295,3.216,6.4454
2020-09-11,-3.664,3.5888,7.2528
2020-09-10,-3.2979,4.8709,8.1688
2020-09-09,-2.8342,6.1591,8.9933
2020-09-08,-2.6748,7.027,9.7019
2020-09-04,-1.3465,9.024,10.3706
2020-09-03,0.2134,10.9206,10.7072
2020-09-02,1.6318,12.2856,10.6538
2020-09-01,1.8907,12.1366,10.2459
2020-08-31,2.3827,12.1559,9.7732
2020-08-28,2.6951,11.8726,9.1775
2020-08-27,2.0292,10.5329,8.5037
2020-08-26,1.7013,9.6977,7.9964
2020-08-25,1.4253,8.9965,7.5711
2020-08-24,1.097,8.3118,7.2148
2020-08-21,0.7848,7.7254,6.9405
2020-08-20,0.7844,7.5288,6.7443
2020-08-19,0.5978,7.146,6.5482
2020-08-18,0.6544,7.0532,6.3988
2020-08-17,0.7392,6.9744,6.2352
2020-08-14,0.8002,6.8506,6.0504
2020-08-13,1.091,6.9413,5.8503
2020-08-12,1.4405,7.0181,5.5776
2020-08-11,1.6503,6.8677,5.2174
2020-08-10,1.6786,6.4835,4.8049
2020-08-07,2.0884,6.4736,4.3852
2020-08-06,1.9818,5.8449,3.8631
2020-08-05,1.3743,4.742,3.3677
2020-08-04,0.4585,3.4826,3.0241
2020-08-03,0.2976,3.207,2.9094
2020-07-31,0.1564,2.9914,2.8351
2020-07-30,0.2892,3.0851,2.7960000000000003
2020-07-29,0.3885,3.1121,2.7237
2020-07-28,0.4443,3.0708,2.6266
2020-07-27,0.7596,3.2751,2.5155
2020-07-24,0.9057,3.2313,2.3256
2020-07-23,1.2262,3.3253,2.0992
2020-07-22,1.3017,3.0943,1.7926
2020-07-21,0.9348,2.402,1.4672
2020-07-20,0.8361,2.0695,1.2335
2020-07-17,0.1477,1.1722,1.0245
2020-07-16,-0.1753,0.8122,0.9875
2020-07-15,-0.2119,0.8194,1.0313
2020-07-14,-0.9147,0.1696,1.0843
2020-07-13,-1.2876,0.0254,1.3130000000000002
2020-07-10,-0.9031,0.7318,1.6349
2020-07-09,-0.7966,1.0641,1.8607
2020-07-08,-0.4764,1.5834,2.0598
2020-07-07,-0.5204,1.6586,2.1789
2020-07-06,-0.5138,1.7953,2.309
2020-07-02,-1.068,1.3695,2.4375
2020-07-01,-1.5789,1.1256,2.7045
2020-06-30,-2.1744,0.9248,3.0992
2020-06-29,-2.4329,1.2099,3.6428
2020-06-26,-2.4139,1.8371,4.251
2020-06-25,-1.8793,2.9752,4.8545
2020-06-24,-1.8194,3.505,5.3244
2020-06-23,-1.2432,4.5360000000000005,5.7792
2020-06-22,-1.6095,4.4805,6.09
2020-06-19,-1.9004,4.592,6.4924
2020-06-18,-1.4946,5.4728,6.9675
2020-06-17,-1.6705,5.6706,7.3411
2020-06-16,-1.8077,5.9510000000000005,7.7587
2020-06-15,-2.0613,6.1494,8.2107
2020-06-12,-1.6713,7.0547,8.726
2020-06-11,-1.0992,8.0446,9.1438
2020-06-10,0.4358,9.8545,9.4186
2020-06-09,0.4901,9.7998,9.3097
2020-06-08,0.5686,9.7558,9.1872
2020-06-05,0.6222,9.6672,9.045
2020-06-04,0.3751,9.2645,8.8895
2020-06-03,0.8862,9.6819,8.7957
