date,1. open,2. high,3. low,4. close,5. volume
2021-01-07,18.66,18.96,18.51,18.92,2758916.0
2021-01-06,18.05,18.74,17.96,18.57,5680999.0
2021-01-05,17.57,17.99,17.57,17.93,1905046.0
2021-01-04,17.98,18.06,17.46,17.55,2265367.0
2020-12-31,17.64,17.88,17.63,17.82,1613755.0
2020-12-30,17.77,17.81,17.6,17.64,1179477.0
2020-12-29,17.64,17.74,17.47,17.65,1763317.0
2020-12-28,17.64,17.79,17.54,17.6,867044.0
2020-12-24,17.52,17.54,17.335,17.52,516547.0
2020-12-23,17.3,17.54,17.3,17.48,1389762.0
2020-12-22,17.31,17.38,17.14,17.2,1417135.0
2020-12-21,17.09,17.375,16.9,17.3,2547342.0
2020-12-18,17.63,17.64,17.3,17.36,1979329.0
2020-12-17,17.7,17.8,17.52,17.66,1502108.0
2020-12-16,17.68,17.75,17.44,17.65,2246180.0
2020-12-15,17.72,17.775,17.365,17.68,2266600.0
2020-12-14,18.1,18.1,17.53,17.56,3351413.0
2020-12-11,17.83,17.91,17.7108,17.87,1708652.0
2020-12-10,17.99,18.09,17.845,18.06,1933560.0
2020-12-09,18.15,18.15,17.87,18.06,2535534.0
2020-12-08,17.91,18.17,17.88,18.05,1908786.0
2020-12-07,18.09,18.19,17.93,18.01,2155742.0
2020-12-04,17.72,18.24,17.67,18.23,3673008.0
2020-12-03,17.37,17.67,17.37,17.59,2903917.0
2020-12-02,17.13,17.41,17.05,17.39,3181171.0
2020-12-01,17.34,17.52,17.17,17.21,2079939.0
2020-11-30,17.25,17.25,16.845,17.06,4167161.0
2020-11-27,17.13,17.53,17.12,17.3,1352671.0
2020-11-25,17.24,17.24,16.91,17.12,2296262.0
2020-11-24,16.87,17.55,16.73,17.38,3895904.0
2020-11-23,16.6,16.75,16.36,16.6,2586311.0
2020-11-20,16.37,16.44,16.14,16.44,8979130.0
2020-11-19,16.51,16.71,16.32,16.66,9659404.0
2020-11-18,16.8,16.89,16.64,16.65,2457009.0
2020-11-17,16.5,16.76,16.48,16.67,3229508.0
2020-11-16,16.21,16.69,16.14,16.67,3434744.0
2020-11-13,15.86,15.99,15.7,15.81,2368558.0
2020-11-12,16.19,16.4,15.59,15.76,2581841.0
2020-11-11,16.92,16.98,16.29,16.41,4065518.0
2020-11-10,16.12,16.87,16.07,16.86,4885766.0
2020-11-09,15.21,16.222,15.21,16.04,5938431.0
2020-11-06,14.56,14.62,14.35,14.44,2052686.0
2020-11-05,14.3,14.65,14.23,14.45,2399862.0
2020-11-04,14.35,14.385,14.01,14.13,2677898.0
2020-11-03,14.03,14.55,13.97,14.48,2408439.0
2020-11-02,13.86,13.86,13.57,13.73,2292163.0
2020-10-30,13.52,13.6,13.36,13.58,2636909.0
2020-10-29,13.34,13.68,13.13,13.64,2125143.0
2020-10-28,13.6,13.62,13.3301,13.34,2727975.0
2020-10-27,14.13,14.16,13.78,13.84,2409966.0
2020-10-26,14.5,14.52,14.05,14.17,2413449.0
2020-10-23,14.445,14.62,14.39,14.62,1517719.0
2020-10-22,14.12,14.43,14.08,14.34,2092204.0
2020-10-21,14.03,14.15,13.95,14.1,6392366.0
2020-10-20,14.15,14.2399,14.02,14.06,1858081.0
2020-10-19,14.34,14.34,13.99,14.02,1397155.0
2020-10-16,14.2,14.35,14.18,14.23,1321473.0
2020-10-15,13.94,14.2562,13.91,14.16,1528816.0
2020-10-14,14.36,14.49,14.18,14.19,1257609.0
2020-10-13,14.68,14.68,14.32,14.37,1922948.0
2020-10-12,14.74,14.860999999999999,14.7,14.75,624924.0
2020-10-09,14.75,14.835,14.63,14.69,1825573.0
2020-10-08,14.74,14.82,14.59,14.68,1453902.0
2020-10-07,14.51,14.715,14.495,14.66,1152321.0
2020-10-06,14.6,14.64,14.315,14.4,1932169.0
2020-10-05,14.31,14.4999,14.27,14.43,1283005.0
2020-10-02,13.74,14.2354,13.7,14.19,1606340.0
2020-10-01,13.91,14.09,13.89,13.92,1480656.0
2020-09-30,13.97,14.16,13.84,13.91,2306292.0
2020-09-29,14.05,14.12,13.75,13.9,1581657.0
2020-09-28,14.02,14.25,13.97,14.16,1760317.0
2020-09-25,13.58,13.78,13.55,13.76,1179437.0
2020-09-24,13.56,13.86,13.425,13.7,1819270.0
2020-09-23,13.95,14.04,13.57,13.58,2603661.0
2020-09-22,13.97,14.17,13.73,13.87,2133759.0
2020-09-21,14.24,14.32,13.725,13.91,6272256.0
2020-09-18,14.59,14.7,14.47,14.48,1630905.0
2020-09-17,14.39,14.66,14.39,14.61,1794871.0
2020-09-16,14.63,14.83,14.55,14.63,3608264.0
2020-09-15,14.72,14.86,14.6,14.6,1486999.0
2020-09-14,14.58,14.77,14.55,14.67,1229354.0
2020-09-11,14.33,14.545,14.33,14.47,1603530.0
2020-09-10,14.8,14.81,14.31,14.32,2286562.0
2020-09-09,14.58,14.85,14.53,14.8,1897965.0
2020-09-08,14.44,14.5661,14.31,14.4,2223468.0
2020-09-04,14.83,14.98,14.52,14.67,2505656.0
2020-09-03,15.03,15.225,14.575,14.64,2457315.0
2020-09-02,14.92,15.0993,14.855,15.05,1698285.0
2020-09-01,14.66,14.95,14.57,14.89,1722815.0
2020-08-31,15.18,15.19,14.745,14.75,2058621.0
2020-08-28,15.39,15.49,15.13,15.21,1193229.0
2020-08-27,15.23,15.43,15.105,15.23,1840168.0
2020-08-26,15.12,15.23,14.97,15.18,1608530.0
2020-08-25,15.23,15.285,15.0,15.1,1565351.0
2020-08-24,14.95,15.13,14.865,15.12,1609232.0
2020-08-21,14.76,14.8,14.66,14.79,1262947.0
2020-08-20,14.77,14.97,14.74,14.85,1447650.0
2020-08-19,14.97,15.14,14.91,14.96,1187772.0
2020-08-18,14.99,15.05,14.87,14.94,1670841.0
2020-08-17,15.03,15.135,14.94,14.99,1296630.0
2020-08-14,15.13,15.2,15.02,15.06,1502547.0
2020-08-13,15.4,15.52,15.26,15.4,1923932.0
2020-08-12,15.66,15.68,15.37,15.49,1989442.0
