date,MACD_Hist,MACD,MACD_Signal
2021-01-29,1.4279,1.7536,0.3258
2021-01-28,1.8261,1.7949,-0.0312
2021-01-27,1.519,1.0313,-0.4877
2021-01-26,0.5803,-0.2872,-0.8675
2021-01-25,0.1361,-0.8764,-1.0125
2021-01-22,-0.003,-1.0496,-1.0466
2021-01-21,-0.0721,-1.118,-1.0458
2021-01-20,-0.3271,-1.3549,-1.0278
2021-01-19,-0.6458,-1.5918,-0.946
2021-01-15,-0.9745,-1.759,-0.7845
2021-01-14,-1.0425,-1.5834,-0.5409
2021-01-13,-1.1435,-1.4238,-0.2803
2021-01-12,-1.1916,-1.1861,0.0056
2021-01-11,-1.1923,-0.8888,0.3035
2021-01-08,-0.9647,-0.3631,0.6016
2021-01-07,-0.6742,0.1685,0.8427
2021-01-06,-0.4822,0.5291,1.0113
2021-01-05,-0.6054,0.5264,1.1319
2021-01-04,-0.5021,0.7811,1.2832
2020-12-31,-0.3435,1.0653,1.4087
2020-12-30,-0.3794,1.1152,1.4946
2020-12-29,-0.3575,1.2319,1.5895
2020-12-28,-0.2894,1.3895,1.6789
2020-12-24,-0.2684,1.4828,1.7512
2020-12-23,-0.2186,1.5997,1.8183
2020-12-22,-0.0934,1.7795,1.873
2020-12-21,0.0065,1.9028,1.8963
2020-12-18,0.0482,1.9429,1.8947
2020-12-17,0.0057,1.8883,1.8826
2020-12-16,-0.1134,1.7679,1.8812
2020-12-15,-0.1949,1.7146,1.9096
2020-12-14,-0.2622,1.6961,1.9583
2020-12-11,-0.2132,1.8106,2.0239
2020-12-10,-0.2423,1.8348,2.0772
2020-12-09,-0.2448,1.893,2.1377
2020-12-08,-0.4426,1.7564,2.1989
2020-12-07,-0.465,1.8446,2.3096
2020-12-04,-0.2602,2.1656,2.4258
2020-12-03,-0.1823,2.3086,2.4909
2020-12-02,-0.0148,2.5217,2.5365
2020-12-01,0.2148,2.755,2.5402
2020-11-30,0.6616,3.1481,2.4864
2020-11-27,1.0579,3.379,2.321
2020-11-25,1.1445,3.201,2.0565
2020-11-24,1.1334,2.9039,1.7704
2020-11-23,0.9994,2.4864,1.4871
2020-11-20,0.9796,2.2168,1.2372
2020-11-19,0.9754,1.9677,0.9923
2020-11-18,1.003,1.7515,0.7485
