date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,51.15,51.23,50.03,50.64,6387709.0
2021-01-11,48.75,50.545,48.4287,50.24,9073919.0
2021-01-08,49.89,50.64,48.41,49.08,11093191.0
2021-01-07,47.45,49.13,47.25,49.02,9090356.0
2021-01-06,46.78,47.6,46.36,46.51,6500784.0
2021-01-05,46.05,47.61,46.01,47.61,5710109.0
2021-01-04,47.81,48.56,45.84,46.31,11418625.0
2020-12-31,47.45,47.7893,47.06,47.54,4049480.0
2020-12-30,46.68,47.635,46.54,47.5,4277526.0
2020-12-29,47.34,47.41,45.635,46.23,5427339.0
2020-12-28,47.8,48.1,46.76,46.98,5241087.0
2020-12-24,46.73,47.095,46.26,47.05,3715886.0
2020-12-23,47.18,47.49,46.36,46.41,5697038.0
2020-12-22,47.51,47.68,46.48,47.15,4373171.0
2020-12-21,46.99,47.69,46.425,47.25,8689822.0
2020-12-18,47.16,48.42,47.11,47.51,31269017.0
2020-12-17,45.96,47.235,45.79,47.1,10196017.0
2020-12-16,45.12,45.365,44.48,45.31,8355525.0
2020-12-15,45.0,45.43,44.52,45.16,8005229.0
2020-12-14,44.0,45.02,43.67,44.33,11486351.0
2020-12-11,42.96,43.325,42.1,42.94,6769047.0
2020-12-10,42.3,43.35,42.18,42.91,5680057.0
2020-12-09,43.8,44.325,42.4215,42.56,7073689.0
2020-12-08,43.89,44.14,43.32,43.68,7294109.0
2020-12-07,43.43,44.21,43.1372,44.14,8869746.0
2020-12-04,44.32,44.81,42.83,43.38,22513635.0
2020-12-03,45.81,45.975,45.01,45.52,13101382.0
2020-12-02,46.4,46.665,45.45,45.62,7879626.0
2020-12-01,46.8951,47.21,46.21,46.64,8022481.0
2020-11-30,45.64,46.38,44.52,46.29,8465560.0
2020-11-27,44.8699,45.58,44.82,45.11,2858672.0
2020-11-25,44.94,45.2,44.36,44.6,4790879.0
2020-11-24,44.95,45.01,43.78,44.84,5260690.0
2020-11-23,44.17,44.7774,43.519,44.6,7401520.0
2020-11-20,44.29,44.815,43.94,43.96,5455712.0
2020-11-19,43.03,44.41,42.78,44.18,5294182.0
2020-11-18,42.81,43.62,42.73,43.09,5156844.0
2020-11-17,43.15,43.45,42.53,42.965,5166669.0
2020-11-16,43.5,43.82,42.68,43.31,7093123.0
2020-11-13,42.89,43.95,42.69,43.26,8813371.0
2020-11-12,42.17,42.45,41.29,41.6,7175263.0
2020-11-11,41.05,42.92,41.05,42.27,10999555.0
2020-11-10,41.88,42.07,39.41,40.32,13783458.0
2020-11-09,45.61,45.61,42.13,42.21,15189295.0
2020-11-06,41.42,45.815,40.99,45.13,23484620.0
2020-11-05,40.14,41.54,39.87,41.48,14071621.0
2020-11-04,37.8,39.49,37.37,39.16,12970238.0
2020-11-03,37.21,37.6599,37.02,37.19,8469477.0
2020-11-02,37.9,37.91,36.5114,36.89,11677536.0
2020-10-30,38.3,38.68,37.005,37.51,16169566.0
2020-10-29,36.08,39.7,35.3,38.21,41594497.0
2020-10-28,40.56,40.76,39.52,39.53,6818117.0
2020-10-27,41.19,41.8,40.84,41.47,5167454.0
2020-10-26,41.0,41.89,40.405,40.89,4549219.0
2020-10-23,41.21,41.47,40.48,41.43,5584415.0
2020-10-22,40.51,41.25,39.84,41.04,5874927.0
2020-10-21,41.56,41.77,40.34,40.4,7429920.0
2020-10-20,42.23,42.325,41.365,41.62,5167593.0
2020-10-19,43.41,43.62,41.78,41.85,7106221.0
2020-10-16,43.6,43.71,42.92,42.96,4422595.0
2020-10-15,42.67,43.15,42.54,42.95,5283807.0
2020-10-14,43.98,44.09,43.04,43.34,4880629.0
2020-10-13,43.8835,44.2387,43.3,43.78,5534100.0
2020-10-12,44.9,45.04,42.98,43.59,10053967.0
2020-10-09,43.83,44.94,43.39,44.7,10662145.0
2020-10-08,43.18,43.72,42.5,42.75,10606475.0
2020-10-07,43.0814,43.67,42.35,42.62,11121678.0
2020-10-06,42.0,43.12,41.69,42.08,9376453.0
2020-10-05,40.4865,41.83,40.03,41.52,9814804.0
2020-10-02,39.49,40.44,39.3,39.77,6073237.0
2020-10-01,40.41,40.73,39.84,40.31,5971106.0
2020-09-30,39.15,39.98,38.78,39.7,6217599.0
2020-09-29,39.96,40.56,39.37,39.4,6717980.0
2020-09-28,38.51,40.04,38.5,39.89,7190642.0
2020-09-25,37.93,38.17,37.16,38.05,5833076.0
2020-09-24,37.06,38.58,37.0,37.9,5654928.0
2020-09-23,38.82,38.94,37.52,37.57,5164213.0
2020-09-22,38.69,38.87,37.69,38.86,6949101.0
2020-09-21,37.91,38.44,37.31,38.38,6343286.0
2020-09-18,39.03,39.12,37.95,38.49,8079396.0
2020-09-17,37.26,38.9,36.78,38.705,7074406.0
2020-09-16,39.01,39.29,38.02,38.08,8229964.0
2020-09-15,39.7421,39.7421,38.805,39.005,5907499.0
2020-09-14,39.49,39.83,39.11,39.22,6870719.0
2020-09-11,39.05,39.36,38.14,38.76,5417910.0
2020-09-10,39.97,40.5,38.335,38.51,5710874.0
2020-09-09,38.2344,39.62,37.81,39.45,8619002.0
2020-09-08,36.76,38.56,36.5,37.55,9850016.0
2020-09-04,37.66,38.47,35.94,37.36,10050566.0
2020-09-03,39.8035,39.99,37.86,38.32,11710982.0
2020-09-02,39.98,41.34,39.11,41.185,9767615.0
2020-09-01,38.94,40.21,38.87,39.19,10637365.0
2020-08-31,37.99,39.25,37.79,38.78,9145442.0
2020-08-28,36.75,38.38,36.0,38.25,17859805.0
2020-08-27,35.95,36.595,35.34,35.91,13501554.0
2020-08-26,35.47,35.825,35.13,35.61,6609571.0
2020-08-25,34.72,35.28,34.555,35.21,9390178.0
2020-08-24,34.36,34.73,33.89,34.715,10632085.0
2020-08-21,32.92,33.46,32.68,33.46,7007762.0
2020-08-20,32.88,32.98,32.53,32.79,5098185.0
2020-08-19,33.47,33.69,33.02,33.11,4597877.0
2020-08-18,33.99,34.15,33.31,33.38,4501450.0
2020-08-17,33.69,33.945,33.32,33.78,6512681.0
2020-08-14,34.67,34.77,33.34,33.57,12303279.0
2020-08-13,35.25,35.25,34.42,34.7,10355587.0
2020-08-12,34.87,35.7099,34.87,35.28,4921472.0
