date,MFI
2021-01-22,62.9209
2021-01-21,67.4799
2021-01-20,74.2687
2021-01-19,67.9606
2021-01-15,63.8854
2021-01-14,70.7577
2021-01-13,63.4556
2021-01-12,69.203
2021-01-11,60.6972
2021-01-08,68.0643
2021-01-07,67.6428
2021-01-06,67.2555
2021-01-05,73.1796
2021-01-04,74.3093
2020-12-31,77.6689
2020-12-30,73.4576
2020-12-29,68.5067
2020-12-28,67.7031
2020-12-24,68.4842
2020-12-23,57.4908
2020-12-22,54.7671
2020-12-21,50.668
2020-12-18,56.2125
2020-12-17,48.1176
2020-12-16,44.9152
2020-12-15,43.2794
2020-12-14,41.9377
2020-12-11,39.8937
2020-12-10,44.9983
2020-12-09,49.6496
2020-12-08,54.9055
2020-12-07,55.9866
2020-12-04,48.89100000000001
2020-12-03,64.8609
2020-12-02,69.7456
2020-12-01,79.4664
2020-11-30,67.1098
2020-11-27,54.4458
2020-11-25,62.0752
2020-11-24,64.4607
2020-11-23,66.0372
2020-11-20,65.9691
2020-11-19,60.039
2020-11-18,53.0678
2020-11-17,41.2476
2020-11-16,40.9881
2020-11-13,44.1824
2020-11-12,40.3406
2020-11-11,43.7246
2020-11-10,38.7908
2020-11-09,40.1821
2020-11-06,42.8333
2020-11-05,30.7793
2020-11-04,26.0019
2020-11-03,17.9006
2020-11-02,12.1893
2020-10-30,12.6537
2020-10-29,13.0951
2020-10-28,29.5404
2020-10-27,39.7568
2020-10-26,43.5262
2020-10-23,50.4513
2020-10-22,52.3286
2020-10-21,52.3008
2020-10-20,58.3518
2020-10-19,57.9755
2020-10-16,64.335
2020-10-15,65.0511
2020-10-14,65.142
2020-10-13,65.1229
2020-10-12,65.7842
2020-10-09,74.4979
2020-10-08,67.2603
2020-10-07,66.0723
2020-10-06,57.1235
2020-10-05,47.6905
2020-10-02,38.6265
2020-10-01,45.88399999999999
2020-09-30,39.4945
2020-09-29,46.0826
2020-09-28,47.112
2020-09-25,48.3469
2020-09-24,46.4038
2020-09-23,43.6732
2020-09-22,50.9031
2020-09-21,52.5903
2020-09-18,59.0801
2020-09-17,62.0842
2020-09-16,68.9629
2020-09-15,74.7539
2020-09-14,79.7496
2020-09-11,80.1205
2020-09-10,84.2106
2020-09-09,80.8188
2020-09-08,77.0612
2020-09-04,72.8529
2020-09-03,75.2927
2020-09-02,75.8907
2020-09-01,67.7987
2020-08-31,65.9643
2020-08-28,59.7165
2020-08-27,48.4017
2020-08-26,36.6513
2020-08-25,29.4667
2020-08-24,27.3397
2020-08-21,24.3104
2020-08-20,26.4888
2020-08-19,33.0129
2020-08-18,38.887
2020-08-17,38.8495
2020-08-14,39.3386
2020-08-13,47.3225
2020-08-12,48.3363
2020-08-11,43.0148
2020-08-10,42.7963
2020-08-07,42.3996
2020-08-06,50.6985
2020-08-05,58.4836
2020-08-04,51.687
2020-08-03,51.6515
2020-07-31,42.4337
2020-07-30,32.6919
2020-07-29,32.1387
2020-07-28,42.5773
2020-07-27,52.2653
2020-07-24,46.8692
2020-07-23,54.7829
2020-07-22,59.9361
2020-07-21,60.2943
2020-07-20,67.6451
2020-07-17,61.3124
2020-07-16,55.2841
2020-07-15,56.2153
2020-07-14,51.2351
2020-07-13,56.8878
2020-07-10,65.794
2020-07-09,57.3275
2020-07-08,48.6779
2020-07-07,43.9783
2020-07-06,51.3632
2020-07-02,50.4119
2020-07-01,51.1213
2020-06-30,49.7186
2020-06-29,49.6961
2020-06-26,48.7439
2020-06-25,47.0162
2020-06-24,53.3564
2020-06-23,59.9009
2020-06-22,64.6154
2020-06-19,66.3143
2020-06-18,74.1883
2020-06-17,80.6606
2020-06-16,73.1713
2020-06-15,67.0408
2020-06-12,67.9774
2020-06-11,68.0074
2020-06-10,73.0776
2020-06-09,73.4107
2020-06-08,78.3893
2020-06-05,84.9698
2020-06-04,84.4376
2020-06-03,80.3213
2020-06-02,73.8756
2020-06-01,66.9884
2020-05-29,60.5534
2020-05-28,55.7058
2020-05-27,60.1991
2020-05-26,69.2747
2020-05-22,67.0436
2020-05-21,60.5523
2020-05-20,50.9964
2020-05-19,41.5551
2020-05-18,42.7873
2020-05-15,34.5854
2020-05-14,37.4283
2020-05-13,43.8019
2020-05-12,50.6232
2020-05-11,58.0847
2020-05-08,57.7752
2020-05-07,57.8955
2020-05-06,63.03
2020-05-05,64.29
2020-05-04,58.3246
2020-05-01,64.1618
2020-04-30,66.5231
2020-04-29,73.1851
2020-04-28,72.3731
2020-04-27,80.5585
2020-04-24,80.2492
2020-04-23,80.015
2020-04-22,79.8461
2020-04-21,73.3581
2020-04-20,82.3011
2020-04-17,81.7833
2020-04-16,74.5942
2020-04-15,73.6251
2020-04-14,80.7304
2020-04-13,81.0488
2020-04-09,80.7269
2020-04-08,80.7326
2020-04-07,80.8681
2020-04-06,74.6419
2020-04-03,74.3583
2020-04-02,68.5701
2020-04-01,68.9693
2020-03-31,66.8952
2020-03-30,58.5049
2020-03-27,60.4757
2020-03-26,59.5377
2020-03-25,51.0293
2020-03-24,57.3661
2020-03-23,56.8115
2020-03-20,62.0906
2020-03-19,62.4733
2020-03-18,53.8769
2020-03-17,51.1834
2020-03-16,46.1575
2020-03-13,45.0774
2020-03-12,39.2373
2020-03-11,40.1832
2020-03-10,40.9213
2020-03-09,38.7111
2020-03-06,40.0407
2020-03-05,42.2089
2020-03-04,27.2639
2020-03-03,27.2733
2020-03-02,31.8807
2020-02-28,23.9076
2020-02-27,23.7746
2020-02-26,29.0948
2020-02-25,36.8699
2020-02-24,44.7717
2020-02-21,52.6454
2020-02-20,51.1384
2020-02-19,47.3568
2020-02-18,39.9885
2020-02-14,43.8869
2020-02-13,42.9654
2020-02-12,42.6469
2020-02-11,37.3527
2020-02-10,32.422
2020-02-07,31.3696
2020-02-06,41.619
2020-02-05,49.0918
2020-02-04,42.3698
2020-02-03,43.0776
2020-01-31,44.2269
2020-01-30,49.2832
2020-01-29,56.9077
